,id,hypothesis,reference
0,16304224036265662488,शोधपक्षाच्या पिसाच्या उत्तरांती बाबत ही माहिती देतो,शोध पक्षाच्या पिसांच्या उत्क्रांतीबाबतही माहिती देतो
1,14420162037516253120,त्यांना या आपवावाही फळ राजकीय बडबडा आणि मुर्कपणा असल्याचे म्हटले,त्यांनी या अफवा वायफळ राजकीय बडबड आणि मुर्खपणा असल्याचे म्हटले
2,3915861710630798412,म्हणून पेन्सिल आली तेव्हाती अनेक लोकांची तंगली मैत्री थरली,म्हणून पेन्सिल आली तेव्हा ती अनेक लोकांची चांगली मैत्रीण ठरली
3,6342262548630043804,अग्निशामक दरानी अखिरीच रात्री 11 35 पर्यंत आग काबू केली,अग्नीशामक दलाने अखेरीस रात्री 1135 पर्यंत आग काबू केली
4,7909203479167350784,सहकुस्तीगिरांनी देखील लुना यांना श्रुधांचली वाहिली,सह कुस्तीगिरांनी देखील लुना यांना श्रद्धांजली वाहिली
5,1316586123896783443,एरोस्मिथनी प्रवासतील उरलेल्या कॉन्सर्ट रद्या केल्या आहेत,एरोस्मिथनी प्रवासातील उरलेल्या कोन्सर्ट रद्द केल्या आहेत
6,16783919060002818935,सहकुस्तीगिरांनी देखील लुना यांना श्राधांजली वाहिली,सह कुस्तीगिरांनी देखील लुना यांना श्रद्धांजली वाहिली
7,9099665285064894707,गव्हर्नर जनरलच्या ऑफिसच्या बाहेर एक बावस्फोट झाला,गव्हर्नर जनरलच्या ऑफिसच्या बाहेर एक बॉंबस्फोट झाला
8,9032759515356588300,एखाद्या हायकिंग मार्गाप्रमाणे सिंकिंग मार्गाचा विचार करा,एखाद्या हायकिंग मार्गाप्रमाणे स्कीइंग मार्गाचा विचार करा
9,6175141505717378540,इंटरनेट सामूहिक आणि परस्पर संबंधित दोन्ही घटक एकत्र करते,इंटरनेट सामूहिक आणि परस्परसंबंधित दोन्ही घटक एकत्र करते
10,12076392280562195568,पॅरॅमिड आवाज आणि लाईट शो या लहान मुलांसाठी त्या क्षेत्रातील सर्वोत्मून रोजक गोष्ट आहे,पिरॅमिड आवाज आणि लाइट शो या लहान मुलांसाठी त्या क्षेत्रातील सर्वात मनोरंजक गोष्टी आहेत
11,121489334370672119,ते महाऱ्या जवळील भागात बारीक आणि उंच वट्याच्या भागात जाड आहे,ते मारियाजवळील भागात बारीक आणि उंचवट्याच्या भागात जाड आहे
12,16668494938003839855,एखादे हायकिंग मार्गाप्रमाणे स्कीइंग मार्गाचा विचार करा,एखाद्या हायकिंग मार्गाप्रमाणे स्कीइंग मार्गाचा विचार करा
