,id,hypothesis,reference
0,Scam_1992_Ep_09_Telugu_20_PM_STEREO_00:16:41.41_00:16:52.45,లేదు అంతే పెదటి ఫ్రాబ�ल్ కథా ఆమె తనపిరోషన్జుకొట వడం లల చాజ బద ఉప సమయం,లేదు అదేం పెద్ద ప్రాబ్లం కాదు అతనికి ప్రమోషన్ రాకపోవటం వల్ల చాలా బాధపడ్డాడని నేను ప్రెస్ వాళ్ళకి చెప్తాను అందుకే రిసైన్ చేశాడని చెప్తా
1,Scam_1992_Ep_09_Telugu_20_PM_STEREO_00:38:48.06_00:38:50.55,జేపీసీ రి,జే పీ సీ రిపోర్ట్స్ ని రికార్డ్స్ ని డీప్ గా ఆరాతీస్తే
2,Scam_1992_Ep_09_Telugu_20_PM_STEREO_00:40:26.01_00:40:32.10,నైటి నయింటీ రెం దేళ్ల క్ మూడు యుఎస్జే ప్౰తీన ధిేజకాలక చా లో హిజ సమరణ ఆర థ గా,నైన్టీన్ నైంటీ రెండేళ్ల క్రితం యు ఎస్ స్టేట్ ప్రతినిధి కార్లా హిల్స్ మనల్ని ఆర్థికంగా ఇబ్బంది పెడ్తున్నప్పుడు
3,Scam_1992_Ep_09_Telugu_20_PM_STEREO_00:22:57.36_00:22:59.15,తాళం వేసుకొని గెళ్లమనే కింపా ణి,తాళం వేసుకొని వెళ్ళమని నీకు చెప్పాను కదా
4,Scam_1992_Ep_09_Telugu_20_PM_STEREO_00:01:23.51_00:01:27.35,ఈ విషయం పార్టీలో ఉన్ కూడల నగరంచి ఒక సమాజముఖు తెలసు,ఈ విషయం పార్టీలో ఉన్న కార్యకర్తల దగ్గర నుంచి ప్రధానమంత్రి వరకు అందరికీ తెలుసు
5,Scam_1992_Ep_09_Telugu_20_PM_STEREO_00:03:08.01_00:03:10.50,ఈ సీబీ యే నన్మూ మా కుటు ండి ఏవాయిన చేస తోసి,ఈ సి బి ఐ నన్ను నా కుటుంబాన్ని ఏమైనా చేసేస్తుంది 
6,Scam_1992_Ep_09_Telugu_20_PM_STEREO_00:47:01.01_00:47:03.45,మన దగ్గర వీడియో కెమేరా ఉంటాలని ఏకడు ఇదే,మన దగ్గర వీడియో కెమెరా ఉండాలి గా ఎక్కడుంది
7,Scam_1992_Ep_09_Telugu_20_PM_STEREO_00:45:08.46_00:45:13.30,మాకు ఎలా తెలుసోంది అనిత మీరే విజనేష్ ఆయన ఉం డచో దీ కా్ల ఒక ఏడు,మాకెల తెలుస్తుంది తనకి ఎలాంటి బిజినెస్ అయినా ఉండచ్చు దాంతో మాకేంటి సంబంధం
8,Scam_1992_Ep_09_Telugu_20_PM_STEREO_00:24:44.41_00:24:46.25,మీకే అసలు హవాల ఆపరేటీ లాజి రా,మీకసలు హవాలా ఆపరేటర్లే లేరా
9,Scam_1992_Ep_09_Telugu_20_PM_STEREO_00:34:05.01_00:34:07.45,మీ బ్యాంక్ మిగా చలువ ఎలి గేషన్జు రైజయ్౯ే,మీ బ్యాంక్ మీద చాలా ఎలిగేషన్స్ రైజ్ అయ్యాయి
10,Scam_1992_Ep_09_Telugu_20_PM_STEREO_00:30:44.11_00:30:44.50,ఇస్ వే,నిజమే
11,Scam_1992_Ep_09_Telugu_20_PM_STEREO_00:07:06.31_00:07:08.45,ఢిల్హీ వాడి జేబుతో ఉంది,ఢిల్లీ వాడి జేబులో ఉంది
