,id,hypothesis,reference
0,6264507256679270751,టెలివిజన్ నివేదకులు మొక్క నుండి తెల్లటి పొగ వస్తున్నట్లు చూపుతాయి,టెలివిజన్ నివేదికలు మొక్క నుండి తెల్లటి పొగ వస్తున్నట్లు చూపుతాయి
1,12478032241047162095,గవర్నర్ జనరల్ కార్యాలయం వెలుగొల్ల ఒక బాంబు పేలింది,గవర్నర్ జనరల్ కార్యాలయం వెలుపల 1 బాంబు పేలింది
2,12580058940162831280,మధ్య ప్రాచ్యం యొక్క వెచ్చని వాతావరణంలో ఇళ్ళు అంత ముఖ్యమనేది కాదు,మధ్యప్రాచ్యం యొక్క వెచ్చని వాతావరణంలో ఇల్లు అంత ముఖ్యమైనది కాదు
3,17402704946675006749,అదే విధమైన హైకింగ్ రూట్ వలే స్కీయింగ్ రూట్ గురించి ఆలోచించండి,అదే విధమైన హైకింగ్ రూట్ వలే స్కీయింగ్ రూట్ గురించి ఆలోచించండి
4,446737604540109751,ఆ విధంగా పెన్సిల్ బయటకు వచ్చినప్పుడు చాలా మందికి మంచి స్నేహితుడు,ఆ విధంగా పెన్సిల్ బయటకు వచ్చినప్పుడు చాలా మందికి మంచి స్నేహితుడు
5,5530909766127012291,ఇది మరియా కింద సన్నగా మరియు హైలాండ్స్ కింద మందంగా ఉంటుంది,ఇది మరియా కింద సన్నగా మరియు హైల్యాండ్స్ కింద మందంగా ఉంటుంది
6,12774737540790218914,అయితే అది నిజం కాదు పత్రం వెనుక ఏదో రాసివున్నా అది నిధి పట్టణం కాదు,అయితే అది నిజం కాదు పత్రం వెనుక ఏదో రాసి ఉన్నా అది నిధి పటం కాదు
7,2782320235558085989,గీజాలో ఉన్న గ్రేట్ పెరమిడ్ నేటికీ ఏడు వింతలలో ఒకటిగా ఉంది,gizaలో ఉన్న great pyramid నేటికీ ఏడు వింతలలో ఒకటిగా ఉంది
8,4368660601469013485,తోటిమల్ల యుద్ధకారులు కూడా లూనాకు నివాళులు అర్పించారు,తోటి మల్ల యుద్ధకారులు కూడా లూనాకు నివాళులు అర్పించారు
9,9364733198801663962,ఏరోస్మిత్ వారి పర్యటనల్లో మిగిలిన సంగీత కచేరీలను రద్దు చేసింది,ఏరోస్మిత్ వారి పర్యటనలో మిగిలిన సంగీత కచేరీలను రద్దు చేసింది
10,3873693005467645684,విద్యాలయులు కట్టమైన తుర్పులు ప్రజలైన తుర్పులు ప్రభుత్వ అధికారం చెప్పులు సంప్రదిష్టులు కేత్తారు,నిందితుడు ముఖకవతలతో కోర్టులో హాజరయినట్లు పోలీసు ఉన్నతాధికారి చంద్ర శేఖర్ సోలంకి తెలిపారు
11,16491693500662842324,అయితే అది నిజం కాదు పత్రం వెనుక ఏదో రాశి ఉన్నా అది నిధి పటం కాదు,అయితే అది నిజం కాదు పత్రం వెనుక ఏదో రాసి ఉన్నా అది నిధి పటం కాదు
12,10217994866191966871,ఆ విధంగా పెన్సిల్ బయటకు వచ్చినప్పుడు చాలా మందికి మంచి స్నేహితుడు,ఆ విధంగా పెన్సిల్ బయటకు వచ్చినప్పుడు చాలా మందికి మంచి స్నేహితుడు
13,12185150433001129739,అందువల్ల కేవలం లేబుల్ వలే నోటేషన్ జోడించబడి ఉండవచ్చు,అందువల్ల కేవలం లేబుల్ వలే నోటేషన్ జోడించబడి ఉండవచ్చు
14,17096137346217051323,ద్వీపాల్లో సరస్సుల్లో మీకు ఒక యాచ్ అవసరం లేదు,ద్వీపాల్లో సరస్సుల్లో మీకు ఒక యాచ్ అవసరం లేదు
15,15000047607539169982,టెలివిజన్ నివేదికలు మొక్క నుండి తెల్లటి పొగ వస్తున్నట్లు చూపుతాయి,టెలివిజన్ నివేదికలు మొక్క నుండి తెల్లటి పొగ వస్తున్నట్లు చూపుతాయి
16,15744481588919187588,కొత్తగా ఈదైన వచ్చినప్పుడు కీబోర్డ్ ఎలా ఉంటుందో అని ఎవరైనా ఆశ్చర్యపడవచ్చు,కొత్తగా ఏదైనా వచ్చినప్పుడు కీబోర్డ్ ఎలా ఉంటుందో అని ఎవరైనా ఆశ్చర్యపడవచ్చు
17,53871253020485626,రొలాండో మెండోజా తన m16 రైఫుల్ ను పర్యాటకులపై పీల్చాడు,రోలాండో మెన్డోజా తన m16 రైఫిల్ను పర్యాటకులపై పేల్చాడు
18,14761967464597911201,గీజాలో ఉన్న గ్రేడ్ పిరమిడ్ నేటికి ఏడు వింతలాలలో ఒకటిగా ఉంది,gizaలో ఉన్న great pyramid నేటికీ ఏడు వింతలలో ఒకటిగా ఉంది
19,3036800693961545114,ఎరోస్మిత్ వారి పర్యటనల్లో మిగిలిన సంగీత కచేరీలను రద్దు చేసింది,ఏరోస్మిత్ వారి పర్యటనలో మిగిలిన సంగీత కచేరీలను రద్దు చేసింది
20,8649051830007366343,ఇది మనకు ట్రైన్ కారు మరియు అనేక ఇతర రవాణా పరికరాలను తీసుకోవచ్చింది,ఇది మనకు ట్రైన్ కారు మరియు అనేక ఇతర రవాణా పరికరాలని తీసుకువచ్చింది
21,14330977836148923700,హాంగ్ కాంగ్ యొక్క ఉత్తమ వీక్షణలు పొందడానికి ద్వీపం మొదలి మరియు ఇద్రుగా ఉన్న కౌలున్ జల ఫ్రెంట్ కు తల,హాంగ్ కాంగ్ యొక్క ఉత్తమ వీక్షణలు పొందడానికి ద్వీపం వదిలి మరియు ఎదురుగా ఉన్న కౌలూన్ జలఫ్రంట్ కు తల
22,4978090353589600213,కానీ ఇప్పటికీ డైనోసాడ్ లాగా కనిపించే పక్షుల గురించి చాలా విషయాలు ఉన్నాయి,కానీ ఇప్పటికీ డైనోసార్ లాగా కనిపించే పక్షుల గురించి చాలా విషయాలు ఉన్నాయి
