,id,hypothesis,reference
0,Avrodh_0006_HD_AVC_00:07:25.40_00:07:29.40, आप तुम अपने बॉस का नाम खुद बताओगे यहां मुकल वाले,अब तुम अपने बॉस का नाम खुद बताओगे या हम उगल वाले
1,Avrodh_0007_HD_AVC_00:05:13.34_00:05:17.22, but please dont give up the passion you have for your profession because of this,बट प्लीज डोन्ट गिव अप द पैशन यू हैव फॉर योर प्रोफेशन बिकॉज ऑफ दिस
2,Avrodh_0003_HD_AVC_00:22:56.26_00:22:58.19, वो बहुत जल सब कुछ निपटा लेंगे सर,वो बहुत जल्द सब कुछ निपटा लेंगे सर
3,Avrodh_0001_HD_AVC_Rev_00:15:09.11_00:15:10.10, जैन,जय हिन्द
4,Avrodh_0004_HD_AVC_00:24:17.04_00:24:19.00, इस एक कांटे टेरियस्ट नहीं सब्सक्राइब है,ही इस द काउंटर टेररिज्म एक्सपर्ट सर
5,Avrodh_0002_HD_AVC_00:00:48.44_00:00:50.48, खुड़े राता,तो आखिरी रात आज
6,Avrodh_0002_HD_AVC_00:03:40.31_00:03:43.30, सर पता नहीं कैसे एडिस्ट तुझे क्राक समझो,सर पता नहीं कैसे इट इफ जस्ट क्रैक सम हाउ
7,Avrodh_0002_HD_AVC_00:01:41.31_00:01:42.10, चेक करो,चेक करो
8,Avrodh_0008_HD_AVC_00:14:17.34_00:14:21.00, टीम एलफा ने कहा है कि सभी टेम स्टैंबाई पे होंगे,टीम अल्फा ने कहा है के सभी टीम स्टैंड बाय पे होंगे
9,Avrodh_0003_HD_AVC_00:15:28.16_00:15:32.38, और रूटीन स्टेटमेंट्स भी इशू होंगे,और रूटीन स्टेटमेंट्स भी इशू होंगे
10,Avrodh_0007_HD_AVC_00:00:50.14_00:00:51.22, any targets,एनी टरगेट्स
11,Avrodh_0005_HD_AVC_00:02:13.56_00:02:21.25, आपको पता है वो क्या कहेंगे कि विदी मैं तेरी तांके तोड़ दूँगी अगर घर एक सब्सक्राइब,आपको पता है वो क्या कहेंगी वो कहेंगी विदीप मैं तेरी टाँगे तोड़ दूँगी अगर घर आया तो एक्सेप्ट द मिशन
12,Avrodh_0005_HD_AVC_00:01:25.05_00:01:27.04, मिशन क्षेत्र क्या है,व्हाट इस ओवर मिशन स्टेटमेंट सर
13,Avrodh_0006_HD_AVC_00:04:50.21_00:04:52.00, आज सुबह से,आज सुबह से
14,Avrodh_0004_HD_AVC_00:17:20.23_00:17:27.52, कहां मिलेगा ये चार घंटे के अधर मुझे जानना है,कहाँ मिलेगा ये चार घंटे के अंदर मुझे जानना है
15,Avrodh_0001_HD_AVC_Rev_00:17:43.58_00:17:45.51, कि वहां पर बहाई थे तो कंपनी,होउ फॉर बिहाइंड इज़ द कंपनी
16,Avrodh_0001_HD_AVC_Rev_00:30:30.26_00:30:31.10, जीज़ना,जी जनाब
17,Avrodh_0009_HD_AVC_00:19:03.26_00:19:05.00, जगल डाउन,जैकॉल डाउन
18,Avrodh_0008_HD_AVC_00:00:12.23_00:00:13.45, शितारा,सितारा की बेस
19,Avrodh_0004_HD_AVC_00:10:04.04_00:10:10.24, हाँ im back and unfortunately मुझे तो कोई पता नहीं चलता है कि तुम का हो,हाँ आई एम बेक एंड अनफॉर्चूनेटली मुझे तो कभी पता ही नहीं चलता कि तुम कहाँ हो
20,Avrodh_0007_HD_AVC_00:09:10.01_00:09:12.44, मेजर सूत की मौत आपकी वज़े से नहीं होगा,मेजर सूत की मौत आपकी वजह से नहीं हुई है
21,Avrodh_0008_HD_AVC_00:05:52.12_00:05:53.15, thanks sir,थैंक्स सर
22,Avrodh_0005_HD_AVC_00:12:25.31_00:12:26.40, कर दो,जय हिंद
23,Avrodh_0002_HD_AVC_00:14:31.01_00:14:31.55, घर लोटते,घर लौटते ही होंगे
24,Avrodh_0005_HD_AVC_00:20:32.08_00:20:33.02, क्या,व्हाट
25,Avrodh_0002_HD_AVC_00:23:11.31_00:23:13.15, पूज,पुंछ
26,Avrodh_0002_HD_AVC_00:21:04.01_00:21:06.14, भाई मैं क्या लग रहा हूँ,भाई मैं क्या लग रहा हूँ
27,Avrodh_0001_HD_AVC_Rev_00:09:46.21_00:09:53.12, क्योंकि कश्मीर की आवाम को जब तक अजाधी नहीं मिलेगी हम भी रुकेंगे,क्योंकि कश्मीर की आवाम को जब तक आजादी नहीं मिलेगी हम नहीं रुकेंगे
28,Avrodh_0005_HD_AVC_00:12:04.15_00:12:05.12, सर्वाद,सर
29,Avrodh_0005_HD_AVC_00:03:30.31_00:03:37.50, कि मैंने आपसे पहले भी कहा है कि अपना कोई बी सिक्रेट मिशन दूसरी देशों से हमारे रिष्टिक खराब,मैंने आपसे पहले भी कहा हैं कि आपका कोई भी सीक्रेट मिशन दूसरे देशों से हमारे रिश्ते खराब कर सकता हैं
30,Avrodh_0004_HD_AVC_00:22:13.34_00:22:18.16, submarine and nuclear subchakra also on standby waiting for orders,अटैक समरिंस एण्ड न्यूक्लियस सब आल्सो ऑन स्टैंडबाय वेटिंग फॉर ऑर्डर्स
31,Avrodh_0006_HD_AVC_00:14:33.21_00:14:36.00, और नहीं अपनी गलती मानने का मतलब आपको अक्छी तरह से पता होगा, अपनी गलती मानने का मतलब आपको अच्छी तरह से पता होगा
32,Avrodh_0004_HD_AVC_00:07:28.15_00:07:29.00, वालेकुम से,वालेकुम अस्सलाम
33,Avrodh_0001_HD_AVC_Rev_00:33:38.01_00:33:38.40, कर दो,लॉक
34,Avrodh_0003_HD_AVC_00:15:05.56_00:15:09.55, पर आप तो जा सकते हो ना,पर आप तो जा सकते हो ना
35,Avrodh_0001_HD_AVC_Rev_00:25:15.28_00:25:19.20, एडिशनल बैरेक्स का प्रोपोजर डफरेंट डेपार्क्मेंस के बीच में पिंपॉंग खेल रहा है और क्या,एडिशनल बेरिश का प्रपोजल डिफरेंट डिपार्टमेंट्स के बीच में पिंग पोंग खेल रहा है और क्या
36,Avrodh_0004_HD_AVC_00:19:27.45_00:19:33.57, कहा खबर पक्की है ठीक है,कहाँ खबर पक्की है ठीक है
37,Avrodh_0001_HD_AVC_Rev_00:01:20.10_00:01:21.45, टीम ट्विन पॉजिश,टीम टू इन पोजीशन
38,Avrodh_0006_HD_AVC_00:13:00.09_00:13:04.00, आपने ये तस्वीर पहले देखिये,आपने ये तस्वीर पहले देखी है
39,Avrodh_0006_HD_AVC_00:19:43.34_00:19:46.55, कि यहां तो लोग कहते कुछ और है होर करते,यहाँ तो लोग कहते कुछ और है और करते कुछ और हैं
40,Avrodh_0002_HD_AVC_00:17:43.31_00:17:45.43, खुदाफिस,खुदा हाफिस
41,Avrodh_0008_HD_AVC_00:17:56.12_00:18:00.33, आबू हवीश को मारे बिना हम इस ट्राइक को जस्टिफाई नहीं कर पाएंगे,अबू हफीज को मारे बिना हम इस ट्राइक को जस्टिफाई नहीं कर पाएँगे
42,Avrodh_0008_HD_AVC_00:19:47.01_00:19:54.46, the true test of character is not how much we know how to do,द ट्रू टेस्ट ऑफ कैरेक्टर इज़ नॉट हाऊ मच वी नो हाऊ टू डू
43,Avrodh_0005_HD_AVC_00:05:45.01_00:05:46.44, पहले वो सुद्ध रहा भी है,पहले वो सुखदर और अब ये
44,Avrodh_0004_HD_AVC_00:11:58.40_00:12:03.11, अब आपका साथ रहा तो ये काम भी जल्दी नहीं पड़ जाएगा चलें,अब आपका साथ रहा तो ये काम भी जल्दी निपट जाएगा चले
45,Avrodh_0006_HD_AVC_00:09:54.51_00:09:55.45, बोईस ये साथ,सर
46,Avrodh_0009_HD_AVC_00:11:42.51_00:11:44.40, कॉपी सर कबर रेडी,कॉपी सर कवर रेडी
47,Avrodh_0002_HD_AVC_00:03:46.41_00:03:48.20, do you expect me to believe that,डू यू इक्स्पेक्ट मी टू बिलीव देट
48,Avrodh_0002_HD_AVC_00:11:13.01_00:11:13.40, कर दो,गुड डे
49,Avrodh_0005_HD_AVC_00:21:50.01_00:21:52.34, जीसर,जी सर
50,Avrodh_0009_HD_AVC_00:23:58.01_00:24:03.38, करें बहुत बढ़ें,कम ऑन कम ऑन कम ऑन मूव इट कम ऑन बॉईज मूव इट
51,Avrodh_0009_HD_AVC_00:21:44.46_00:21:47.05, चलो जल्दी छलो,चलो जल्दी चलो
52,Avrodh_0008_HD_AVC_00:24:38.23_00:24:43.33, लेकिन फिर भी आपके बेटे ने आर्मी जोइन की क्यों,लेकिन फिर भी आपके बेटे ने आर्मी जॉइन की क्यूँ
53,Avrodh_0001_HD_AVC_Rev_00:15:44.22_00:15:47.40, भूरी के दमाद के सौगत की तियारें चल रही हैं मिजर गौतम,ऊरी के दामाद की स्वागत की तैयारियाँ चल रही है मेजर गौतम
54,Avrodh_0001_HD_AVC_Rev_00:16:34.11_00:16:38.48, ये दुश्मन की जीत होगी,दिस इज़ गिव ऑल टू रोंग मैसेज़ ये दुश्मन की जीत होगी
55,Avrodh_0005_HD_AVC_00:12:06.56_00:12:07.55, yes sir good to have you on the show,गुड टू हेव यू ऑन बोर्ड
