,id,hypothesis,reference
0,AVRODH_EP_04_BENGALI_20_PM_.STEREO_00:17:27.26_00:17:31.53,চার ঘণ্টা এক মো,চার ঘণ্টা।
1,AVRODH_EP_02_BENGALI_20_PM.STEREO_00:21:38.01_00:21:42.00,কিন্তু স তি রা ভাই খুব শুন দর,কিন্তু সত্যিরে ভাই খুব সুন্দর
2,AVRODH_EP_06_BENGALI_20_PM.STEREO_00:07:47.27_00:07:54.20,এত দূরাস্তার পড়ও যদি আমা হোঁটে ওলিশ কস,এত দুর আসার পর ও যদি পা এ হেটে এলওসি ক্রস করতে না হয়. তাহলে আমার নাম পাল্টিয়ে দিয়ো.
3,AVRODH_EP_06_BENGALI_20_PM.STEREO_00:13:09.56_00:13:16.01,এখন জিও অবস্থায় ফখরুদির ধরা পড়েছি আর ओঁর,এখন যেই অবস্থা এ ফখরুদ্দিন ধরা পড়েছে আর ওর বিরুদ্ধে যেই চার্জ গুলো রয়েছে সেইসব তুমি খুব ভালো করেই জানো
4,AVRODH_EP_01_BENGALI_20_PM_STEREO_00:21:26.02_00:21:27.00,వలె కమస్తున,ওয়ালাইকুম এ সালাম
5,AVRODH_EP_07_BENGALI_20_PM.STEREO_00:21:35.40_00:21:37.29,এই মিশরণে ব্যাপারী কি জুঁয়া ওইজ আনি,এই মিশনের ব্যপারে কিছুই জানতে না।
6,AVRODH_EP_09_BENGALI_20_PM.STEREO_00:33:45.01_00:33:51.17,దుమి హతము నాకెచ్చిన వేణు,"তুমি হয়তো ওনাকে চেনো না, মিস নার্মাতা জসিম"
7,AVRODH_EP_03_BENGALI_20_PM.STEREO_00:16:17.50_00:16:25.27,নিয়েই নীলা ওবাকি আমার দ্রুপুরএন কোড়তৎ থম৆ যাനা,"নিয়ে নিলেই বা কি আমাদের উপর ইনকয়ারি তো আর থেমে যাবেনা, সবাই সব সময় ঝোপ বুঝে কোপ মারতে চায় বুঝতে পারোনা ?"
8,AVRODH_EP_08_BENGALI_20_PM.STEREO_00:11:09.51_00:11:15.50,যদি উদ্ধরতারূপের বাসকিয়া কোনও খবর,"যদি ওদের কারো থেকে কোন খবর লিক হয় তাহলে আমরা সমস্যায় পড়বো, আমার কথা শুনছো কি শুনছো না"
9,AVRODH_EP_01_BENGALI_20_PM_STEREO_00:29:08.01_00:29:09.19,আমার দৈর্য উইড়ি থাকতে হব,আমাদের তৈরী থাকতে হবে
10,AVRODH_EP_06_BENGALI_20_PM.STEREO_00:18:51.28_00:18:52.28,যেস্ট মো,ইয়েস স্যার
11,AVRODH_EP_04_BENGALI_20_PM_.STEREO_00:11:20.27_00:11:26.00,বা সব প্রিয়ে হৈ যাবো মুজসও কী নাম অমা,ফ্রী হয়ে যাবে বুঝেছো আরে কি না বলবে যাই।
12,AVRODH_EP_05_BENGALI_20_PM_.STEREO_00:12:47.51_00:12:48.14,সাত বনস্ত,স্যার
13,AVRODH_EP_07_BENGALI_20_PM.STEREO_00:06:14.30_00:06:15.49,অপনি প্লিজ আর এক বচেকো,আপনি প্লিজ আর একবার চেক করবেন।
14,AVRODH_EP_07_BENGALI_20_PM.STEREO_00:22:25.24_00:22:26.52,ওয়ালো ফারা প্ৰতিদেশ নিবৃত ডি,বল ভারত মাতার
15,AVRODH_EP_05_BENGALI_20_PM_.STEREO_00:14:36.43_00:14:38.36,আমার কিন্তু উনা চেরা,আমার কিন্তু মনে হচ্ছে এরা
16,AVRODH_EP_05_BENGALI_20_PM_.STEREO_00:09:30.24_00:09:32.52,এই ডিসি জেন্টার পিৎম রূপু ইছাড় হতো,এই ডিসিশনটা পিএম এর ওপরেই ছেড়ে দি।
17,AVRODH_EP_03_BENGALI_20_PM.STEREO_00:10:52.43_00:10:55.10,আপন রিপীট অল ফ্রী এলাইটেড,আই রিপিট অল থ্রী এলিমেনেটেড ।
18,AVRODH_EP_02_BENGALI_20_PM.STEREO_00:11:11.27_00:11:13.36,గుర్తి లోకం చేసిన కూడా అంగమానమే జరపడు తెలపు,গুড ডে
19,AVRODH_EP_07_BENGALI_20_PM.STEREO_00:13:12.10_00:13:20.36,ওকি হেজবুল এর কোনও মিশন আটক স্যা,হুম ও কি হিজবুলের কোন মিশন আটকেছে?
20,AVRODH_EP_04_BENGALI_20_PM_.STEREO_00:23:56.21_00:23:59.15,যে সুরক্ষকটা রোগ পর ছিলাম এসার,যে সুযোগ তার অপেক্ষা করছিলাম সেটা এসে গেছে সাকসেনা
21,AVRODH_EP_04_BENGALI_20_PM_.STEREO_00:12:04.26_00:12:07.25,সুখ ধর মার্কেট,শুকদার মার্কেট ।
22,AVRODH_EP_08_BENGALI_20_PM.STEREO_00:03:09.50_00:03:12.31,উদেশ্য অলাদা হয়নি,উদ্দশ্যে আলাদা হয় নি
23,AVRODH_EP_01_BENGALI_20_PM_STEREO_00:15:10.12_00:15:11.39,রাসতা বন্ধ সর,রাস্তা বন্ধ স্যার
24,AVRODH_EP_05_BENGALI_20_PM_.STEREO_00:12:52.28_00:12:52.51,এই বিশেষজ্ঞ নিরোধনীয় সমূহ করাও পর আগুন,ইয়েস স্যার
25,AVRODH_EP_03_BENGALI_20_PM.STEREO_00:15:10.19_00:15:18.13,কাশ্মীরে আমার অন গোনৌড এম নিজা ল৊ক দরক৆য় যড়ৎ বথাമি চৌখ কാঁন,কাশ্মীরে আমার অন গ্রাউন্ড এমন একজন লোকের দরকার যার কথা আমি চোখ কান বন্ধ করে এক কথায় বিশ্বাস করতে পারবো ।
26,AVRODH_EP_06_BENGALI_20_PM.STEREO_00:21:47.18_00:21:49.20,ওই পহাড়টা দেখতার বছ্যই,ওই পাহাড় টা দেখতে পারছেন?
27,AVRODH_EP_01_BENGALI_20_PM_STEREO_00:29:14.38_00:29:17.00,উরি ছাড়ার আগে একটা শোষ ধম্মত হওয় উচিত,উড়ি ছাড়ার আগে তো একটা শেষ ধামাকা হওয়া উচিত
28,AVRODH_EP_07_BENGALI_20_PM.STEREO_00:18:14.50_00:18:19.52,এক জুন বিনলাদেমার্থীয় পুরলো আল কযদা শিবু হয,একজন বিন লাদেন কে মারলে পুরো আল্ কায়দা শেষ হয়ে যায় না।
29,AVRODH_EP_07_BENGALI_20_PM.STEREO_00:20:42.05_00:20:42.42,গচ্ছ,গুড
30,AVRODH_EP_09_BENGALI_20_PM.STEREO_00:31:39.01_00:31:47.00,আর এটাই ছিল সেইদিৎ যোদ্যা ভারত বসও পলট৆ হয,আর এটাই ছিলো সেই দিন যেদিন ভারতবর্ষ পাল্টে যায়। এটা পরিস্কার বুঝিয়ে দেওয়া হয় আমরা শুধুমাত্র মহত্মা গান্ধির দেশ নই
31,AVRODH_EP_02_BENGALI_20_PM.STEREO_00:11:55.13_00:12:00.05,ফাইন ভাব্জী নিচে কি আউট হোয় যা সি,"ফাইন, ভাবছি নিচে গিয়ে আউট হয়ে যাই"
32,AVRODH_EP_04_BENGALI_20_PM_.STEREO_00:18:33.31_00:18:42.48,জেনা বোড়াতুন হিজিব মারর আপন্য ভয় করছি,জনাব ওরা তো নিজের মায়ের আপন হয় না হিজবুলকে ভরসা করা আর সাপের গালে চুমু খাওয়া দুই ই সমান।
33,AVRODH_EP_04_BENGALI_20_PM_.STEREO_00:15:48.20_00:15:54.00,রয়ের রোপট্যাশিপ এই মৃটকি শীট গুলা সাবধূকু পৎড়ন ক চ দশ ডি,রায় রিপোর্ট এই ম্যাট্রিক্স গুলোর সাথে পাঠানকোটের শীতের অনেক মিল আছে৷ আই থিঙ্ক।
34,AVRODH_EP_07_BENGALI_20_PM.STEREO_00:05:13.40_00:05:17.39,কিন্তু এইটি করেও তমার পোফশনাল উপজীত ওই ফুয়া,কিন্তু এর জন্য তুমার প্রফেসন এর প্রতি তুমার যে পেশন আছে সেটা ছেড়ো না
35,AVRODH_EP_01_BENGALI_20_PM_STEREO_00:14:35.01_00:14:38.37,তাঁর ব্যাবা কে হোয় মল ও,বাবাকে হাই বলো
36,AVRODH_EP_05_BENGALI_20_PM_.STEREO_00:01:36.07_00:01:41.20,আগামী ছত্রিশ ঘনের মধোয়া বারুজৎজি এম ওক কৃষটৰ পূল ফৌজ হব নি,আগামী ছত্তিরীশ ঘন্টার মধ্যে আমাদের ডিজিএ এর মুখে একটা ফুল ফ্লেজ এর প্ল্যান দিতে হবে।
37,AVRODH_EP_03_BENGALI_20_PM.STEREO_00:15:44.50_00:15:50.42,আমি জানি,আমি জানি আপনি রং না চড়িয়ে সরাসরি সত্যিটাকে পাবলিকের সামনে নিয়ে আসবেন ।
38,AVRODH_EP_03_BENGALI_20_PM.STEREO_00:16:27.04_00:16:31.32,এনআইএ বেঁশোর উপরাত্মক অংশ তিন দাবস এর,এন আই এ বেসের উপর আক্রমনের তদন্তের জন্য ইনকয়ারি বসিয়েছে ।
39,AVRODH_EP_08_BENGALI_20_PM.STEREO_00:16:54.45_00:16:57.52,যদি বিপদ দেখা হয়ঃ আমরাওর এই ভক্ষী উঠবো,যদি বিপদ দেখা দেয় আমরা ওদের ইভ্যাকুয়েট করবো স্যার
40,AVRODH_EP_03_BENGALI_20_PM.STEREO_00:05:02.56_00:05:10.37,কুড়ি জন সৈনিক আহত হোয়েছাত্তা বার এই পদমু,"কুড়ি জন সৈনিক আহাত হয়েছে, তবে ওরা বিপদমুক্ত, ওদের একজন মিলিটেন্ট মারা গেছে কিন্তু বাকি তিনজন পলাতক ।"
