,id,hypothesis,reference
0,AVRODH_EP_04_BENGALI_20_PM_.STEREO_00:17:27.26_00:17:31.53,চার ঘণ্টা,চার ঘণ্টা।
1,AVRODH_EP_02_BENGALI_20_PM.STEREO_00:21:38.01_00:21:42.00,কিন্তু সত্যিলে ভাই খুব সুন্দর,কিন্তু সত্যিরে ভাই খুব সুন্দর
2,AVRODH_EP_06_BENGALI_20_PM.STEREO_00:07:47.27_00:07:54.20,এত দূরাস্থার পরও যিনি পায়ে হেঁটে এলওসি ক্রস করতে না হয় তাকলে আমার নাম পাল্টে দিয়ে,এত দুর আসার পর ও যদি পা এ হেটে এলওসি ক্রস করতে না হয়. তাহলে আমার নাম পাল্টিয়ে দিয়ো.
3,AVRODH_EP_06_BENGALI_20_PM.STEREO_00:13:09.56_00:13:16.01,এখন জিও অবস্থায় ফখরুদিন ধরা পড়েছে আর ওর বিরুদ্ধে যে চার্জগুলো রয়েছে সে সপ্তমে খুব ভাল করেই জানু,এখন যেই অবস্থা এ ফখরুদ্দিন ধরা পড়েছে আর ওর বিরুদ্ধে যেই চার্জ গুলো রয়েছে সেইসব তুমি খুব ভালো করেই জানো
4,AVRODH_EP_01_BENGALI_20_PM_STEREO_00:21:26.02_00:21:27.00,ও আলেক্ম অস্সূনা সূন্য মো,ওয়ালাইকুম এ সালাম
5,AVRODH_EP_07_BENGALI_20_PM.STEREO_00:21:35.40_00:21:37.29,এই মিশনের ব্যাপারে কিছুই জানতে নিয়ে,এই মিশনের ব্যপারে কিছুই জানতে না।
6,AVRODH_EP_09_BENGALI_20_PM.STEREO_00:33:45.01_00:33:51.17,তুমি হাতু হোনা কিছে নোনা মিস নমৃত জোশি,"তুমি হয়তো ওনাকে চেনো না, মিস নার্মাতা জসিম"
7,AVRODH_EP_03_BENGALI_20_PM.STEREO_00:16:17.50_00:16:25.27,নিয়ে নিলেও বাকি আমাদের উপর এনকোয়ারিতা থেমে যাবেনা সবাই সবসময়ে ঝব্ভুজে কোপমার্থী চায় বুঝতে পারনা,"নিয়ে নিলেই বা কি আমাদের উপর ইনকয়ারি তো আর থেমে যাবেনা, সবাই সব সময় ঝোপ বুঝে কোপ মারতে চায় বুঝতে পারোনা ?"
8,AVRODH_EP_08_BENGALI_20_PM.STEREO_00:11:09.51_00:11:15.50,যদি উদ্ধরকারত থেকে কোনও খবর লিক হয় তাহলে আমরা সমস্যায় পড়ব আমার কথা শূন্য কি শূন্য আট,"যদি ওদের কারো থেকে কোন খবর লিক হয় তাহলে আমরা সমস্যায় পড়বো, আমার কথা শুনছো কি শুনছো না"
9,AVRODH_EP_01_BENGALI_20_PM_STEREO_00:29:08.01_00:29:09.19,আমাদের তৈরি থাকতে হবে,আমাদের তৈরী থাকতে হবে
10,AVRODH_EP_06_BENGALI_20_PM.STEREO_00:18:51.28_00:18:52.28,য়েস,ইয়েস স্যার
11,AVRODH_EP_04_BENGALI_20_PM_.STEREO_00:11:20.27_00:11:26.00,তার সব প্রিয়ী হয়ে যাবে গুঁজেছ কি নাম বলবে আমার আর কি নাম বলবে এ,ফ্রী হয়ে যাবে বুঝেছো আরে কি না বলবে যাই।
12,AVRODH_EP_05_BENGALI_20_PM_.STEREO_00:12:47.51_00:12:48.14,সাগ বন,স্যার
13,AVRODH_EP_07_BENGALI_20_PM.STEREO_00:06:14.30_00:06:15.49,অপনি প্লিজ আর এক বচ্চে কোট,আপনি প্লিজ আর একবার চেক করবেন।
14,AVRODH_EP_07_BENGALI_20_PM.STEREO_00:22:25.24_00:22:26.52,ভালো ভালো নারা হেন হেন হেন হেন হেন হাইন হিন হিন হিন হিন হিন হিন হিন হিন হিন হিন হিন হিন হিন হিন হিন হিন হিন হিন হিন হিন হিন হিন হিন হিন হিন হিন হিন হিন হিন হিন হিন মিন মিন মিন মিন মিন মিন মিন মিন মিন মিন মিন মিন মিন মিন মিন মিন মিন মিন মিন মিন মিন ম,বল ভারত মাতার
15,AVRODH_EP_05_BENGALI_20_PM_.STEREO_00:14:36.43_00:14:38.36,আমার কিন্তু মনো চেয় রাখে নিয়ে করে মিন্তু করে মিন্তু করে মিন্তু করে মিন্তু করে মিন্তু করে মিন্তু মিন্তু মিন্তু মিন্তু মিন্তু মিন্তু মিন্তু মিন্তু মিন্তু মিন্তু মিন্তু মিন্ট্র্র্র্র্র্র্র্র্র্র্র্র্র্র্র্র্র্র্র্,আমার কিন্তু মনে হচ্ছে এরা
16,AVRODH_EP_05_BENGALI_20_PM_.STEREO_00:09:30.24_00:09:32.52,এই ডিসিজেনটা পিএমের উপড়ি ছেড়ে দিয়ে,এই ডিসিশনটা পিএম এর ওপরেই ছেড়ে দি।
17,AVRODH_EP_03_BENGALI_20_PM.STEREO_00:10:52.43_00:10:55.10,আই রিপিট অল তিন এলিমিনেটেড,আই রিপিট অল থ্রী এলিমেনেটেড ।
18,AVRODH_EP_02_BENGALI_20_PM.STEREO_00:11:11.27_00:11:13.36,গুজ়াব মোনি কান্নি কান্নি মোনি মোনি মোনি মোনি মোনি মোনি মোনি মোনি মোনি মোনি মোনি মোনি মোনি মোনি মোনি মোনি মোনি মোনি মোনি মোনি মোনি মোনি মোনি মোনি মোনি মোনি মোনি মোনি মোনি মোনি মোনি মোনি মোনি মোনি মোনি মোনি মোনি ম�োনি ম�োন�,গুড ডে
19,AVRODH_EP_07_BENGALI_20_PM.STEREO_00:13:12.10_00:13:20.36,ও কি হিজবুলের কোন মিশন আটকেছে,হুম ও কি হিজবুলের কোন মিশন আটকেছে?
20,AVRODH_EP_04_BENGALI_20_PM_.STEREO_00:23:56.21_00:23:59.15,যে সুজক্টর অপেক্ষা করছিলাম সেটে এসে গেছে সাকি,যে সুযোগ তার অপেক্ষা করছিলাম সেটা এসে গেছে সাকসেনা
21,AVRODH_EP_04_BENGALI_20_PM_.STEREO_00:12:04.26_00:12:07.25,সুখদর মার্কেট,শুকদার মার্কেট ।
22,AVRODH_EP_08_BENGALI_20_PM.STEREO_00:03:09.50_00:03:12.31,উদ্দেশ্য আলাদা হয়নি,উদ্দশ্যে আলাদা হয় নি
23,AVRODH_EP_01_BENGALI_20_PM_STEREO_00:15:10.12_00:15:11.39,রাস্তা বন্ধ সর,রাস্তা বন্ধ স্যার
24,AVRODH_EP_05_BENGALI_20_PM_.STEREO_00:12:52.28_00:12:52.51,এই কানে কানে কানে কানে কানে কানে কানে কানে কানে কানে কানে কানে কানে কানে কানে কানে কানে কানে কানে কানে কানে কানে কানে কানে কানে কানে কানে কানে কানে কানে কানে কানে কানে কানে কানে কানে কানে কানে কানে কানে কানে কানে কানে কানে,ইয়েস স্যার
25,AVRODH_EP_03_BENGALI_20_PM.STEREO_00:15:10.19_00:15:18.13,কাশ্মীরে আমার অন গ্রাউন্ড এমন একজন লোকে দরকার যার কথা মি চোখ কান বন্ধ করে এককথাই বিশ্বাস করতে পারব,কাশ্মীরে আমার অন গ্রাউন্ড এমন একজন লোকের দরকার যার কথা আমি চোখ কান বন্ধ করে এক কথায় বিশ্বাস করতে পারবো ।
26,AVRODH_EP_06_BENGALI_20_PM.STEREO_00:21:47.18_00:21:49.20,ওই পাহাড না দেখতে পাচ্ছে নিন,ওই পাহাড় টা দেখতে পারছেন?
27,AVRODH_EP_01_BENGALI_20_PM_STEREO_00:29:14.38_00:29:17.00,উড়ি ছাড়া আগে একটা শেষ ধামাকাতো হওয়া উচিত,উড়ি ছাড়ার আগে তো একটা শেষ ধামাকা হওয়া উচিত
28,AVRODH_EP_07_BENGALI_20_PM.STEREO_00:18:14.50_00:18:19.52,একজন বিনলাদেনকে মারলেই পুর আল কায়দা শেষ হয়ে যায় না,একজন বিন লাদেন কে মারলে পুরো আল্ কায়দা শেষ হয়ে যায় না।
