,id,hypothesis,reference
0,Scam_1992_Ep_01_Kannada_20_PM_STEREO_00:10:14.01_00:10:19.44,ರೆಸ್ಪಾನ್ಸಿಬಲ್ಟಿ ಜ್ಯೆ ಆಗ್ತಾ ಇದ್ದು ಅದರ ಜೊತೇ ಒಣ್ವದ ಆ ಟಗಳೂ ಕೂಡ,ರೆಸ್ಪಾನ್ಸಿಬಿಲಿಟಿ ಜಾಸ್ತಿ ಆಗ್ತಿತ್ತು ಅದರ ಜೊತೆ ಅವನ ಒದ್ದಾಟ ಗಳು ಕೂಡ
1,Scam_1992_Ep_01_Kannada_20_PM_STEREO_00:03:59.01_00:04:01.00,ಸೋರಿ ಸುಚಿತಾ ಸ್ಟ್ರೈಕ್ ಬಗ್ಗೆ ಮತ್ತು ನೀಡಲಾರ್ ಹೋ್ಡೆಸ್ ನಲ್ಲೇ ಕೇಂಡ್ಸರ ಮೇೆ,ಸಾರಿ ಸುಚೇತಾ ಸ್ಟ್ರೈಕ್ ಬಗ್ಗೆ
2,Scam_1992_Ep_04_Kannada_20_PM_STEREO_00:13:20.01_00:13:22.46,ಪೋಲೊದ್ದು ಕೋ ಲದ ಷೇರ್ಸ್ ನವ್ ಮಾರಕ್ ಶೂರುಮನ್ನು,ಪೊಲೊದು ಪೊಲೋದು ಶೇರ್ಸ್ ನಾವ್ ಮಾರೋಕ್ ಶುರು ಮಾಡಿದ್ರೆ
3,Scam_1992_Ep_04_Kannada_20_PM_STEREO_00:15:44.01_00:15:45.33,ಆ ಗದ್ರ ಹರ್ಷದಿಂದ ಏಕ ಭೀತಿ ದಾನ,ಹಾಗಾದ್ರೆ ಹರ್ಷದಿನ್ದ ಯಾಕ್ ಬಿದ್ದಿದಾನೆ
4,Scam_1992_Ep_01_Kannada_20_PM_STEREO_00:45:52.25_00:45:58.08,ಕೂದುರೆ ಬರಿ ಓಡು ತ್ತೆಚಿರ ತೀಸ್ ದ ಫಾಸರ್ಟೇಟ್ ಇವತನ್ನೇ ರಂಗ್ ನ ಿಚ್ಛೆ ಈ ನೀ,ಕುದುರೆ ಬರಿ ಓಡುತ್ತೆ ಚಿರತೆ ಐಸ್ ದಿ ಫಾಸ್ಟೆಸ್ಟ್ ಇವತ್ತಿನ ರಿಂಗ್ ನ ಚಿರತೆ ನೀನು
5,Scam_1992_Ep_01_Kannada_20_PM_STEREO_00:00:52.36_00:00:57.00,ಇಲ್ಲಿ ಮೊದಲು ನೇಸಲ ಸಾಮನ್ಯ ಜನರುಸೆರ್ ಮಾ ರ್ಕೆ ಟ್ಮೂ ಲಕ ಔರ ಅದ್ರಿಷ್ಟ ನ ಬ ಲ ಾಯ್ಸ ಕ್ಷಿ,ಇಲ್ಲಿ ಮೊದ್ಲನೇ ಸಲ ಸಾಮಾನ್ಯ ಜನ್ರು ಶೇರ್ ಮಾರ್ಕೆಟ್ ಮೂಲಕ ತಮ್ಮ ಅದೃಷ್ಟನ ಬದ್ಲಾಯಿಸೋಕೆ ಪ್ರಯತ್ನಪಡ್ತಿದ್ರು
6,Scam_1992_Ep_01_Kannada_20_PM_STEREO_00:43:06.01_00:43:07.03,ಅನ್ನು ಲಾಗೋ ಒಕ್ಕೆ ಚಾ ಸ್ಟ್ರೇ ಇಲ್ಲ,ಹುಮ್ಮ್
7,Scam_1992_Ep_01_Kannada_20_PM_STEREO_00:37:14.58_00:37:18.00,ನಿಮ್ಮ ಹೊಟೇಲು ಬೆಸ್ಟ್ ವೆ್ರಿ ಗುಡ್ ನಂಬರ್ ಒನ್,ನಿಮ್ಮ ಹೋಟೆಲ್ ಬೆಸ್ಟು ವೆರಿ ಗುಡ್ ನಂಬರ್ ಒನ್
8,Scam_1992_Ep_04_Kannada_20_PM_STEREO_00:43:56.01_00:43:58.00,ಮಿಸ್ಟರ ಮೆಹ್ತರ್ ಯು ನಾಟ್ ಬ್ಯೂಲ್ಡಿ ಗ್ ನೀಡ್,ಮಿಸ್ರ್ಟರ್ ಮೆಹತ ಯು ನೊಟ್ ಬಿಲ್ಡಿಂಗ್ ನೇಷನ್
9,Scam_1992_Ep_01_Kannada_20_PM_STEREO_00:15:11.60_00:15:13.02,ಹೋಗೋ ನಂಡಿ,ಅಯಿತ ಹೋಗು ನನಗೆ ಊಟ ಮಾಡೋಕೆ ಕೊಡು
