,id,hypothesis,reference
0,844424933394872-566-m,एक ते तीन उंची एक ते दोन इतकी चौदा,एक ते तीन उंची एक ते दोन इतकीच चौदा
1,844424933373432-962-m,श्री आणि सरस्वती म्हणजेच विद्या व लक्ष्मी होय,श्री आणि सरस्वती म्हणजेच विद्या व लक्ष्मी होय
2,844424933356001-1120-m,गोविंदा यांच्या देशात खूप मोठा चहाचा वर्ग आहे,गोविंदा यांचा देशात खूप मोठा चाहता वर्ग आहे
3,844424931130753-933-f,पण तुम्हाला अंदाज आला असेल मी फ्रेंड्स कसं पाहत होतो,पण तुम्हाला अंदाज आला असेल मी फ्रेंड्स कसं पाहत होतो
4,844424933356042-1120-m,दिसते नासते काया माया ते अंतरे वसेचार,दिसते नासते काया माया ते अंतरी वसे चार
5,844424933394882-566-m,कारण संस्कृप मध्ये कल्की शब्दाचा अर्थ गोळा असा होतो,कारण संस्कृतमध्ये कल्कि शब्दाचा अर्थ घोडा असा होतो
6,844424933394843-566-m,विविध पायाभूत सुविधावर परिणाम झाला आणि नुकसान झाले,विविध पायाभूत सुविधांवर परिणाम झाला आणि नुकसान झाले
7,844424930834588-954-f,चक्कर येईल का काय असं वाटायला लागलं,चक्कर येईल का काय असं वाटायला लागलं
8,844424933280448-817-m,को फोर्ट हे अमेरिकेच्या युटा राज्यातील एक ठिकाण आहे,कोव्ह फोर्ट हे अमेरिकेच्या युटा राज्यातील एक ठिकाण आहे
9,844424933379977-487-m,या प्रकारे अशा रिकाम्या खाणींचा पुन्हा वापर होईल,या प्रकारे अश्या रिकाम्या खाणींचा पुन्हा वापर होईल
10,844424932311930-980-f,युद्ध झालं तर भारताचं पारडं जड आहे असं मानलं जातंय,युद्ध झालं तर भारताचं पारडं जड आहे असं मानलं जातंय
11,844424933394886-566-m,युरोपातील काही विद्या भेटांमधून त्यांनी केलेली चर्चा वाढली ठरली,युरोपातील काही विद्यापीठांमधून त्यांनी केलेली चर्चा वादळी ठरली
12,844424933394827-566-m,त्यांच्या आफ्रिका प्रांतात जन्म गेलेल्या पोंपापैकी हा पहिला पोप होतो,रोमच्या आफ्रिका प्रांतात जन्मलेल्या पोपांपैकी हा पहिला पोप होता
13,844424932828545-933-f,सरांस या छोट्या शहरात हे सामने होत होते,सरान्स्क या छोट्या शहरांत हे सामने होते होते
14,844424933394865-566-m,ते निशांदारे हॉटेल साजरीला हॉटेल आणि रिसोर्टचे पहिले हॉटेल आहे,हे निशांनधारी हॉटेल शाग्रीला हॉटेल आणि रिसॉर्टचे पहिले हॉटेल आहे
15,844424933356020-1120-m,तुळशीचा रूप प्रत्येक हिंदू घराची ओळख मानला जातो,तुळशीचं रोप प्रत्येक हिंदू घराची ओळख मानलं जातं
16,844424933394869-566-m,त्यांनी डिजिटल आर्ट फाउंडेशन ग्रप ऑफ इंडिया ही चळवळ सुरू केली,त्यांनी डिजिटल आर्ट फाऊनडेशन ग्रुप ऑफ इंडिया ही चळवळ सुरू केली
17,844424933394819-566-m,यातूनही व्हर्टिगो चक्कर येणे वगैरे त्रास सुरू होतो,यातूनही व्हर्टिगो चक्कर येणे वगैरे त्रास सुरू होतात
18,844424933394811-566-m,शौरावे अखिल भारतीय मराठी नाट्य संमेलनाचे ते अधीक्ष होते,चौऱ्याण्णव व्या अखिल भारतीय मराठी नाट्य संमेलनाचे ते अध्यक्ष होते
19,844424933394879-566-m,लिंगभाव पुरुषत्व व धर्म यांचा स्पष्ट संबंध आहे,लिंगभाव पुरुषत्व व धर्म यांचा स्पष्ट संबंध आहे
20,844424930328966-60-m,डिश शक्यता पणाविरुद्ध लढा हा एक खरा मदत होऊ शकतो,डिश अशक्तपणा विरुद्ध लढा हा एक खरा मदत होऊ शकते
21,844424933355961-1120-m,चार्लेस कॉल्मोरे या ग्रोस्तांनी चर्चेसाठी जागा दिली,चार्लेस कॉल्मोरे या गृहस्तांनी चर्च साठी जागा दिली
22,844424933394834-566-m,त्यामुळे या किल्ल्याची रचना तीन वेगवेगळ्या भागांनी बनलेली आहे,त्यामुळे ह्या किल्ल्याची रचना तीन वेगवेगळ्या भागांनी बनलेली आहे
23,844424931130701-933-f,ठाणे ग्रामीण ग्राईंग शाकेरे या हत्येचा अखेर छोडा लावला,ठाणे ग्रामीण क्राईम शाखेने या हत्येचा अखेर छडा लावला
24,844424933280443-817-m,हे कालमा अशा तत्वांचा सर्वत्र त्या करा,हे कालामा अशा तत्वां चा सर्वथा त्याग करा
25,844424930331402-60-m,उष्ण प्रदेशात जास्त तर थंड प्रदेशात थोडे कमी चालते,उष्ण प्रदेशात जास्त तर थंड प्रदेशात थोडे कमी चालते
26,844424933356012-1120-m,सिद्धेश्वर मंदिर सोलापूर हे सोलापूर जिल्ह्यातील एक मंदिर आहे,सिद्धेश्वर मंदिर सोलापूर हे सोलापूर जिल्ह्यातील एक मंदिर आहे
27,844424933394821-566-m,विशेषतः लहान मुलांच्या आचारावर हे फार उपयोगी पडते,विशेषतः लहान मुलांच्या आजारावर हे फार उपयोगी पडतें
28,844424930323304-60-m,काही दिवसांपूर्वीच ही घटना घडली असल्याचे म्हटले जात आहे,काही दिवसांपूर्वीच ही घटना घडली असल्याचे म्हटले जात आहे
29,844424933280442-817-m,त्याने विज्ञानाच्या जवळपास सर्व क्षेत्रांचा अभ्यास केला होता,त्याने विज्ञानाच्या जवळपास सर्व क्षेत्रांचा अभ्यास केला होता
30,844424932311922-980-f,मेरीकोम सय्यमसह खेळली आणि ती संधीची वाट पाहत होती,मेरी कोम संयम सह खेळली आणि ती संधीची वाट पाहत होती
31,844424930331458-60-m,अनेक गोष्टी माधुरी दीक्षेत सोशल मीडियावर शेअर करत असते,अनेक गोष्टी माधुरी दीक्षित सोशल मीडियावर शेअर करत असते
32,844424933356047-1120-m,कवी मुबारक शेख यांच्या अनेक कविता महाराष्ट्रात प्रसिद्ध आहेत,कवी मुबारक शेख यांच्या अनेक कविता महाराष्ट्रात प्रसिद्ध आहेत
33,844424930328379-60-m,या सगळ्या वादावर अखेर धर्मसेना यांनी मौन सोडलं आहेत,या सगळ्या वादावर अखेर धर्मसेना यांनी मौन सोडलं आहे
34,844424932828546-933-f,ही छावणी काही महिन्यांपूर्वीच रिकामी करण्यात आली होती,ही छावणी काही महिन्यांपूर्वीच रिकामी करण्यात आली होती
35,844424932828573-933-f,ते संपूर्ण आयुष्यभर माझ्या पाठीशी खंबीरपणे उभे राहिले,ते संपूर्ण आयुष्यभर माझ्या पाठिशी खंबीरपणे उभे राहिले
36,844424933356031-1120-m,हिचा शेवटचा भाग एक जुलै दोन हजार सतरा रोजी प्रसारित झाला,हिचा शेवटचा भाग एक जुलै दोन हजार सतरा रोजी प्रसारित झाला
37,844424933355967-1120-m,संचालनाच्या दृष्टीने या रेल्वेस विभागीय रेल्वेचा दर्जा आहे,संचालनाच्या दृष्टीने या रेल्वेस विभागीय रेल्वेचा दर्जा आहे
38,844424933373463-962-m,बलिदानाचा घोळा पांढरा आणि काळीसट्टे असणारा आवश्यक आहे,बलिदानाचा घोडा पांढरा आणि काळे चट्टे असणारा आवश्यक आहे
39,844424930331400-60-m,या प्रकरणाची पुढील सुनावणी एकतीस जानेवारी रोजी होणार आहेत,या प्रकरणाची पुढील सुनावणी एकतीस जानेवारी रोजी होणार आहे
40,844424933379982-487-m,एक तर कंपनी वर असलेले कर्ज व शेकडो दावे,एक तर कंपनीवर असलेले कर्ज व शेकडो दावे
41,844424933373461-962-m,या साहित्य प्रकारच्या माध्यमातून हे प्रश्न पुढे आणले जातात,या साहित्यप्रकाराच्या माध्यमातून हे प्रश्न पुढे आणले जातात
42,844424933394852-566-m,त्यांचेकडे विविध प्रकारची सैन्य दळे व उडविळ्यासाठीचे यंत्र उपलब्ध आहे,त्यांच्याकडे विविध प्रकारची सैन्यदळे व वेढ्यासाठीची यंत्रे उपलब्ध आहेत
43,844424930323267-60-m,राज्य आणि देशातील जनतेच्या गड किल्ल्यांचे मोठे उपरूप आहे,राज्य आणि देशातील जनतेला या गड किल्यांचे मोठे अप्रूप आहे
44,844424933373392-962-m,येथे सर्वात नवीन आणि सर्वात कमी शिखर आहे,येथे सर्वात नवीन आणि सर्वात कमी शिखर आहे
45,844424933356048-1120-m,या पद्धतीच्या गव्हाच्या शेतीला अमेरिकेत त्यावेळी फार उपयोग झाला,या पद्धतीचा गव्हाच्या शेतीला अमेरिकेत त्या वेळी फार उपयोग झाला
46,844424933379953-487-m,वांगमय रुची व वांगमय दर्जाचे प्रश्न बेटसावत आहेत,वाङ्मय रूची व वाङ्मय दर्जाचे प्रश्न भेडसावत आहेत
47,844424930875875-954-f,म्हणूनच मी त्यांचं नाव वगैरे आताच काही सांगत नाही,म्हणूनच मी त्यांचं नाव वगैरे आताच काही सांगत नाहीय
48,844424930573312-737-f,ता नंतर भारत आणि वेस्ट इंडीज लढत झाली ती श्रीनगलमध्ये,त्यानंतर भारत आणि वेस्ट इंडिज लढत झाली ती श्रीनगरमध्ये
49,844424930344958-60-m,परंतु त्यांची बाईक त्या जोरदार पाण्याच्या वेगात वाहून जाते,परंतु त्याची बाईक त्या जोरदार पाण्याच्या वेगात वाहून जाते
50,844424930902760-715-f,मला ही गोष्ट माझ्या आई मावशी विमला गुजरात यांनी सांगितली होती,मला ही गोष्ट माझ्या आई आणि मावशी विमला गुजराल यांनी सांगितली होती
51,844424932828553-933-f,व्याज वापर नुकसान एकूण रक्कम विरुद्ध जमा केले जाईल,व्याज वापर नुकसान एकूण रक्कम विरुद्ध जमा केले जाईल
52,844424933394820-566-m,जास्त प्रमाणामध्ये या प्रकारच्या सुविधेतून विद्युत ऊर्जा बनत नाही,जास्त प्रमाणामध्ये ह्या प्रकारच्या सुविधेतून विद्युत ऊर्जा बनत नाही
53,844424933394845-566-m,मनोज जोशी हे तो दिवंगत अभिनेता राजत जोशी यांचा भाऊ आहे,मनोज जोशी हे तो दिवंगत अभिनेता राजेश जोशी याचा भाऊ आहे
54,844424932330028-980-f,शाळा आपल्याला भेटायला आणि आपल्या मुलाची मुलाखत हवी आहे,शाळा आपल्याला भेटायला आणि आपल्या मुलाची मुलाखत हवी आहे
55,844424933394878-566-m,सांस्कृतिक क्षेत्रात मात्र मेहकरात मोठी पोकळी निर्माण झाली होती,सांस्कृतिक क्षेत्रात मात्र मेहकरात मोठी पोकळी निर्माण झाली होती
56,844424932266663-980-f,मुख्यमंत्री माझ्याच व्यासपीठावर असणार आहेत हे मला माहीत नव्हते,मुख्यमंत्री माझ्याच व्यासपीठावर असणार आहेत हे मला माहीत नव्हते
57,844424932311842-980-f,विजय वर्गी यांची ट्विटर पोस्ट मोठ्या प्रमाणात व्हायरल होत आहे,विजयवर्गीय यांची ट्विटर पोस्ट मोठ्या प्रमाणात व्हायरल होत आहे
58,844424933356008-1120-m,या संभा मंडपात प्रत्येक कोपऱ्यात पूर्ण अखंड स्तंभ आहेत,या सभामंडपात प्रत्येक कोपऱ्यात पूर्ण अखंड स्तंभ आहेत
59,844424933280454-817-m,कृष्णाजी नारायण आठल्ये यांनी सुमारे चाळीस पुस्तके लिहिली,कृष्णाजी नारायण आठल्ये यांनी सुमारे चाळीस पुस्तके लिहिली
60,844424932372195-132-f,भारताला एक रण करता आला आणि ही मॅच टाय झाली,भारताला एक रन करता आला आणि ही मॅच टाय झाली
61,844424932266717-980-f,आघाडीला उत्तम यश मिळेल अशी आशाही त्यांनी व्यक्त केली,आघाडीला उत्तमं यश मिळेल अशी आशाही त्यांनी व्यक्त केली
62,844424932823362-715-f,राष्ट्रीय मीडिया समोर हा मोदींचा पहिला परिचय होता,राष्ट्रीय मीडिया समोर हा मोदींचा पहिला परिचय होता
63,844424932828566-933-f,ते रिंगण युद्ध किंवा खेळाला मदत राजकीय संघर्ष नाही,ते रिंगण युद्ध किंवा खेळायला मदत राजकीय संघर्ष नाही
64,844424933280458-817-m,त्यांच्या साथीदारांना प्रत्येकी दहादहा वर्षीय शिक्षा सुनावली आहे,त्याच्या चार साथीदारांना प्रत्येकी एक हजार दहा वर्षांची शिक्षा सुनावली आहे
65,844424932330064-980-f,व्हीडिओ समोर आल्यानंतर दोघींना एप्रिल महिन्यात अटक केले होते,व्हिडीओ समोर आल्यानंतर दोघींना एप्रिल महिन्यात अटक केले होते
66,844424932311937-980-f,त्यामध्ये चाळींचा पुनर्विकास केल्यानंतर जेवढा विकास करण्यात आला,यामध्ये चाळींचा पुर्नर विकास केल्या नंतर जेवढा विकास करण्यात आला
