,reference,transcription
0,ಆದರೆ ನಾಯಕನ ವಿಕೆಟ್ ಕಳೆದುಕೊಂಡ ನಂತರ ಭಾರತ 7 ವಿಕೆಟ್ ಕಳೆದುಕೊಂಡು ಕೇವಲ 36 ರನ್ಗಳಿಗೆ ತನ್ನ ಇನ್ನಿಂಗ್ಸ್ ಮುಗಿಸಿತು, ಆದರೆ ನಾಯಕನ ವಿಕೆಟ್ ಕಳೇದುಕೊಂಡ ನಂತರ ಬಾರತ ಯೋಳು ವಿಕೆಟ್ ಕಳೇದುಕೊಂಡು ಕೇವಲ ಮುವತ್ತಾರು ರಂಗಳಿಗೆ ತನ್ನ ಇನ್ನಿಂಗ್ಸ್ ಮುಗಿಸಿತು.
1,ಪಿರಮಿಡ್ ಧ್ವನಿ ಮತ್ತು ಬೆಳಕಿನ ಪ್ರದರ್ಶನವು ಈ ಭಾಗದ ಮಕ್ಕಳಿಗೆ ಅತ್ಯಂತ ಆಸಕ್ತಿದಾಯಕ ವಿಷಯವಾಗಿದೆ, ಪಿರಮ್ಮಿಟ್ ದ್ವನಿ ಮತ್ತು ಬಿಳಕಿನ ಪ್ರದರ್ಷನವು ಇಬಾಗದ ಮಕ್ಕಳಿಗೆ ಅತ್ಯಂತ ಆಸಕ್ತಿ ದಾಯಕ ವಿಶೇವಾಗಿದೆ.
2,ಸಹ ಕುಸ್ತಿಪಟುಗಳು ಸಹ ಲೂನಾ ಅವರಿಗೆ ಗೌರವ ಸಲ್ಲಿಸಿದರು, ಸಹ ಕುಸ್ತಿಪಟಿಗಳು ಸಹ ಲೂನಾವರಿಗೆ ಗವ್ರವ ಸಲ್ಲಿಸಿದೆರು.
3,ಮಹಿಳೆ ಮಹಿಳಾ ಪ್ರವಾಸಿಗರು ತಮ್ಮ ನಿಜವಾದ ವೈವಾಹಿಕ ಸ್ಥಾನಮಾನ ಎನೇ ಇದ್ದರೂ ತಾವು ವಿವಾಹಿತರು ಎಂದು ಹೇಳಿಕೊಳ್ಳುವುದು ಸೂಕ್ತವಾಗಿದೆ, ಮಹಿಳೆ ಮಹಿಳಾ ಪ್ರವಾಸಿಗರು ತಮ್ಮ ನಿಜವಾದ ವೈವಾಹಿಕ ಸ್ಥಾನಮಾನ ಇನೆ ಇದ್ದರು ತವಿವಾಹಿತ್ತರು ಎಂದು ಹೇಳಿ ಕುಳ್ಳುವದು ಸೂಕ್ತವಾಗಿದೆ.
4,ಬ್ಲಾಗಿಂಗ್ ಸಹಯೋಗವನ್ನು ಪ್ರೇರೇಪಿಸುವ ಒಂದು ಸಾಧನವಾಗಿದೆ ಮತ್ತು ಸಾಂಪ್ರದಾಯಿಕ ಶಾಲಾ ಕಲಿಕೆಯನ್ನು ಮೀರಿ ಕಲಿಕೆಯನ್ನು ವಿಸ್ತರಿಸಲು ವಿದ್ಯಾರ್ಥಿಗಳನ್ನು ಪ್ರೋತ್ಸಾಹಿಸುತ್ತದೆ, ಬ್ಲಾಹಿಂ ಸಹಯೋಗವನ್ನು ಪ್ರೇರೆಯಿಪ್ಸು ವಂದು ಸಾಧನವಾಗಿದೆ. ಮತ್ತು ಸಾಂಪ್ರದಾಯಿಕ ಶಾಲಾ ಕಳಿಕಿಯನ್ನು ಮಿರಿ ಕಳಿಕಿಯನ್ನು ವೇಸ್ತರಿಸಲ ವಿದ್ಯಾರ್ತಿಗಳನ್ನು ಪ್ರೋತ್
5,ಅದೇ ರೀತಿ ಷೆಂಗೆನ್ ವೀಸಾ ಹೊಂದಿದ್ದರೆ ನೀವು ಷೆಂಗೆನ್ ಸದಸ್ಯ ರಾಷ್ಟ್ರಗಳಲ್ಲಿ ಪ್ರತ್ಯೇಕವಾಗಿ ವೀಸಾಗಾಗಿ ಅರ್ಜಿ ಸಲ್ಲಿಸಬೇಕಾಗಿಲ್ಲ ಇದರಿಂದಾಗಿ ನಿಮ್ಮ ಸಮಯ ಹಣ ಮತ್ತು ಕಾಗದಪತ್ರಗಳ ಸಲ್ಲಿಕೆ ಇತ್ಯಾದಿಯ ಉಳಿತಾಯವಾಗುತ್ತದೆ, ಅದೇ ರಿತಿ ಶೆಂಗೆನ್ ವಿಸಾ ಹೊಂದಿದ್ದರೆ ನಿಯು ಶೆಂಗೆನ್ ಸದಸ್ಯ ರಾಷ್ಟ್ರಗಳಲ್ಲಿ ಪ್ರತ್ಯೆಕವಾಗಿ ವಿಸಾಗಾಗಿ ಅರ್ಜಿ ಸಲಿಸಬೇಕಾಗಿಲ್ಲಾ ಇದರಿಂಡಾಗಿ ನಿಮ ಸಮಯ ಹಣಾ ಮತ್�
6,ಹಾಲಿ ಸೆನೆಟರ್ ಮತ್ತು ಅರ್ಜೆಂಟೀನಾದ ಪ್ರಥಮ ಮಹಿಳೆ ಕ್ರಿಸ್ಟಿನಾ ಫರ್ನಾಂಡೀಸ್ ಡಿ ಕಿರ್ಚ್ನರ್ ಕ್ರಿಸ್ಟಿನಾ ಫರ್ನಾಂಡೀಸ್ ಡಿ ಕಿರ್ಚ್ನರ್ ಕಳೆದ ರಾತ್ರಿ ಲಾ ಪ್ಲಾಟಾದಲ್ಲಿ ಅಧ್ಯಕ್ಷೀಯ ಉಮೇದುವಾರಿಕೆಯನ್ನು ಘೋಷಿಸಿದರು. ಎಲ್ಲಿಸ್ 50 ಕಿಲೋಮೀಟರ್ 31 ಮೈಲಿ, ಹಾಲಿ ಸೆನಿಟರ್ ಮತ್ತು ಅರ್ಜೆಂಟಿನಾದ ಪ್ರತಮ ಮಹಿಳೆ ಕ್ರಿಸ್ಟಿನಾ ಫರ್ನಾಂಡಿಸ್ ಡಿ ಕಿಚ್ನರ್ ಕಳಗ ರಾತ್ರಿ ಲಾ ಪ್ಲಾಟಾದಲ್ಲಿರು ಅಧ್ಯಕ್ಷಿಯ ಮೇದುವಾರಿಕಿಯನ್ನು ಗೋಶಿಯದರು ಎಲ್ಲಿಸ್ ಐವತ್ತು ಕಿಲೋಮಿಟರ್ ಅದರೆ ಮೂವತ್ತು ದುಮೈಲಿ
7,ಈ ರೀತಿಯ ಕೆಸರು ಮರಳುತೀರಗಳು ಹಾಗೂ ಕಡಲತೀರಗಳು ರಚನೆಗೆ ಅಗತ್ಯವಾಗಿದೆ ಅಲ್ಲದೆ ಇದು ಕಾಡುಪ್ರಾಣಿಗಳ ಆವಾಸಸ್ಥಾನವು ಆಗಿದೆ, ಇರೀತಿಯ ಕೆಸರು ಮರುಳು ತಿರಗಳು ಹಾಗು ಕಡಲ ತಿರಗಳು ರಸ್ಚನಗೆ ಅಗತ್ಯವಾಗಿದೆ ಅಲ್ಲದೆ ಇದು ಕಾಡು ಪ್ರಾಣಿಗಳ ಆವಾಸ್ತಾನವು ಆಗಿದೆ
8,ಹಾಂಗ್ ಕಾಂಗ್ ಸ್ಕೈಲೈನ್ ಅನ್ನು ನಿರ್ಮಿಸುವ ಕಟ್ಟಡಗಳ ಮೆರವಣಿಗೆಯನ್ನು ಮಿನುಗುವ ಬಾರ್ ಗ್ರಾಫ್‌ಗೆ ಹೋಲಿಸಲಾಗುತ್ತದೆ ಮತ್ತು ವಿಕ್ಟೋರಿಯಾ ಬಂದರಿನ ನೀರು ಅದನ್ನು ಸ್ಪಷ್ಟಪಡಿಸುತ್ತದೆ, ಹಾಂಕಾಂಗ್ ಸ್ಕೈಲೈನ್ ಅನ್ನು ನಿರ್ವಿಸುವ ಕಟ್ಟರಗಳ ಮಿರವಣಿಚೆ ನುಮಿನುಗು ಬಾರ್ಗ್ರಾಫ್ಕಿ ಹೂಳಿಸಲಾಗುತ್ತದೆ. ಮತ್ತು ವಿಕ್ಟೂರಿಯ ಬಂದರಿನ ನಿರು ಅದನ ಸ್ಪಷ್ಟ ಪಡಿಸುತ
9,ಪ್ರಮುಖ ಮಿಲಿಟರಿ ಮತ್ತು ನಾಗರಿಕ ಸರಬರಾಜುಗಳನ್ನು ಕಡಿತಗೊಳಿಸುವ ಈ ತಂತ್ರವು ಪರಿಣಾಮಕಾರಿಯಾಗಿ ಸಾಬೀತಾಯಿತು ಆದರೆ ಕಳೆದ ಎರಡು ಶತಮಾನಗಳ ಹಲವಾರು ಅಂತರರಾಷ್ಟ್ರೀಯ ಒಪ್ಪಂದಗಳಿಂದ ಒಟ್ಟುಗೂಡಿಸಿರುವ ಎಲ್ಲರೂ ಒಪ್ಪಿಕೊಂಡಿರುವ ಅಂತರರಾಷ್ಟ್ರೀಯ ಕಾನೂನನ್ನು ಈ ದಿಗ್ಬಂಧನ ಉಲ್ಲಂಘಿಸಿದೆ, ಪ್ರಮುಕ ಮಿಲಿಟರಿ ಮತ್ತು ನಾಗಾರಿಕ ಸರಬ ರಾಜುಗಳನ್ನು ಕಡಿತ ಗೊಳಿಸ್ವ ಇತ್ತಂತ್ರವು ಪರಿನಾಮ ಕಾರಿಯಾಗಿ ಸಾಬಿತ್ತಾಯಿತ್ತು. ಆದರೆ ಕಳದ ಎರ್ಡು ಶತಮಾನಗಳ ಹಲವಾರು ಅಂತರ ರಾಶ್ರಿಯ ಉಪ್ಪಂದಗಳಿಂದ ಉಟ್ಟು ಗುಡಿಸುವ ಎಲ್ಲರು ಉಪ್ಪಿಕೊಂಡಿರುವ ಅಂತರ ರಾಶ್ರಿಯ ಕಾನುನನ್ನು ಇದಿಗ್ಬಂದನ ಉಳ್ಳಂಗಿಸಿ�
