,id,hypothesis,reference
0,844424933261617-1183-m,वामन ने गुण को विशेष महत्व दिया है,वामन ने गुण को विशेष महत्व दिया है
1,844424932919574-1202-f,यह एक खेल की तिरह हो चुका है,यह एक खेल की तरह हो चुका है
2,844424933261620-1183-m,बचपन में ही उनकी मां का ध्यान्त हो गया,बचपन में ही उनकी माँ का देहान्त हो गया
3,844424930547237-497-f,एक मामले में मरीज दूसरे देश में चला गया,एक मामले में मरीज दूसरे देश में चला गया
4,844424932563114-769-m,इस हादसे से एसपी रोड पर जाम लग गया,इस हादसे से एसवी रोड पर जाम लग गया
5,844424932919647-1202-f,डीएसपी वर्मा के नेतृत्व की पहुंची थी टीम,डीएसपी वर्मा के नेतृत्व में पहुंची थी टीम
6,844424932919605-1202-f,कई लोगों को हेवी बाइक्स का क्रेज होता है,कई लोगों को हैवी बाइक्स का क्रेज होता है
7,844424932919607-1202-f,लिया मिर्जा की घनगुंजी बेटे की खिलकारी,दीया मिर्जा के घर गूंजी बेटे की किलकारी
8,844424932919630-1202-f,उन्होंने बाहर जाती गेंद अपने स्टंप पर खेली,उन्होंने बाहर जाती गेंद अपने स्टंप पर खेली
9,844424932919619-1202-f,मारी गई दंपति की पांच बच्ची भी हैं,मारे गए दम्पत्ति के पाँच बच्चे भी हैं
10,844424933261626-1183-m,इसमें मुख्य भूमिका जया बच्चन ने की है,इसमें मुख्य भूमिका जया बच्चन ने की है
11,844424932919593-1202-f,अब अगले महीने इस केस की सुनवाई होनी है,अब अगले महीने इस केस की सुनवाई होनी है
12,844424933261636-1183-m,कविता में भी वे गणित का प्रयोग किया करते थे,कविता में भी वे गणित का प्रयोग किया करते थे
13,844424932919551-1202-f,सैलाब से लड़ रहे लोग बेहद ग़रीब हैं,सैलाब से लड़ रहे लोग बेहद गरीब हैं
14,844424933261587-1183-m,चित्रों के तकनीकी उत्पक्ष्य को कुशलता से संभालते हैं,चित्रों के तकनीकी पक्ष को कुशलता से सँभालते हैं
15,844424933261619-1183-m,वे कुबेर की द्वारपालिकाओं के रूप में चित्रित हैं,वे कुबेर की द्वारपालिकाओं के रूप में चित्रित हैं
16,844424933261603-1183-m,इन भाषाओं में कश्मीरी भाषा भी शामिल है,इन भाषाओं में कश्मीरी भाषा भी शामिल है
17,844424932563153-769-m,इससे पहले गृह मंत्री सिंह के आवास पर मीडिंग हुई,इससे पहले गृहमंत्री सिंह के आवास पर मीटिंग हुई
18,844424930547210-497-f,हिंसा से किसी का भी भला नहीं हो रहा,हिंसा से किसी का भी भला नहीं हो रहा
19,844424933261642-1183-m,जो प्रशासनिक उदासीनता का धूल फांक रहे हैं,जो प्रशासनिक उदासीनता का धूल फांक रहे हैं
20,844424932919570-1202-f,इन दिनों इस शो की टीआर भी जोरों पर है,इन दिनों इस शो की टीआरपी जोरो पर है
21,844424932563117-769-m,यूपी में उच्च न्यायालय की पीठ में केंद्र रोड़ा,यूपी में उच्च न्यायालय की पीठ में केंद्र रोड़ा
22,844424933474147-540-m,दोनों की शादी में कुछ दिनों का समय था,दोनों की शादी में कुछ दिनों का समय था
23,844424932563068-769-m,लेकिन उसमें इस पर ज्यादा काम नहीं हुआ,लेकिन उस समय इस पर ज़्यादा काम नहीं हुआ
24,844424932563146-769-m,इनको साधना हर पार्टी के लिए बेहद जरूरी है,इनको साधना हर पार्टी के लिए बेहद जरूरी है
25,844424930547197-497-f,शव को पोस्टमार्टम करने के लिए भेज दिया गया है,शव को पोस्टमार्टम के लिए भेज दिया गया है
26,844424933469959-312-m,एक वर्ष के बारह मासों के नाम ये हैं,एक वर्ष के बारह मासों के नाम ये हैं
27,844424933456148-312-m,यह कई परिस्थितियों में लाभदायक हो सकता है,यह कई परिस्थितिओं में लाभदायक हो सकता है
28,844424933261577-1183-m,इन असल्ट राइफल के कुछ उदाहरण निम्न हैं,इन असाल्ट राइफल के कुछ उदाहरण निम्न है
29,844424932919629-1202-f,देश में जल्द ही पहला सामुद्री के विश्वविद्यालय खोला जाएगा,देश में जल्द ही पहला सामुद्रिक विश्वविद्यालय खोला जाएगा
30,844424930547225-497-f,क्या क्या गिनाऊ साहिब आपके नसीब के बारे में,क्या क्या गिनाउ साहेब आपके नसीब के बारे में
31,844424930547230-497-f,क्रिकेट खिलाड़ियों के सामने किसी तरह की दिक्कत नहीं है,क्रिकेट खिलाड़ियों के सामने किसी तरह की दिक्कत नहीं है
32,844424933261650-1183-m,यहां बस और रेल मार्क द्वारा पहुंचा जा सकता है,यहाँ बस और रेलमार्ग द्वारा पहुचा जा सकता हैँ
33,844424933474094-540-m,अमृतम द्वारे निर्मित दावा भी ले सकते हैं,अमृतम द्वारा निर्मित दवा भी ले सकते हैं
34,844424933471246-312-m,क्वाइस एक भारतीय हिन्दी प्रेम कहानी धारावाहिक है,ख्वाहिश एक भारतीय हिन्दी प्रेम कहानी धारावाहिक है
35,844424933469992-312-m,ज़कीर हुसैन हिन्दी फ़िल्मों के एक अभिनेता हैं,ज़ाकिर हुसैन हिन्दी फ़िल्मों के एक अभिनेता हैं
36,844424930547254-497-f,इस कारण आंखें लंबे समय तक स्वस्थ बनी रहती हैं,इस कारण आंखें लंबे समय तक स्वस्थ बनी रहती हैं
37,844424933261632-1183-m,इन सभी के पीछे धार्मिक एवं वैज्ञानिक आधार भी हैं,इन सभी के पीछे धार्मिक एवं वैज्ञानिक आधार भी हैं
38,844424933474103-540-m,इसी प्रकार तीसरा और चौथा सप्तक भी होता है,इसी प्रकार तीसरा और चौथा सप्तक भी होता है
39,844424930547194-497-f,इस फोटो में नेहरू सिगरेट पीते हुए दिख रहे हैं,इस फोटो में नेहरू सिगरेट पीते हुए दिख रहे हैं
40,844424930547243-497-f,वह एक उच्च शिक्षा प्राप्त करने के लिए मांग नहीं की,वह एक उच्च शिक्षा प्राप्त करने के लिए मांग नहीं की
41,844424933261592-1183-m,ये पश्चिमी घाट के पूर्वा ढाल से होकर बहती हैं,ये पश्चिमी घाट के पूर्वा ढाल से होकर बहती है
42,844424930324592-536-m,इसी के साथ यह परियोजना पूरी हो गई है,इसी के साथ यह परियोजना पूरी हो गई है
43,844424933474098-540-m,राजा घोड़े से कूदे और सिंह कितलाज करने लगे,राजा घोड़े से कूदे और उस सिंह की तलाश करने लगे
44,844424932919563-1202-f,अभी गरसता रहेगा इस धाकड़ बल्लेबाज का बल्ला,अभी गरजता रहेगा इस धाकड़ बल्लेबाज का बल्ला
45,844424932919634-1202-f,बढ़तियाबदी की कांडपानी की आवश्यकता बढ़ी है,बढ़ती आबादी के कारण पानी की आवश्यकता बढ़ी है
46,844424932919603-1202-f,बताया जा रहा है कि शूटिंग हैदराबाद में होगी,बताया जा रहा है कि शूटिंग हैदराबाद में होगी
47,844424933469927-312-m,यह झील कमल सागर के तट पर स्थित है,यह झील कमलसागर के तट पर स्थित है
48,844424930547242-497-f,इसकी मिसाल टेलीसिटी से ली जा सकती है,इसकी मिसाल टेली डेंसिटी से ली जा सकती है
49,844424932919596-1202-f,विधानसभा चुनावों में भी देखने को मिलने लगा है,विधानसभा चुनावों में भी देखने को मिलने लगा है
50,844424932410107-267-f,इससे अफ फॉर डाउन की तीनों लाइनें बंद हो गईं,इससे अप व डाउन की तीनों लाइनें बंद हो गईं
51,844424933469928-312-m,यह अधिकारी भी हिन्दू धर्म माने वाला होना चाहिए,यह अधिकारी भी हिंदू धर्म मानने वाला होना चाहिए
52,844424933261572-1183-m,सिक धर्म में इस शब्द का विशेष महत्व है,सिक्ख धर्म में इस शब्द का विशेष महत्व है
53,844424933261625-1183-m,इस पंक्चर में चिकित्सा की ब्लाइंडिंग की एक चुनौती बनी हुई है,एक्यूपंक्चर में चिकित्सक की ब्लाइंडिंग एक चुनौती बनी हुई है
54,844424932410086-267-f,घरीलू जीवन में कला के आसार बन रहे हैं,घरेलू जीवन में कलह के आसार बन रहे हैं
55,844424932563144-769-m,अब वे सरस्वती समाज से भी जुड़े हुए हैं,अब वे सरस्वती समाज से भी जुडे हुए है
56,844424930547211-497-f,फिल्म में हिट होने के सारे कारण मौजूद हैं,फिल्म में हिट होने के सारे कारण मौजूद हैं
57,844424933261609-1183-m,इसलिए उन्हें विधिवत् चूना हुआ घोषित किया गया,इसलिए उन्हें विधिवत चुना हुआ घोषित किया गया
58,844424933454759-288-m,नील महाभारत के युद्ध का एक योद्धा था,नील महाभारत के युद्ध का एक योद्धा था
59,844424932410126-267-f,इस संबंध में एक महीने पहले मीटिंग की गई थी,इस संबंध में एक महीने पहले मीटिंग की गई थी
60,844424932563103-769-m,उसे कहा कि वह उससे शादी भी कर लेगा,उससे कहा कि वह उससे शादी भी कर लेगा
61,844424932919620-1202-f,लेकिन निधार्थ परिस्थिति उनके हत्या करने पर तुली है,लेकिन यथार्थ परिस्थिति उनकी हत्या करने पर तुली है
62,844424932919635-1202-f,ऐसी घटनाओं को रोकने के लिए आम आदमी पार्टी सरकार की बैठक हुई,ऐसी घटनाओं को रोकने के लिए आम आदमी पार्टी सरकार की बैठक हुई
63,844424930547284-497-f,जिसके कारण आए दिन दोनों के बीच में विवाद हो रहे थे,जिसके कारण आए दिन दोनों के बीच विवाद हो रहे थे
