,id,hypothesis,reference
0,844424933294291-206-m,ಅವರ ತಂದೆ ಕೃಷ್ಣ ಮೂರ್ತಿ ರಾವ್ ಮತ್ತು ತಾಯಿ ಪುಟ್ಟಮ್ಮ ನವರು,ಅವರ ತಂದೆ ಕೃಷ್ಣಮೂರ್ತಿ ರಾವ್ ಮತ್ತು ತಾಯಿ ಪುಟ್ಟಮ್ಮ ನವರು
1,844424933337192-157-m,ನೂರು ಅಡಿ ರಸ್ತೆ ಒಂದು ವಸತಿ ಮತ್ತು ವಾಣಿಜ್ಯ ಕೇಂದ್ರವಾಗಿದೆ,ನೂರು ಅಡಿ ರಸ್ತೆ ಒಂದು ವಸತಿ ಮತ್ತು ವಾಣಿಜ್ಯ ಕೇಂದ್ರವಾಗಿದೆ
2,844424933105649-1153-f,ಮೂರು ವರ್ಷದ ಉಸ್ತುವದ ಸಾಫಿನಲ್ಲಿ ಭಾರತೀಯ ಮಳಿಗೆ ಗೆಲೆ ಪ್ರಮುಖ ಆಕರ್ಷಣೆ,ಈ ವರ್ಷದ ಉತ್ಸವದ ಶಾಪಿಂಗ್ನಲ್ಲಿ ಭಾರತೀಯ ಮಳಿಗೆಗಳೇ ಪ್ರಮುಖ ಆಕರ್ಷಣೆ
3,844424933105054-629-f,ಸೆನೆಟ್ ಸಹ ಕಾಂಗ್ರೆಸ್ ರೀತಿ ಆದರು ಆದರ ಜವಾಬ್ದಾರಿ ಹೆಚ್ಚು,ಸೆನೆಟ್ ಸಹ ಕಾಂಗ್ರೆಸ್ ರೀತಿ ಆದರೂ ಅದರ ಜವಾಬ್ದಾರಿ ಹೆಚ್ಚು
4,844424933067948-385-m,ಅದೇ ನೇರಲ್ಲಿ ಸ್ಕ್ರೀನಿಂಗ್ ಗೆ ರೇಖಾ ಬಂದಿದ್ದು ಜೆಯಾ ಗೆ ಇಷ್ಟವಾಗಲಿಲ್ಲ,ಅದೇನೇ ಇರಲಿ ಸ್ಕ್ರೀನಿಂಗ್ ಗೆ ರೇಖಾ ಬಂದಿದ್ದು ಜಯಾಗೆ ಇಷ್ಟವಾಗಲಿಲ್ಲ
5,844424933067959-385-m,ಟ್ವಿಟ್ಟರ್ ಮೂಲಕ ಫ್ಯಾನ್ಸ್ ಅಸೋಸಿಯೇಷನ್ ಪೇಜ್ ಗೆ ಟ್ವೀಟ್ ಮಾಡಿದ್ದಾರೆ,ಟ್ವಿಟ್ಟರ್ ಮೂಲಕ ಫ್ಯಾನ್ಸ್ ಅಸೋಷಿಯೇಷನ್ ಫೇಜ್ ಗೆ ಟ್ವೀಟ್ ಮಾಡಿದ್ದಾರೆ
6,844424933057852-418-f,ನಿಮ್ಮ ವ್ಯಾಪಾರ ಹನಿವಾರಿ ಎಂಬುದನ್ನು ವಸ್ತುಗಳ ಮೇಲೆ ಚಿಕ್ಕ ವಸ್ತು ಅಲ್ಲ,ನಿಮ್ಮ ವ್ಯಾಪಾರ ಅನಿವಾರ್ಯ ಎಂಬುದನ್ನು ವಸ್ತುಗಳ ಮೇಲೆ ಚಿಕ್ಕ ವಸ್ತು ಇಲ್ಲ
7,844424933075835-418-f,ಬಿಜೆಪಿಗೆ ಸೇರಿದ ಎರಡು ಗಂಟೆಗಳಲ್ಲೇ ಮುತಾಲಿಕ್ ಸದಸ್ಯತ್ವ ನಿರಾಕರಣೆ,ಬಿಜೆಪಿಗೆ ಸೇರಿದ ಎರಡು ಗಂಟೆಗಳಲ್ಲೇ ಮುತಾಲಿಕ್ ಗೆ ಸದಸ್ಯತ್ವ ನಿರಾಕರಣೆ
8,844424933067924-385-m,ಸಂಪರ್ಕ ಜಾಲಕ್ಯ ಮಾಡಿದ ವೆಚ್ಚ ಆಧರಿಸಿ ಐಯುಸಿ ಲೆಕ್ಕ ಹಾಕಲಾಗಿದೆ,ಸಂಪರ್ಕ ಜಾಲಕ್ಕೆ ಮಾಡಿದ ವೆಚ್ಚ ಆಧರಿಸಿ ಐಯುಸಿ ಲೆಕ್ಕ ಹಾಕಲಾಗಿದೆ
9,844424933040742-385-m,ಮತ್ತು ಕಗ್ಗದ ಕಡೆಗೆ ಈಗಿನ ಹುಡುಗರ ದೃಷ್ಟಿ ಹೆಚ್ಚೆಚ್ಚು ಹಾಯಲಿ,ಮತ್ತು ಕಗ್ಗದ ಕಡೆಗೆ ಈಗಿನ ಹುಡುಗರ ದೃಷ್ಟಿ ಹೆಚ್ಚೆಚ್ಚು ಹಾಯಲಿ
10,844424933170239-640-m,ಪ್ಯಾಂಟ್ ಬಣ್ಣಕ್ಕೆ ಬಿರುದ ಬಣ್ಣದ ಶರ್ಟ್ ಇದ್ದರೆ ಸ್ಟೈಲಿಶ್ ಲುಕ್ ಬರುತ್ತದೆ,ಪ್ಯಾಂಟ್ ಬಣ್ಣಕ್ಕೆ ವಿರುದ್ಧ ಬಣ್ಣದ ಶರ್ಟ್ ಇದ್ದರೆ ಸ್ಟೈಲಿಶ್ ಲುಕ್ ಬರುತ್ತದೆ
11,844424933364723-157-m,ಈ ಕಾರಣದಿಂದ ಗಣೇಜನನ್ನು ಇಡು ವಿಶ್ವದ ಪ್ರತಿರೂಪ ಎಂದು ಬಾರಿಗಣಿಸಲಾಗುತ್ತದೆ,ಈ ಕಾರಣದಿಂದ ಗಣೇಶನನ್ನು ಇಡೀ ವಿಶ್ವದ ಪ್ರತಿರೂಪ ಎಂದು ಪರಿಗಣಿಸಲಾಗುತ್ತದೆ
12,844424933105034-629-f,ಈ ಕುರಿತು ಅಧಿಕಾರಿಗಳ ಜೊತೆ ಸಭೆ ಮಾಡುತ್ತೇನೆ ಎಂದು ವಿವರಿಸಿದರು,ಈ ಕುರಿತು ಅಧಿಕಾರಿಗಳ ಜತೆ ಸಭೆ ಮಾಡುತ್ತೇನೆ ಎಂದು ವಿವರಿಸಿದರು
13,844424933067879-385-m,ಮಕ್ಕಳಿಗೆ ಯಾವ ಕ್ಷೇತ್ರದಲ್ಲಿ ಆಸಕ್ತಿ ಇದೆ ಎಂಬುದನ್ನು ಮೊದಲು ಗಮನಿಸಬೇಕು,ಮಕ್ಕಳಿಗೆ ಯಾವ ಕ್ಷೇತ್ರದಲ್ಲಿ ಆಸಕ್ತಿ ಇದೆ ಎಂಬುದನ್ನು ಮೊದಲು ಗಮನಿಸಬೇಕು
14,844424933165789-629-f,ಆ ವೇಳೆಗೆ ಚೆನ್ನೇ ಗೌಡರಿಗೂ ವಿಷಯ ತಿಳಿದು ಮಗಳ ಮನೆಗೆ ಬಂದರು,ಆ ವೇಳೆಗೆ ಚನ್ನೇಗೌಡರಿಗೂ ವಿಷಯ ತಿಳಿದು ಮಗಳ ಮನೆಗೆ ಬಂದರು
15,844424933105042-629-f,ಸಿ ಎಂ ಬಿ ಎಸ್ ಯಡಿಯೂರಪ್ಪ ಭೇಟಿ ಮಾಡಿದ ಡಿ ಸಿ ರೋಹಿಣಿ ಸಿಂಧೂರಿ,ಸಿಎಂ ಬಿ ಎಸ್ ಯಡಿಯೂರಪ್ಪ ಭೇಟಿ ಮಾಡಿದ ಡಿಸಿ ರೋಹಿಣಿ ಸಿಂಧೂರಿ
16,844424933075823-418-f,ಶಿವನು ಹೇಳಿರುವ ಪ್ರಕಾರ ಈಗಲೂ ಸಹ ಕೆಲವು ಮನೆಗಳಲ್ಲಿದೇ ರೀತಿ ಇರುತ್ತವೆ,ಶಿವನು ಹೇಳಿರುವ ಪ್ರಕಾರ ಈಗಲೂ ಸಹ ಕೆಲವು ಮನೆಗಳಲ್ಲಿ ಇದೇ ರೀತಿ ಇರುತ್ತದೆ
17,844424933089088-418-f,ಈ ಮಧ್ಯೆ ಕರಡಿಯಲ್ಲಿಗೂ ಹೋಗದಂತೆ ನೋಡಿಕೊಳ್ಳುವ ಜವಾಬ್ದಾರಿಯೂ ಅವರ ಮೇಲಿತ್ತು,ಈ ಮಧ್ಯೆ ಕರಡಿ ಎಲ್ಲಿಗೂ ಹೋಗದಂತೆ ನೋಡಿಕೊಳ್ಳುವ ಜವಾಬ್ದಾರಿಯೂ ಅವರ ಮೇಲಿತ್ತು
18,844424933107318-243-m,ಸದ್ಯ ವಿಜಯ್ ಅವರ ದಳಪತಿ ಸಿನಿಮಾದ ಶೂಟಿಂಗ್ ಭರದಿಂದ ಸಾಗುತ್ತಿದೆ,ಸದ್ಯ ವಿಜಯ್ ಅವರ ದಳಪತಿ ಸಿನಿಮಾದ ಶೂಟಿಂಗ್ ಭರದಿಂದ ಸಾಗುತ್ತಿದೆ
19,844424933107335-243-m,ಮತ್ತು ನಿಮ್ಮ ತಂಡದ ಸಂಪೂರ್ಣ ಸಿಬ್ಬಂದಿ ಇರುತ್ತಾರೆ ಸಹ ನೀವು ಹಾಗೆ,ಮತ್ತು ನಿಮ್ಮ ತಂಡದ ಸಂಪೂರ್ಣ ಸಿಬ್ಬಂದಿಯಿರುತ್ತಾರೆ ಸಹ ನೀವು ಹಾಗೆ
20,844424933165755-629-f,ಹುಲಿ ಕೊಂದ ದಿನ ರಾತ್ರಿಯ ಈ ವಿಷಯ ಜಟಾಪಟಿಗೆ ಕಾರಣವಾಯಿತು,ಹುಲಿ ಕೊಂದ ದಿನ ರಾತ್ರಿಯೇ ಈ ವಿಷಯ ಜಟಾಪಟಿಗೆ ಕಾರಣವಾಯಿತು
21,844424933067923-385-m,ನಾಲ್ಕು ವಯೋಮಾನದವರ ಪ್ರೇಮಕಥೆ ಹೊಂದಿರುವ ಚಿತ್ರ ಇದೇ ವಾರ ತೆರಿಗೆ ಬರುತ್ತಿದೆ,ನಾಲ್ಕು ವಯೋಮಾನದವರ ಪ್ರೇಮಕಥೆ ಹೊಂದಿರುವ ಚಿತ್ರ ಇದೇ ವಾರ ತೆರೆಗೆ ಬರುತ್ತಿದೆ
22,844424933172024-640-m,ಆದರೆ ಮಾಹಿತಿಯ ಕೊರತೆಯಿಂದ ಅದು ಗಿನ್ನಿಸ್ ದಾಖಲೆಯಿಂದ ದೂರ ಉಳಿಯಿತು,ಆದರೆ ಮಾಹಿತಿಯ ಕೊರತೆಯಿಂದ ಅದು ಗಿನ್ನೆಸ್ ದಾಖಲೆಯಿಂದ ದೂರ ಉಳಿಯಿತು
23,844424933057844-418-f,ನಾನು ಹೆಚ್ಚು ಸಲಹೆ ಖರೀದಿ ಮಾಡಲು ವಸ್ತುಗಳ ಪಾತ್ರ ಗಮನ ಪಾವತಿ ಬಯಸುವ,ನಾನು ಹೆಚ್ಚು ಸಲಹೆ ಖರೀದಿ ಮೊದಲು ವಸ್ತುಗಳ ಪಾತ್ರ ಗಮನ ಪಾವತಿ ಬಯಸುವ
24,844424930358343-818-f,ನೀವು ದಕ್ಷಿಣ ಭಾರತದ ಬೀಚಿಗಳಿಗೆ ಹೋದ್ರೆ ಎಳನೀರು ಹೆಚ್ಚು ಸೇವಿಸಿ,ನೀವು ದಕ್ಷಿಣ ಭಾರತದ ಬೀಚ್ ಗಳಿಗೆ ಹೋದ್ರೆ ಎಳನೀರು ಹೆಚ್ಚು ಸೇವಿಸಿ
25,844424933357913-919-m,ಸೋವಿಯಟ್ ಮತ್ತು ಯು ಎಸ್ ನ ಮಿಲಿಟರಿ ಮತ್ತು ಆರ್ಥಿಕ ವಿವಾದಾಂಶಗಳು,ಸೋವಿಯೆತ್ ಮತ್ತು ಯು ಎಸ್ ನ ಮಿಲಿಟರಿ ಮತ್ತು ಆರ್ಥಿಕ ವಿವಾದಾಂಶಗಳು
26,844424933005414-1017-f,ಆದರೆ ಈ ಸುದ್ದಿ ನಿಜವೋ ಅಥವಾ ಗಾಳಿ ಸುದ್ದಿಯೋ ಗತ್ತಿಲ್ಲ,ಆದರೆ ಈ ಸುದ್ದಿ ನಿಜವೋ ಅಥವಾ ಗಾಳಿ ಸುದ್ದಿಯೋ ಗೊತ್ತಿಲ್ಲ
27,844424933106593-1153-f,ಎಂಟ್ ರಾಜದಾನಿ ಕಾಪಿ ಮನೆಗಳಿಗಿಂತ ಅಲ್ಕೋಹಾಲ್ ಯುಟ್ಟ ಪಬ್ ಗಳಿಗೆ ಹೆಚ್ಚು ಹೆಸರು ವಾಸಿಯಾಗಿದೆ,ಐರ್ಲೆಂಡ್ನ ರಾಜಧಾನಿ ಕಾಫಿ ಮನೆಗಳಿಗಿಂತ ಆಲ್ಕೊಹಾಲ್ಯುಕ್ತ ಪಬ್ಗಳಿಗೆ ಹೆಚ್ಚು ಹೆಸರುವಾಸಿಯಾಗಿದೆ
28,844424933337204-157-m,ಇಲ್ಲಿಂದ ಶ್ರೀಲಂಕಾದ ಇತರ ಭಾಗಗಳಿಗೆ ರೈಲ್ವೆ ಮತ್ತು ರಸ್ತೆ ಸಂಪರ್ಕ ಉಂಟು,ಇಲ್ಲಿಂದ ಶ್ರೀಲಂಕಾದ ಇತರ ಭಾಗಗಳಿಗೆ ರೈಲ್ವೆ ಮತ್ತು ರಸ್ತೆ ಸಂಪರ್ಕವುಂಟು
29,844424933168224-640-m,ಉದುಗುವಿಕೆ ಮತ್ತು ವಾಯು ಉಂಟುಮಾಡಬಲ್ಲ ಎಲ್ಲ ಆಹಾರಗಳ ತಿನ್ನುವ ಆಫ್ ನೀಡಿ,ಹುದುಗುವಿಕೆ ಮತ್ತು ವಾಯು ಉಂಟುಮಾಡಬಲ್ಲ ಎಲ್ಲಾ ಆಹಾರಗಳು ತಿನ್ನುವ ಅಪ್ ನೀಡಿ
30,844424933081994-418-f,ಕಳೆದ ವರ್ಷವೇ ಆರಂಭವಾಗಿದೆ ಈ ಚಿತ್ರ ಈ ವರ್ಷ ಬಿರುಗಡೆಯಾಗಲಿದೆ,ಕಳೆದ ವರ್ಷವೇ ಆರಂಭವಾಗಿದ್ದ ಈ ಚಿತ್ರ ಈ ವರ್ಷ ಬಿಡುಗಡೆಯಾಗಲಿದೆ
31,844424933098037-1153-f,ಏಕೆಂದರೆ ಈಗ ಯಾವೊಬ್ಬ ಆರೋಪಿ ಕೂಡ ತಪ್ಪಿಸಿಕೊಂದು ಊಡಿ ಹೋಗುವುದಕ್ಕೆ ಆಗುವುದಿಲ್ಲ,ಏಕೆಂದರೆ ಈಗ ಯಾವೊಬ್ಬ ಆರೋಪಿ ಕೂಡ ತಪ್ಪಿಸಿಕೊಂಡು ಓಡಿ ಹೋಗುವುದಕ್ಕೆ ಆಗುವುದಿಲ್ಲ
32,844424933364755-157-m,ಸೇನಾಬಿನ ವಿವಿಧ ಉತ್ಪನ್ನಗಳು ಇಂದಿನ ಗ್ರಾಹಕರಿಗೆ ಹೆಚ್ಚು ಹೆಚ್ಚು ಉಪಯುಕ್ತವಾಗುತ್ತಿದೆ,ಸೆಣಬಿನ ವಿವಿಧ ಉತ್ಪನ್ನಗಳು ಇಂದಿನ ಗ್ರಾಹಕರಿಗೆ ಹೆಚ್ಚು ಹೆಚ್ಚು ಉಪಯುಕ್ತವಾಗುತ್ತಿದೆ
33,844424933337283-157-m,ಕೇದಾ ರವರಿ ಎರಡು ಸಾವಿರದ ನಾಲ್ಕು ನಲ್ಲಿ ಮಹಾರಾಷ್ಟ್ರದ ಹತ್ತೊಂಬತ್ತು ರ ವಯೋಮಿತಿ ತಂಡಕ್ಕೆ ಆಯ್ಕೆಯಾದರು,ಕೇದಾರ್ ರವರು ಎರಡು ಸಾವಿರದ ನಾಲ್ಕು ರಲ್ಲಿ ಮಹಾರಾಷ್ಟ್ರದ ಹತ್ತೊಂಬತ್ತು ರ ವಯ್ಯೋಮಿತಿ ತಂಡಕ್ಕೆ ಆಯ್ಕೆ ಆದರು
34,844424933158089-640-m,ಅನೇಕ ಜನರು ಮೀನು ಮತ್ತು ಕಡಲ ಆಹಾರ ಪ್ರೀತಿಸುವ ಇವೆ,ಅನೇಕ ಜನರು ಮೀನು ಮತ್ತು ಕಡಲ ಆಹಾರ ಪ್ರೀತಿಸುವ ಇವೆ
35,844424933005425-1017-f,ಈ ಚುನಾವಣೆಯಲ್ಲಿ ಈ ರೀತಿ ಆಗದೇ ಇರಲು ಚರ್ಚೆ ನಡೆಸಿದ್ದಾರೆ,ಈ ಚುನಾವಣೆಯಲ್ಲಿ ಈ ರೀತಿ ಆಗದೇ ಇರಲು ಚರ್ಚೆ ನಡೆಸಿದ್ದಾರೆ
36,844424933155992-1168-m,ಮಾಜಿ ಸ್ಪೀಕರ್ ರಮೇಶ್ ಕುಮಾರ್ ಗೆ ತಲೆ ಕೆಟ್ಟಿದೆ ಎಂದು ಎಚ್,ಮಾಜಿ ಸ್ಪೀಕರ್ ರಮೇಶ್ ಕುಮಾರ್ ಗೆ ತಲೆ ಕೆಟ್ಟಿದೆ ಎಂದು ಎಚ್
37,844424933168241-640-m,ಅದೇ ಚಿತ್ರದಲ್ಲೇ ಯಶ್ ಕೆ ನಾಯಕಿ ಯಾರು ಎನ್ನುವುದು ಇನ್ನೂ ನಿರ್ಧಾರವಾಗಿಲ್ಲ,ಆದರೆ ಚಿತ್ರದಲ್ಲಿ ಯಶ್ಗೆ ನಾಯಕಿ ಯಾರು ಎನ್ನುವುದು ಇನ್ನೂ ನಿರ್ಧಾರವಾಗಿಲ್ಲ
38,844424933082007-418-f,ಡಿಸ್ಚಾರ್ಜ್ ಕಾರಣವನ್ನು ತಪ್ಪು ತಪ್ಪಾಗಿ ಹೇಳಿ ಕೆಲಸ ವಿದ್ಯುತ್ ಉಪಕರಣಗಳು ಮಾಡಬಹುದು,ಡಿಸ್ಚಾರ್ಜ್ ಕಾರಣ ಒಂದು ತಪ್ಪುತಪ್ಪಾಗಿ ಹೇಳಿ ಕೆಲಸ ವಿದ್ಯುತ್ ಉಪಕರಣಗಳು ಮಾಡಬಹುದು
39,844424933351143-919-m,ಕಾನೂನು ವಾಣಿಜ್ಯ ವಿಜ್ಞಾನ ಮತ್ತು ಸಾಹಿತ್ಯದಂತ ಪಠ್ಯ ಕ್ರಮಗಳು ಇಲ್ಲಿ ಲಭ್ಯ,ಕಾನೂನು ವಾಣಿಜ್ಯ ವಿಜ್ಞಾನ ಮತ್ತು ಸಾಹಿತ್ಯದಂತ ಪಠ್ಯಕ್ರಮಗಳು ಇಲ್ಲಿ ಲಭ್ಯ
40,844424933040686-385-m,ಈ ವೈಶಿಷ್ಟ್ಯ ಫೋಟೋ ಫ್ರೇಮ್ ಸೂಚನೆಗಳನ್ನು ಓದುವ ಮೂಲಕ ಕಾಣಬಹುದು,ಈ ವೈಶಿಷ್ಟ್ಯ ಫೋಟೋ ಫ್ರೇಮ್ ಸೂಚನೆಗಳನ್ನು ಓದುವ ಮೂಲಕ ಕಾಣಬಹುದು
41,844424933067922-385-m,ಪಿ ಯು ಕಾಲೇಜು ಉಪನ್ಯಾಸಕ ಹುದ್ದೆಗಳ ನೇಮಕಾತಿಗೆ ಮತ್ತೊಮ್ಮೆ ಅರ್ಜಿ ಆಹ್ವಾನ,ಪಿಯು ಕಾಲೇಜು ಉಪನ್ಯಾಸಕ ಹುದ್ದೆಗಳ ನೇಮಕಾತಿಗೆ ಮತ್ತೊಮ್ಮೆ ಅರ್ಜಿ ಆಹ್ವಾನ
42,844424933072682-1017-f,ಈಗ ಎಲ್ಲಾ ಬಾಟ್ಲಿಗಳು ಸಿಕ್ಕಿರುವ ಖುಶಿ ಯಾಸಿರ್ ರಲ್ಲಿ ಮನೆ ಮಾಡಿದೆ,ಈಗ ಎಲ್ಲಾ ಬಾಟ್ಲಿಗಳು ಸಿಕ್ಕಿರುವ ಖುಷಿ ಯಾಸಿರ್ ರಲ್ಲಿ ಮನೆ ಮಾಡಿದೆ
43,844424933165779-629-f,ಅದರ ಮೂಲಕ ಟ್ರೋಸನ್ ಹಾರ್ಸ್ ಅನ್ನು ಕಂಪನಿ ಮೊಬೈಲ್ ಗಳಿಗೆ ತೋರಿಸಿದೆ,ಅದರ ಮೂಲಕ ಟ್ರೋಜನ್ ಹಾರ್ಸ್ ಅನ್ನು ಕಂಪನಿ ಮೊಬೈಲ್ಗಳಿಗೆ ತೂರಿಸಿದೆ
44,844424933165758-629-f,ಇದನ್ನು ನೋಡಿದ ಟ್ವೀಟಿಗರು ಅನು ಪ್ರಭಾಕರ್ ಅವರ ಬೆಂಬಲಕ್ಕೆ ನಿಂತಿದ್ದಾರೆ,ಇದನ್ನು ನೋಡಿದ ಟ್ವಿಟ್ಟಿಗರು ಅನು ಪ್ರಭಾಕರ್ ಅವರ ಬೆಂಬಲಕ್ಕೆ ನಿಂತಿದ್ದಾರೆ
45,844424933075855-418-f,ಪ್ರವಾಸಿ ತಂಡ ಬ್ಯಾಟಿಂಗ್ ಮತ್ತು ಬೌಲಿಂಗ್ ವಿಭಾಗಗಳಲ್ಲಿ ಸಾಕಷ್ಟು ಸಮಸ್ಯೆಗಳನ್ನು ಎದುರಿಸುತ್ತಿದೆ,ಪ್ರವಾಸಿ ತಂಡ ಬ್ಯಾಟಿಂಗ್ ಮತ್ತು ಬೌಲಿಂಗ್ ವಿಭಾಗ ಗಳಲ್ಲಿ ಸಾಕಷ್ಟು ಸಮಸ್ಯೆಗಳನ್ನು ಎದುರಿಸುತ್ತಿದೆ
46,844424933187953-243-m,ಈ ವೇಳೆ ಪೊಲೀಸರು ಮತ್ತು ಪ್ರತಿಭಟನಾಕಾರರ ನಡುವೆ ಘರ್ಷಣೆ ನಡೆಯಿತು,ಈ ವೇಳೆ ಪೊಲೀಸರು ಮತ್ತು ಪ್ರತಿಭಟನಾಕಾರರ ನಡುವೆ ಘರ್ಷಣೆ ನಡೆಯಿತು
