,id,hypothesis,reference
0,Avrodh_0006_HD_AVC_00:07:25.40_00:07:29.40,अब तुम अपने बॉस का नाम खुद बताओगे यह मुंगलवाली,अब तुम अपने बॉस का नाम खुद बताओगे या हम उगल वाले
1,Avrodh_0007_HD_AVC_00:05:13.34_00:05:17.22,पटप्लीस डोन के बद्दल पाशन यूं हैं फुए प्रोफेशियन भी कौशल थे,बट प्लीज डोन्ट गिव अप द पैशन यू हैव फॉर योर प्रोफेशन बिकॉज ऑफ दिस
2,Avrodh_0003_HD_AVC_00:22:56.26_00:22:58.19,वो बहुत जल्द सबकुछ न पटा लेंगे,वो बहुत जल्द सब कुछ निपटा लेंगे सर
3,Avrodh_0001_HD_AVC_Rev_00:15:09.11_00:15:10.10,जैन,जय हिन्द
4,Avrodh_0004_HD_AVC_00:24:17.04_00:24:19.00,इस अकांच्या चरणे समय स्पर्च,ही इस द काउंटर टेररिज्म एक्सपर्ट सर
5,Avrodh_0002_HD_AVC_00:00:48.44_00:00:50.48,तो आखिर रहा था,तो आखिरी रात आज
6,Avrodh_0002_HD_AVC_00:03:40.31_00:03:43.30,सर्फ पता नहीं कैसे एडजेस्ट रक्ति थे क्रॉक संभव,सर पता नहीं कैसे इट इफ जस्ट क्रैक सम हाउ
7,Avrodh_0002_HD_AVC_00:01:41.31_00:01:42.10,चकरों,चेक करो
8,Avrodh_0008_HD_AVC_00:14:17.34_00:14:21.00,टीम एल्फा ने कहा है कि ये सभी चीम स्टैंड बैफे होंगे,टीम अल्फा ने कहा है के सभी टीम स्टैंड बाय पे होंगे
9,Avrodh_0003_HD_AVC_00:15:28.16_00:15:32.38,और रूटीन स्टेटमेंट्स भी हिस्सू होंगे,और रूटीन स्टेटमेंट्स भी इशू होंगे
10,Avrodh_0007_HD_AVC_00:00:50.14_00:00:51.22,अन्य जागेज़,एनी टरगेट्स
11,Avrodh_0005_HD_AVC_00:02:13.56_00:02:21.25,आपको पता हो क्या कहंगी,आपको पता है वो क्या कहेंगी वो कहेंगी विदीप मैं तेरी टाँगे तोड़ दूँगी अगर घर आया तो एक्सेप्ट द मिशन
12,Avrodh_0005_HD_AVC_00:01:25.05_00:01:27.04,पुरुष अभ्यक्षण स्टेट में छे,व्हाट इस ओवर मिशन स्टेटमेंट सर
13,Avrodh_0006_HD_AVC_00:04:50.21_00:04:52.00,आज सुबैशे,आज सुबह से
14,Avrodh_0004_HD_AVC_00:17:20.23_00:17:27.52,कहा मिलेगा है चार घंटे के अंदर मुझे जान नहे,कहाँ मिलेगा ये चार घंटे के अंदर मुझे जानना है
15,Avrodh_0001_HD_AVC_Rev_00:17:43.58_00:17:45.51,हौफाल बहाई जैसे कॉपी,होउ फॉर बिहाइंड इज़ द कंपनी
16,Avrodh_0001_HD_AVC_Rev_00:30:30.26_00:30:31.10,जीज राब,जी जनाब
17,Avrodh_0009_HD_AVC_00:19:03.26_00:19:05.00,या काल जाऊड़,जैकॉल डाउन
18,Avrodh_0008_HD_AVC_00:00:12.23_00:00:13.45,सीतानाथ,सितारा की बेस
19,Avrodh_0004_HD_AVC_00:10:04.04_00:10:10.24,हां बैक अन्य अंफॉचुनली मुज्जत कोई पतानी चलता की तुंका,हाँ आई एम बेक एंड अनफॉर्चूनेटली मुझे तो कभी पता ही नहीं चलता कि तुम कहाँ हो
20,Avrodh_0007_HD_AVC_00:09:10.01_00:09:12.44,मैं जो सूत की मौत आपकी वजह से नहीं हूं,मेजर सूत की मौत आपकी वजह से नहीं हुई है
21,Avrodh_0008_HD_AVC_00:05:52.12_00:05:53.15,थैंक्स शुरू,थैंक्स सर
22,Avrodh_0005_HD_AVC_00:12:25.31_00:12:26.40,ज़्यादा ने प्रदेश के लिए निर्माण करने की रही थी,जय हिंद
23,Avrodh_0002_HD_AVC_00:14:31.01_00:14:31.55,घर लौटते हैं,घर लौटते ही होंगे
24,Avrodh_0005_HD_AVC_00:20:32.08_00:20:33.02,वॉश्च,व्हाट
25,Avrodh_0002_HD_AVC_00:23:11.31_00:23:13.15,उंच,पुंछ
26,Avrodh_0002_HD_AVC_00:21:04.01_00:21:06.14,भाई मैं ख्याल लग रहूं,भाई मैं क्या लग रहा हूँ
