,id,hypothesis,reference
0,AVRODH_EP_04_TELUGU_20_PM_07AUG2020.STEREO_00:07:52.31_00:07:54.50,రన్ డే రెండి అబు హఫీజ్,రండి రండి అబు హఫీజ్.
1,AVRODH_EP_09_TELUGU_20_PM.STEREO_00:15:10.21_00:15:10.50,నిర్ణయం మరణ సును దేశాలు,సార్.
2,AVRODH_EP_08_TELUGU_20_PM_07AUG2020.STEREO_00:14:46.51_00:14:50.50,ఎదురు చూడల ఫో గ్వాడ్ సే జనరల్జీ మనోకమీషణ్�ైన ఒక వేళ ఇదనజ ಈ తర,ఎదురుచూడాలా ఫర్ గాడ్ సేక్ జనరల్ మనము ఒక మిషన్ మీద ఉన్నాము. ఒకవేళ ఏదైనా జరగరాని
3,AVRODH_EP_01_TELUGU_20_PM_07AUG2020.STEREO_00:17:03.31_00:17:08.20,సతీష్ కాన్వయి మూమింట అం ఏదిజీ ఆపరేషన లో ఒక భా గం,సతీష్ కాన్వాయి మూమెంట్ అనేది ఆపరేషన్ లో ఒక భాగం.
4,AVRODH_EP_09_TELUGU_20_PM.STEREO_00:15:31.01_00:15:35.30,పాప ఫోర్టీ మలఫా గెచ్ వడి పో డీఇ ఇంటిక్జన్,పాపాప్ ఫర్ టీమ్ అల్ఫా డీ ఇండక్షన్ యు మస్ట్ లీవ్ నౌ ఓవర్.
5,AVRODH_EP_02_TELUGU_20_PM_07AUG2020.STEREO_00:16:17.31_00:16:21.00,నేని వాళ్ళ న ంబరిచే మా ళతో యాుర్ తాజు కేజి,"నేనే వాళ్ళ నెంబర్ ఇచ్చి, వాళ్ళతో మాట్లాడమని చెప్పానని చెప్పండి."
6,AVRODH_EP_06_TELUGU_20_PM_07AUG2020.STEREO_00:18:00.51_00:18:02.55,గౌతమ్ బాల్బుడ్,గౌతమ్ ఆల్ గుడ్.
7,AVRODH_EP_03_TELUGU_20_PM_07AUG2020.STEREO_00:16:34.31_00:16:42.40,ఉగ్రవాదులు డైరెకట్ గా మనం బేస్జాూంపిన పోలకొచ్ౚి అమే తాజీ చాരు,ఉగ్రవాదులు డైరెక్ట్ గా మన బేస్ క్యాంపు లోకి వచ్చి దాడి చేశారు నువ్వు నా ప్లేస్ లో ఉండి ఆలోచించు.
8,AVRODH_EP_01_TELUGU_20_PM_07AUG2020.STEREO_00:13:29.16_00:13:31.10,కానీ నిజం చెప్పా లంటే మైఫ్ రై అయి,కానీ నిజం చెప్పాలి అంటే మై ఫ్రెండ్.
9,AVRODH_EP_09_TELUGU_20_PM.STEREO_00:20:37.21_00:20:40.00,మోటార్ ప్రయతను సిద్జంగా ఉం చెడువి బీహాజీ తె లేయు,మోటార్ ప్లాంట్ ని సిద్ధంగా ఉంచామని థర్టీ టూ బీహార్ కి తెలియజేయండి.
10,AVRODH_EP_02_TELUGU_20_PM_07AUG2020.STEREO_00:10:09.51_00:10:12.50,ఆ అంటే మీ రానేది ఆబు హా ఫీజ్ గురీం చ్యా,ఆ అంటే మీరు అనేది అబుహాఫీస్ గురించా.
11,AVRODH_EP_01_TELUGU_20_PM_07AUG2020.STEREO_00:17:44.01_00:17:45.30,ఇంకా ఎం తోరు వీడాల్సిం౦ి,ఇంకా ఎంత దూరం వెళ్లాల్సి ఉంది.
12,AVRODH_EP_09_TELUGU_20_PM.STEREO_00:15:10.51_00:15:15.40,పాప్ అఫ్రు టీమా లఫ ఆ ప ఫరిటి ముల్జల ఓవా,"పాప్ అప్ ఫర్ టీమ్ అల్ఫా, పాప్ అప్ ఫర్ టీమ్ అల్ఫా ఓవర్ ఆర్డర్ ఫ్రమ్ క్యాసాల్ ఇర్ ఆక్టివేట్ నౌ."
13,AVRODH_EP_03_TELUGU_20_PM_07AUG2020.STEREO_00:15:06.11_00:15:07.35,కాని మీ రైతే వెళ్లొచ్ గదా,కానీ మీరైతే వెళ్ళొచ్చు కదా?
14,AVRODH_EP_07_TELUGU_20_PM.STEREO_00:07:32.36_00:07:36.30,ఇప్పటి అమ్ దిగ్జలు విజ్ഞల చెందు,"ఇప్పుడే అమ్మ దగ్గర వదిలిపెట్టి వచ్చాను, చూడు వెంటనే ఏడుపు మొదలు పెడుతుంది."
15,AVRODH_EP_08_TELUGU_20_PM_07AUG2020.STEREO_00:24:10.46_00:24:25.10,దేశం భాగోళ్లు చూసుకొనే అవళి నిమట్ కటంబ సభ్౯ుజీల ఎలా బతగాলో వీుెడె మీ రేజ ఛే,దేశం బాగోగులు చూసుకునే వాళ్ళ కుటుంబ సభ్యులు ఎలా బతకాలో వాళ్ళంతట వళ్ళే చేసుకుంటారు. అయినా ఆర్మీలో నాకు ఒక కొడుకు ఉన్నాడు.
16,AVRODH_EP_05_TELUGU_20_PM_07AUG2020.STEREO_00:12:18.31_00:12:19.00,థైక్ సు,థాంక్యూ సార్
17,AVRODH_EP_03_TELUGU_20_PM_07AUG2020.STEREO_00:04:14.21_00:04:21.40,చూడి సార్థకు ఇదికా ఖచిజత్ అంగ ఎం టెలీసె శ్జీ ఫలవుడే గో ఢమేచ ఆశరిీజ ఏల జരగిംదోనే,చూడు సార్దాక్ ఇది కచ్చితంగా ఇంటెలిజెన్స్ ఫెయిల్యూరే గాడ్ డ్యామేట్ అసలు ఇది ఎలా జరిగిందని నన్ను పి యం అడిగితే ఆయనకు నేను ఏం సమాధానం చెప్పాలి.
18,AVRODH_EP_02_TELUGU_20_PM_07AUG2020.STEREO_00:15:14.51_00:15:17.50,మన వంద మ్మ టీ నికి కొత్ గా అనెపీస్జుతాయి,"మనం అన్నమాటే, మనకి కొత్తగా అనిపిస్తున్నాయి."
19,AVRODH_EP_01_TELUGU_20_PM_07AUG2020.STEREO_00:21:19.16_00:21:22.55,ఇక ఈ ఏడు పుల ఫిడబోబాలని ఆఫేస్తే సంతాో శ్ చెపటంజి,ఇక ఈ ఏడుపులు పెడబొబ్బలన్నీ ఆపేసి సంతోషపడండి.
20,AVRODH_EP_06_TELUGU_20_PM_07AUG2020.STEREO_00:09:12.36_00:09:15.00,డ్రోన్ సాపో రకు మనం ఫిఫెటీ డి కాూడ వర ఖుడ় పర്వేషణ తీసు,డ్రోన్ సపోర్ట్ కు మనం ఫిఫ్టీన్ క్రోర్ వరకు పర్మిషన్ తీసుకోవాలి.
21,AVRODH_EP_03_TELUGU_20_PM_07AUG2020.STEREO_00:08:06.31_00:08:09.00,అలి త్వరగా వేక ంగ పరుగె దు,"ఆలీ త్వరగా వేగంగా పరిగెత్తు,"
22,AVRODH_EP_08_TELUGU_20_PM_07AUG2020.STEREO_00:11:54.31_00:12:08.10,అదే హైల్ కనిపి చేత ఏకోమ్పెంటర్,అదే ఆ ఇల్లు కనిపించేదే కాంపౌండ్ అదే మన టార్గెట్. మనం సింగల్ లైన్ ఇన్ఫర్మేషన్లో అడవిని దాటాలి. కార్న్ ఫీల్డ్ సంచుల వరకు గౌతమ్ యు టేక్ ద రేర్ ఆఫ్ ది కాంపౌండ్
23,AVRODH_EP_05_TELUGU_20_PM_07AUG2020.STEREO_00:21:59.01_00:22:06.40,నేని సైలెంట్ గా ఉమ్మటిన దే కరదాం రేుపు అత్జేజ మ హొతం,"నేను సైలెంట్ గా ఉన్నాను అంటే దానికి అర్థం, రేపు పొద్దున దేశం మొత్తం నేను చెప్పేది వింటుంది."
