,id,hypothesis,reference
0,AVRODH_EPI-03_MALAYALAM_MIX_00:13:53.44_00:13:57.07,ഞാൻ ഒരു ഫീൽഡ് റിപോർടേറെ അവൺ പകാജ,ഞാനൊരു ഫീൽഡ് റിപ്പോർട്ടർ ആണ് പങ്കജ് നിങ്ങളുടെ സ്റ്റുഡിയോയുടെ ഗ്ലാൻ പാവയല്ല
1,AVRODH_EPI-04_MALAYALAM_MIX_00:23:37.25_00:23:41.35,നാളന്ന മുട ജീവിൻറെ കൂൺപേൽ ഒരടൊര പദധിയി അവതാ രർബഹണം,നാളെ നമ്മുടെ ചീഫിൻ്റെ മുമ്പിൽ ഒരു പദ്ധതി അവതരിപ്പിക്കണം
2,AVRODH_EPI-02_MALAYALAM_MIX_00:13:08.48_00:13:09.48,ആ സുഖേട്ടി കൊണെ ഉപയോഗികളായ നിൽപീക മൌഖി,ആ സുഗായിട്ടിരിക്കുന്നു
3,AVRODH_EPI-02_MALAYALAM_MIX_00:22:25.01_00:22:31.00,എസി ഓഫീസ് ജോലിയെഴുതാ വാടിൽപൊവൻ ഭയടേ മകൾകളൈനൂ അമൌർജനം തൃണംപരി,എസീ ഓഫീസ് ജോലിക്കഴിഞ്ഞാ വീട്ടിപോകാം ഭാര്യയുടെയും മക്കളുടെയും കൂടെ സമയം ചിലവഴിക്കാം സ്വസ്ഥമായി കിടന്ന് ഉറങ്ങുകയും ചെയ്യാം
4,AVRODH_EPI-02_MALAYALAM_MIX_00:11:42.48_00:11:43.00,നിയന്റെ ഒരു കോടതിൽ അവൻറാർറ മൂലപാടി വരകളി,നീ ഇനി എപ്പോഴാ തിരിച്ചു വരുന്നേ
5,AVRODH_EPI-08_MALAYALAM_MIX_00:13:19.59_00:13:22.00,സത્ ടু നে ഹാഫ മിനറ্സ,സാർ റ്റു ആന്റ് ഹാഫ് മിനിട്സ്
6,AVRODH_EPI-01_MALAYALAM_MIX_00:13:08.30_00:13:11.12,జ്ഞ పరాయింది అనుకు మనస్సలో ఉన డా,ഞാൻ പറയുന്നെ നിനക്കു മനസ്സിലാകുന്നുണ്ടോ
7,AVRODH_EPI-02_MALAYALAM_MIX_00:12:01.22_00:12:04.31,ഹാതെ നല്ല ദ ചിലപ ആറേ എങുകളിൽ ഇടി യാല,അത് നല്ലതാ ചിലപ്പോ ആരെയെങ്കിലും കിട്ടിയാലോ
8,AVRODH_EPI-04_MALAYALAM_MIX_00:23:03.79_00:23:10.21,ജനറൽ സഭാഷ്ടയിൻ ഇതിനെമുകളൊ മരണവോടേ അവധി,ജനറൽ സെബാസ്ററ്യൻ ഇത് നമുക്ക് മുന്നോട്ട് നീക്കണമെങ്കിൽ പദ്ധതി വളരെ വ്യക്തമായിട്ട് നമുക്ക് പി എമ്മിനോട് അവതരിപ്പിക്കേണ്ടതുണ്ട്
9,AVRODH_EPI-02_MALAYALAM_MIX_00:05:53.01_00:05:59.42,അതു മാതറല്ല സാരസ അമീനൂം വറേഠ ആംനിസൃൌ റিപോർടെലിൽ ഈ ശവ ഉപകൊണം,അത് മാത്രമല്ലാ സാർക്ക് സമ്മിറ്റിന് മുമ്പായിട്ട് അഡ്മിനിസ്ട്രേറ്ററി റിപ്പോർട്ട് തയ്യാറാവാൻ പോവാണ്
10,AVRODH_EPI-01_MALAYALAM_MIX_00:13:51.24_00:13:54.00,നിങ്ങളെ നീ യൊടേകു ഒരി കലമാറൻഡ,നിങ്ങളിനി ഇങ്ങോട്ടേക്ക് ഒരിക്കലും വരേണ്ട
11,AVRODH_EPI-01_MALAYALAM_MIX_00:15:52.46_00:15:59.09,എനികെ ജി ഒ സയൊന്ന ലൈൻഡും ഞാൽ ഇക പേരോശീവർ കളവാ മായി,ങും എനിക്കു ജി ഒ സിയെ ഒന്നു ലൈനിൽ കിട്ടുവോ ഞാനീ പ്രശ്നങ്ങളൊക്കെ പരിഹരിക്കുന്നെവരെ താനവിടെത്തന്നെ നിക്ക്
12,AVRODH_EPI-08_MALAYALAM_MIX_00:16:42.01_00:16:49.34,അതേ ഔട്ടസുഡെ മൈൻഡിൽ ഇതിസഹീല റി കളവരോ അവർ ശത్രനകൾറൊ പൂലക നൌണം എതিയായ,ആർ ദേ ഔട് ഓഫ് തേർ മൈൻഡ് ദിസ് എസ് ഹൈലി റിസ്കി അവർ ശത്രുക്കളുടെ പിന്നിൽ ഇരിക്കുന്നത് എങ്ങനെ കണ്ടത്തും എന്നാ പ്രദീക്ഷിക്കുന്നത്
13,AVRODH_EPI-08_MALAYALAM_MIX_00:14:51.22_00:14:58.00,ഇങ്ങനെ പാനിയകളുമലലേ ദൈവ തൊടർതിൽ അവൻ വരകൾ മോഴി,ഇങ്ങനെ പാനിക് ആവല്ലേ ദൈവത്തെ ഓർത്തു അവർ തിരികെ വരുന്നത് വരെ നമുക്ക് കാത്തിരിക്കാം
14,AVRODH_EPI-04_MALAYALAM_MIX_00:18:20.59_00:18:33.24,പാകിസ്താൻ ഹൈ കുമാ സംയമ ചേർ നോ ഇ പൊ എനിൽ മെ ഒപ ശൂവസ,പാക്കിസ്ഥാൻ ഹൈക്കമാൻഡ് ഐ എസ് എസ്സയുമായി ചേർന്നു ഇപ്പോ ഒന്നിച്ചു പ്രവർത്തിക്കേണ്ട സമയം ആയി സാഹചര്യങ്ങൾ നമുക്ക് അനുകൂലമാണ്
15,AVRODH_EPI-04_MALAYALAM_MIX_00:05:57.01_00:06:09.17,ഒരു പോരാളിയെ എ തൊര ഞ്ഞടേകൂണം അടി നൌതാ സമീപ കാൻ,ഒരു പോരാളിയെ തിരഞ്ഞെടുക്കണം അടുത്ത പോരാട്ടത്തിനായി തയ്യാറാക്കാൻ
16,AVRODH_EPI-03_MALAYALAM_MIX_00:02:08.34_00:02:14.00,ഡബുളേറ്റിസിൽ പാൻചോടി ഹീംസെലൈൺകൾ ഇൌ വൊലി,ദി ബുള്ളറ്റ് പൂഞ്ചോടിഎസ് ഹിസ് ലെൻസ് ഹിസ് വെരി ക്രിട്ടിക്കൽ മാത്രമല്ല ബോധം വരുന്നത് വരെ ഒന്നും പറായാനും പറ്റില്ല
17,AVRODH_EPI-07_MALAYALAM_MIX_00:15:09.54_00:15:13.30,കോർപറേഷൻ ഉറിയാണ് ഇപുഴെ ശതൃകളൊളള ഏക മറপടി,ഓപ്പറേഷൻ ഉറി ആണ് ഇപ്പോൾ ശത്രുക്കൾക്കുള്ള ഏക മറുപടി
18,AVRODH_EPI-04_MALAYALAM_MIX_00:10:10.55_00:10:16.00,എപ്പഴോ അതൊരു രഹസിയാണെലേ ആദി ഒാൻകിൽ തനകൾ ഇന സൃഷണം നൌക ഉപ മൂലി,എപ്പോളും അത് ഒരു രഹസ്യമാണല്ലോ ആദ്യമൊക്കെ എനിക്ക് അത് ഒരു പ്രശ്നമല്ലായിരുന്നു ഇപ്പൊ ബോറടിച്ച് തുടങ്ങി
19,AVRODH_EPI-02_MALAYALAM_MIX_00:21:07.01_00:21:10.00,തോ ആപിളച്ചി രുകിെന പീനേ അലൈത നാകൂ ഇവി,പിന്നല്ലാതെ നോക്ക് നീ ഇങ്ങനെ ഒരു സുന്ദരനെ നീ കണ്ടിട്ടുണ്ടോ
20,AVRODH_EPI-03_MALAYALAM_MIX_00:16:22.01_00:16:25.38,ഒരു പ്രസംഗം തീർകേ മോടെയാണികിൽ അവൻ എതി ചൊവടി,ഒരു പ്രശ്നം തീർക്കുമ്പോൾ അടുത്തത് എങ്ങനെയെങ്കിലും കേറി വന്നോളും
21,AVRODH_EPI-02_MALAYALAM_MIX_00:20:57.16_00:20:58.00,జനക്ഷ ഏണി ചു,ഇത്ര പെട്ടന്നോ
22,AVRODH_EPI-07_MALAYALAM_MIX_00:08:57.33_00:08:57.58,മുഖ്യമായ നിരവചനീകളെ ഉപയോഗം കേടിൽ അവൻറാർഡി സൌര രൂപ പൊലൈതി,ഹും
23,AVRODH_EPI-02_MALAYALAM_MIX_00:21:23.52_00:21:25.13,ശേ രി ക്യു എനെ പോലൊ,ശെരിക്കും എന്നെപോലെയാ
24,AVRODH_EPI-07_MALAYALAM_MIX_00:16:24.47_00:16:27.08,ബേജർ വിദീപ് സിൻസൽ,മേജർ വീഡീപ് സിംഗ് സർ
25,AVRODH_EPI-08_MALAYALAM_MIX_00:00:20.27_00:00:23.52,ഡോൺ കെ വാല് ഏൽ നിതം തൈനൊടുകയാൻ ഗൌണ ബേ മൂവ അടസ,ലോൺകെ വാലയിൽ നിന്നും തനോട്ക് കോൺട്രയ്ത് മൂവാണ് സാർ
26,AVRODH_EPI-07_MALAYALAM_MIX_00:07:58.41_00:08:04.46,ഋഷി കെ യോ ആന് അപനിൽ പേരു ഉർഫിചൊ ലൈ,ഋഷികയോ അപ്പോൾ നീ പേരും ഉറപ്പിച്ചു അല്ലേ
