,id,hypothesis,reference
0,MAHARANIEP_08_KANNADA_20_PM.STEREO_00:06:14.41_00:06:18.45,ನನ್ನ ಅವರು ಭೇಟಿ ಮಾಡಿಯೇ ಒಂದರ್ಷ ಆಗೊಯ್ಯದೆ,ನಾನ್ ಅವರನ್ನ ಭೇಟಿ ಮಾಡಿ ಒಂದು ವರ್ಷ ಆಗೋಗಿದೆ
1,MAHARANIEP_03_KANNADA_20_PM.STEREO_00:52:05.31_00:52:06.30,ನವಾ ನಿಲ್ಲಾರು ನೀಡಿ ಹೇಳುತ್ತದೆ ಎಂದರ ಮೂಡ್ರನ್ನೇ ಅವೈಸ್ಟ್ ಮಾ್ಯೂ ಸೋಟರ್ಿ,ಜಿಂದಾಬಾದ್
2,MAHARANIEP_09_KANNADA_20_PM.STEREO_00:09:12.37_00:09:17.06,ನನ್ನ ಶುಭ ಹಾರೈಕೆಗಳು ನಿನೊಂದಿ ಗೆ ನೀವ್ವೆ್ದ್ರಾ ನ ಖಷೀ ಆಕತ್ತೆ,ನನ್ನ ಶುಭ ಹಾರೈಕೆಗಳು ನಿನ್ನೊಂದಿಗಿದೆ ನೀನು ಗೆದ್ದರೆ ನನಗೆ ಖುಷಿಯಾಗುತ್ತೆ
3,MAHARANIEP_08_KANNADA_20_PM.STEREO_00:18:52.19_00:18:52.58,ಅಂದ್ರೆ ಕೊನಗಳನ್ನು ಹೆಚ್ಚಿನ ಮತ್ತುವಾರಿ ನೀಡಲಾ ನಲ್ಲೇ ಅದೆ,ಅಂದ್ರೆ 
4,MAHARANIEP_09_KANNADA_20_PM.STEREO_00:03:40.01_00:03:44.00,ಪರಿಹಾರ ಅಲ್ಲಿ ಆದ್ರು ನ ಮತ್ತೂ ಮುಂದಿగೆ ಪ್ಯೀತಿ ಈ ಹೆಚ್ಚಾ ಗದೆ,ಪರಿಹಾರ್ ಅಲ್ರಿ ಅದು ನಾವು ಮಂದಿ ಪ್ರೀತಿ ಹಂಚಂಗ್ ಆಯಿತದೆ
5,MAHARANIEP_05_KANNADA_20_PM.STEREO_00:22:49.59_00:22:57.43,ಯಾವತ್ತೂ ನಿಮಗೆ ನ ರೀ ಸಿ ಸೊನ್ನೆುತ ತೇ ಅಯ್ಯೋ ಇದು ಮೂಲಾ ಅ ಸ್ಥೀರಾ,ಯಾವತ್ತು ನಿಮ್ಮಗೆ ನರಿ ಸಿಕ್ಕುತ್ತೆ ಅಯ್ಯೋ ಇದು ಮೊಲ ಅಂತ್ತೀರ
6,MAHARANIEP_10_KANNADA_20_PM.STEREO_00:00:52.57_00:00:57.34,ಸಾಹೇಬ್ ರೈ ಇವತ್ನ ಮದುವೆ ವರ್ಷಿ ಕೋಚವ,ಸಾಹೇಬ್ರೇ ಇವತ್ತು ನಮ್ ಮದುವೆ ವಾರ್ಷಿಕೋತ್ಸವ
7,MAHARANIEP_06_KANNADA_20_PM.STEREO_00:07:59.31_00:08:08.00,ಸರ್ ಪಟ್ನಾದಿಂದ ಪ ಶುಪಾ ಸೊನ್ಗೆ ಲನೀ ವಿ ಭ ಾಗ ದ ದೊ ಡ್ಡ ಸ ಹೆಬ್ರು ರಮಣ್ ಅವ್ ರೂ ಮ ಂತ್ಯಗಳ ಎಲ್ಲೋಂ ಟ್ ಮೆంಟ ಪೇಫರಣ ಇವರ ತೊ್ತಕನ ಬ ರ್ಚಿ,ಸರ್ ಪಾಟ್ನಾದಿದ ಪಶುಪಾಲನಾ ವಿಭಾಗ ದ ದೊಡ್ಡ ಸಾಹೇಬ್ರು ರಾಮ್ಮನ್ನವರು ಹಮ್ಮ್ ಮಂತ್ರಿಗಳ ಅಲ್ಲೋಟ್ಮೆಂಟ್ ಪೇಪರ್ನ್ನು ಇವರೇ ತೆಗೆದುಕೊಂಡು ಬರುತಿದ್ದರು
8,MAHARANIEP_07_KANNADA_20_PM.STEREO_00:28:59.03_00:29:01.20,ಬೈ ದ ವೇ ಬಂದಿ ದಕ್ಕೆ ಥ್ಯಾಂ ಕೀ,ಬೈದ ವೇ ಬಂದಿದಕ್ಕೆ ಥ್ಯಾಂಕ್ ಯು
9,MAHARANIEP_03_KANNADA_20_PM.STEREO_00:40:00.01_00:40:01.30,ನಡಿರಿ,ನಡೀರಿ
10,MAHARANIEP_04_KANNADA_20_PM.STEREO_00:36:49.14_00:36:50.35,ಹ ಹ ಸೊನ್ನೆ ಹಾಸ್ತಿ ಹೇಳಿದೆಂಟ್ರು ಅನರ್ಹೀಶವರಲ್ಲೇ ಮತ್ಸರ ಮೂಡಲಾ ನೀ ಕೋಟಿ,ಹ ಹಾ ಸರ್
11,MAHARANIEP_03_KANNADA_20_PM.STEREO_00:51:50.59_00:51:51.40,ತಿರುಕಾ ಮತ್ತು ಸೊನ್ನೆ ಚೆಂದಿ ಬಾರ್ಗಳ ಮೂಡಲ್ ನೀಡ್ಲಿ,ಜಿಂದಾಬಾದ್
12,MAHARANIEP_08_KANNADA_20_PM.STEREO_00:00:48.09_00:00:52.10,ಬಡ್ಡಿ ಮಕ್ಕಳಾ ಇಷ್ಟೊಂದು ದೈರ್ಯ ಬನ್ನಇವರಿಗೆ,ಬಡ್ಡಿ ಮಕ್ಳ ಇಷ್ಟೊಂದು ಧೈರ್ಯ ಬಂತಾ ಇವರಿಗೆ
13,MAHARANIEP_08_KANNADA_20_PM.STEREO_00:10:05.59_00:10:10.40,ಲಾ ಅಂಡ್ ಆರ್ಡರುಗೆ ತು ಸೊನ್ನೆ ಈ ಸಮಸ್ಯೆಯಾಗಿರಬೋತೇ ಮೇಡ ನಮ್ಮ ನೀಚಿ ಸ್ ವಲ್ಪ ಟೈಂ ಕೊ ಡಿ,ಲಾ ಅಂಡ್ ಆರ್ಡರ್ ಗೆ ತುಂಬಾ ಸಮಸ್ಯೆ ಆಗೋಗುತ್ತೆ ಮೇಡಂ ನಮ್ಗೆ ಸ್ವಲ್ಪ ಟೈಮ್ ಕೊಡಿ
14,MAHARANIEP_07_KANNADA_20_PM.STEREO_00:40:12.01_00:40:15.20,ಮೆಡಮ್ ಅದು ಸಾಹೇಬ್ ರು,ಮೇಡಮ್ ಅದು ಸಾಹೇಬರು
15,MAHARANIEP_05_KANNADA_20_PM.STEREO_00:20:17.03_00:20:19.38,ನೀವು ದಿಲ್ಲಿ ಗೆ ಟ್ರಾನ್ಸ್ ಪೂರ್ ಆಕ್ಕಾ ತೊಗ್ಗೊ ಬರುದು,ನೀವು ದೆಹಲಿಗೆ ಯಾಕೆ ಟ್ರಾನ್ಸ್ಫರ್ ತಾಕೋಬಾರ್ದು
16,MAHARANIEP_06_KANNADA_20_PM.STEREO_00:31:29.41_00:31:36.00,ಆಯ್ಂ ಸಾರಿ ಮ್ಯಾ ಸೊನ್ನೆ ಡಮ್ ನ ಲೈಫ ನರೀಸ್ ಕೆತ್ತಳಿ ಈ ಹಗರ್ಣನ ಪಥ್ರ ಹುಚ್ಚಿದೆ,ಐ ಎಮ್ ಸಾರೀ ಮ್ಯಾಡಮ್ ನಾನು ನನ್ನ ಲೈಫ್ ನ್ನರಿಸ್ಕ್ ಗೆ ತಳ್ಳಿ ಈ ಹಗರಣನ ಪತ್ತೆ ಹಚ್ಚಿದೆ
