,id,hypothesis,reference
0,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:34:42.36_00:34:43.23,தங்குமே,தேங்க்யூ மேம்
1,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:03:01.16_00:03:01.58,இவ்வில் இதுவாறு இந்தத் திரையரசுக்குப் பிரதேசத்தினால் உள்ளது என்னும் குறிப்பிட்டார்,எஸ் சார்
2,AVRODH_EP_05_TAMIL_20_PM.STEREO_00:22:46.16_00:22:49.10,இந்திய யுத்ததுக்கு தயாரா ஏற்க,இந்தியா யுத்ததுக்கு தயாராக இருக்கு
3,AVRODH_EP_08_TAMIL_20_PM.STEREO_00:13:19.56_00:13:21.50,சர்க் டிவெண்ட் ஆஃப்,சர் டூ அண்ட் ஹாஃப் மினிட்ஸ்
4,AVRODH_EP_04_TAMIL_20_PM.STEREO_00:14:08.47_00:14:14.00,முதல் ஒரு விஷயத்தினைத் தெரிஞ்சுக்க நேர் திறனாந்த பிரேரணை மூலம் உம்மையால் போர்டு ரொம்ப டிஸப்பாயிண்டராக ஆகியது,முதல ஒரு விஷயத்த நீ தெரிஞ்சிக்க நேத்து நடந்து விஷயத்து மூலமா உன் மேல போர்ட் ரொம்ப டிஸ்ஸபாய்ன்டெட்டா இருக்காங்க
5,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:03:33.11_00:03:37.20,எஸ் ஆல்ராய்டு நாப்புறம் கால் பண்ணுறேன் பை கிளிசெட்,எஸ் ஆல்ரைட் நான் அப்புறம் கால் பண்றன் பாய் ப்ளீஸ் சிட்
6,AVRODH_EP_05_TAMIL_20_PM.STEREO_00:15:50.36_00:15:51.00,ஹல்ஃப் ராஷ்டிரத்தினரின் ஜன்மதிரிப்புக்கு மாற்றியானது இந்தச் சில்லைக் காண்பார்கள் உள்ளனர்,ஆல்வியா சார்ர எனக்கு
7,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:08:23.33_00:08:25.58,யூ டேக்கர் முடிஞ்சும் உண்ண நக் கொண்டு,யு டேக் கேர் முடிஞ்ச உடனே நான் கால் பண்றன்
8,AVRODH_EP_04_TAMIL_20_PM.STEREO_00:08:10.22_00:08:11.25,கையா அணி,கையானி
9,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:05:31.01_00:05:33.02,ப்ளீஸ் கூகிள் கர்னுல் அருளேஷ் சிங்,ப்ளீஸ் கூகுள் கர்னல் அருலேசிங்
10,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:10:55.06_00:10:57.05,ஜன கிரப்பாய முருத்திரங்கா,ஜனங்கள பயமுத்தரங்க
11,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:05:23.46_00:05:25.10,ஜர்னலிசம் போதுள்ளது,ஜர்னலிசம் போதும்னு தோணுது
12,AVRODH_EP_05_TAMIL_20_PM.STEREO_00:23:16.01_00:23:19.25,இஸ்போல் இந்தத் தரவ கிட்டத்தக்கு அறுபதினைச்சு பேர் லஷ்கர் இலஹ்ஸியாக் தொகிட,இஸ்புள் இந்த தடவ கிட்ட தட்ட அருவத்தஞ்சு பேர லஷ்க்கர்ல சேத்துக்கிட்ட ஜனாப்
13,AVRODH_EP_08_TAMIL_20_PM.STEREO_00:10:09.11_00:10:14.49,ஆல்பட்டு கௌதம் இங்கு வில்லேஜ்ஸ் ஸ்துர்த்தி போயி பினாடி லண்டாம் நாட்பான் ஜெல்மன்,ஆல்பா டூ கௌதம் நீங்க வில்லேஜ்அ சுத்தி போயி பின்னாடில இருந்து அட்டாக் பண்ணனும் ஜெண்டில் மென் லேட்ஸ் டேக்
14,AVRODH_EP_04_TAMIL_20_PM.STEREO_00:09:39.31_00:09:47.10,அந்த மிஷின் எல்லாமே சைனாவில் இருக்கும் வாகனது இதுகுப் பேருதான் குளோபலைசேஷன்,அந்த மெஷின் எல்லாமே சீனால இருந்து வாங்குனது இதுக்கு பேரு தான் குளோபலைசேஷன்
