,id,hypothesis,reference
0,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:34:42.36_00:34:43.23,தன் கி ம,தேங்க்யூ மேம்
1,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:03:01.16_00:03:01.58,எனவெனவு ரூபத்தினருக்கும் இதன்மையில் உள்ளனர்கள் உறுதியிடப்படுகின்றது,எஸ் சார்
2,AVRODH_EP_05_TAMIL_20_PM.STEREO_00:22:46.16_00:22:49.10,இந்திய யுத்தத் துக்கு தயாரா இரு க,இந்தியா யுத்ததுக்கு தயாராக இருக்கு
3,AVRODH_EP_08_TAMIL_20_PM.STEREO_00:13:19.56_00:13:21.50,சர் டூண்ட் ஆஃப் ஃபான்ஸ்,சர் டூ அண்ட் ஹாஃப் மினிட்ஸ்
4,AVRODH_EP_04_TAMIL_20_PM.STEREO_00:14:08.47_00:14:14.00,முதல் ஒரு விஷயத்தினை தெரிசிக்க நேர் திரளாந்த விசயது மூலம் உம்மேல போர்டு ரொம்ப டிசம் பயனிடாயிருக் காங்க,முதல ஒரு விஷயத்த நீ தெரிஞ்சிக்க நேத்து நடந்து விஷயத்து மூலமா உன் மேல போர்ட் ரொம்ப டிஸ்ஸபாய்ன்டெட்டா இருக்காங்க
5,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:03:33.11_00:03:37.20,யெஸ் ஆல் ரைட் நாப்றம் கால் பண்ற பாய் கிளிசெட்,எஸ் ஆல்ரைட் நான் அப்புறம் கால் பண்றன் பாய் ப்ளீஸ் சிட்
6,AVRODH_EP_05_TAMIL_20_PM.STEREO_00:15:50.36_00:15:51.00,அலிதாவுக்கு பிரதீபராஜாவின் முதல்வர் ஜெயம் ராசரித்தான் என்றால் திரைப்படையில் நிறைவுறையாகியது,ஆல்வியா சார்ர எனக்கு
7,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:08:23.33_00:08:25.58,யூ டேக்கர் முடிஞ்சு முன்னர் நாக் கொண்டார்,யு டேக் கேர் முடிஞ்ச உடனே நான் கால் பண்றன்
8,AVRODH_EP_04_TAMIL_20_PM.STEREO_00:08:10.22_00:08:11.25,கையா அணி,கையானி
9,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:05:31.01_00:05:33.02,ப்ளீஸ் கூகிள் கேர்னல் அருளேஷ் சிங்,ப்ளீஸ் கூகுள் கர்னல் அருலேசிங்
10,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:10:55.06_00:10:57.05,ஜன்னங்கு ரப்பாய் முர்த்துரங் கா,ஜனங்கள பயமுத்தரங்க
11,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:05:23.46_00:05:25.10,ஜர்னலிசம் போதொன தொனது,ஜர்னலிசம் போதும்னு தோணுது
12,AVRODH_EP_05_TAMIL_20_PM.STEREO_00:23:16.01_00:23:19.25,இஸ்புல் இந்த தரவாக கிட்டத்தட் ட அறுபத் தஞ்சை பேர் லஷ்கர்ல சேதகிட,இஸ்புள் இந்த தடவ கிட்ட தட்ட அருவத்தஞ்சு பேர லஷ்க்கர்ல சேத்துக்கிட்ட ஜனாப்
13,AVRODH_EP_08_TAMIL_20_PM.STEREO_00:10:09.11_00:10:14.49,அல்பெட்டு தௌதம் நீங்க பில்லேஜ் சுத்தி போயி பின்னாடி லந்தா டாக்குமான் ஜேர்ஸ்மன்,ஆல்பா டூ கௌதம் நீங்க வில்லேஜ்அ சுத்தி போயி பின்னாடில இருந்து அட்டாக் பண்ணனும் ஜெண்டில் மென் லேட்ஸ் டேக்
14,AVRODH_EP_04_TAMIL_20_PM.STEREO_00:09:39.31_00:09:47.10,அந்த மெஷின் எல்லாமே சைனாவளவென்று பாங்கனது இதுக்குப் பேருதா குளோபலைசேஷன்,அந்த மெஷின் எல்லாமே சீனால இருந்து வாங்குனது இதுக்கு பேரு தான் குளோபலைசேஷன்
15,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:12:35.56_00:12:40.15,அது சுத்திருக்குற எல்லாத் தீ அமைதியாகிறது,அது சுற்றி இருக்கிற எல்லாத்தையும் அமைதியாக்கிடும்
16,AVRODH_EP_04_TAMIL_20_PM.STEREO_00:20:05.56_00:20:14.30,சார் நீங்க நடிக்கற மாதிரி உன்னுமே கிடையாது நான் வெறும் வேலைகாரன்,சார் நீங்க நினைக்கிற மாதிரி ஒண்ணுமே கெடையாது நான் வெறும் வேலைக்காரன் தான்
17,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:15:31.32_00:15:35.42,பாப்பா ஃபர் டீம் ஆல்ஃபா கேட் ரெடி ஃ பா் ஃ டி இன்டக்ஷன் வி மஸ் லீக் நவம் ஓவா,பாப்பா ஃபார் டீம் ஆல்பா கெட் ரெடி பார் டி இண்டக்ஷன் வி மஸ்ட் லீவ் நொவ் ஓவர்
18,AVRODH_EP_05_TAMIL_20_PM.STEREO_00:03:16.48_00:03:17.34,கொண்ணிங்க போங்கள்,நீங்க போங்க
19,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:13:55.06_00:13:56.17,தி மார்க் ஓர் கிளப்,ரீமார்க் கோர்ட்ல
20,AVRODH_EP_05_TAMIL_20_PM.STEREO_00:23:19.26_00:23:25.30,அத்தனை பேரிசை திட்டனாவான் அப்போ நிறைய பெயரை இன்னும் சேர்க்க வேண்டியதிற்கு,அத்தனை பேர சேத்துட்டானா அப்போ நெறைய பேரா இன்னும் சேக்க வேண்டியது இருக்கு
21,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:11:36.36_00:11:38.01,குறிச்சியாப்பு ரேசி,குட் ஜாப் ரெசி
22,AVRODH_EP_03_TAMIL_20_PM.STEREO_00:12:33.51_00:12:37.30,நிகர்க்,நிஹாரிகா
23,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:14:32.41_00:14:36.57,ஆல் யூனிட்ஸ் கொல்லிங் ஆல் இன்னட்சு கோட் லா கம்பர்மர் சாய்டு டே,ஆல் யூனிட்ஸ் காலிங் ஆல் யூனிட்ஸ் கோர்ட்ல காம்பெர்மைஸ் ஆயிடிச்சு
24,AVRODH_EP_03_TAMIL_20_PM.STEREO_00:05:34.52_00:05:37.10,சர் த நேபல் ஃபோர்சஸ் ஆல் சோ அன் ஸ்டாண்ட் பெய்ச் சார்,சார் த ஃபோர்ஸ் ஆல்சோ ஸ்டாண்ட் பை சார்
25,AVRODH_EP_08_TAMIL_20_PM.STEREO_00:21:57.36_00:22:00.45,டார்கெட் குள் எத்தனை பேர்களுக்காக இனி ஐடியா,டார்கெட் குள்ள எத்தன பேர் இருக்காங்க எனி ஐடியா
26,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:14:05.12_00:14:05.33,இதனால் இதன் மூலத்திற்கு மாற்றுக் கொடுப்பாடுகள் காரணம் என்றாலும் இவ்விதழ்கள் உடனடிக்கப்பட்டுள்ளது,சிக்ஸ் டவ்ன்
27,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:12:15.02_00:12:16.57,டவுட்டாவு சார்ஜ்ஸ்,டௌன் டௌன் சார்ஜஸ்
28,AVRODH_EP_04_TAMIL_20_PM.STEREO_00:10:16.23_00:10:21.00,ஏ ஏ அன்னா நீ எப்பவுமே எக்ஸ்ட்ராடினரிய தேடிப் போயிருக்க,யா யா ஆனா நீ எப்பவுமே எக்ஸ்னாடினரி ஆ தேடிப்போய்ட்டுருக்க
29,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:32:55.45_00:33:01.30,தங்கியு சார் தங் கி ஃபர் எவ்ரித்திங் இதுதான் பிக்காஸ் ஆஃப் யூ,தேங்க் யூ தேங்க் யூ ஃபார் எவ்ரி திங் திஸ் இஸ் ஆல் பிகாஸ் ஆப் யூ
30,AVRODH_EP_04_TAMIL_20_PM.STEREO_00:01:38.16_00:01:51.10,ஸ்கூல்ல படிக்கும்போது என்ப பொடிவாதகர் எலாத்திலுமே ஃப்ர்ஷ்ட் வர்ன் உண்ணனுப்பாங்க் பாரு நம்ம எள்ளாரையுமோ பின்னாடி விட்டுடு போயுடா,ஸ்கூல்ல படிக்கும்போதே ரொம்ப பிடிவாத காரன் எல்லாத்துலையும் பிரஸ்ட் வரணும்னு நினைப்பான் பாரு நம்ப எல்லாரையும் பின்னாடி விட்டுட்டு போய்ட்டான்
31,AVRODH_EP_05_TAMIL_20_PM.STEREO_00:19:55.37_00:19:57.25,அவ்வுக்கு இது பத்து என்ன சொல்றாங்க,அவங்க இதை பத்தி என்ன சொல்லுறாங்க
32,AVRODH_EP_05_TAMIL_20_PM.STEREO_00:13:00.31_00:13:01.19,ஜாக்ஸ்,ஜாக்க்ஸ்
33,AVRODH_EP_08_TAMIL_20_PM.STEREO_00:13:06.51_00:13:10.20,இன்ஸ்டர் டீம் ஆல்பா கூட எந்த கம்யூனிகேஷனும் இருக்காது ரேடியோ சைலன்சா மேன்டென் பண்ணு,சார் டீம் ஆல்ஃபா கூட எந்த கம்யூனிகேஷன்னும் இருக்காது ரேடியோ சைலென்ஸ்ச மெயின்டைன் பன்றோம்
34,AVRODH_EP_05_TAMIL_20_PM.STEREO_00:05:26.18_00:05:29.58,நீயோ சுனிதா மாடம் முருக்கர போடோகிராப்ஸ் ஆன்லைன் கப்பலி போச்சு,நீயும் சுனிதா மேடமும் இருக்குற ஃபோட்டோக்ராப்ஸ் ஆன்லைன்கு எப்படி போச்சி
35,AVRODH_EP_03_TAMIL_20_PM.STEREO_00:19:31.21_00:19:37.05,ஜெனரல் சின்ஹா அதிக வஸ்கிலியா நோ நியூ ஆபரேஷன்சு,ஜென்ரல் சின்ஹா ஐ திங்க் ஐ வாஸ் கிரியார் நோ நியூ ஆப்ரேஷன்
36,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:09:17.57_00:09:20.00,ஆல் பவன் மோஹித் பாபுல் விஜய் சீராளிட்டார்,ஆல்பா ஓன் மூவிங் பார்வோர்ட் ரேசி அலர்டாஇரு
37,AVRODH_EP_05_TAMIL_20_PM.STEREO_00:12:14.36_00:12:15.06,அ ஜ ய,ஜெய் ஹிந்த்
38,AVRODH_EP_05_TAMIL_20_PM.STEREO_00:14:26.00_00:14:28.34,சோல்ஜர்ஸ் ஸ்ரீநகருடன் பிரைவேட் ஏர்பேஸுக்குள்ள லேண்டாயிரக்,சோல்ஜர்ஸ் ஸ்ரீ நகரோட பிரைவேட் ஏர் பிளேஸ்ல லேண்ட் ஆகிருக்காங்க
39,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:08:13.31_00:08:14.45,நீங்க ரெட்டு பெறும் கவனம் ஆகியவை,நீங்க ரெண்டு பேரும் கவனமா இருங்க
40,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:23:55.14_00:23:59.55,கமான் துங்க பிகாபுள் ஜா கமார்,கமான் தூக்குங்க பி கேர் ஃபுள் ஆ
41,AVRODH_EP_03_TAMIL_20_PM.STEREO_00:06:28.51_00:06:31.00,எஸ்ஸ,எஸ் சார்
42,AVRODH_EP_04_TAMIL_20_PM.STEREO_00:10:57.51_00:11:02.04,ஏ எல்லாம் காஞ்சா கேசுங்க இளஹ் ரூபத்தின் ஜூனியாவுக்கும் பிரபல மாவட்டியில் கிடைக் கொண்டுள்ளது,எல்லாம் கஞ்சா கேசுங்க இல்ல
43,AVRODH_EP_03_TAMIL_20_PM.STEREO_00:05:50.35_00:05:53.20,இந்த மாதிரி எவ்ளோ ஸ்டேட்மெண்ட்ஸ் குடுத்தால நம்ம நெய்பிஷ் கண்ணுக்கு விமர்சனம்,இந்த மாறி எவ்ளோ ஸ்டேட்மென்ட் குடுத்தாலும் நம்ம நெய்பெர்ஸ் கண்டுக்கவே மாட்டாங்க
44,AVRODH_EP_04_TAMIL_20_PM.STEREO_00:14:36.06_00:14:37.10,எங்கர் பரவுரை,எங்க இருப்பாரு இவரு
45,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:28:34.06_00:28:39.32,சரி உன்னோட அசிஸ்டன்ட் பாவம் போழைக்கல,சாரி உன்னோட அசிஸ்டன்ட் பாவம் பொழைக்கல
46,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:34:43.24_00:34:44.28,தேங்கியூ,தேங்க் யூ
47,AVRODH_EP_03_TAMIL_20_PM.STEREO_00:12:11.01_00:12:11.50,போன் எய்ட்,போன்ன எடு
48,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:11:38.02_00:11:41.44,எல் ஃபர் டூ சார்ஜர் செட் ஓவர்,ஆல்பா டூ சார்ஜெர் செட் ஓவர்
49,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:12:01.36_00:12:04.50,நீங்க பாக்கர் ஜெயலாமிய மலைக் காடுகள் இருதயங்களுடைய ஒரே வீடு,நீங்க பாக்குறது எல்லாமே மலை காடுகள் இதுதான் எங்களுடைய ஒரே லேஅவுட்
50,AVRODH_EP_05_TAMIL_20_PM.STEREO_00:03:43.06_00:03:50.24,ஒரு நேஷனல் செக்யூரிட்டி கவுன்சிலரோடு மெம்பர் அ எல்லா சீக்ரெட்ஸையும் நீங்க தெரிஞ்சுக்க வேண்டீது அவசியம்,பட் நேஷனல் செக்யுரிட்டி கவுன்சிலாட மெம்பரா எல்லா சீக்ரெட்ஸ்ஸயும் நீங்க தெரிஞ்சிக்க வேண்டியது அவசியம்
51,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:17:16.48_00:17:19.48,ஐ சி மு ம் ட் லெவன் க்ளாக் கோயிங் ஆஃப்,ஐ சி மூவ்மென்ட் லவனோ கிளாக் கோயிங் ஆஃப்டர்
52,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:18:31.31_00:18:35.10,நம்ம நாட்டு மேல இருக்கிற எல்லாரோட கண்ணோடத்தையும் நாம் மாதம்,நம்ம நாட்டு மேல இருகர எல்லாரோட கண்ணோட்டத்தையும் நம்ம மாத்தனும்
53,AVRODH_EP_04_TAMIL_20_PM.STEREO_00:23:59.41_00:24:04.22,யும்மஸ் லெட் யுவர் பெஷ்ட் ஆஃபிஸர் அஸ டீம்லீடர் நமக்கு எந்த மாதிரி ஆளுத்தேவென்னா,யு மஸ்ட் லெட் யுவர் பெஸ்ட் ஆஃபீசர் அஸ் அ டீம் லீடர் நமக்கு எந்த மாறி ஆள் தேவைன
54,AVRODH_EP_04_TAMIL_20_PM.STEREO_00:08:34.18_00:08:44.05,மேலருந்து ஆர்டர் ஒன்றிற்கு ஜே ஷூ ஹிஸ்பாப் ரெண்டும் நம்மளதுதான் சேர்ந் து வேலை செய்யணும,மேல இருந்து ஆர்டர் வந்திருக்கு ஜேசு ஹிஸ்வப் ரெண்டும் நம்மளது தான் சேர்ந்து வேலை செய்யணும்
55,AVRODH_EP_04_TAMIL_20_PM.STEREO_00:04:51.21_00:04:52.04,முன்னர் மார்க்கிளம் மற்றும் ரூபன்ஸ்டைட்டிங்குடன் பிரதிநிதித்துவம் நிறைவுறுவது முதல்வர் ஜெயலலிதாவின் காரணம் என்றால் தொல்லையாளர்கள் உள்ளது,ம்ம்
56,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:06:57.42_00:06:58.45,கௌதம்,கௌதம்
57,AVRODH_EP_05_TAMIL_20_PM.STEREO_00:06:34.59_00:06:42.27,ஜெனரல் செபாஸ்டியனுடன் அப்பேசினர் இந்த பிளானும் பிரதிபலி அவரு ரொம்ப கான்ஃபிடென்டர் கார்,ஜெனரல் செபாஸ்டியன்னோட நான் பேசினேன் இந்த பிலான்ன பத்தி அவரு ரொம்ப கான்ஃபிடென்ட்டா இருக்காரு
58,AVRODH_EP_08_TAMIL_20_PM.STEREO_00:18:48.42_00:18:58.55,இவங்க என்ன இண்டர்வியூ எடுக்குனோன்னு கேட்டுருந்தாக அதனாலத்து காலிலே வரசொல்லினான் சரி வெள்ள விஷயத் தோ சொலுங்கள்,இவங்க என்ன இன்டெர்வியூ எடுக்கணும்ன்னு கேட்டு இருந்தாங்க அதனால தான் காலைலே வர சொல்லிட்டேன் சரி வந்த விசயத்த சொல்லுங்க
59,AVRODH_EP_04_TAMIL_20_PM.STEREO_00:09:58.01_00:10:02.40,ஐதெங்க் இந்த உலகத்துல நம் ஒருத் தம் மட்டும்தான் எங் கர்ல் ஃப்ரண்ட்ஸ் டாக் பண்ணுறதுக்காக நியூசு பாகறேன்,ஐ திங்க் இந்த உலகத்துல நான் ஒருத்தன் மட்டுதா என் கேர்ள் பிரண்டா ஸ்டாப் பண்றதுக்காக நியூஸ் பாக்குறேன்
60,AVRODH_EP_08_TAMIL_20_PM.STEREO_00:10:02.06_00:10:03.00,சர்,சார்
61,AVRODH_EP_05_TAMIL_20_PM.STEREO_00:10:27.45_00:10:29.07,ச,சார்
62,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:19:52.16_00:20:00.55,டாகட்டி அங்க நமக்கு இவங்களாம் கிடைப்பாக அபு ஹஃபீஸ் ஹப்ரு அவனோட கூடாவி வஹாப்,டார்கெட் டீம்அங்க நமக்கு இவங்க எல்லாம் கிடைப்பாங்க அபு ஆபீஸ் அப்புறம் அவனுடைய கூட்டாளி வாஹப்
63,AVRODH_EP_03_TAMIL_20_PM.STEREO_00:05:45.01_00:05:47.30,இந்த அட்டாக் பின்னாடி யார் இருக்கு அங்கன் எதாவது தெரிஞ்சது,இந்த அட்டாக் பின்னாடி யாரு இருக்காங்கனு ஏதாவது தெரிஞ்சதா
64,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:10:07.59_00:10:09.20,அல் பவுர் நீர் முதலில் இருந்தது,ஆல்பா ஓன் இன் பொசிஷன்
65,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:04:38.01_00:04:41.00,எனக்காக எள்ளாட்டியோம்,எனக்காக இல்லாட்டியும்
66,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:20:15.41_00:20:16.20,இஸ்தர்,எஸ் சர்
67,AVRODH_EP_04_TAMIL_20_PM.STEREO_00:22:07.54_00:22:13.32,ஒன் ஓ ஃபை அண்ட் ஒன் திரு சிக்ஸ் ஏர்போர்டு ஸ்குவாடன்ஷ் ஆல் ரெடி பிரிஸிட் பெயில்ல இருக்காங்க அம்பாலா அப்ரா அமிர்ஜ்டர்,ஓன் ஓ ஃபைவ் அண்ட் ஒன் த்ரீ சிக்ஸ் ஏர்ஃபோர்ஸ் ஸ்குவாடென்ட்ஸ் ஆல்ரெடி இப்போ ஸ்டாண்ட்பைல இருக்காங்க அம்பாலா அப்பறம் அமிர்ஸ்டெர்
68,AVRODH_EP_05_TAMIL_20_PM.STEREO_00:12:56.54_00:12:58.30,ஜெ சொல் ஸ்,சார் சார்
69,AVRODH_EP_05_TAMIL_20_PM.STEREO_00:05:02.57_00:05:06.36,டேம் இந்த மீடியா இல்லல்ல சார் இதேலாமே ஃபேக் நியூஸ்தா,டேம் இந்த மீடியா இல்லை இல்லை சார் இது எல்லாமே ஃபேக் நியூஸ்தான்
70,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:24:19.06_00:24:21.00,ஆல்பா குரூப் பைரட் மெல்,அல்பா குரூப் பையர் அட் வில்
71,AVRODH_EP_03_TAMIL_20_PM.STEREO_00:21:13.58_00:21:20.40,நீ இந்தப் பக்கபோ நீ அதப்பக் கபோ,நீ இந்த பக்கம் போ நீ அந்த பக்கம் போ மேல மேல இருக்கான் வாங்க
72,AVRODH_EP_04_TAMIL_20_PM.STEREO_00:14:16.36_00:14:17.00,வாட்டுக்குத் தொடர்பின் ரூபத்தில் உள்ள நூல்களிலும் இதுவாறு என்று காணப்படுகொண்டார்கள்,வாட்
73,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:03:15.31_00:03:17.10,எஸ் வீரம் ராய்ட்,எஸ் சார்
74,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:16:12.31_00:16:13.04,குரோம்,குறுங்
75,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:11:10.52_00:11:11.44,மொத்த வங்கிலேயே முடியும்,மத்தவங்களையும் முடிச்சிரு
76,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:19:20.44_00:19:26.16,ஸ்டாப் மார்க்கெட் ஓபன் அர்ட் க்கு முன்னாடி அனவ்ன்ஷ் பொண்டு பண்ண பெற்ற அறுப்பும் நடிகரேன்,ஸ்டாக் மார்க்கெட் ஓப்பன் ஆகாரத்துக்கு முன்னாடி அனௌன்ஸ்மென்ட் பண்ணா பெட்டரா இருக்கும் நெனைக்கற
77,AVRODH_EP_03_TAMIL_20_PM.STEREO_00:01:23.36_00:01:26.56,ஜஸ் அதுக்கு இவர் இனி எம் மானிட்ரிங் பண்டும் இட்டார்,நர்ஸ் அத குடுங்க இவரை நீங்க மானிட்டர் பன்னிட்டே இருங்க
78,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:03:47.35_00:03:54.28,இப்போ உலகத்துக்குத் தேவையில்லை இது கெல்வா செக்யூரிட்டி கவுன்சிலுகின் யுஎஸ் தான் எப்படியாவது பதில சொல்யாகனும்,இப்போ உலகத்துக்கு இது தேவையில்லை இதுக்கெல்லாம் செக்கியூரிட்டி கவுன்சிலுக்கு யு எஸ் தான் எப்படியாவது பதில் சொல்லியாகணும்
79,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:11:02.35_00:11:04.20,லுக் அப் எஸ் அலெக்ட்,லுக் ஆப் திஸ் அலரட்
