,id,hypothesis,reference
0,Maharani_0010_01_HD_5.1_00:29:59.38_00:30:00.46,बहुत नहीं होता है,मुर्दाबाद मुर्दाबाद
1,Maharani_0007_01_HD_5.1_00:37:29.38_00:37:34.40,ने तो पेट खराब हो जाएगा पुढ़ाफे में,नहीं तो पेट खराब हो जाएगा बुढ़ापे में
2,Maharani_0007_01_HD_5.1_00:08:53.31_00:08:55.08,कि हमी आपको अपना मान बैठें,कि हम ही आपको अपना मान बैठे
3,Maharani_0005_01_HD_5.1_00:27:18.37_00:27:27.54,टेक्निकली नहीं असल के हेल्प मिनिस्टर बनिएगा हम आएंगे,टेक्निकली नहीं असल के हेल्थ मिनिस्टर बनिएगा हम आएँगे
4,Maharani_0004_01_HD_5.1_00:21:11.21_00:21:14.12,तुम लुक आदमी हूं फिर राक्सस हो,तुम लोग आदमी हो के राक्षक हो
5,Maharani_0001_01_HD_5.1_00:15:43.53_00:15:48.15,रानी अब तुम ना हमसे ज्यादा कुछ करवा रही हो,रानी अब तुम ना हम से ज्यादा कुछ करवा रही हो
6,Maharani_0007_01_HD_5.1_00:18:10.54_00:18:13.05, नहीं होता है,
7,Maharani_0002_01_HD_5.1_00:17:16.51_00:17:21.18,बोलिएः निडार ओके बालिये किसी की बपावती नहीं है बिहार,बोलिए बोलिए निडर हो के बोलिए किसी की unintelligible नहीं है बिहार में बोलिए
8,Maharani_0009_01_HD_5.1.mp4_00:00:52.47_00:00:57.49,पर सीएम पद की दावेदारी को लेकर पार्टी के अंदर और बाहर,पर सी एम पद की दावेदारी को लेकर पार्टी के अंदर और बाहर
9,Maharani_0009_01_HD_5.1.mp4_00:22:30.19_00:22:36.38,तुम हमेशा पीछे की रोटी खाते हूं अपॉर्चुनेट्री निकल जाने के बाद झापते,तुम हमेशा पीछे की रोटी खाते हो अपॉर्चुनिटी निकल जाने के बाद जागते हो
10,Maharani_0010_01_HD_5.1_00:09:33.16_00:09:37.09,ये मेरा आदमी है अनवीन के यहां,ये मेरा आदमी है नवीन के यहाँ
11,Maharani_0007_01_HD_5.1_00:11:37.40_00:11:39.06, हां पाय तो बहुत अच्छा लगा,आप आए तो बहुत अच्छा लगा
12,Maharani_0001_01_HD_5.1_00:18:44.26_00:18:56.44,आइये आईयेः आयाया शर्माई में यावा,आइए आइए आइए आइए शरमाइए मत आइएआओ आओ आओ
13,Maharani_0010_01_HD_5.1_00:31:04.01_00:31:12.05,कि मैं विधि द्वारा स्थापित भारत के संवैधान के प्रति सच्ची श्रध्दा और निष्ठा रखूंगी,कि मैं विधि द्वारा स्थापित भारत के संविधान के प्रति सच्ची श्रद्धा और निष्ठा रखूँगी
14,Maharani_0010_01_HD_5.1_00:01:41.11_00:01:49.02,आप बिहार के साहिब है हर चीज का खबर रखते हैं जानते तो हमसे कह पूछ रहे,आप बिहार के साहिब हैं हर चीज़ का खबर रखते हैं जानते हैं तो हमसे काहे पूछ रहे हैं
15,Maharani_0009_01_HD_5.1.mp4_00:28:00.01_00:28:04.20,कार्य येथे पूर्व मुख्यमंत्री भीमशेल भारतीका इस रूपया से कोई नेता जना नहीं है,कहा है कि पूर्व मुख्य मंत्री भीम सिंह भारती का इस रुपये से कोई भी लेना देना नहीं है
16,Maharani_0008_01_HD_5.1_00:25:09.45_00:25:12.23, उन्हें नहीं होती है,
17,Maharani_0008_01_HD_5.1_00:12:21.01_00:12:24.34,आज साम तक वो हरामजादे को गिरफ्तार कर लेंगे,आज शाम तक ऊ को गिरफ्तार कर लेंगे
18,Maharani_0008_01_HD_5.1_00:12:06.49_00:12:09.44,चाय,चाय
19,Maharani_0005_01_HD_5.1_00:10:02.02_00:10:06.05,काल किसी छोटालाल जी की पथरी का ऑपरेशन होता है,कल किसी छोटेलाल जी का पत्री का ऑपरेशन हुआ था यहाँ
20,Maharani_0002_01_HD_5.1_00:36:45.59_00:36:53.55,साफ दिखाई देरा क्या हो रहा है यहां पर आप मिले हुए भीमा से और गौरी शंकर पांडे से,साफ दिखाई दे रहा है क्या हो रहा है यहाँ पे आप मिले हुए हैं भीमा से और गौरी शंकर पांडे से
21,Maharani_0010_01_HD_5.1_00:20:21.50_00:20:28.12,जो भी हो अध्यक्ष महुद्दय हम आज अ पने बिहार को इन दोनों के चंगुल से मुक्ति दिला किए रहें,जो भी हो अध्यक्ष महोदय हम आज अपने बिहार को इन दोनों के चंगुल से मुक्ति दिला के रहेंगे
22,Maharani_0009_01_HD_5.1.mp4_00:29:35.49_00:29:40.54,अभी आपका मुख्यमंत्री बनना अब सही नहीं रहेगा मेरे खयाल से तो,अभी आपका मुख्यमंत्री बनना सही नहीं रहेगा मेरे ख्याल से तो
23,Maharani_0009_01_HD_5.1_00:20:38.08_00:20:42.17,बेसार ज़े आपसे एक बात पूछें तो सचस़ बताइएगा,मिश्रा जी आपसे एक बात पूछे तो सच सच बताइएगा
24,Maharani_0009_01_HD_5.1_00:27:50.09_00:27:52.58,इन्पोस्टमेंट रेटर ने करोड़ रुपये के साथ जब्तार की,इंफोसमेंट रैड फेर में करोड़ रुपये के साथ गिरफ्तार किया है
25,Maharani_0003_01_HD_5.1_00:15:11.39_00:15:14.05,वो मैदो पुरानी परंपरा है,वो मैडम पुरानी परंपरा है
26,Maharani_0004_01_HD_5.1_00:30:58.38_00:31:05.15,मैडम हमारा पास में पैसा नहीं है हमी ख़ूद समझनही आ रहा है कहां से लाएगा,मैडम हमारे पास में पैसा नहीं है हमें कुछ समझ नहीं आ रहा है कहाँ से लाएगा
27,Maharani_0005_01_HD_5.1_00:10:53.46_00:10:55.16, कहां आएडमी ढ़ा बालो,कहाँ एडमिट है बोलो
28,Maharani_0009_01_HD_5.1.mp4_00:16:03.17_00:16:08.32,राजनीति में इतना घमंड अच्छा बात नहीं होता है,राजनीति में इतना घमड़ अच्छा बात नहीं होता है
29,Maharani_0002_01_HD_5.1_00:24:27.51_00:24:33.47,सर आप ऊपर से बहुत है सीरियस दिखते हैं लेकिन भीतर था भुँइत फंद,सर आप ऊपर से बहुते सीरियस दिखते हैं लेकिन भीतर से बहुते फनी है
30,Maharani_0010_01_HD_5.1_00:18:46.33_00:18:53.00,इस अविश्वास प्रस्ताव का सामना करने के लिए हमारे बीच में आज विराजमान,इस अविश्वास प्रस्ताव का सामना करने के लिए हमारे बीच में आज विराजमान हैं
31,Maharani_0004_01_HD_5.1_00:10:48.56_00:10:53.36,आज हम समझें कि बिहार का मुख्यमंत्री होना कितना मश्किल काम है,आज हम समझे हैं कि बिहार का मुख्यमंत्री होना किता मुश्किल काम है
32,Maharani_0004_01_HD_5.1_00:33:30.23_00:33:35.07,जांच तो होता रहेगा मगर पहले इच्छौरी को रोकना होगी,जाँच तो होता रहेगा मगर पहले इ चोरी को रोकना पड़ेगा
33,Maharani_0008_01_HD_5.1_00:05:56.23_00:05:57.00,बहुत नहीं होता है कि उनके पूर्व के लिए जुदड़ा जाती है,
34,Maharani_0001_01_HD_5.1_00:36:09.08_00:36:15.49,अच्छा प्रेम तो बयान दिया है,अच्छा प्रेम तो बयान दिए हैं
35,Maharani_0007_01_HD_5.1_00:25:54.25_00:25:59.58,अच्छा हां आराम सुजान बोल रहा था कि उसका ऑफिस पैट चोरी हो गया,अच्छा हाँ राम सुजान बोल रहा था कि उसका ऑफिस से पेड चोरी हो गया है
36,Maharani_0009_01_HD_5.1_00:16:44.41_00:16:52.09,सारा मैनेजमेंट महामाईम और मचान बाबा के हैं ये जूतियां तो मैंनेयजर है,सारा मैनेजमेंट महामहिम और मचान बाबा का है ये तो मैनेजर है
37,Maharani_0003_01_HD_5.1_00:51:37.31_00:51:38.20, ज़िम्बाबद़ा में भाषिका और भूजराज्ञाँ के लिए नहीं होती हैं,जिंदाबाद
38,Maharani_0001_01_HD_5.1_00:28:29.47_00:28:32.58,या चुना नहीं अब रण होगा,याचना नहीं अब रण होगा
39,Maharani_0001_01_HD_5.1_00:01:51.29_00:01:56.03,मालकिन कहीं पता कीजिए तबीयत तो ठीक है नई मर्तिका,मालकिन कहीं पता कीजिए तबीयत तो ठीक है ना इमरती का
40,Maharani_0004_01_HD_5.1_00:31:29.54_00:31:39.33,पांद्रह सौ करोड़ राज्य सरकार के पास सबको बेतन देने की लिए पैसा काय नहीं है,पंद्रह सौ करोड़ अरे राज्य सरकार के पास सबको वेतन देने के लिए पैसा काहे नहीं है
41,Maharani_0001_01_HD_5.1_00:23:31.58_00:23:35.24,इस रौब,इधर आओ
42,Maharani_0007_01_HD_5.1_00:36:31.08_00:36:39.50,भीमा बाबू पर गोली चलाने की साजिश में कौन कोण शामिल था,भीमा बाबू पर गोली चलाने की साजिश में कौनकौन शामिल था
43,Maharani_0001_01_HD_5.1_00:23:20.25_00:23:22.47,हमला वर बीस से तीस लोग थे,हमलावर बीस से तीस लोग थे
44,Maharani_0005_01_HD_5.1_00:23:50.44_00:23:57.25,आतः साढ़ की कमी दूर करके,आते हैं हम सांड की कमी दूर करके हम्म चाय पीजिए आप
45,Maharani_0003_01_HD_5.1_00:51:31.01_00:51:31.58,उन्हें नहीं होते हैं,रानी भारती
