,id,hypothesis,reference
0,844424931246230-671-m,ആ ചുകപ്പുകള് നോക്കി ഞാന് അവിടെ എത്രയോ നേരം വരുതെന്നു,ആ ചുകപ്പുകള് നോക്കി ഞാന് അവിടെ എത്രയോ നേരം വെറുതെ നിന്നു
1,844424931246269-671-m,രണ്ട് ടീമുകള്ക്കും പത്താം ഐ പി എല്ലിലെ ആദ്യ മത്സരമാണ് ഇത്,രണ്ട് ടീമുകള്ക്കും പത്താം ഐ പി എല്ലിലെ ആദ്യ മത്സരമാണ് ഇത്
2,844424931184676-83-f,എന്തായാലും പുറത്തായ് നമുക്കെ വിടി നിന്നു കഥ പറഞ്ഞു നിൽക്കാം,എന്തായാലും പുറത്ത് ആയി നമ്മുക്ക് ഇവിടെ നിന്നു കഥ പറഞ്ഞു നിൽക്കാം
3,844424931349891-263-f,പക്ഷേ അത് ചോദിച്ച് പിന്നീട് ആരും വന്നേറ്റില്ല എന്നാണ് മറ്റു സത്യം,പക്ഷേ അത് ചോദിച്ച് പിന്നീട് ആരും വന്നിട്ടില്ല എന്നതാണ് മറ്റൊരു സത്യം
4,844424931283691-1018-f,ആ സമയത്ത് ഞാൻ ആ ഫോണിൽ നിന്നും അയാളെ വിളിച്ചു സംസാരിച്ചു,ആ സമയത്ത് ഞാന് ആ ഫോണില് നിന്നും അയാളെ വിളിച്ചു സംസാരിച്ചു
5,844424931246255-671-m,രണ്ടാം നിലയില് നിന്ന് മുകളിലെ നിലയിലേക്ക് പോകാനായി സംഘം വീണ്ടും ലിഫ്റ്റില് കയറി,രണ്ടാം നിലയിൽ നിന്ന് മുകളിലെ നിലയിലേക്കു പോകാനായി സംഘം വീണ്ടും ലിഫ്റ്റിൽ കയറി
6,844424931288835-1018-f,ആമസോൺ തീപിടുത്തത്തിൽ പ്രതിഷേധിച്ച ഡി വൈ എഫ് ഐ ഏ ട്രോളി ബൽറാം,ആമസോണ് തീപിടുത്തത്തില് പ്രതിഷേധിച്ച ഡി വൈ എഫ് ഐയെ ട്രോളി ബല്റാം
7,844424931332882-744-f,ഏറ്റവും ഒടുവിൽ വലിയൊരു ഡൈസെപ്പം വേട്ടതന്നെ എക്സൈസ് സംഘം നടത്തിയിട്ടുണ്ട്,ഏറ്റവും ഒടുവില് വലിയ ഒരു ഡയസെപാം വേട്ട തന്നെ എക്സൈസ് സംഘം നടത്തിയിട്ടുണ്ട്
8,844424931280657-804-f,എന്നെ സംബന്ധിച്ച് കലാകാരനെന്ന നിലയിലുള്ള അതിജീവന ശ്രമങ്ങളാണ് ഓരോ പാട്ടും,എന്നെ സംബന്ധിച്ച് കലാകാരൻ എന്ന നിലയിലുള്ള അതിജീവന ശ്രമങ്ങളാണ് ഓരോ പാട്ടും
9,844424931238778-671-m,എറണാകുളം ജില്ലയുടെ വടക്കേ അറ്റത്തായി തൃശൂർ ജില്ലയോട് ചേർന്ന് കിടക്കുന്നു,എറണാകുളം ജില്ലയുടെ വടക്കേ അറ്റത്തായി തൃശ്ശൂർ ജില്ല യോടു ചേർന്ന് കിടക്കുന്നു
10,844424931238869-671-m,കല്ബ ഇക്കോ ടൂറിസം ബദ്ധതയോട് ചേര്ന്നാണ് കല്ബ വോട്ടര് ഫ്രണ്ട് ഒരുങ്ങുന്നത്,കൽബ ഇക്കോ ടൂറിസം പദ്ധതിയോടു ചേർന്നാണ് കൽബ വാട്ടർ ഫ്രന്റ് ഒരുങ്ങുന്നത്
11,844424931238820-671-m,അഴിമതി കേസില് മുതിര്ന്ന കോണ്ഗ്രസ് നേതാവ് ബയലാര് രവിയുടെ മകന്റെ സ്വത്ത് കണ്ടുകെട്ടി,അഴിമതി കേസില് മുതിര്ന്ന കോണ്ഗ്രസ് നേതാവ് വയലാര് രവിയുടെ മകന്റെ സ്വത്ത് കണ്ടുകെട്ടി
12,844424931246244-671-m,ഗുഹയിൽ ഒരു ജോടി മാടപ്പുറാവുകൾ മാത്രം വസിക്കുന്നു എന്നു പറയുന്നതും ശരിയല്ല,ഗുഹയില് ഒരു ജോഡി മാടപ്രാവുകള് മാത്രം വസിക്കുന്നു എന്നു പറയുന്നതും ശരിയല്ല
13,844424931246206-671-m,ഉടന് തന്നെ താരം ചുവപ്പ് കാട് കാട്ടിയ റഫറിയെ തള്ളി മാറ്റുകയായിരുന്നു,ഉടന് തന്നെ താരം ചുവപ്പ് കാര്ഡ് കാട്ടിയ റഫറിയെ തള്ളി മാറ്റുകയായിരുന്നു
