,id,hypothesis,reference
0,AVRODH_EP09_MARATHI_MIX_081020_00:03:07.44_00:03:13.03,सगळे देश आपल्यासोबत आहेत कारण त्यांना परिस्थिती माहितेय बोला प्रशांतजी,सगडे देश आपल्या सोबत आहेत कारण त्यांना परिसतिथी माहीत आहे बोला प्रशांत जी
1,AVRODH_EP06_MARATHI_MIX_081020_00:26:15.45_00:26:20.08,एक बात मी कदाचित तुम्हाला मदत होईल,एक बातमी आहे कदाचित तुम्हाला मदत होईल
2,AVRODH_EP09_MARATHI_MIX_081020_00:27:47.41_00:27:50.57,जनरल सबॅस्टियनने स्वतः पाकिस्तानी आर्मी चीफ लादले आहे,जनरल सेबेस्टियनने स्वतः पाकिस्तानी आर्मी चीफला द्यावी
3,AVRODH_EP06_MARATHI_MIX_081020_00:20:11.41_00:20:19.38,बाय गायस से यू आणि टेक केयर,बाय गाइज़ सी यू एण्ड टेक केयर
4,AVRODH_EP05_MARATHI_MIX_081020_00:23:13.01_00:23:15.44,आता आपल्या सोबत होता आता त्यांच्या सोबत होता,हा तर आपल्या सोबत होता आता त्यांचा सोबत
5,AVRODH_EP09_MARATHI_MIX_081020_00:10:53.37_00:10:55.00,कॉपी सर्म,कॉपी सर
6,AVRODH_EP07_MARATHI_MIX_081020_00:09:26.24_00:09:32.30,तर त्यामध्ये कुठलाही इंडियन ऑफिसर दोषी नसेल हे सांगतोय,तर त्यामध्ये कुठला ही इंडियन ऑफिसर दोषी नसेल हे सांगतोय
7,AVRODH_EP06_MARATHI_MIX_081020_00:12:45.38_00:12:48.11,ही दोन्ही मुलं दोन वर्षांपूर्वी एक हजार नऊ शे तेरा वीस अश्विन आणि त्यावरील आणि त्यावरील आणि त्यावरील आणि त्यावरील आणि त्यावरील आणि त्यावरील आणि त्यावरील आणि त्यावरील आणि त्यावरील आणि त्यावरील आणि,ये दोन्ही मुलं दोन वर्षांपूर्वी
8,AVRODH_EP05_MARATHI_MIX_081020_00:19:06.14_00:19:07.22,ला वा,लावा
9,AVRODH_EP05_MARATHI_MIX_081020_00:14:09.01_00:14:09.40,संग्राम या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या या,सॉरी
