,id,hypothesis,reference
0,AVRODH_EP_04_TELUGU_20_PM_07AUG2020.STEREO_00:07:52.31_00:07:54.50, .,రండి రండి అబు హఫీజ్.
1,AVRODH_EP_09_TELUGU_20_PM.STEREO_00:15:10.21_00:15:10.50, .,సార్.
2,AVRODH_EP_08_TELUGU_20_PM_07AUG2020.STEREO_00:14:46.51_00:14:50.50, 1st విషిస్తి సందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిందిం,ఎదురుచూడాలా ఫర్ గాడ్ సేక్ జనరల్ మనము ఒక మిషన్ మీద ఉన్నాము. ఒకవేళ ఏదైనా జరగరాని
3,AVRODH_EP_01_TELUGU_20_PM_07AUG2020.STEREO_00:17:03.31_00:17:08.20," Sathish, కాన్వాయ్ మూవిమ్మింట్ అనేదియా అపరేశన్లో ఒక భాగం.",సతీష్ కాన్వాయి మూమెంట్ అనేది ఆపరేషన్ లో ఒక భాగం.
4,AVRODH_EP_09_TELUGU_20_PM.STEREO_00:15:31.01_00:15:35.30," Team Alpha, పాప్పా పాప్పా పాప్పా పాప్పా పాప్పా పాప్పా పాప్పా పాప్పా పాప్పా పాప్పా పాప్పా పాప్పా పాప్పా పాప్పా పాప్పా పాప్పా పాప్పా పాప్పా పాప్పా పాప్పా పాప్పా పాప్పా పాప్పా పాప్పా పాప్పా పాప్పా పాప్పా పాప్పా పాప్రింగ్యంగ్యంగ్యంగ్యంగ్యంగ్యంగ్యంగ్య",పాపాప్ ఫర్ టీమ్ అల్ఫా డీ ఇండక్షన్ యు మస్ట్ లీవ్ నౌ ఓవర్.
5,AVRODH_EP_02_TELUGU_20_PM_07AUG2020.STEREO_00:16:17.31_00:16:21.00, I gave them their number and told them to talk to them.,"నేనే వాళ్ళ నెంబర్ ఇచ్చి, వాళ్ళతో మాట్లాడమని చెప్పానని చెప్పండి."
6,AVRODH_EP_06_TELUGU_20_PM_07AUG2020.STEREO_00:18:00.51_00:18:02.55," Gatham, all good?",గౌతమ్ ఆల్ గుడ్.
7,AVRODH_EP_03_TELUGU_20_PM_07AUG2020.STEREO_00:16:34.31_00:16:42.40, Ugravaadu లు డిరెక్టికా మన బేస్ క్యామ్ప్ లోపలె కుచ్చి మరి దాడిచేసారు. నువు నా ప్లేస్ లోండే ఆలుచించో.,ఉగ్రవాదులు డైరెక్ట్ గా మన బేస్ క్యాంపు లోకి వచ్చి దాడి చేశారు నువ్వు నా ప్లేస్ లో ఉండి ఆలోచించు.
8,AVRODH_EP_01_TELUGU_20_PM_07AUG2020.STEREO_00:13:29.16_00:13:31.10," but if I have to tell you the truth, my friend",కానీ నిజం చెప్పాలి అంటే మై ఫ్రెండ్.
9,AVRODH_EP_09_TELUGU_20_PM.STEREO_00:20:37.21_00:20:40.00, Bihar ప్రాట్టన్ సిధ్ధంగావంచమును తట్టిటు బిహారకు తెలీ చేయండు.,మోటార్ ప్లాంట్ ని సిద్ధంగా ఉంచామని థర్టీ టూ బీహార్ కి తెలియజేయండి.
10,AVRODH_EP_02_TELUGU_20_PM_07AUG2020.STEREO_00:10:09.51_00:10:12.50, 1.5 స్వార్టు స్వార్టు స్వార్టు,ఆ అంటే మీరు అనేది అబుహాఫీస్ గురించా.
11,AVRODH_EP_01_TELUGU_20_PM_07AUG2020.STEREO_00:17:44.01_00:17:45.30, .,ఇంకా ఎంత దూరం వెళ్లాల్సి ఉంది.
12,AVRODH_EP_09_TELUGU_20_PM.STEREO_00:15:10.51_00:15:15.40," Team Alpha, పాప్పప్ కొన్ని కొన్ని కొన్ని కొన్ని కొన్ని కొన్ని కొన్ని కొన్ని కొన్ని కొన్ని కొన్ని కొన్ని కొన్ని కొన్ని కొన్ని కొన్ని కొన్ని కొన్ని కొన్ని కొన్ని కొన్ని కొన్ని కొన్ని కొన్ని కొన్ని కొన్ని కొన్ని కొన్ని కొన్ని కొన్ని కొన్ని కొన్ని కొన్�","పాప్ అప్ ఫర్ టీమ్ అల్ఫా, పాప్ అప్ ఫర్ టీమ్ అల్ఫా ఓవర్ ఆర్డర్ ఫ్రమ్ క్యాసాల్ ఇర్ ఆక్టివేట్ నౌ."
13,AVRODH_EP_03_TELUGU_20_PM_07AUG2020.STEREO_00:15:06.11_00:15:07.35, but you can go,కానీ మీరైతే వెళ్ళొచ్చు కదా?
14,AVRODH_EP_07_TELUGU_20_PM.STEREO_00:07:32.36_00:07:36.30, I left it with my mother. She started crying immediately.,"ఇప్పుడే అమ్మ దగ్గర వదిలిపెట్టి వచ్చాను, చూడు వెంటనే ఏడుపు మొదలు పెడుతుంది."
15,AVRODH_EP_08_TELUGU_20_PM_07AUG2020.STEREO_00:24:10.46_00:24:25.10, I have a son in the army.,దేశం బాగోగులు చూసుకునే వాళ్ళ కుటుంబ సభ్యులు ఎలా బతకాలో వాళ్ళంతట వళ్ళే చేసుకుంటారు. అయినా ఆర్మీలో నాకు ఒక కొడుకు ఉన్నాడు.
16,AVRODH_EP_05_TELUGU_20_PM_07AUG2020.STEREO_00:12:18.31_00:12:19.00, Thank you sir.,థాంక్యూ సార్
17,AVRODH_EP_03_TELUGU_20_PM_07AUG2020.STEREO_00:04:14.21_00:04:21.40, f.e.e.,చూడు సార్దాక్ ఇది కచ్చితంగా ఇంటెలిజెన్స్ ఫెయిల్యూరే గాడ్ డ్యామేట్ అసలు ఇది ఎలా జరిగిందని నన్ను పి యం అడిగితే ఆయనకు నేను ఏం సమాధానం చెప్పాలి.
18,AVRODH_EP_02_TELUGU_20_PM_07AUG2020.STEREO_00:15:14.51_00:15:17.50, ಮನವನ್ನ ಮಾಟೆ ಮನಕೆ జಾನಿಪಿಸ್ತುನ.,"మనం అన్నమాటే, మనకి కొత్తగా అనిపిస్తున్నాయి."
19,AVRODH_EP_01_TELUGU_20_PM_07AUG2020.STEREO_00:21:19.16_00:21:22.55, .. ఇక్క ఇదుపులు పెడబోబలన్ని ఆపేసి సంతోష్య పడింది.,ఇక ఈ ఏడుపులు పెడబొబ్బలన్నీ ఆపేసి సంతోషపడండి.
20,AVRODH_EP_06_TELUGU_20_PM_07AUG2020.STEREO_00:09:12.36_00:09:15.00, drone support కు మరం 15 కోర్ వారు కు permission దీస్కువాలి,డ్రోన్ సపోర్ట్ కు మనం ఫిఫ్టీన్ క్రోర్ వరకు పర్మిషన్ తీసుకోవాలి.
21,AVRODH_EP_03_TELUGU_20_PM_07AUG2020.STEREO_00:08:06.31_00:08:09.00, .,"ఆలీ త్వరగా వేగంగా పరిగెత్తు,"
22,AVRODH_EP_08_TELUGU_20_PM_07AUG2020.STEREO_00:11:54.31_00:12:08.10," that is the house, the compound that is visible to us. That is our target. We will cross the forest in a single information. You take the rear of the compound till the cornfield.",అదే ఆ ఇల్లు కనిపించేదే కాంపౌండ్ అదే మన టార్గెట్. మనం సింగల్ లైన్ ఇన్ఫర్మేషన్లో అడవిని దాటాలి. కార్న్ ఫీల్డ్ సంచుల వరకు గౌతమ్ యు టేక్ ద రేర్ ఆఫ్ ది కాంపౌండ్
23,AVRODH_EP_05_TELUGU_20_PM_07AUG2020.STEREO_00:21:59.01_00:22:06.40," I am silent, that means I am listening to you.","నేను సైలెంట్ గా ఉన్నాను అంటే దానికి అర్థం, రేపు పొద్దున దేశం మొత్తం నేను చెప్పేది వింటుంది."
24,AVRODH_EP_09_TELUGU_20_PM.STEREO_00:09:03.01_00:09:06.20, 1 చాక్కుల్ కిల్లర్ దేవేర మనువాడ్ శోయ్ బన్నడు తానకే కావ్రు,జనరల్ కిల్లర్ దగ్గర మన మనుషులు ఉన్నారు మనకి ఏం కాదు.
25,AVRODH_EP_05_TELUGU_20_PM_07AUG2020.STEREO_00:20:18.51_00:20:21.30, Nammartha...,నమ్రతా నమ్రతా?
26,AVRODH_EP_01_TELUGU_20_PM_07AUG2020.STEREO_00:29:06.36_00:29:09.20, ...��ిసిలికి సిద్ధంగావండాలి,ఏదైనా సరే మనం సిద్దంగా ఉండాలి.
27,AVRODH_EP_03_TELUGU_20_PM_07AUG2020.STEREO_00:11:42.41_00:11:44.35, RUNAK RUNAK ఫోన్ తింది,రోనాక్ రోనాక్ ఫోన్ తీయ్.
28,AVRODH_EP_02_TELUGU_20_PM_07AUG2020.STEREO_00:10:00.01_00:10:06.00, 1 ఆనకు టైమ్ లో మాకు టివి లో వినడానికి నూస్ మాత్రమే దొరికేది,ఒకనొక టైమ్ లో మాకు టి వి లో వినటానికి న్యూస్ మాత్రమే దొరికేది.
