,id,hypothesis,reference
0,16304224036265662488,शोध पक्षाच्या पिसांच्या उत्क्रांतीबाबत ही माहिती देतो,शोध पक्षाच्या पिसांच्या उत्क्रांतीबाबतही माहिती देतो
1,14420162037516253120,त्यांना या अफवा वायफळ राजकीय बडबड आणि मूर्खपणा असल्याचे म्हटले,त्यांनी या अफवा वायफळ राजकीय बडबड आणि मुर्खपणा असल्याचे म्हटले
2,3915861710630798412,म्हणून पेनसिल आली तेव्हा ती अनेक लोकांची तंगली मैत्रीण थरली,म्हणून पेन्सिल आली तेव्हा ती अनेक लोकांची चांगली मैत्रीण ठरली
3,6342262548630043804,अग्निशामक दलाने अखेरीस रात्री 1135 पर्यंत आग काबू केली,अग्नीशामक दलाने अखेरीस रात्री 1135 पर्यंत आग काबू केली
4,7909203479167350784,सह कुस्तीगिरांनी देखील लुना यांना श्रद्धांजली वाहिली,सह कुस्तीगिरांनी देखील लुना यांना श्रद्धांजली वाहिली
5,1316586123896783443,एरोस्मिथनी प्रवासातील उरलेल्या कॉन्सर्ट रद्द केल्या आहेत,एरोस्मिथनी प्रवासातील उरलेल्या कोन्सर्ट रद्द केल्या आहेत
6,16783919060002818935,सहकुस्तीगिरांनी देखील लुना यांना श्रद्धांजली वाहिली,सह कुस्तीगिरांनी देखील लुना यांना श्रद्धांजली वाहिली
7,9099665285064894707,गव्हर्नर जनरल जनरलच्या ऑफिसच्या बाहेर एक बावस्फोट झाला,गव्हर्नर जनरलच्या ऑफिसच्या बाहेर एक बॉंबस्फोट झाला
8,9032759515356588300,एखाद्या हायकिंग मार्गाप्रमाणे सिंकिंग मार्गाचा विचार करा,एखाद्या हायकिंग मार्गाप्रमाणे स्कीइंग मार्गाचा विचार करा
9,6175141505717378540,इंटरनेट सामूहिक आणि परस्पर संबंधित दोन्ही घटक एकत्र करते,इंटरनेट सामूहिक आणि परस्परसंबंधित दोन्ही घटक एकत्र करते
10,12076392280562195568,पॅरॅमिडा आवाज आणि लाईट शो या लहान मुलांसाठी त्या क्षेत्रातील सर्वात मनोरंजक गोष्ट आहे,पिरॅमिड आवाज आणि लाइट शो या लहान मुलांसाठी त्या क्षेत्रातील सर्वात मनोरंजक गोष्टी आहेत
11,121489334370672119,ते मारियाजवळील भागात बारीक आणि उंच वटेच्या भागात झाड आहे,ते मारियाजवळील भागात बारीक आणि उंचवट्याच्या भागात जाड आहे
12,16668494938003839855,एखाद्या हायकिंग मार्गाप्रमाणे स्कीइंग मार्गाचाच विचार करा,एखाद्या हायकिंग मार्गाप्रमाणे स्कीइंग मार्गाचा विचार करा
13,13995236594178192269,पॅरिसवासीयांची अहंकारी उद्धट आणि करविष्ट असण्याची ख्याती आहे,पॅरिसवासीयांची अहंकारी उद्धट आणि गर्विष्ठ असण्याची ख्याती आहे
14,10369140904526923849,त्या धर्तीवर पुरुषांना गुडघे झाकणारे ट्राउझर घालणे आवश्यक आहे,त्याच धर्तीवर पुरुषांना गुडघे झाकणारे ट्राउझर्स घालणे आवश्यक आहे
15,775971910537404034,एखाद्या हायकिंग मार्गाप्रमाणे स्कीइंग मार्गाचा विचार करा,एखाद्या हायकिंग मार्गाप्रमाणे स्कीइंग मार्गाचा विचार करा
16,8899174545488362315,इंटरनेट सामूहिक आणि परस्पर संबंधित दोन्ही घटक एकत्र करते,इंटरनेट सामूहिक आणि परस्परसंबंधित दोन्ही घटक एकत्र करते
17,72405637717364768,अन्नात त्यानंतर एडॉनब्रुक हॉस्पिटल केब्रिज मध्ये पुन्हा हलवण्यात आले,त्याला त्यानंतर अॅडनब्रूक हॉस्पिटल केंब्रिज इथे पुन्हा हलवण्यात आले
18,8185535749299099884,ते मारे या जवळील भागात बारीक आणि उंच वाट्याच्या भागात झाड आहेत,ते मारियाजवळील भागात बारीक आणि उंचवट्याच्या भागात जाड आहे
19,12453838855643045675,गव्हर्नर जनरलच्या ऑफिसच्या बाहेर एक बॉम्बस्फोट झाला,गव्हर्नर जनरलच्या ऑफिसच्या बाहेर एक बॉंबस्फोट झाला
20,2832738964354951044,म्हणून पेन्सिल आली तेव्हा ती अनेक लोकांची चांगली मैत्रीण ठरली,म्हणून पेन्सिल आली तेव्हा ती अनेक लोकांची चांगली मैत्रीण ठरली
21,2851740407554814108,हा काही क्रियापदे आणि क्रमांमध्ये फरक करण्याचा महत्वपूर्ण मार्ग आहे,हा काही क्रियापदे आणि कर्मांमध्ये फरक करण्याचा महत्त्वपूर्ण मार्ग आहे
22,4445025315315186854,त्या धर्तीवर पुरुषांना गुडघे झाकणारे ट्राउझर्स घालणे आवश्यक आहे,त्याच धर्तीवर पुरुषांना गुडघे झाकणारे ट्राउझर्स घालणे आवश्यक आहे
23,16393916212238322693,म्हणून पेन्सिलाली तेव्हा ती अनेक लोकांची चांगली मैत्रीण ठरली,म्हणून पेन्सिल आली तेव्हा ती अनेक लोकांची चांगली मैत्रीण ठरली
24,17318106724351983827,गिझा येथील ग्रेट पॅरामिड हे 7 आज्चार्यांपैकी एक आहे जे आजही उभे आहे,गिझा येथील ग्रेट पिरॅमिड हे सात आश्चर्यांपैकी एक आहे जे आजही उभे आहे
25,437411436589552955,पण पक्ष्यांच्या बाबतीत आढळणाऱ्या अनेक गोष्टी अजूनही डायनासोर सारख्या दिसतात,पण पक्षांच्या बाबतीत आढळणाऱ्या अनेक गोष्टी अजूनही डायनासोरसारख्या दिसतात
26,8235196660689262509,संरचनांवर खुणा किंवा वाक्य खरडून या स्थळाला विद्रुप करू नका,संरचनांवर खुणा किंवा वाक्ये खरडून या स्थळाला विद्रुप करु नका
27,18389304917533412863,प्रयास असू शकते की हे नोटेशन फक्त एक लेबल म्हणून लावलेले असावे,तर हे असू शकते की हे नोटेशन फक्त एक लेबल म्हणून लावलेलं असावे
28,16969155084006180623,यामुळे आपल्याला रेल्वे कार आणि इतर अनेक वाहतुकीची साधने प्राप्त झाली,यामुळे आपल्याला रेल्वे कार आणि इतर अनेक वाहतुकीची साधने प्राप्त झाली
