,id,hypothesis,reference
0,Avrodh_0006_HD_AVC_00:07:25.40_00:07:29.40,अब तुम अपने बॉस का नाम खुद बताओगे यहां मोगलवाले,अब तुम अपने बॉस का नाम खुद बताओगे या हम उगल वाले
1,Avrodh_0007_HD_AVC_00:05:13.34_00:05:17.22,पट प्लीज डॉन केवल द पाशन यूं हाफ वे फ्रोफेशंस बेकॉस उद्गेस,बट प्लीज डोन्ट गिव अप द पैशन यू हैव फॉर योर प्रोफेशन बिकॉज ऑफ दिस
2,Avrodh_0003_HD_AVC_00:22:56.26_00:22:58.19,वो बहुत जल्द सबकुछ निपटा लेंगे से,वो बहुत जल्द सब कुछ निपटा लेंगे सर
3,Avrodh_0001_HD_AVC_Rev_00:15:09.11_00:15:10.10,जैन,जय हिन्द
4,Avrodh_0004_HD_AVC_00:24:17.04_00:24:19.00,इस काउंटर टेरोडेशन में स्पर्श,ही इस द काउंटर टेररिज्म एक्सपर्ट सर
5,Avrodh_0002_HD_AVC_00:00:48.44_00:00:50.48,वो आखिरा था डे,तो आखिरी रात आज
6,Avrodh_0002_HD_AVC_00:03:40.31_00:03:43.30,सर्प पता नहीं कैसे एडजेस्ट रखते और क्रॉक सम्भावित,सर पता नहीं कैसे इट इफ जस्ट क्रैक सम हाउ
7,Avrodh_0002_HD_AVC_00:01:41.31_00:01:42.10,चक्कर है,चेक करो
8,Avrodh_0008_HD_AVC_00:14:17.34_00:14:21.00,टीम एलफा ने कहा कि सभी टीन स्टैंड बाय भी होंगे,टीम अल्फा ने कहा है के सभी टीम स्टैंड बाय पे होंगे
9,Avrodh_0003_HD_AVC_00:15:28.16_00:15:32.38,और रूटीन स्टेटमेंट्स भी इश्यू होंगे,और रूटीन स्टेटमेंट्स भी इशू होंगे
10,Avrodh_0007_HD_AVC_00:00:50.14_00:00:51.22,फेरी टार्गेट्स,एनी टरगेट्स
11,Avrodh_0005_HD_AVC_00:02:13.56_00:02:21.25,आपको पता को क्या कहीं बोग़ैंगी वृत्ति में तिरी टाँगे तोड़ दुनिए अगर घर हैं,आपको पता है वो क्या कहेंगी वो कहेंगी विदीप मैं तेरी टाँगे तोड़ दूँगी अगर घर आया तो एक्सेप्ट द मिशन
12,Avrodh_0005_HD_AVC_00:01:25.05_00:01:27.04,पोलिसा मिशन स्टेटंट,व्हाट इस ओवर मिशन स्टेटमेंट सर
13,Avrodh_0006_HD_AVC_00:04:50.21_00:04:52.00,आज सुबह से,आज सुबह से
14,Avrodh_0004_HD_AVC_00:17:20.23_00:17:27.52,कहां मिले गए चार घंटे के अंदर मुझे जानना है,कहाँ मिलेगा ये चार घंटे के अंदर मुझे जानना है
15,Avrodh_0001_HD_AVC_Rev_00:17:43.58_00:17:45.51,हाउफ वा बेराइट जैसे कंपनी,होउ फॉर बिहाइंड इज़ द कंपनी
16,Avrodh_0001_HD_AVC_Rev_00:30:30.26_00:30:31.10,जी जनाग,जी जनाब
17,Avrodh_0009_HD_AVC_00:19:03.26_00:19:05.00,स्टॉक और डाउड,जैकॉल डाउन
18,Avrodh_0008_HD_AVC_00:00:12.23_00:00:13.45,श्रद्धा रहा जाता है,सितारा की बेस
19,Avrodh_0004_HD_AVC_00:10:04.04_00:10:10.24,हाँ अँड्बैक्स एन अनफॉर्चुनली मुझ्झते पर पता ही चलता की तुम कहा,हाँ आई एम बेक एंड अनफॉर्चूनेटली मुझे तो कभी पता ही नहीं चलता कि तुम कहाँ हो
20,Avrodh_0007_HD_AVC_00:09:10.01_00:09:12.44,मेजो सूद की मौत आपकी वजह से नहीं हो,मेजर सूत की मौत आपकी वजह से नहीं हुई है
21,Avrodh_0008_HD_AVC_00:05:52.12_00:05:53.15,थैंक्सु,थैंक्स सर
22,Avrodh_0005_HD_AVC_00:12:25.31_00:12:26.40,जल्दाम्बादी के लिए प्रतिबंधित्व कार्यक्रम की गई,जय हिंद
23,Avrodh_0002_HD_AVC_00:14:31.01_00:14:31.55,घर लौटते हैं,घर लौटते ही होंगे
24,Avrodh_0005_HD_AVC_00:20:32.08_00:20:33.02,वास्तव के लिए भारतीय राष्ट्रीय कार्यक्रम के साथ से पहुँच गए,व्हाट
25,Avrodh_0002_HD_AVC_00:23:11.31_00:23:13.15,उन्होंने पूँज़ बाद में बहुत स्थापनीय कार्यक्रम के लिए गए,पुंछ
26,Avrodh_0002_HD_AVC_00:21:04.01_00:21:06.14,भाई मैं क्या लग रहूं,भाई मैं क्या लग रहा हूँ
27,Avrodh_0001_HD_AVC_Rev_00:09:46.21_00:09:53.12,क्योंकि कश्मीर की आवाहन को जब तकआजादी नहीं मिलेगी हम ने रुकेंगे,क्योंकि कश्मीर की आवाम को जब तक आजादी नहीं मिलेगी हम नहीं रुकेंगे
28,Avrodh_0005_HD_AVC_00:12:04.15_00:12:05.12,सत्,सर
29,Avrodh_0005_HD_AVC_00:03:30.31_00:03:37.50,मैंने आपसे पहले भी कहा है कि अापका कोई बी सीक्रेट मिशन दूसरे देशों से हमारी रश्ति खराब करती है,मैंने आपसे पहले भी कहा हैं कि आपका कोई भी सीक्रेट मिशन दूसरे देशों से हमारे रिश्ते खराब कर सकता हैं
30,Avrodh_0004_HD_AVC_00:22:13.34_00:22:18.16,अट्रैक्स सब मरीन्स एंड न्यूक्लियोसबचक्र आल्सॉन स्टैण्डबाइ वेडिंग फॉर ऑर्सड्स,अटैक समरिंस एण्ड न्यूक्लियस सब आल्सो ऑन स्टैंडबाय वेटिंग फॉर ऑर्डर्स
