,id,hypothesis,reference
0,AVRODH_EP09_MARATHI_MIX_081020_00:03:07.44_00:03:13.03, सगले देश अपले सोबत आहेथ कारण तेना परिस्थिती माहिते बोला प्रशान जी,सगडे देश आपल्या सोबत आहेत कारण त्यांना परिसतिथी माहीत आहे बोला प्रशांत जी
1,AVRODH_EP06_MARATHI_MIX_081020_00:26:15.45_00:26:20.08, एक बात में है कदाचीत तुम्हाला मदद होईल,एक बातमी आहे कदाचित तुम्हाला मदत होईल
2,AVRODH_EP09_MARATHI_MIX_081020_00:27:47.41_00:27:50.57, जनरल सबेस्टियन ने स्वताहा पाकिस्तानी आर्मी चीफ लादेवी,जनरल सेबेस्टियनने स्वतः पाकिस्तानी आर्मी चीफला द्यावी
3,AVRODH_EP06_MARATHI_MIX_081020_00:20:11.41_00:20:19.38, bye guys see you and take care,बाय गाइज़ सी यू एण्ड टेक केयर
4,AVRODH_EP05_MARATHI_MIX_081020_00:23:13.01_00:23:15.44, आतरा अपला सुबुत ताता तंचासु,हा तर आपल्या सोबत होता आता त्यांचा सोबत
5,AVRODH_EP09_MARATHI_MIX_081020_00:10:53.37_00:10:55.00, गौपीस्तो,कॉपी सर
6,AVRODH_EP07_MARATHI_MIX_081020_00:09:26.24_00:09:32.30, तर त्या मधे कुछला ही इंडियन ओफिसर दोशी नसेल हे संगतो है,तर त्यामध्ये कुठला ही इंडियन ऑफिसर दोषी नसेल हे सांगतोय
7,AVRODH_EP06_MARATHI_MIX_081020_00:12:45.38_00:12:48.11, ये दोनी मुला दौन वर्षान पुरुवी,ये दोन्ही मुलं दोन वर्षांपूर्वी
8,AVRODH_EP05_MARATHI_MIX_081020_00:19:06.14_00:19:07.22, लावा,लावा
9,AVRODH_EP05_MARATHI_MIX_081020_00:14:09.01_00:14:09.40, सब्सक्राइब करते हैं,सॉरी
10,AVRODH_EP04_MARATHI_MIX_081020_00:18:42.11_00:18:54.37, अपलला ता आपने पुकड मस्बूत करावे लागेर,ठाऊक आहे आपल्याला आता आपली पकड मजबूत करावी लागेल
11,AVRODH_EP08_MARATHI_MIX_081020_00:19:54.47_00:20:06.55, but how we behave when we dont know what to do आता पुड़े काई होईल हे माला महित नहीं है,बट हाऊ वी बीहेव व्हेन वी डॉन्ट नो व्हॉट टू डू आता पुढे काय होईल हे मला माहीत नाहीये
12,AVRODH_EP04_MARATHI_MIX_081020_00:17:27.51_00:17:31.50, चारतास,चार तास
13,AVRODH_EP02_MARATHI_MIX_081020_00:05:07.35_00:05:09.24, काय है,काय आहे हे
14,AVRODH_EP07_MARATHI_MIX_081020_00:05:53.01_00:05:54.21, major please open your mouth,मेजर प्लीज ओपन योर माउथ
15,AVRODH_EP06_MARATHI_MIX_081020_00:22:45.13_00:22:49.10, या गाव मद्दी रिटाड शेपा इन्ना पाकिसन गवर्मेंट नी घर रदिलेत,या गावामध्ये रिटायर्ड सिपाह्यांना पाकिस्तान गवर्नमेंटनी घर दिलेत
16,AVRODH_EP06_MARATHI_MIX_081020_00:27:16.01_00:27:20.30, सर अता उशीर करूँ चालनार नाई,सर आता उशीर करून चालणार नाही
17,AVRODH_EP02_MARATHI_MIX_081020_00:14:12.50_00:14:20.34, जैची दोन जवान मुला सुड़ुन गेले असतील तु बाप कसास हैल्द,ज्याची दोन जवान मुलं सोडून गेली असतील तो बाप कसा असेल
18,AVRODH_EP09_MARATHI_MIX_081020_00:33:16.01_00:33:20.54, ते वड़े सटेश की तुम्ही एक टेस्ट होताथ जय सत्या परंते पोशला हुतात,तेवढ्या साठीच कि तुम्ही एकट्या स्वतः त्या सत्य पर्यन्त पोहचल्या होता
