,id,hypothesis,reference
0,AVRODH_EP_04_TELUGU_20_PM_07AUG2020.STEREO_00:07:52.31_00:07:54.50,రండి ర్యం డే అబు హఫీజ్,రండి రండి అబు హఫీజ్.
1,AVRODH_EP_09_TELUGU_20_PM.STEREO_00:15:10.21_00:15:10.50,ఈ స్థానంలో అనుభవం చేసిన కొలి వెళ్ గడు తీరే,సార్.
2,AVRODH_EP_08_TELUGU_20_PM_07AUG2020.STEREO_00:14:46.51_00:14:50.50,ఎదురు చూడలా ఫాక్ గోడ్సెట్జనరల మనో ఒకమీషియం బీజు్നా,ఎదురుచూడాలా ఫర్ గాడ్ సేక్ జనరల్ మనము ఒక మిషన్ మీద ఉన్నాము. ఒకవేళ ఏదైనా జరగరాని
3,AVRODH_EP_01_TELUGU_20_PM_07AUG2020.STEREO_00:17:03.31_00:17:08.20,సతీష్ కాన్వా యు మూవెంటి అదే ఆపరేష నిలో ఒక సుఖం,సతీష్ కాన్వాయి మూమెంట్ అనేది ఆపరేషన్ లో ఒక భాగం.
4,AVRODH_EP_09_TELUGU_20_PM.STEREO_00:15:31.01_00:15:35.30,పాపో ఫర్ టీ మల్ఫోగా కేటవెడీనవరి ఈ ఇండిగ్జను యూముసైన ఓకి,పాపాప్ ఫర్ టీమ్ అల్ఫా డీ ఇండక్షన్ యు మస్ట్ లీవ్ నౌ ఓవర్.
5,AVRODH_EP_02_TELUGU_20_PM_07AUG2020.STEREO_00:16:17.31_00:16:21.00,లేని వాళ్ళ నెంబరిచే ఆలతో మరొకటం పోతాజి,"నేనే వాళ్ళ నెంబర్ ఇచ్చి, వాళ్ళతో మాట్లాడమని చెప్పానని చెప్పండి."
6,AVRODH_EP_06_TELUGU_20_PM_07AUG2020.STEREO_00:18:00.51_00:18:02.55,గౌతమ్ ఒల్బుర్,గౌతమ్ ఆల్ గుడ్.
7,AVRODH_EP_03_TELUGU_20_PM_07AUG2020.STEREO_00:16:34.31_00:16:42.40,ఉగ్రవాదులు డైరెక్ గా మనం బేసే కింప్జోలపల చి్౮ర యి దడి,ఉగ్రవాదులు డైరెక్ట్ గా మన బేస్ క్యాంపు లోకి వచ్చి దాడి చేశారు నువ్వు నా ప్లేస్ లో ఉండి ఆలోచించు.
8,AVRODH_EP_01_TELUGU_20_PM_07AUG2020.STEREO_00:13:29.16_00:13:31.10,కానీ నిజం చెప్పలా అంటే మైఫ్ రేయిడ్,కానీ నిజం చెప్పాలి అంటే మై ఫ్రెండ్.
9,AVRODH_EP_09_TELUGU_20_PM.STEREO_00:20:37.21_00:20:40.00,మోటర్ ప్లాటీను సిదేశంగా అవస మని తెజ్జడం బైహర కి,మోటార్ ప్లాంట్ ని సిద్ధంగా ఉంచామని థర్టీ టూ బీహార్ కి తెలియజేయండి.
10,AVRODH_EP_02_TELUGU_20_PM_07AUG2020.STEREO_00:10:09.51_00:10:12.50,ఆ అంటే మీ రానేది ఆబూ హఫీజ్ గుర్తం,ఆ అంటే మీరు అనేది అబుహాఫీస్ గురించా.
11,AVRODH_EP_01_TELUGU_20_PM_07AUG2020.STEREO_00:17:44.01_00:17:45.30,ఇక ఎంత దూరం వెడాల్సిది,ఇంకా ఎంత దూరం వెళ్లాల్సి ఉంది.
12,AVRODH_EP_09_TELUGU_20_PM.STEREO_00:15:10.51_00:15:15.40,పాప ఫర్ టీమా ల్ఫ ఆపులకు ఓఫో అండోసం కసేటం,"పాప్ అప్ ఫర్ టీమ్ అల్ఫా, పాప్ అప్ ఫర్ టీమ్ అల్ఫా ఓవర్ ఆర్డర్ ఫ్రమ్ క్యాసాల్ ఇర్ ఆక్టివేట్ నౌ."
13,AVRODH_EP_03_TELUGU_20_PM_07AUG2020.STEREO_00:15:06.11_00:15:07.35,కాని మీ రైతే వెళ్లేచిక తా,కానీ మీరైతే వెళ్ళొచ్చు కదా?
14,AVRODH_EP_07_TELUGU_20_PM.STEREO_00:07:32.36_00:07:36.30,ఇపుడే అమ్మదిగి రోజు లుెవ్ టోచాం చూదు,"ఇప్పుడే అమ్మ దగ్గర వదిలిపెట్టి వచ్చాను, చూడు వెంటనే ఏడుపు మొదలు పెడుతుంది."
15,AVRODH_EP_08_TELUGU_20_PM_07AUG2020.STEREO_00:24:10.46_00:24:25.10,దేశం భాగోళికలు చూసుకొనే వలన క సభ్య యెల బ తగాజో మా డంత్ ట పాౡి నిజ ఒరు,దేశం బాగోగులు చూసుకునే వాళ్ళ కుటుంబ సభ్యులు ఎలా బతకాలో వాళ్ళంతట వళ్ళే చేసుకుంటారు. అయినా ఆర్మీలో నాకు ఒక కొడుకు ఉన్నాడు.
16,AVRODH_EP_05_TELUGU_20_PM_07AUG2020.STEREO_00:12:18.31_00:12:19.00,థాంకి స్తర్,థాంక్యూ సార్
17,AVRODH_EP_03_TELUGU_20_PM_07AUG2020.STEREO_00:04:14.21_00:04:21.40,చూసార్థకే ఇది కచితంగా యిజేలస్ వెళ్౳ు గోడమే,చూడు సార్దాక్ ఇది కచ్చితంగా ఇంటెలిజెన్స్ ఫెయిల్యూరే గాడ్ డ్యామేట్ అసలు ఇది ఎలా జరిగిందని నన్ను పి యం అడిగితే ఆయనకు నేను ఏం సమాధానం చెప్పాలి.
18,AVRODH_EP_02_TELUGU_20_PM_07AUG2020.STEREO_00:15:14.51_00:15:17.50,మన వన్నం అంటే ఇమెకి కొత గాణిపీస్ తు యేయి,"మనం అన్నమాటే, మనకి కొత్తగా అనిపిస్తున్నాయి."
19,AVRODH_EP_01_TELUGU_20_PM_07AUG2020.STEREO_00:21:19.16_00:21:22.55,ఇక ఈ ఏడుపు లో పిడప ఫలాన్ని ఆఫేసీ సంతోష కాజం,ఇక ఈ ఏడుపులు పెడబొబ్బలన్నీ ఆపేసి సంతోషపడండి.
20,AVRODH_EP_06_TELUGU_20_PM_07AUG2020.STEREO_00:09:12.36_00:09:15.00,డ్రోన్ సపో టుకు మనం ఫిఫ్జీ డి కా లో,డ్రోన్ సపోర్ట్ కు మనం ఫిఫ్టీన్ క్రోర్ వరకు పర్మిషన్ తీసుకోవాలి.
21,AVRODH_EP_03_TELUGU_20_PM_07AUG2020.STEREO_00:08:06.31_00:08:09.00,అలి త్వరగా లేఖక పరుగే దూ,"ఆలీ త్వరగా వేగంగా పరిగెత్తు,"
22,AVRODH_EP_08_TELUGU_20_PM_07AUG2020.STEREO_00:11:54.31_00:12:08.10,అదే ఆయి కన్పించేదకు మాతోమైన టరుగ్ తమ వనం సీగల్జెఫా ఇషీ లల ఓట పూడవ చట్ടవు,అదే ఆ ఇల్లు కనిపించేదే కాంపౌండ్ అదే మన టార్గెట్. మనం సింగల్ లైన్ ఇన్ఫర్మేషన్లో అడవిని దాటాలి. కార్న్ ఫీల్డ్ సంచుల వరకు గౌతమ్ యు టేక్ ద రేర్ ఆఫ్ ది కాంపౌండ్
23,AVRODH_EP_05_TELUGU_20_PM_07AUG2020.STEREO_00:21:59.01_00:22:06.40,నేని సైలెంట్ గా వుత్తాం ఉంజే దీన కరిది,"నేను సైలెంట్ గా ఉన్నాను అంటే దానికి అర్థం, రేపు పొద్దున దేశం మొత్తం నేను చెప్పేది వింటుంది."
24,AVRODH_EP_09_TELUGU_20_PM.STEREO_00:09:03.01_00:09:06.20,ఏక జాకల్ కెళ్ళరి దేవిలా మరో పండుగల వైభవ నడి,జనరల్ కిల్లర్ దగ్గర మన మనుషులు ఉన్నారు మనకి ఏం కాదు.
25,AVRODH_EP_05_TELUGU_20_PM_07AUG2020.STEREO_00:20:18.51_00:20:21.30,నమ్రత అనుభవం చేసిన మండలి లోక్ సెటరీ కావు,నమ్రతా నమ్రతా?
26,AVRODH_EP_01_TELUGU_20_PM_07AUG2020.STEREO_00:29:06.36_00:29:09.20,ఏది అయినా సరే కొన్న మాంగ్ తెలుసు చేపడం,ఏదైనా సరే మనం సిద్దంగా ఉండాలి.
27,AVRODH_EP_03_TELUGU_20_PM_07AUG2020.STEREO_00:11:42.41_00:11:44.35,సిపాయి నా యెన్ అండుకు పూర్ణ తీసు,రోనాక్ రోనాక్ ఫోన్ తీయ్.
28,AVRODH_EP_02_TELUGU_20_PM_07AUG2020.STEREO_00:10:00.01_00:10:06.00,ఒకానొక టైమ్ లో మకు ఠీవీ ది వినటా న డ్యూసులక್షణం పదేశపు,ఒకనొక టైమ్ లో మాకు టి వి లో వినటానికి న్యూస్ మాత్రమే దొరికేది.
29,AVRODH_EP_08_TELUGU_20_PM_07AUG2020.STEREO_00:13:36.51_00:13:39.05,రోజేస్తో హెకోడ్ సిఫి కానుక,రోజర్ సార్ హెడ్ కోటర్స్ నుంచి కాల్ కరో
30,AVRODH_EP_06_TELUGU_20_PM_07AUG2020.STEREO_00:06:00.56_00:06:02.20,మీరు ఈ యాప్ ని తింటరా,మీరు ఈ యాపిల్ని తింటారా?
31,AVRODH_EP_06_TELUGU_20_PM_07AUG2020.STEREO_00:18:39.31_00:18:47.45,నేని మీ సెంటిమాట్ శబ్దం చూయగలరు కాీవరా ఆన పై వేుకే బిజో డయోట ఇచచ అవ ఒక తాజతో,నేను మీ సెంటిమెంట్స్ అర్థం చేసుకోగలను కాని ఆర్మీ మనకు వేరు వేరు డ్యూటీస్ ఇచ్చింది కాబట్టి వాటిని మనం బాధ్యతగా నిర్వర్తించాల్సి ఉంటుంది రైట్.
32,AVRODH_EP_09_TELUGU_20_PM.STEREO_00:07:01.01_00:07:03.30,తో అండు మీటర్ సావిట్ల కును,దగ్గరలోనే ఉన్నాం టూ హండ్రెడ్ మీటర్స్ అవుట్ కాపీ.
33,AVRODH_EP_01_TELUGU_20_PM_07AUG2020.STEREO_00:04:56.31_00:04:57.45,వారకేశవు అయింది,మన గెస్స్ నిజం అయింది.
34,AVRODH_EP_06_TELUGU_20_PM_07AUG2020.STEREO_00:02:41.31_00:02:43.15,అంతికావా కూడ ఒక సరి రోజు చుడోం డి,దాభా కూడా ఒకసారి రుచి చూడండి.
35,AVRODH_EP_01_TELUGU_20_PM_07AUG2020.STEREO_00:09:14.16_00:09:16.00,విచారం కల్గి చేయబోస్ ఏవే అంటే,విచారం కలిగించే విషయం ఏంటంటే.
36,AVRODH_EP_04_TELUGU_20_PM_07AUG2020.STEREO_00:05:29.06_00:05:38.50,అయినపాటు కశ్మీర్ రక తమ ఇంది,"అయినా వాడు కశ్మీర్ రక్తమే కదా, వేరే వాళ్ళు ఆక్రమించుకున్న మన ప్రదేశం కోసం జరిగిన వీర పోరాటం ఇది."
37,AVRODH_EP_06_TELUGU_20_PM_07AUG2020.STEREO_00:07:15.06_00:07:18.30,అదరి మధ్య తేడా యుంటే నీరు కోసం పనివు,ఇద్దరి మధ్య తేడా ఏంటంటే నేను దేశం కోసం పనిచేస్తున్నాను.
38,AVRODH_EP_02_TELUGU_20_PM_07AUG2020.STEREO_00:13:08.46_00:13:10.00,ఆ అంత ఆకే,ఆ అంతా ఒకే.
39,AVRODH_EP_07_TELUGU_20_PM.STEREO_00:13:16.26_00:13:21.05,అతను హిజ్బుల్ కి చెందిన యతైనాం మీషణ ఆపేడా,అతను హీసబుల్ కు చెందిన ఏదైనా మిషన్ ఆపాడా ?
40,AVRODH_EP_06_TELUGU_20_PM_07AUG2020.STEREO_00:06:57.11_00:07:00.31,సగన్ తెలిసేన వాడు ముని గ్పోయా టు,సగం తెలిసినవాడు మునిగిపోయాడు.
41,AVRODH_EP_07_TELUGU_20_PM.STEREO_00:01:03.46_00:01:08.50,మేం మా తరఫున పూర్థి సహకార వందిస్జా,"మేము మా తరఫున పూర్తి సహకారం అందిస్తాం, అయితే ఇది ఎప్పుడు ఫైనల్ గా ముందుకు వెళ్ళబోతుంది."
42,AVRODH_EP_01_TELUGU_20_PM_07AUG2020.STEREO_00:30:54.31_00:31:07.35,మనందరికి మేలు జరుగడాన నీ బీబళ్ళి,మనందరకి మేలు జరగడానికి మిమ్మల్ని ఆ అల్లా ఎంచుకున్నాడు దాన్ని మీరు అదృష్టంగా గా భావించండి సిద్ధంగా ఉన్నారా.
43,AVRODH_EP_06_TELUGU_20_PM_07AUG2020.STEREO_00:16:03.46_00:16:07.50,ఓ అసలేదో నకిలి యాదా తే డ చెప్పటం,"ఓహ్ అసలేదో, నకిలీ ఏదో తేడా తెలియడం లేదు రెండూ ఒకేలా ఉన్నాయి."
