,id,hypothesis,reference
0,11499459586741731549,സഹാഗുസ്തിക്കാരും ലൂണയ്ക്ക് ആതലാഞ്ചലികൾ അർപ്പിച്ചു,സഹ ഗുസ്തിക്കാരും ലൂണയ്ക്ക് ആദരാഞ്ജലികൾ അർപ്പിച്ചു
1,7118317146451346697,കേംബ്രിഡ്ജിലെ അഡൺ ബ്രൂക്ക്സ് ആശപത്രിയിലേക്ക് പിന്നീട് അദ്ദേഹത്തെ മാറ്റി,കേംബ്രിഡ്ജിലെ അഡെൻബ്രൂക്സ് ആശുപത്രിയിലേക്ക് പിന്നീട് അദ്ദേഹത്തെ മാറ്റി
2,13539590275539746752,സ്പ്രിംഗ്ബോക്സിനായി 5 മത്സരങ്ങളുടെ തോൽവി അവസാനിച്ചു,സ്പ്രിംഗ്ബോക്സിനായി 5 മത്സരങ്ങളുടെ തോൽവി അവസാനിച്ചു
3,904329348092320860,ഗവർണ്ണർ ജനറലിൻ്റെ ഓഫീസിന് പുറത്ത് ഒരു ബോംബ് പൊട്ടിത്തെറിച്ചു,ഗവർണർ ജനറലിൻ്റെ ഓഫീസിന് പുറത്ത് ഒരു ബോംബ് പൊട്ടിത്തെറിച്ചു
4,12819606373086040281,അതുപോലെതന്നെ പുരുഷന്മാർ മുട്ടുവരെ മറയ്ക്കുന്ന ട്രൌസറുകൾ ധരിക്കേണ്ടതാണ്,അതുപോലെ തന്നെ പുരുഷന്മാർ മുട്ട് വരെ മറയ്ക്കുന്ന ട്രൌസറുകൾ ധരിക്കേണ്ടതാണ്
5,5196024539180938965,കേംബ്രിഡ്ജിലെ അഡെൻ ട്രൂക്സ് ആശപത്രിയിലേക്ക് പിന്നീട് അദ്ദേഹത്തെ മാറ്റി,കേംബ്രിഡ്ജിലെ അഡെൻബ്രൂക്സ് ആശുപത്രിയിലേക്ക് പിന്നീട് അദ്ദേഹത്തെ മാറ്റി
6,6086602292631824155,ഗവർണ്ണർ ജനലിൻ്റെ ഓഫീസിന് പുറത്ത് ഒരു ബോംബ് പൊട്ടിത്തെറിച്ചു,ഗവർണർ ജനറലിൻ്റെ ഓഫീസിന് പുറത്ത് ഒരു ബോംബ് പൊട്ടിത്തെറിച്ചു
7,4668906690491301880,ദ്വീപസമൂഹങ്ങളിലും തടാകങ്ങളിലും നിങ്ങൾക്ക് ഒരു നൌക ആവശ്യമില്ല,ദ്വീപസമൂഹങ്ങളിലും തടാകങ്ങളിലും നിങ്ങൾക്ക് ഒരു നൌക ആവശ്യമില്ല
8,12699159913733078357,സ്പ്രിംഗ്ബോക്സിനായി 5 മത്സരങ്ങളുടെ തോൽവി അവസാനിച്ചു,സ്പ്രിംഗ്ബോക്സിനായി 5 മത്സരങ്ങളുടെ തോൽവി അവസാനിച്ചു
9,13179299274683337158,ഒരു ഹൈക്കിംഗ് റൂട്ടിന് സമാനമാണ് സ്കീയിംഗ് റൂട്ട് എന്ന് കരുതുക,ഒരു ഹൈക്കിംഗ് റൂട്ടിന് സാമാനമാണ് സ്കീയിങ് റൂട്ട് എന്ന് കരുതുക
10,1929975612962027226,ഇത് മരിയയ്ക്ക് താഴ് നേർത്തതും ഉയർന്ന പൂപ്രദേശങ്ങളിൽ കട്ടിയുള്ളതുമാണ്,ഇത് മരിയയ്ക്ക് താഴെ നേർത്തതും ഉയർന്ന ഭൂപ്രദേശങ്ങളിൽ കട്ടിയുള്ളതുമാണ്
