,id,hypothesis,reference
0,Avrodh_0006_HD_AVC_00:07:25.40_00:07:29.40,अब तुम अपने बॉस का नाम खुद बताओगे यह मोगल वाले,अब तुम अपने बॉस का नाम खुद बताओगे या हम उगल वाले
1,Avrodh_0007_HD_AVC_00:05:13.34_00:05:17.22,पट प्लीस डोन किव अब पश्चिन आपने हैं जो हाफवें फ्रोफेशनल बकूस भी दिस,बट प्लीज डोन्ट गिव अप द पैशन यू हैव फॉर योर प्रोफेशन बिकॉज ऑफ दिस
2,Avrodh_0003_HD_AVC_00:22:56.26_00:22:58.19,वो बहुत जल्द सब कुछ निपटा लें इसे,वो बहुत जल्द सब कुछ निपटा लेंगे सर
3,Avrodh_0001_HD_AVC_Rev_00:15:09.11_00:15:10.10,जयंत,जय हिन्द
4,Avrodh_0004_HD_AVC_00:24:17.04_00:24:19.00,इसे काउंटर टेररेसर में स्पर्श,ही इस द काउंटर टेररिज्म एक्सपर्ट सर
5,Avrodh_0002_HD_AVC_00:00:48.44_00:00:50.48,तो अखिल रात आज नहीं होती है,तो आखिरी रात आज
6,Avrodh_0002_HD_AVC_00:03:40.31_00:03:43.30,सर पतानी कैसे इड्जेस्ट तू द क्रैक्सम हो,सर पता नहीं कैसे इट इफ जस्ट क्रैक सम हाउ
7,Avrodh_0002_HD_AVC_00:01:41.31_00:01:42.10,चक्करों,चेक करो
8,Avrodh_0008_HD_AVC_00:14:17.34_00:14:21.00,टीम अल्फा ने कहा है कि सभी टिम स्टैंडबाइ भी होंगे,टीम अल्फा ने कहा है के सभी टीम स्टैंड बाय पे होंगे
9,Avrodh_0003_HD_AVC_00:15:28.16_00:15:32.38,और रूटीन स्टेटमेंट्स भी इश्यू होंगे,और रूटीन स्टेटमेंट्स भी इशू होंगे
10,Avrodh_0007_HD_AVC_00:00:50.14_00:00:51.22,एनी टारगेट्स,एनी टरगेट्स
11,Avrodh_0005_HD_AVC_00:02:13.56_00:02:21.25,आपको पता हुए वो क्या कहेंगी वे कहा हैंकि विधि में तेरी टाँगे तोड़ दुनी अगर घर है मैक्साफ्ट तमेश,आपको पता है वो क्या कहेंगी वो कहेंगी विदीप मैं तेरी टाँगे तोड़ दूँगी अगर घर आया तो एक्सेप्ट द मिशन
12,Avrodh_0005_HD_AVC_00:01:25.05_00:01:27.04,वोडिजा मिशन स्टेटमेंट्स,व्हाट इस ओवर मिशन स्टेटमेंट सर
13,Avrodh_0006_HD_AVC_00:04:50.21_00:04:52.00,आज सुबह से,आज सुबह से
14,Avrodh_0004_HD_AVC_00:17:20.23_00:17:27.52,कहा मिले गये चार घंटे के अध्यर मजूद जानना है,कहाँ मिलेगा ये चार घंटे के अंदर मुझे जानना है
15,Avrodh_0001_HD_AVC_Rev_00:17:43.58_00:17:45.51,हो फार बिनाइट इस दे कंपनी,होउ फॉर बिहाइंड इज़ द कंपनी
16,Avrodh_0001_HD_AVC_Rev_00:30:30.26_00:30:31.10,जीजनाक,जी जनाब
17,Avrodh_0009_HD_AVC_00:19:03.26_00:19:05.00,जॉक ओल डाउड,जैकॉल डाउन
