,id,hypothesis,reference
0,16976841982852749134,लूना को साथ ही पहलवानों ने भी सत्धांज ली दी,लूना को साथी पहलवानों ने भी श्रद्धांजलि दी
1,10980788482676060439,उन्होंने अनुफ़्वा को राजनीतिक बखुआसोर मुख्य तापणों कहा,उन्होंने अफवाहों को राजनीतिक बकवास और मूर्खतापूर्ण कहा
2,6282079269312717787,चीजों पर कुछ बना कर या खरोट कर इस जगह पर नुकसान नहीं पोहोचाए,चीज़ों पर कुछ बनाकर या खरोंच कर इस जगह को नुक़सान न पहुंचाएं
3,14706914212578682198,लोना को साती पहलवानों ने दीश रद्धांजली दी,लूना को साथी पहलवानों ने भी श्रद्धांजलि दी
4,4237224709680026844,यह समुद्र के नीचे पतला और ऊंचे क्षेत्रों में नीचा मोटा होता है,यह समुद्र के नीचे पतला और ऊंचे क्षेत्रों के नीचे मोटा होता है
5,10027305580492162464,टेलीविज़न रिपोर्टों में प्लांट से निकलने वाला सफे धुवां दिखाया गया है,टेलीविजन रिपोर्टों में प्लांट से निकलने वाला सफेद धुआं दिखाया गया है
6,13717677002215321761,सेर प्राइड नाम के बड़े समूह में रहने वाली सबसे बड़ी सामाजिक बिल्ल्या है,शेर प्राइड नामक बड़े समूहों में रहने वाली सबसे बड़ी सामाजिक बिल्लियां हैं
7,5430720125226793398,उन्होंने अफ़वाहों को राजनीतिक बकवास और मुख्यतापूर्ण कहा,उन्होंने अफवाहों को राजनीतिक बकवास और मूर्खतापूर्ण कहा
8,6807516166849598764,यह समुद्र के नीचे पतल और ऊचे क्षेत्रों के नीचे मोटा होता है,यह समुद्र के नीचे पतला और ऊंचे क्षेत्रों के नीचे मोटा होता है
9,11014623647783711221,इंटरनेट लोगों और अंतर पर रस्पर्श संचार दोनों के तत्नों को मिलाता है,इंटरनेट लोगों और अंतरपरस्पर संचार दोनों के तत्वों को मिलाता है
10,15275809492376300280,मध्यपूर्व की गर्म जलवायु में घर उतना जरूरी नहीं था,मध्यपूर्व की गर्म जलवायु में घर उतना ज़रूरी नहीं था
11,3912324570757176581,इसने हमी ट्रेन कार और इसी प्रकार के कई अन्य परिवहन के साधन दिए हैं,इसने हमें ट्रेन कार और इसी प्रकार के कई अन्य परिवहन के साधन दिए हैंं
12,533946222103008669,पहाड़ी इलाकों में ज़्यादा जुर्घटना हुई इसकी वजह से आपसी दुश्मनी को माना जाता है,पहाड़ी इलाकों में ज़्यादा दुर्घटना हुई इसकी वजह आपसी दुश्मनी को माना जाता है
13,16476307123526686841,ये जोड़ें अपनी बच्चे के लिए गोद लेने की योजना बनाने का विकल्प चुन सकते हैं,ये जोड़े अपने बच्चे के लिए गोद लेने की योजना बनाने का विकल्प चुन सकते हैं
14,13192148840699813820,पौधे फ़ोटोसिंथेसिस द्वारा सूरे से अपना भोजन बनाते हैं व छाया भी देते हैं,पौधे फ़ोटोसिंथेसिस द्वारा सूर्य से अपना भोजन बनाते हैं वह छाया भी देते हैं
15,16487389062733675441,इसी तरह पुरुषों के लिए घुटनों को ढकने वाले ट्रावज़र पहनना ज़रूरी है,इसी तरह पुरुषों के लिए घुटनों को ढंकने वाले ट्राउज़र पहनना ज़रूरी है
16,3295919989030123828,ये जोड़ें अपने बच्चे के लिए गोद लेने की योजना बनाने का विकल्प चुन सकते हैं,ये जोड़े अपने बच्चे के लिए गोद लेने की योजना बनाने का विकल्प चुन सकते हैं
17,11887255676786903166,चीज़ों पर कुछ बनाकर या खरोजकर इस जगह को नुकसान न पहुंचाएं,चीज़ों पर कुछ बनाकर या खरोंच कर इस जगह को नुक़सान न पहुंचाएं
18,12211625880636332335,इसी तरह पुरुषों के लिए घुटनों को ढकने वाले ट्रॉज़र पहनना ज़रूई है,इसी तरह पुरुषों के लिए घुटनों को ढंकने वाले ट्राउज़र पहनना ज़रूरी है
19,6548337291217688292,बच्चों के लिए बनी जगह में पिरामिड साउंड आणि लाइट शो सबसे दलचस्प चीज़ों में से एक है,बच्चों के लिए बनी जगह में पिरामिड साउंड एंड लाइट शो सबसे दिलचस्प चीज़ों में से एक है
20,10761312360331088376,कैल्सियम और पोर्टियसियम जैसे तत्वों को धातु माना जाता है बेशक चांदी और सोने जैसी धातु ए भी है,कैल्शियम और पोटैशियम जैसे तत्वों को धातु माना जाता है बेशक चांदी और सोने जैसी धातुएं भी हैं
21,5956554166903472780,ऐसा माना जाता है कि पेरिस की निवासी अहकारी असभ्य और अभिमानी होते हैं,ऐसा माना जाता है कि पेरिस के निवासी अहंकारी असभ्य और अभिमानी होते हैं
22,7810041577325288574,कैसाब्लांका मौरोको में खरीदारी करने के लिए सबसे कम दिलचस्थानों में से एक है,कैसाब्लांका मोरक्को में खरीदारी करने के लिए सबसे कम दिलचस्प स्थानों में से एक है
