,id,hypothesis,reference
0,AVRODH_EP_04_TELUGU_20_PM_07AUG2020.STEREO_00:07:52.31_00:07:54.50,రన్ డే రన్ డే అబు హఫీజ్,రండి రండి అబు హఫీజ్.
1,AVRODH_EP_09_TELUGU_20_PM.STEREO_00:15:10.21_00:15:10.50,సందేశం కానులు కానులు కానులు కానులు కానులు కానులు కానులు కానులు కానులు కానులు కానులు కానులు కానులు కానులు కానులు కానులు కానులు కానులు కానులు కానులు కానులు కానులు కానులు కానులు,సార్.
2,AVRODH_EP_08_TELUGU_20_PM_07AUG2020.STEREO_00:14:46.51_00:14:50.50,ఎదురుచూడర ఫర్ గాడ్ సెక్ జనరల్ మనవుకు మిషన్ మీదున ఒకవేళ ఇదేనా జరగింది,ఎదురుచూడాలా ఫర్ గాడ్ సేక్ జనరల్ మనము ఒక మిషన్ మీద ఉన్నాము. ఒకవేళ ఏదైనా జరగరాని
3,AVRODH_EP_01_TELUGU_20_PM_07AUG2020.STEREO_00:17:03.31_00:17:08.20,సతీష్ కాన్వాయ్ మూవ్మెంట్ అనేది ఆపరేషన్ లో ఒక భాగం,సతీష్ కాన్వాయి మూమెంట్ అనేది ఆపరేషన్ లో ఒక భాగం.
4,AVRODH_EP_09_TELUGU_20_PM.STEREO_00:15:31.01_00:15:35.30,పాప్ ఫోర్ టీమాల్ఫా గెట్ రెడీ ఫోర్ డీ ఇండక్షన్ యు మస్ట్ క్లీర్ నావ్ ఓర్,పాపాప్ ఫర్ టీమ్ అల్ఫా డీ ఇండక్షన్ యు మస్ట్ లీవ్ నౌ ఓవర్.
5,AVRODH_EP_02_TELUGU_20_PM_07AUG2020.STEREO_00:16:17.31_00:16:21.00,నేనే వాళ్ళ నంబరు ఇచ్చి వాళ్ళతో మాట్రాడమని చెప్పాని చెప్పండి,"నేనే వాళ్ళ నెంబర్ ఇచ్చి, వాళ్ళతో మాట్లాడమని చెప్పానని చెప్పండి."
6,AVRODH_EP_06_TELUGU_20_PM_07AUG2020.STEREO_00:18:00.51_00:18:02.55,గౌతమ్ బాల్ గుడ్,గౌతమ్ ఆల్ గుడ్.
7,AVRODH_EP_03_TELUGU_20_PM_07AUG2020.STEREO_00:16:34.31_00:16:42.40,ఉగ్రవాదులు డైరెక్ట్ గా మన బేస్ క్యాంప్ లోపలి కొచ్చి మరీ దాడి చేశారు నువ్వు నా ప్లేసులో ఉండి ఆలోచించు,ఉగ్రవాదులు డైరెక్ట్ గా మన బేస్ క్యాంపు లోకి వచ్చి దాడి చేశారు నువ్వు నా ప్లేస్ లో ఉండి ఆలోచించు.
8,AVRODH_EP_01_TELUGU_20_PM_07AUG2020.STEREO_00:13:29.16_00:13:31.10,కానీ నిజం చెప్పాలంటే మై ఫ్రెండ్,కానీ నిజం చెప్పాలి అంటే మై ఫ్రెండ్.
9,AVRODH_EP_09_TELUGU_20_PM.STEREO_00:20:37.21_00:20:40.00,మోటార్ ప్లాటిన్ సిద్ధంగా వచ్చం అని తర్జిటం బీహార్ కి తెలియజేయండి,మోటార్ ప్లాంట్ ని సిద్ధంగా ఉంచామని థర్టీ టూ బీహార్ కి తెలియజేయండి.
10,AVRODH_EP_02_TELUGU_20_PM_07AUG2020.STEREO_00:10:09.51_00:10:12.50,అంటే మీరు అనేది అబూ హాఫీస్ గురించా మార్చించారు అన్ని కాల్పాల్సిన కాల్పాల్సిన కాల్పాల్సిన కాల్పాల్సిన కాల్పాల్సిన కాల్పాల్సిన కాల్పాల్సిన కాల్పాల్సిన కాల్పాల్సిన కాల్పాల్సిన కాల్పాల్సిన కాల్పాల్సిన కాల్సిన కాల్సిన కాల్సిన కాల్సిన కాల్స,ఆ అంటే మీరు అనేది అబుహాఫీస్ గురించా.
11,AVRODH_EP_01_TELUGU_20_PM_07AUG2020.STEREO_00:17:44.01_00:17:45.30,ఇంకా ఎంత దూరం వెడాల్సిందే,ఇంకా ఎంత దూరం వెళ్లాల్సి ఉంది.
12,AVRODH_EP_09_TELUGU_20_PM.STEREO_00:15:10.51_00:15:15.40,పాపప్ ఫర్ టీమాల్ఫా పాపప్ ఫర్ టీమాల్ఫా ఓవర్ ఆర్డర్ ఫ్రం క్యాసల్ గ్రాక్ఫెంట్స్,"పాప్ అప్ ఫర్ టీమ్ అల్ఫా, పాప్ అప్ ఫర్ టీమ్ అల్ఫా ఓవర్ ఆర్డర్ ఫ్రమ్ క్యాసాల్ ఇర్ ఆక్టివేట్ నౌ."
13,AVRODH_EP_03_TELUGU_20_PM_07AUG2020.STEREO_00:15:06.11_00:15:07.35,కానీ మీరైతే వెళ్ళొచ్చి గాతో,కానీ మీరైతే వెళ్ళొచ్చు కదా?
14,AVRODH_EP_07_TELUGU_20_PM.STEREO_00:07:32.36_00:07:36.30,ఇప్పుడే అమ్మ దగ్గి వదిలి పెట్టి వచ్చాని చుడు వెంటనే ఏడుపు మొదలు పెడుతుంది,"ఇప్పుడే అమ్మ దగ్గర వదిలిపెట్టి వచ్చాను, చూడు వెంటనే ఏడుపు మొదలు పెడుతుంది."
15,AVRODH_EP_08_TELUGU_20_PM_07AUG2020.STEREO_00:24:10.46_00:24:25.10,దేశం బాగోగలో చూసుకునేవళ్ల కుటుంబసభ్యులు ఎలా బతకాలో వాళ్లంతటా వాళ్లే నేరుచేసుకుంటారు ఆయన ఆర్మీలో నాకో కొడుకున్నాడు,దేశం బాగోగులు చూసుకునే వాళ్ళ కుటుంబ సభ్యులు ఎలా బతకాలో వాళ్ళంతట వళ్ళే చేసుకుంటారు. అయినా ఆర్మీలో నాకు ఒక కొడుకు ఉన్నాడు.
