,id,hypothesis,reference
0,MAHARANI_TAMIL_EPI_08_MIX_00:24:05.06_00:24:14.10,சர் நீங்கள் இன்சார்ஜ் எடுங்க எல்லாத்தையும் சரி பண்ணிடலாம் டைம் எப்போ பிக்ஸ் பாண்டோன் மட்டுமே சொல்கிங் க எலுமது சேகரம் பணினான்,சார் நீங்க இன்சார்ஜ் எடுங்க எல்லாத்தையும் சரி பண்ணிடலாம் டைம் எப்ப பிக்ஸ் பண்ணனும்னு மட்டும் சொல்லுங்க எல்லாத்தையும் சீக்கிரம் பண்ணிலாம்
1,MAHARANI_TAMIL_EPI_03_MIX_00:45:29.26_00:45:37.15,நாம சந்திக்கப்போர் ஆபத்தை எங்களுகே நல்லவே தெரியும் அதனால் நான் என்ன சொல்வரனா இது முழு பீஹாறு,"நம்ப சந்திக்கிற போற ஆபத்து எங்களுக்கு நல்லாவே தெறிது, அதனால நான் என்ன சொல்லவரனா இந்த முழு பீகார்ரும்"
2,MAHARANI_TAMIL_EPI_06_MIX_00:41:11.13_00:41:16.32,வணக்கம் முனிவரே பனிவான வணங்கங்கள் என் குடிலு க்கு வந்ததால் பொன்னியம் அடைத்தேன்,"வணக்கம் முனிவரே பணிவான வணக்கம்கள் என் குடிலுக்கு வந்ததால் புன்னியம் அடைந்தேன்,"
3,MAHARANI_TAMIL_EPI_08_MIX_00:19:46.16_00:19:56.20,விதியுட விளையாட்டு இவ்வளவு மோசமாக இருக்கில்லை இப்போ அந்த கெளரியால கூன்வாரம் உள்ளப் போனானோ கூடிய சீக்றம் அவள் வெளியே வருவதற்கும் வாய்யம் அதிகம்தான்,விதியோட விளையாட்டு இவ்வளோ மோசமா இருக்குல்ல இப்போ அந்த கௌரியால கோன் வார் உள்ள போனானோ கூடிய சீக்கிரம் அவன் வெளியே வர்றதுக்கும் வாய்ப்பு அதிகம் தான்
4,MAHARANI_TAMIL_EPI_03_MIX_00:11:12.11_00:11:15.43,நீங்கள் எங்கு ரூம்லு என்ன பண்ணுறீஙே கேக் இதா என் நப்பனிட்டு இருக்கின்க,நீங்க இங்க ரூம்ல என்ன பன்றிங்க கேக்குதா என்ன பன்னிட்டு இருக்கீங்க?
5,MAHARANI_TAMIL_EPI_03_MIX_00:17:56.06_00:18:10.15,அது முதல் புரிச்சுக்கோ சரியா இல்லது டைம் டிசைட் வெதெரான இசு லெண்டர் அல் ஷீஸ் மாஷ்டெர்ன் ஓகே போலாம்,"அத முதல புரிஞ்சிக்கோ சரியா லேட் தி டைம் டிசைட் வ்ஹெதேர் ஷி இஸ் பென்டர் ஆர் ஷி இஸ் மாஸ்டர்னு, ஓகே பொலாம்."
6,MAHARANI_TAMIL_EPI_03_MIX_00:02:01.16_00:02:05.45,மிஸ்ரா சார் உங்களுக்கு தெரியாதா,மிஷ்ரா சார் உங்களுக்கு தெரியாத?
7,MAHARANI_TAMIL_EPI_03_MIX_00:23:27.26_00:23:30.23,ஏது உண்மனை நீங்கள் தெரிஞ்சிக்க மாட்டீர்ங்க,எது உண்மைன்னு தெரிஞ்சிக்க மாற்றிங்க.
8,MAHARANI_TAMIL_EPI_04_MIX_00:31:53.21_00:31:55.10,ட்ரெஜ்ரினா,ட்ரெஅஜெரினா
9,MAHARANI_TAMIL_EPI_06_MIX_00:36:45.49_00:36:51.31,ஒரு படிப்பறிவில்லாத பெண்ணுகிட்ட உங்களுக்கு என்ன வேலையிற்க போது நவீன் சார்,ஒரு படிப்பறிவு இல்லாத பெண்ணு கிட்ட உங்களுக்கு என்ன வேல இருக்க போகுது நவீன் சர்.
