,id,hypothesis,reference
0,AVRODH_EP_01_KANNADA_20_PM.STEREO_00:29:53.41_00:29:55.58,ತಾವು ಇಲ್ಲಿ ಗ್ರ್ಯಾ ಕಟ್ಟಿಂಗ್ ಕೇಳ್ಸ ಮಾೃತ್ನೀರು,ತಾವು ಇಲ್ಲಿ ಗ್ರಾಸ್ ಕಟಿಂಗ್ ಕೆಲ್ಸ ಮಾಡ್ತಿದೀರಿ ಅಲ್ವಾ
1,AVRODH_EP_09_KANNADA_20_PM.STEREO_00:33:57.01_00:34:00.40,ಐ ಹೋಪ್ ಐಲ್ ಗೆಟ್ ಅಸೈಂಡ್ ಕಾಪಿ ದು,ಮೈ ಪ್ಲಷರ್ ಐ ಹೋಪ್ ಐ ವಿಲ್ ಗೆಟ್ ಆ ಸೈನ್ಡ್ ಕಾಪಿ ಟೂ
2,AVRODH_EP_04_KANNADA_20_PM.STEREO_00:08:16.34_00:08:22.25,ಯೋ ಚಿ ಸಿಲ್ಲಾ ನಮ್ಮೀಪ್ರ ಮುಖಾಮಕೀ ಆಗು ತ್ತೆ ಅಂತಾ,ಯೋಚಿಸಿಲ್ಲ ನಮ್ಮಿಬ್ಬರ ಮುಖಾಮುಖಿಯಾಗುತ್ತೆ ಅಂತ
3,AVRODH_EP_03_KANNADA_20_PM.STEREO_00:17:42.59_00:17:43.35,ನಾನು ನೀರಾ ಮೊದಲಿಗೆ ಮನ್ಮಗಳ ಪರ್ಯವಸ್ಥೆಯ ನಲ್ಲೇ ಅತೀ ಪ್ರೇಕ್ಷಣದ ಹೇುವು,ಸರ್
4,AVRODH_EP_01_KANNADA_20_PM.STEREO_00:12:37.21_00:12:39.40,ನಿನ್ ಬಳಿ ಪ್ರತೀ ಪಾಬ್ಲೆಂ ಗೂ ಒಂದೇ ಸೊಲ್ಯೂಷನ,ನಿನ್ ಬಳಿ ಪ್ರತಿ ಪ್ರಾಬ್ಲೆಮ್ಗೂ ಒಂದೇ ಸೊಲ್ಯೂಷನ್ ಇದೆ
5,AVRODH_EP_04_KANNADA_20_PM.STEREO_00:05:10.35_00:05:12.00,ಅಂದ್ರೆ ಮಾಡಿದ ನೀವು ನಾ ಮೊದಲನ್ನೇ ಕೇಳಿ ಬರಲು,ಅಂದ್ರೆ
6,AVRODH_EP_02_KANNADA_20_PM.STEREO_00:22:14.36_00:22:18.20,ಇದು ಅನಿವಾರ್ಯ ಯಾ ರಿ ಗೊತ್ತುಇ ಇತನ್ನು ಈ ರೋದ್ದರೂ ನೆನ ಗ್ಗೆ ಕೇಳ್ಬೇ್ಕು,ಯಾರಿಗೆ ಗೋತಿತ್ತು ಇದನ್ ಯಾರಾದರೂ ನಂಗೆ ಕೇಳಬೇಕು
7,AVRODH_EP_09_KANNADA_20_PM.STEREO_00:03:15.51_00:03:18.50,ಮಿಸ್ಟರ್ ಬಾಬ್ ಟೆರಿ,ಮಿಸ್ಟರ್ ಬಾಬ್ ಡೇರಿ
8,AVRODH_EP_09_KANNADA_20_PM.STEREO_00:13:47.06_00:13:49.00,ಸುಧೀರವನ್ನು ಮಾಡಿದ ಅವ್ಯಕ್ತಿ ಗಳಲ್ಪತ್ರ ಹೇಗೆ ನಿೆಮ್ಮಲಾ ಕಾುು್ಟರ್ಸ್ ಗೂರು ಈಗ ಬಂದು,ವಿ ಟು ಥ್ರೀ ಡೌನ್
9,AVRODH_EP_01_KANNADA_20_PM.STEREO_00:30:03.21_00:30:07.50,ಮತ್ತೆ ಕೇಳಿ ಅಗತ ಬಿದ್ರೇ ನಾಳೆನೀವು ಎರಡುಮೂರ ಜನ ರನ್ನಿೂುು್ಹೆ್ಯಚ್ಚು ಈಡಿ,ಮತ್ತೆ ಕೇಳಿ ಅಗತ್ಯಬಿದ್ದರೆ ನಾಳೆ ನೀವು ಎರಡು ಮೂರು ಜನ್ರನ್ನ ಹೆಚ್ಚು ಮಾಡಿ
