,id,hypothesis,reference
0,11733633381770894803,ஹெராஸ்மிட் அவர்களின் சுற்றுப்பினத்தில் மீதமுடைச் செய்ய நிகழ்ச்சிகளை ரத்தி செய்தார்,ஏரோஸ்மித் அவர்களின் சுற்றுப்பயணத்தில் மீதமுள்ள இசை நிகழ்ச்சிகளை ரத்து செய்தார்
1,4707539774130797944,அதே வரிசையில் ஆண்கள் முழங்கால்களை மறைக்கும் கால் சட்டை எணைய வேண்டும்,அதே வரிசையில் ஆண்கள் முழங்கால்களை மறைக்கும் கால்சட்டை அணிய வேண்டும்
2,812231242952027094,தொலைக்காட்சி அறிக்கைகள் ஆளையிலிருந்து வென்னிரப் புகை வெளியுறுவதைக் காண்பித்தன,தொலைக்காட்சி அறிக்கைகள் ஆலையிலிருந்து வெண்ணிறப் புகை வெளிவருவதை காண்பித்தன
3,4394405227288050769,ஒரு வெடி கொண்டு ஆளுனர் அதிகாரி அலுவலகத்தின் வெடியே விடித்தது,ஒரு வெடிகுண்டு ஆளுனர் அதிகாரி அலுவலகத்தின் வெளியே வெடித்தது
4,8361944083548949775,எனவே இந்தக் குறியீடல் வெறுமனே ஒரு லேபிளாக செல்க்கப்பட்டிருக்கலாம்,எனவே இக்குறியிடல் வெறுமனே ஒரு லேபிளாகச் சேர்க்கப்பட்டிருக்கலாம்
5,13415181045000745362,அதே வரிசியில் ஆண்கள் முழங்கால்களை மறைக்கும் கால்சட்டை அணிய வேண்டும்,அதே வரிசையில் ஆண்கள் முழங்கால்களை மறைக்கும் கால்சட்டை அணிய வேண்டும்
6,14433864249907192916,ஹைக்கிங் பாதையைப் போன்ற பனிச்சறுக்கு பாதையைப் பற்றி செந்தீர்கள்,ஹைகிங் பாதையைப் போன்ற பனிச்சறுக்கு பாதையைப் பற்றிச் சிந்தியுங்கள்
7,193650557789856037,மத்திய கிழக்கின் விதிவிதுப்பான காலநிலையில் வீடு அவ்வளவு முக்கியத்துவம் ஆய்ந்ததாகவில்லை,மத்திய கிழக்கின் வெதுவெதுப்பான காலநிலையில் வீடு அவ்வளவு முக்கியத்துவம் வாய்ந்ததாக இல்லை
8,7778474868991082911,கிசாவிலுள்ள பெரிய பிரமிடு இன்னும் நிலைத்திருக்கும் ஏழாசிசிகளில் ஒன்றாகும்,கிசாவில் உள்ள பெரிய பிரமிடு இன்றும் நிலைத்திருக்கும் ஏழு அதிசயங்களில் ஒன்றாகும்
9,8180906179056355416,ஹைக்கிங் பாதையைப் போன்ற பனிச்சறுக்கு பாதையைப் பற்றி சிந்தியுங்கள்,ஹைகிங் பாதையைப் போன்ற பனிச்சறுக்கு பாதையைப் பற்றிச் சிந்தியுங்கள்
10,14312556512052628142,ஸ்ப்ரிங்க் போக்ஸைப் பொறுத்தவரை அது ஐந்து போட்டிகளில் தோல்வியடைந்தது,ஸ்பிரிங்போக்ஸைப் பொறுத்தவரை அது ஐந்து போட்டிகளில் தோல்வியடைந்தது
11,17264457532158271660,காட்சிகள் பிரமிடுகளில் காட்சிப்படுத்தப்பட்டு வெவ்வேறு பிரமிடுகளில் ஒளியற்றப்படும்,காட்சிகள் பிரமிடுகளில் காட்சிப்படுத்தப்பட்டு வெவ்வேறு பிரமிடுகள் ஒளியேற்றப்படும்
12,5168814581281946692,சில பகுதிகளில் நீர் குதிக்க ஒரு நிமிடம் போதுமானதாக உள்ளது மற்ற இடங்களில் பல நிமிடங்கள் தேவைப்படுகிறது,சில பகுதிகளில் நீர் கொதிக்க ஒரு நிமிடம் போதுமானதாக உள்ளது மற்ற இடங்களில் பல நிமிடங்கள் தேவைப்படுகின்றன
13,15396950511742752381,மூலை நோயில் மற்றும் நடந்தக்கிடையிலான தொடர்பு விஞ்ஞானிகள் ஆராய்ச்சிக்கு உதவிகிறது,மூளை நோயியல் மற்றும் நடத்தைக்கு இடையிலான தொடர்பு விஞ்ஞானிகள் ஆராய்ச்சிக்கு உதவுகிறது
14,15483395239406333984,மத்திய கிழக்கின் வெதுவெது பான காலநலையில் வீடு அவ்வளவு முக்கியத்துவமானதாக இல்லை,மத்திய கிழக்கின் வெதுவெதுப்பான காலநிலையில் வீடு அவ்வளவு முக்கியத்துவம் வாய்ந்ததாக இல்லை
15,17559280123944755580,கிப்சன் வெபுப்பு நிறுந்த பின் மருத்துவ மணிக்கு அழுத்தைச் செல்லப்பட்ட சிறந்த நேரத்தில் இருந்தார்,கிப்சன் விபத்து நிகழ்ந்த பின் மருத்துவமனைக்கு அழைத்துச்செல்லப்பட்ட சிறிது நேரத்தில் இறந்தார்
16,7863529300360644766,இந்த ஜோடிகள் அவர்களுக்கான குழந்தையைத் தத்தெடுக்க திட்டங்களைத் தேர்வு செய்கிறார்கள்,இந்த ஜோடிகள் அவர்களுக்கான குழந்தையை தத்தெடுக்க திட்டங்களை தேர்வு செய்கிறார்கள்
17,14516850308917653491,பின்னர் அவர் கேம்பிரிட்ஜிலுள்ள ஏன்டன் ப்ரூக் மருத்துவமனைக்கு மாற்றப்பட்டார்,பின்னர் அவர் கேம்பிரிட்ஜில் உள்ள ஏட்டன்ப்ரூக் மருத்துவமனைக்கு மாற்றப்பட்டார்
18,4959807872757281225,புதன் கிழமை நிகழ்வுக்குப் பின்னர் கார் பெண்டோ பந்தயத்தில் இரு தனிப்பட்ட பந்தயங்கள் போட்டியிட்டார்,புதன் கிழமை நிகழ்வுக்குப் பின்னர் கார்பெண்டோ பந்தயத்தில் இரு தனிப்பட்ட பந்தயங்களில் போட்டியிட்டார்
19,14287344350782077322,தொலைக்காட்சி அறிக்கைகள் ஆளையிலிருந்து வென்னிரப்புகை வெளியுள்ளதைக் காண்பித்தன,தொலைக்காட்சி அறிக்கைகள் ஆலையிலிருந்து வெண்ணிறப் புகை வெளிவருவதை காண்பித்தன
20,14223843653085657511,கிப்சன் விபத்து நிகழ்ந்த பின் மருத்துவமனைக் கிடைச்சே செல்லப்பட்ட சிறிதி நேரத்தில் இறந்தார்,கிப்சன் விபத்து நிகழ்ந்த பின் மருத்துவமனைக்கு அழைத்துச்செல்லப்பட்ட சிறிது நேரத்தில் இறந்தார்
21,16586608009385653621,அனைத்து ஜன்னாப்பிரிக்கு தேசிய பூங்காக்கள் போலவே அங்கு தினசரி பாதுகாப்பு மற்றும் நுழைவு கட்டணங்கள் உள்ளன,அனைத்து தென்னாப்பிரிக்க தேசிய பூங்காக்களைப் போலவே அங்கு தினசரி பாதுகாப்பு மற்றும் நுழைவு கட்டணங்கள் உள்ளன
