,id,hypothesis,reference
0,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:34:42.36_00:34:43.23,நன்கு மநன்னு மேல்,தேங்க்யூ மேம்
1,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:03:01.16_00:03:01.58,இதனைக் காணலாம் என்று கேட்டதும் நாம் காணலாம் என்று கேட்டதும் நாம் காணலாம் என்று கேட்டதும் நாம் காணலாம் என்று கேட்டதும் நாம் காணலாம் என்று கேட்டதும் நாம் காணலாம் என்று கேட்டதும்,எஸ் சார்
2,AVRODH_EP_05_TAMIL_20_PM.STEREO_00:22:46.16_00:22:49.10,இந்திய யுத்தத்துக்கு தயாராய் இருக்க,இந்தியா யுத்ததுக்கு தயாராக இருக்கு
3,AVRODH_EP_08_TAMIL_20_PM.STEREO_00:13:19.56_00:13:21.50,செர்ட் ஜூன்ட் ஆஃப் ஜூன்ட்,சர் டூ அண்ட் ஹாஃப் மினிட்ஸ்
4,AVRODH_EP_04_TAMIL_20_PM.STEREO_00:14:08.47_00:14:14.00,முதல் ஒரு விஷயத்தை நீ தெரிஞ்சுக நேற்று நடந்த விஷயத்து மூலம் உம்மல போர்டு ரொம்ப டிச அபைன்டனடாக இருக்காங,முதல ஒரு விஷயத்த நீ தெரிஞ்சிக்க நேத்து நடந்து விஷயத்து மூலமா உன் மேல போர்ட் ரொம்ப டிஸ்ஸபாய்ன்டெட்டா இருக்காங்க
5,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:03:33.11_00:03:37.20,எஸ் ஆல்ரைட் நான் பிறகு கால் பண்ணுறேன் பாய் க்ளீஸ் செட்,எஸ் ஆல்ரைட் நான் அப்புறம் கால் பண்றன் பாய் ப்ளீஸ் சிட்
6,AVRODH_EP_05_TAMIL_20_PM.STEREO_00:15:50.36_00:15:51.00,ஹல்,ஆல்வியா சார்ர எனக்கு
7,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:08:23.33_00:08:25.58,இயூ டேக் கேர் முடிஞ்சும் உன்னை நான் கொள்கின்றேன்,யு டேக் கேர் முடிஞ்ச உடனே நான் கால் பண்றன்
8,AVRODH_EP_04_TAMIL_20_PM.STEREO_00:08:10.22_00:08:11.25,கை அணி,கையானி
9,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:05:31.01_00:05:33.02,ப்ளீஸ் கூகிள் கேர்னில் அருலேஷ் சிங்,ப்ளீஸ் கூகுள் கர்னல் அருலேசிங்
10,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:10:55.06_00:10:57.05,ஜன கிரப்பாய முர்த்துறாங்க,ஜனங்கள பயமுத்தரங்க
11,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:05:23.46_00:05:25.10,ஜர்னலிசம் போதன தோனது,ஜர்னலிசம் போதும்னு தோணுது
12,AVRODH_EP_05_TAMIL_20_PM.STEREO_00:23:16.01_00:23:19.25,இஸ்பூலின் தடவை கிட்டத்தட்ட அறுபத்து ஐந்து பேர் லஷ்கர் லஷ் சேத்திகேட்ட,இஸ்புள் இந்த தடவ கிட்ட தட்ட அருவத்தஞ்சு பேர லஷ்க்கர்ல சேத்துக்கிட்ட ஜனாப்
13,AVRODH_EP_08_TAMIL_20_PM.STEREO_00:10:09.11_00:10:14.49,ஆல்பர் டூ கெளதம் நீங்க வில்லேஜை சுத்தி போயி பினாடி லந்தான்ட் ஆக் மன்னோ ஜெர்லெண்ட்மன்,ஆல்பா டூ கௌதம் நீங்க வில்லேஜ்அ சுத்தி போயி பின்னாடில இருந்து அட்டாக் பண்ணனும் ஜெண்டில் மென் லேட்ஸ் டேக்
14,AVRODH_EP_04_TAMIL_20_PM.STEREO_00:09:39.31_00:09:47.10,அந்த மிஷின் எல்லாமே சைனாவில் எந்து வாங்குந்து இதுக்குப் பேருதா குளோபலைசியேஷன்,அந்த மெஷின் எல்லாமே சீனால இருந்து வாங்குனது இதுக்கு பேரு தான் குளோபலைசேஷன்
15,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:12:35.56_00:12:40.15,அது சுத்திருக்குற எல்லாத் தீ அவ்வமைதியாகி,அது சுற்றி இருக்கிற எல்லாத்தையும் அமைதியாக்கிடும்
16,AVRODH_EP_04_TAMIL_20_PM.STEREO_00:20:05.56_00:20:14.30,சார் நீங்க நினைக்கிற மாதிரி ஒன்னுமே கடையாது நான் வெறும் வேலைக்காரன்,சார் நீங்க நினைக்கிற மாதிரி ஒண்ணுமே கெடையாது நான் வெறும் வேலைக்காரன் தான்
17,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:15:31.32_00:15:35.42,பப்பா டிம் ஆல்பா ருக்கிறேன் டி இணக்ஷன் வி மஸ் லீம் நாவு ஓவர்,பாப்பா ஃபார் டீம் ஆல்பா கெட் ரெடி பார் டி இண்டக்ஷன் வி மஸ்ட் லீவ் நொவ் ஓவர்
18,AVRODH_EP_05_TAMIL_20_PM.STEREO_00:03:16.48_00:03:17.34,நீங்க போங்க,நீங்க போங்க
19,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:13:55.06_00:13:56.17,தி மார்க் ஒர்க்ல,ரீமார்க் கோர்ட்ல
20,AVRODH_EP_05_TAMIL_20_PM.STEREO_00:23:19.26_00:23:25.30,அத்தனை பேரை சேர்த்துடன் அவன் அப்போ நிறைய பேரை இன்னும் சாய்க்க வேண்டியதிருக்கு,அத்தனை பேர சேத்துட்டானா அப்போ நெறைய பேரா இன்னும் சேக்க வேண்டியது இருக்கு
21,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:11:36.36_00:11:38.01,குஜ் ஜொப்ர் ரெஸ்ரி,குட் ஜாப் ரெசி
22,AVRODH_EP_03_TAMIL_20_PM.STEREO_00:12:33.51_00:12:37.30,நிகரிக்க,நிஹாரிகா
23,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:14:32.41_00:14:36.57,அல் யூனிட்ஸ் கோலிங் அல் யூனிட்ஸ் கோட்டுல் கம்ப்ரோமைசாட்டு செய்,ஆல் யூனிட்ஸ் காலிங் ஆல் யூனிட்ஸ் கோர்ட்ல காம்பெர்மைஸ் ஆயிடிச்சு
24,AVRODH_EP_03_TAMIL_20_PM.STEREO_00:05:34.52_00:05:37.10,சர் த நேமல் ஃபோர்சர்ஸ் ஆல்சோ ஆன் ஸ்டாண்ட்பை சர்,சார் த ஃபோர்ஸ் ஆல்சோ ஸ்டாண்ட் பை சார்
25,AVRODH_EP_08_TAMIL_20_PM.STEREO_00:21:57.36_00:22:00.45,டார்கெட் குள் எத்தனை பேர் இருக்கிறாங்க ஐநி ஐடியோ,டார்கெட் குள்ள எத்தன பேர் இருக்காங்க எனி ஐடியா
26,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:14:05.12_00:14:05.33,இதனைப் பார்த்தும் நீர் தேன்பர்கள் தன்னைக் கூறும் நீர் தேன்பர்கள் தன்னைக் கூறும் நீர் தேன்பர்கள் தன்னைக் கூறும் நீர் தேன்பர்கள் தன்னைக் கூறும் நீர்,சிக்ஸ் டவ்ன்
27,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:12:15.02_00:12:16.57,டவுன் டவுன் சார்ஜஸ்,டௌன் டௌன் சார்ஜஸ்
28,AVRODH_EP_04_TAMIL_20_PM.STEREO_00:10:16.23_00:10:21.00,யா யா அனனி எப்போமே எக்ஸ்ட்ராடினரியர் தேடிப் போயிற்க,யா யா ஆனா நீ எப்பவுமே எக்ஸ்னாடினரி ஆ தேடிப்போய்ட்டுருக்க
29,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:32:55.45_00:33:01.30,தன்க்யு சார் நன்க்கு எவ்விரதிங்கு திஸ் அல் வெற்றியானது,தேங்க் யூ தேங்க் யூ ஃபார் எவ்ரி திங் திஸ் இஸ் ஆல் பிகாஸ் ஆப் யூ
30,AVRODH_EP_04_TAMIL_20_PM.STEREO_00:01:38.16_00:01:51.10,ஸ்கூல்ல படிக்கும்போது ரொம்ப ஒப்படிவாதகர எல்லாத்திலும் ஃபர்ஸ்ட் வருணும் நினைப்பான் பாரு நம்ம எல்லாருமே பின்னாடி விட்டுட்டு போயிட்டான்,ஸ்கூல்ல படிக்கும்போதே ரொம்ப பிடிவாத காரன் எல்லாத்துலையும் பிரஸ்ட் வரணும்னு நினைப்பான் பாரு நம்ப எல்லாரையும் பின்னாடி விட்டுட்டு போய்ட்டான்
31,AVRODH_EP_05_TAMIL_20_PM.STEREO_00:19:55.37_00:19:57.25,அவக்கு இது பற்றி என்ன சொல்றாங்க,அவங்க இதை பத்தி என்ன சொல்லுறாங்க
32,AVRODH_EP_05_TAMIL_20_PM.STEREO_00:13:00.31_00:13:01.19,ஜக்ஸ்,ஜாக்க்ஸ்
33,AVRODH_EP_08_TAMIL_20_PM.STEREO_00:13:06.51_00:13:10.20,சார் டீம் ஆல்ஃபா கூட எந்த கம்யூனிகேஷனர் காது ரேடியோ சைலன்ஸை மேன்டேன் பண்ணு,சார் டீம் ஆல்ஃபா கூட எந்த கம்யூனிகேஷன்னும் இருக்காது ரேடியோ சைலென்ஸ்ச மெயின்டைன் பன்றோம்
34,AVRODH_EP_05_TAMIL_20_PM.STEREO_00:05:26.18_00:05:29.58,நீயும் சுனிதா மேடம் ஒருகிரை ஃபோடோகிராப்ஸ் ஆன்லைன் கபிடிப்பது,நீயும் சுனிதா மேடமும் இருக்குற ஃபோட்டோக்ராப்ஸ் ஆன்லைன்கு எப்படி போச்சி
35,AVRODH_EP_03_TAMIL_20_PM.STEREO_00:19:31.21_00:19:37.05,ஜெனரல் சின்ஹா அதிக வஸ் கியா நோ நியூ ஆபரேஷன்ஸ்,ஜென்ரல் சின்ஹா ஐ திங்க் ஐ வாஸ் கிரியார் நோ நியூ ஆப்ரேஷன்
36,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:09:17.57_00:09:20.00,ஆல்பா மன்பு மோஷ்ட பாபு ஜெய்ஷ்ரீ ராலட்டான்,ஆல்பா ஓன் மூவிங் பார்வோர்ட் ரேசி அலர்டாஇரு
