,id,hypothesis,reference
0,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:34:42.36_00:34:43.23, நன்றி அம்மா,தேங்க்யூ மேம்
1,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:03:01.16_00:03:01.58, ஐயா,எஸ் சார்
2,AVRODH_EP_05_TAMIL_20_PM.STEREO_00:22:46.16_00:22:49.10, இந்தியா யுதத்துக்குத் தயாரா இருக்,இந்தியா யுத்ததுக்கு தயாராக இருக்கு
3,AVRODH_EP_08_TAMIL_20_PM.STEREO_00:13:19.56_00:13:21.50, ஐயா,சர் டூ அண்ட் ஹாஃப் மினிட்ஸ்
4,AVRODH_EP_04_TAMIL_20_PM.STEREO_00:14:08.47_00:14:14.00, முதலில் ஒரு விஷயத்தை நீ தெரிந்துகொள் நேற்று திருடந் தவிர்வும் முளம் உன் மேல போட் ரொம்ப பார்க்கலாம்,முதல ஒரு விஷயத்த நீ தெரிஞ்சிக்க நேத்து நடந்து விஷயத்து மூலமா உன் மேல போர்ட் ரொம்ப டிஸ்ஸபாய்ன்டெட்டா இருக்காங்க
5,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:03:33.11_00:03:37.20, ஆமாம் சரி நான் பிறகு அழைக்கிறேன் வாருங்கள் தயவுசெய்து,எஸ் ஆல்ரைட் நான் அப்புறம் கால் பண்றன் பாய் ப்ளீஸ் சிட்
6,AVRODH_EP_05_TAMIL_20_PM.STEREO_00:15:50.36_00:15:51.00, வணக்கம்,ஆல்வியா சார்ர எனக்கு
7,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:08:23.33_00:08:25.58, உங்களுக்கு பார்த்து கொள்வில்லை முடிந்தவுடன் நான் உன்னைக் கொண்டு வருகிறேன்,யு டேக் கேர் முடிஞ்ச உடனே நான் கால் பண்றன்
8,AVRODH_EP_04_TAMIL_20_PM.STEREO_00:08:10.22_00:08:11.25, கையானி,கையானி
9,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:05:31.01_00:05:33.02, தயவுசெய்து கூகியுங்கள் கருணல் அருலேஷ் சிங்க,ப்ளீஸ் கூகுள் கர்னல் அருலேசிங்
10,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:10:55.06_00:10:57.05, ஜனங்களைப் பயமுறுத்துகிறார்கள்,ஜனங்கள பயமுத்தரங்க
11,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:05:23.46_00:05:25.10, ஜனிலிஸம் போதும் என தோன்றுதான்,ஜர்னலிசம் போதும்னு தோணுது
12,AVRODH_EP_05_TAMIL_20_PM.STEREO_00:23:16.01_00:23:19.25, இதுபோல் இந்தத் தடவை கிட்டத்தெட்தால் 65 பேர் லஷ்கரில் சேருக்கிறேன்,இஸ்புள் இந்த தடவ கிட்ட தட்ட அருவத்தஞ்சு பேர லஷ்க்கர்ல சேத்துக்கிட்ட ஜனாப்
13,AVRODH_EP_08_TAMIL_20_PM.STEREO_00:10:09.11_00:10:14.49, அல்பேட்டு கோதம் நீங்கள் வில்லையைச் சுற்றிப் போய் பின்னாடியிலிருந்தால் அடைக்கம் செய்யும் ஜென்றுமன்,ஆல்பா டூ கௌதம் நீங்க வில்லேஜ்அ சுத்தி போயி பின்னாடில இருந்து அட்டாக் பண்ணனும் ஜெண்டில் மென் லேட்ஸ் டேக்
14,AVRODH_EP_04_TAMIL_20_PM.STEREO_00:09:39.31_00:09:47.10, அந்த மிசின் எல்லாமே சைநாவிலிருநித்து வாங்கியது இதுக்குப் பெயருதான் கிளோபிலைஸ்யேஷன்,அந்த மெஷின் எல்லாமே சீனால இருந்து வாங்குனது இதுக்கு பேரு தான் குளோபலைசேஷன்
15,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:12:35.56_00:12:40.15, அது சுத்தியிருக்கும் எல்லாவற்றையா அமைதி ஆகினான்,அது சுற்றி இருக்கிற எல்லாத்தையும் அமைதியாக்கிடும்
16,AVRODH_EP_04_TAMIL_20_PM.STEREO_00:20:05.56_00:20:14.30, ஐயா நீங்கள் நினைக்கும் மாதிரி ஒன்றுமே கிடையாது நான் வேறு வேலைகாரம்,சார் நீங்க நினைக்கிற மாதிரி ஒண்ணுமே கெடையாது நான் வெறும் வேலைக்காரன் தான்
17,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:15:31.32_00:15:35.42, பாப்பா டீம் அல்வா திருமணத்திற்கு முடியுங்கள் நாம் விட்டுக்கொள்ள வேண்டாம்,பாப்பா ஃபார் டீம் ஆல்பா கெட் ரெடி பார் டி இண்டக்ஷன் வி மஸ்ட் லீவ் நொவ் ஓவர்
18,AVRODH_EP_05_TAMIL_20_PM.STEREO_00:03:16.48_00:03:17.34, நீங்கள் போங்க,நீங்க போங்க
19,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:13:55.06_00:13:56.17, திமார் கோர்க்கில்,ரீமார்க் கோர்ட்ல
20,AVRODH_EP_05_TAMIL_20_PM.STEREO_00:23:19.26_00:23:25.30, ரெஞ்சனா அத்தனைப் பேரை சேர்ந்துவிட்டானா அவன் அப்போது நிறைய பேயரை இன்னும் சேக்க வேண்டியது இருக்கவேன்,அத்தனை பேர சேத்துட்டானா அப்போ நெறைய பேரா இன்னும் சேக்க வேண்டியது இருக்கு
21,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:11:36.36_00:11:38.01, நல்ல வேலை ரேசி,குட் ஜாப் ரெசி
22,AVRODH_EP_03_TAMIL_20_PM.STEREO_00:12:33.51_00:12:37.30, நிகருக்கிறான்,நிஹாரிகா
23,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:14:32.41_00:14:36.57, அனைத்து நிறுவன்களை அழைக்கிறோம் நிகழ்ச்சியில் பிரிந்திவிட்டது,ஆல் யூனிட்ஸ் காலிங் ஆல் யூனிட்ஸ் கோர்ட்ல காம்பெர்மைஸ் ஆயிடிச்சு
24,AVRODH_EP_03_TAMIL_20_PM.STEREO_00:05:34.52_00:05:37.10, ஐயா நேர்வில் முதலாளிகளுக்கும் பார்த்திருந்து கொள்கிறோம்,சார் த ஃபோர்ஸ் ஆல்சோ ஸ்டாண்ட் பை சார்
25,AVRODH_EP_08_TAMIL_20_PM.STEREO_00:21:57.36_00:22:00.45, டார்கெட் கொள்ள எத்தனை பேர் இருக்காங்க ஏனி ஐடியம்,டார்கெட் குள்ள எத்தன பேர் இருக்காங்க எனி ஐடியா
26,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:14:05.12_00:14:05.33, நன்றி,சிக்ஸ் டவ்ன்
27,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:12:15.02_00:12:16.57, செய்துவிடுங்கள்,டௌன் டௌன் சார்ஜஸ்
28,AVRODH_EP_04_TAMIL_20_PM.STEREO_00:10:16.23_00:10:21.00, ஆனால் நீ எப்பொழுதுமே பிரச்சினையாகத் தேடிப் போகிறாய்,யா யா ஆனா நீ எப்பவுமே எக்ஸ்னாடினரி ஆ தேடிப்போய்ட்டுருக்க
29,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:32:55.45_00:33:01.30, நன்றி ஐயா நனக்கு அனைத்தும் இது உங்களால்தான்,தேங்க் யூ தேங்க் யூ ஃபார் எவ்ரி திங் திஸ் இஸ் ஆல் பிகாஸ் ஆப் யூ
30,AVRODH_EP_04_TAMIL_20_PM.STEREO_00:01:38.16_00:01:51.10, பாரு நம்ம எல்லாரையுமே பின்னாடி விட்டுடுப் போயிடும்,ஸ்கூல்ல படிக்கும்போதே ரொம்ப பிடிவாத காரன் எல்லாத்துலையும் பிரஸ்ட் வரணும்னு நினைப்பான் பாரு நம்ப எல்லாரையும் பின்னாடி விட்டுட்டு போய்ட்டான்
31,AVRODH_EP_05_TAMIL_20_PM.STEREO_00:19:55.37_00:19:57.25, அவர் இதைப் பற்றி என்ன சொல்கிறார்கள்,அவங்க இதை பத்தி என்ன சொல்லுறாங்க
32,AVRODH_EP_05_TAMIL_20_PM.STEREO_00:13:00.31_00:13:01.19, ஜெக்ஸ்,ஜாக்க்ஸ்
33,AVRODH_EP_08_TAMIL_20_PM.STEREO_00:13:06.51_00:13:10.20, டீம் அல்பாவிடமும் எந்தக் கொண்டிருப்பதுமில்லை ரேடியோ சிலன்சியை நிறுத்துக்கொள்ளுங்கள்,சார் டீம் ஆல்ஃபா கூட எந்த கம்யூனிகேஷன்னும் இருக்காது ரேடியோ சைலென்ஸ்ச மெயின்டைன் பன்றோம்
34,AVRODH_EP_05_TAMIL_20_PM.STEREO_00:05:26.18_00:05:29.58, நீயும் சுனித்தா மாட்டாமோ இருக்கின்ற புகைப்புகள் அலைபேசியில் எப்படிப் போயிற்று,நீயும் சுனிதா மேடமும் இருக்குற ஃபோட்டோக்ராப்ஸ் ஆன்லைன்கு எப்படி போச்சி
35,AVRODH_EP_03_TAMIL_20_PM.STEREO_00:19:31.21_00:19:37.05, ஜென்ரால் சின்ஹா நான் சரியாக இருந்தேன் என்று நினைக்கிறேன் விரும்புகள் இல்லை,ஜென்ரல் சின்ஹா ஐ திங்க் ஐ வாஸ் கிரியார் நோ நியூ ஆப்ரேஷன்
36,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:09:17.57_00:09:20.00, அல்பாவன் போகிற்கும் பாவல் ஜெய்சி ரலட்டார்,ஆல்பா ஓன் மூவிங் பார்வோர்ட் ரேசி அலர்டாஇரு
37,AVRODH_EP_05_TAMIL_20_PM.STEREO_00:12:14.36_00:12:15.06, ஜெய்,ஜெய் ஹிந்த்
38,AVRODH_EP_05_TAMIL_20_PM.STEREO_00:14:26.00_00:14:28.34, சிரியினக்குரின் தொழிலில் நிறுவனத்திற்கார்கள்,சோல்ஜர்ஸ் ஸ்ரீ நகரோட பிரைவேட் ஏர் பிளேஸ்ல லேண்ட் ஆகிருக்காங்க
39,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:08:13.31_00:08:14.45, நீங்கள் இருவரும் கவனமாட்டீர்கள்,நீங்க ரெண்டு பேரும் கவனமா இருங்க
40,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:23:55.14_00:23:59.55, செல்லுங்கள் கவலையில் இருக்கவும் விரும்புகிறீர்கள்,கமான் தூக்குங்க பி கேர் ஃபுள் ஆ
41,AVRODH_EP_03_TAMIL_20_PM.STEREO_00:06:28.51_00:06:31.00, ஆமாம் ஐயா,எஸ் சார்
42,AVRODH_EP_04_TAMIL_20_PM.STEREO_00:10:57.51_00:11:02.04, பார்க்கலாமே எல்லான் கஞ்சா கேசுங்கள் இல்லை,எல்லாம் கஞ்சா கேசுங்க இல்ல
43,AVRODH_EP_03_TAMIL_20_PM.STEREO_00:05:50.35_00:05:53.20, இந்த மாதிரி எவ்வளவு குறிப்புகள் கொடுத்தால் நாம் நேய்பர் கண்டுக்குவே மடும்,இந்த மாறி எவ்ளோ ஸ்டேட்மென்ட் குடுத்தாலும் நம்ம நெய்பெர்ஸ் கண்டுக்கவே மாட்டாங்க
44,AVRODH_EP_04_TAMIL_20_PM.STEREO_00:14:36.06_00:14:37.10, எங்கே இருப்பார் இவரை,எங்க இருப்பாரு இவரு
45,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:28:34.06_00:28:39.32, சரி உன்னுடைய அசிஸ்டென் பாவம் பழக்கவில்லை,சாரி உன்னோட அசிஸ்டன்ட் பாவம் பொழைக்கல
46,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:34:43.24_00:34:44.28, நன்றி,தேங்க் யூ
47,AVRODH_EP_03_TAMIL_20_PM.STEREO_00:12:11.01_00:12:11.50, போனி,போன்ன எடு
48,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:11:38.02_00:11:41.44, நீங்கள் பார்த்துக்கொள்கிறீர்கள்,ஆல்பா டூ சார்ஜெர் செட் ஓவர்
49,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:12:01.36_00:12:04.50, நீங்க பார்க்குறது எல்லாமே மலை காடுகள் இதுதான் எங்களுடைய ஒரே வேலை,நீங்க பாக்குறது எல்லாமே மலை காடுகள் இதுதான் எங்களுடைய ஒரே லேஅவுட்
50,AVRODH_EP_05_TAMIL_20_PM.STEREO_00:03:43.06_00:03:50.24, ஆனால் நிறுவனத்திற்குள் முதலாளியாக நீங்கள் அனுப்புகளையும் தெரிந்துகொள்ள வேண்டியது அவசியம்,பட் நேஷனல் செக்யுரிட்டி கவுன்சிலாட மெம்பரா எல்லா சீக்ரெட்ஸ்ஸயும் நீங்க தெரிஞ்சிக்க வேண்டியது அவசியம்
51,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:17:16.48_00:17:19.48, நான் பார்க்கலாம் 11 முதலாளி பிறகு போகிறேன்,ஐ சி மூவ்மென்ட் லவனோ கிளாக் கோயிங் ஆஃப்டர்
52,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:18:31.31_00:18:35.10, நம்ம நாட்டு மேல இருக்குற எல்லாருடைய கண்ணுடல்தையும் நாம் மாற்றவேண்டு,நம்ம நாட்டு மேல இருகர எல்லாரோட கண்ணோட்டத்தையும் நம்ம மாத்தனும்
53,AVRODH_EP_04_TAMIL_20_PM.STEREO_00:23:59.41_00:24:04.22, நமக்கு எந்த மாதிரி ஆள் தேவையென்றால்,யு மஸ்ட் லெட் யுவர் பெஸ்ட் ஆஃபீசர் அஸ் அ டீம் லீடர் நமக்கு எந்த மாறி ஆள் தேவைன
54,AVRODH_EP_04_TAMIL_20_PM.STEREO_00:08:34.18_00:08:44.05, மேலிருந்து அர்டர் வந் திரிக்கிறது ஜேஷு ஹிஸ்பாப் இரும் நம்மையிலதுதான் சேர்ந்நு வேலை செய்யவேண்டும்,மேல இருந்து ஆர்டர் வந்திருக்கு ஜேசு ஹிஸ்வப் ரெண்டும் நம்மளது தான் சேர்ந்து வேலை செய்யணும்
55,AVRODH_EP_04_TAMIL_20_PM.STEREO_00:04:51.21_00:04:52.04, ஐயோ,ம்ம்
56,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:06:57.42_00:06:58.45, கோதம்,கௌதம்
57,AVRODH_EP_05_TAMIL_20_PM.STEREO_00:06:34.59_00:06:42.27, ஜென்ரல் செபாஸ்டியன்னுடன் நான் பேசினேன் இந்தப் பிள்ளையைப்பற்றி அவரும் மிகவும் காவல்துறையில் இருக்கிறார்,ஜெனரல் செபாஸ்டியன்னோட நான் பேசினேன் இந்த பிலான்ன பத்தி அவரு ரொம்ப கான்ஃபிடென்ட்டா இருக்காரு
58,AVRODH_EP_08_TAMIL_20_PM.STEREO_00:18:48.42_00:18:58.55, இவங்கே என்னை ஈடுக்க வேண்டும் என்று கேட்டிருந்தார்கள் அதனால்துதான் காலையிலேயே வரச் சொல்லினான் சரி வந் த விஷயத்தைச் கூறுங்கள்,இவங்க என்ன இன்டெர்வியூ எடுக்கணும்ன்னு கேட்டு இருந்தாங்க அதனால தான் காலைலே வர சொல்லிட்டேன் சரி வந்த விசயத்த சொல்லுங்க
59,AVRODH_EP_04_TAMIL_20_PM.STEREO_00:09:58.01_00:10:02.40, இந்த உலகத்தில் நான் ஒருவேன் மட்டும் என் காதலியைக் கொடுப்பதற்காக நீஸ் பார்க்கிறேன்,ஐ திங்க் இந்த உலகத்துல நான் ஒருத்தன் மட்டுதா என் கேர்ள் பிரண்டா ஸ்டாப் பண்றதுக்காக நியூஸ் பாக்குறேன்
60,AVRODH_EP_08_TAMIL_20_PM.STEREO_00:10:02.06_00:10:03.00, ஐயா,சார்
61,AVRODH_EP_05_TAMIL_20_PM.STEREO_00:10:27.45_00:10:29.07, ஆமாம்,சார்
