,id,hypothesis,reference
0,AVRODH_EP09_MARATHI_MIX_081020_00:03:07.44_00:03:13.03,सगळे देश आपल्या सोबत आहेत कारण यांना परिस्थिती माहितेय बोलाप्रशांतजी,सगडे देश आपल्या सोबत आहेत कारण त्यांना परिसतिथी माहीत आहे बोला प्रशांत जी
1,AVRODH_EP06_MARATHI_MIX_081020_00:26:15.45_00:26:20.08,एक बातमी कदाचित तुम्हाला मदत होईल,एक बातमी आहे कदाचित तुम्हाला मदत होईल
2,AVRODH_EP09_MARATHI_MIX_081020_00:27:47.41_00:27:50.57,जनरल सेबेस्ट्रियन ने स्वतः पाकिस्तानी आर्मी चीफ लादावी,जनरल सेबेस्टियनने स्वतः पाकिस्तानी आर्मी चीफला द्यावी
3,AVRODH_EP06_MARATHI_MIX_081020_00:20:11.41_00:20:19.38,बाय गायस सी यू अँड टेक्कर,बाय गाइज़ सी यू एण्ड टेक केयर
4,AVRODH_EP05_MARATHI_MIX_081020_00:23:13.01_00:23:15.44,आता तर आपल्या सोबत होतात यांचा सुरू,हा तर आपल्या सोबत होता आता त्यांचा सोबत
5,AVRODH_EP09_MARATHI_MIX_081020_00:10:53.37_00:10:55.00,कॉपी सो,कॉपी सर
6,AVRODH_EP07_MARATHI_MIX_081020_00:09:26.24_00:09:32.30,तर त्यामध्ये कुठलाही इंडियन ऑफिसर दोषी नसेल हे सांगतोय,तर त्यामध्ये कुठला ही इंडियन ऑफिसर दोषी नसेल हे सांगतोय
7,AVRODH_EP06_MARATHI_MIX_081020_00:12:45.38_00:12:48.11,ही दोन्ही मुलं दाेन वर्षांपूर्ती एक लाख ब्याण्णव हजार आठ शे त्रेचाळीस वी शून्य बावन्न होती,ये दोन्ही मुलं दोन वर्षांपूर्वी
8,AVRODH_EP05_MARATHI_MIX_081020_00:19:06.14_00:19:07.22,ला वा,लावा
9,AVRODH_EP05_MARATHI_MIX_081020_00:14:09.01_00:14:09.40,सॉंट्स एक हजार नऊ शे बाहत्तर मध्ये स्वयंपाकाची संघटना केली,सॉरी
10,AVRODH_EP04_MARATHI_MIX_081020_00:18:42.11_00:18:54.37,ठाऊक है अप्पला ताप नि पकड मजबूत करावे लागेल,ठाऊक आहे आपल्याला आता आपली पकड मजबूत करावी लागेल
11,AVRODH_EP08_MARATHI_MIX_081020_00:19:54.47_00:20:06.55,पण हौवी बिहॅव्ह वेधमी डोंट नो वाट्यूडू आता पुढे काय होईल हे मला माहित नाही,बट हाऊ वी बीहेव व्हेन वी डॉन्ट नो व्हॉट टू डू आता पुढे काय होईल हे मला माहीत नाहीये
12,AVRODH_EP04_MARATHI_MIX_081020_00:17:27.51_00:17:31.50,चार तास त्र्याहत्तर हजार सात शे तेरा तीस लाख सदुसष्ठ होते,चार तास
13,AVRODH_EP02_MARATHI_MIX_081020_00:05:07.35_00:05:09.24,काय हे,काय आहे हे
14,AVRODH_EP07_MARATHI_MIX_081020_00:05:53.01_00:05:54.21,मेज प्लीस ओपन योमा,मेजर प्लीज ओपन योर माउथ
15,AVRODH_EP06_MARATHI_MIX_081020_00:22:45.13_00:22:49.10,या गावामध्ये रिटायर्ड शिपांना पाकिस्तान गव्हर्नमेंटनी घरे दिले,या गावामध्ये रिटायर्ड सिपाह्यांना पाकिस्तान गवर्नमेंटनी घर दिलेत
16,AVRODH_EP06_MARATHI_MIX_081020_00:27:16.01_00:27:20.30,सर आता उशीर करून चालणार नाही,सर आता उशीर करून चालणार नाही
17,AVRODH_EP02_MARATHI_MIX_081020_00:14:12.50_00:14:20.34,त्याची दोन जवान मुलं सोडून गेली असतील तू बाब कसा आसेल,ज्याची दोन जवान मुलं सोडून गेली असतील तो बाप कसा असेल
18,AVRODH_EP09_MARATHI_MIX_081020_00:33:16.01_00:33:20.54,ते एवढ्यासाठीच की तुम्ही एकटय़ा स्वतःचा सत्तापर्यंत पोहोचला होतात,तेवढ्या साठीच कि तुम्ही एकट्या स्वतः त्या सत्य पर्यन्त पोहचल्या होता
19,AVRODH_EP08_MARATHI_MIX_081020_00:22:07.43_00:22:15.09,आपण दहा उत्सर आत कुणाष्टाहू किती हापल्या मरणची वाट बघताहेत,आपण दहा आहोत सर आत कोणाच ठाऊक किती आपल्या मारण्याची वाट बघताय
20,AVRODH_EP06_MARATHI_MIX_081020_00:04:48.21_00:04:49.20,फोन लागत नहीं होती,फोन लागत नाहीय
21,AVRODH_EP07_MARATHI_MIX_081020_00:20:16.15_00:20:18.17,तार्गेट्स ही तुझी जबाबदारी असेल च्यूझ योरमॅक,टारगेट सी तुझी जबाबदारी असेल चूज़ योर मेन
22,AVRODH_EP09_MARATHI_MIX_081020_00:14:15.15_00:14:17.16,म्हणून त्यांना कुठाळात आणि स्वयंपाकाची जंगलदारांचा गाठला आहे,ऐट डाउन
23,AVRODH_EP06_MARATHI_MIX_081020_00:19:14.01_00:19:17.14,इच्छो के पंकज,इट्स ओके पंकज
24,AVRODH_EP06_MARATHI_MIX_081020_00:11:35.42_00:11:37.00,वट्ट त्यामुळे स्वयंपाकाची गोवंश केली,व्हाट
25,AVRODH_EP04_MARATHI_MIX_081020_00:10:04.04_00:10:10.44,हो अॅम्बॅक आणि अन्फॉर्च्युलेटी मला ठाऊकच नसतं की तू कुठेस,हो आई एम बेक एंड अनफॉर्चूनेटली मला ठाऊकच नसतं की तू कुठेस
26,AVRODH_EP02_MARATHI_MIX_081020_00:11:49.44_00:11:55.29,तुला माहिती असतं का तुझा खडूसबॉस पूठे घेऊन जाणाऱ्या का केवून आणखी कधी परत येतोयस डुयू नोदॅट,तुला माहिती असतं का तुझा खडूस बॉस तुला कुठे घेऊन जाणार आहे का घेऊन जाणार आहे आणि कधी परत येतोयस डू यू नो दॅट
27,AVRODH_EP02_MARATHI_MIX_081020_00:23:06.48_00:23:07.58,अरे बस ना,अरे बस ना
28,AVRODH_EP06_MARATHI_MIX_081020_00:27:25.21_00:27:26.12,अफसर आणि त्यांचा प्रकाशन केला आहे,सर
29,AVRODH_EP02_MARATHI_MIX_081020_00:03:45.30_00:03:50.58,त्याचे सांगितले नोंदगार्डच डु या एक्सपेक्ट मी टू बिलिव्ह दाट,पंकज डू यू एक्स्पेक्ट मी टू बिलीव दॅट
