,id,hypothesis,reference
0,AVRODH_EP_04_BENGALI_20_PM_.STEREO_00:17:27.26_00:17:31.53,চার ঘণ্টা,চার ঘণ্টা
1,AVRODH_EP_02_BENGALI_20_PM.STEREO_00:21:38.01_00:21:42.00,কেটু সত্যিটা ভাই খুব অনুষর,কিন্তু সত্যিরে ভাই খুব সুন্দর
2,AVRODH_EP_06_BENGALI_20_PM.STEREO_00:07:47.27_00:07:54.20,এত দূরাস্থার পড়ও যিনি ফা এ হেঁটো ঎লওসিরুখ কর్স তাకল আমন নാম বলু ডি,এত দুর আসার পর ও যদি পা এ হেটে এলওসি ক্রস করতে না হয় তাহলে আমার নাম পাল্টিয়ে দিয়ো
3,AVRODH_EP_06_BENGALI_20_PM.STEREO_00:13:09.56_00:13:16.01,এখন জিও অবস্থায় ফখরুদীনে ধরা পড়ছি আর উঁত বৃুৎহী যাച চার్জ গলো রయছ এ সফ তম ভলক হল মি,এখন যেই অবস্থা এ ফখরুদ্দিন ধরা পড়েছে আর ওর বিরুদ্ধে যেই চার্জ গুলো রয়েছে সেইসব তুমি খুব ভালো করেই জানো
4,AVRODH_EP_01_BENGALI_20_PM_STEREO_00:21:26.02_00:21:27.00,ও আলেকা মোসনা,ওয়ালাইকুম এ সালাম
5,AVRODH_EP_07_BENGALI_20_PM.STEREO_00:21:35.40_00:21:37.29,এই মিশনের ব্যাপারী কীছ হয়ো জনতা,এই মিশনের ব্যপারে কিছুই জানতে না
6,AVRODH_EP_09_BENGALI_20_PM.STEREO_00:33:45.01_00:33:51.17,তুমি হয়ে চৌনা ক্ষিত নোন এস সমৃতজ জોশি,তুমি হয়তো ওনাকে চেনো না মিস নার্মাতা জসিম
7,AVRODH_EP_03_BENGALI_20_PM.STEREO_00:16:17.50_00:16:25.27,নিয়েনীলও বাকি আমারওপুর এন್ক്যড়িत তা থোমবূ হত্ত,নিয়ে নিলেই বা কি আমাদের উপর ইনকয়ারি তো আর থেমে যাবেনা সবাই সব সময় ঝোপ বুঝে কোপ মারতে চায় বুঝতে পারোনা 
8,AVRODH_EP_08_BENGALI_20_PM.STEREO_00:11:09.51_00:11:15.50,যদি উদ্ধরকারব থেক কোনও খবর লিখ হয় তাহুল আমরా সমসৃস পড়ব,যদি ওদের কারো থেকে কোন খবর লিক হয় তাহলে আমরা সমস্যায় পড়বো আমার কথা শুনছো কি শুনছো না
9,AVRODH_EP_01_BENGALI_20_PM_STEREO_00:29:08.01_00:29:09.19,আমার তৈরি থাকতা হবে,আমাদের তৈরী থাকতে হবে
10,AVRODH_EP_06_BENGALI_20_PM.STEREO_00:18:51.28_00:18:52.28,য়েস,ইয়েস স্যার
