,id,hypothesis,reference
0,AVRODH_EP_01_KANNADA_20_PM.STEREO_00:29:53.41_00:29:55.58, ಇಲ್ಲಿ ಗ್ರಾಸ್ ಕಟಿಂಗೆ ಮರ್ತಿ,ತಾವು ಇಲ್ಲಿ ಗ್ರಾಸ್ ಕಟಿಂಗ್ ಕೆಲ್ಸ ಮಾಡ್ತಿದೀರಿ ಅಲ್ವಾ
1,AVRODH_EP_09_KANNADA_20_PM.STEREO_00:33:57.01_00:34:00.40, ಮಾಯೆ ಪ್ರಿಜರ್ ಹೋಪಾ ಇಲ್ಲಿ ಕೇಟ್ ಸಂಯನ್ನು ಕಪೀ ಟೂಬಿ,ಮೈ ಪ್ಲಷರ್ ಐ ಹೋಪ್ ಐ ವಿಲ್ ಗೆಟ್ ಆ ಸೈನ್ಡ್ ಕಾಪಿ ಟೂ
2,AVRODH_EP_04_KANNADA_20_PM.STEREO_00:08:16.34_00:08:22.25, ಯೋಚಿ ಸಿಲ್ಲ ನಮ್ಮೀಬ್ಬರ ಮುಕಾಮಕ್ಕೆ ಆಗೊತ್ತೆಯನ್ನತ,ಯೋಚಿಸಿಲ್ಲ ನಮ್ಮಿಬ್ಬರ ಮುಖಾಮುಖಿಯಾಗುತ್ತೆ ಅಂತ
3,AVRODH_EP_03_KANNADA_20_PM.STEREO_00:17:42.59_00:17:43.35, ಮಾಗಿದಿ ಮುದ್ದೆಗೆ ಹೇಲ್ಲಿ,ಸರ್
4,AVRODH_EP_01_KANNADA_20_PM.STEREO_00:12:37.21_00:12:39.40, ನಿನ್ನು ಬಳಿ ಪ್ರತೀ ಪರೋಬ್ಲಮ್ಮು,ನಿನ್ ಬಳಿ ಪ್ರತಿ ಪ್ರಾಬ್ಲೆಮ್ಗೂ ಒಂದೇ ಸೊಲ್ಯೂಷನ್ ಇದೆ
5,AVRODH_EP_04_KANNADA_20_PM.STEREO_00:05:10.35_00:05:12.00, ಅಂದರೆ,ಅಂದ್ರೆ
6,AVRODH_EP_02_KANNADA_20_PM.STEREO_00:22:14.36_00:22:18.20, ಇದನ್ ಯಾರದು ನಂಗೆ ಕೇಳ್ಬೆಕ್ಕು,ಯಾರಿಗೆ ಗೋತಿತ್ತು ಇದನ್ ಯಾರಾದರೂ ನಂಗೆ ಕೇಳಬೇಕು
7,AVRODH_EP_09_KANNADA_20_PM.STEREO_00:03:15.51_00:03:18.50, ಮಿಸ್ಟರ್ ಬಾಬ್ ಟೇರಿ,ಮಿಸ್ಟರ್ ಬಾಬ್ ಡೇರಿ
8,AVRODH_EP_09_KANNADA_20_PM.STEREO_00:13:47.06_00:13:49.00, ಇತ್ತು ತಿಗಿ ದಾವಿ,ವಿ ಟು ಥ್ರೀ ಡೌನ್
9,AVRODH_EP_01_KANNADA_20_PM.STEREO_00:30:03.21_00:30:07.50, ಮತ್ತೆ ಕೇಳಿ ಅಗದ್ದೇ ಬಿದರೆ ನಾಳೆನ್ನೀಯು ಎರಡುಮೂರ್ಯ ಜನರ ನು ಹೊಚ್ಚು ಈಡಿ,ಮತ್ತೆ ಕೇಳಿ ಅಗತ್ಯಬಿದ್ದರೆ ನಾಳೆ ನೀವು ಎರಡು ಮೂರು ಜನ್ರನ್ನ ಹೆಚ್ಚು ಮಾಡಿ
10,AVRODH_EP_09_KANNADA_20_PM.STEREO_00:19:58.41_00:20:00.00, ನಾವು ತಲ್ಪಲೆಬೇಕು ವಿವ್ಳಿ,ನಾವು ತಲುಪಲೇ ಬೇಕು ವೀ ವಿಲ್
11,AVRODH_EP_08_KANNADA_20_PM.STEREO_00:18:59.21_00:19:02.34, ಇಕ್ಸ್ಕುಜ್ಮಿ ನೀವ್ ಸಲ್ಪ ಹರಗೆ ಬರ್ತೆರ ಪ್ಲಿಸ,ಎಸ್ಕ್ಯೂಸ್ ಮೀ ನೀವ್ ಸ್ವಲ್ಪ ಹೊರಗೆ ಬರ್ತೀರಾ
12,AVRODH_EP_02_KANNADA_20_PM.STEREO_00:18:26.01_00:18:30.47, ಬೋಯಿಸ್ ಅದರ್ವಾಯ್ಸು ಪೇಬಲ್ಲಿ ನಾ,ಬಾಯ್ಸ್ ಐ ಥಿಂಕ್ ಐ ಶುಡ್ ಲಿವ್ ಅದರ್ ವೈಸ್ ದ ಬಾಯ್ಸ್ ದಿ ಏಬಲ್ ಟು ನೈಟ್
13,AVRODH_EP_08_KANNADA_20_PM.STEREO_00:03:31.55_00:03:40.58, ಆದರೆ ತಿಮರ್ಕೊಟ್ ಹೋಗು ಮುದ್ಲು ರಾತ್ರಿ ನೀನ್ತು ಮಾ ಮ್ಸದೂಟೆನು,ಹಹಾ ಖಂಡಿತ ಸಿಗ್ಬಹುದು ಆದರೆ ತಿಮರ್ ಕೋಟ್ ಹೋಗೋ ಮೊದ್ಲು ರಾತ್ರಿ ನಿಂತು ಮಾಂಸದೂಟನೂ ಮಾಡಿ
14,AVRODH_EP_01_KANNADA_20_PM.STEREO_00:03:02.01_00:03:03.55, ಒಗೋನ್ನು ಅಮಿಯಾ,ಹೋಗೋಣ್ವಾ ಮಿಯಾ
