,id,hypothesis,reference
0,844424930436706-253-m,অর্ধ মিনিট জন্য ঝাপসানা করে লল সিট তাকান,অর্ধ মিনিট জন্য ঝাপসা না করে লাল শীট তাকান
1,844424930436748-253-m,এ ধরনের কয়েকটি বিপুল জনপ্রিয় গেম হল কল অফ,এ ধরনের কয়েকটি বিপুল জনপ্রিয় গেম হলো কল অফ
2,844424930436686-253-m,একটি আধুনিক শৈলী মধ্যে শয়ন কক্ষ মধ্যে ড্রায়ারের দাগ,একটি আধুনিক শৈলী মধ্যে শয়নকক্ষ মধ্যে ড্রয়ার এর দাগ
3,844424930436721-253-m,স্বাস্থ্য ফেরাতে রেল কে দেশা ঠিক করতে বলল স্থায়ী কমিটি,স্বাস্থ্য ফেরাতে রেলকে দিশা ঠিক করতে বলল স্থায়ী কমিটি
4,844424930436704-253-m,যদিও তার মাঝে কোনও উপসর্গ দেখা যায়নি ও তিনি ভালো,যদিও তার মাঝে কোনো উপসর্গ দেখা যায়নি ও তিনি ভালো
5,844424930500952-1161-m,শেষ পর্যন্ত সরকার টিকিয়ে রাখতে না পারলে বদনাম হতো,শেষ পর্যন্ত সরকার টিকিয়ে রাখতে না পারলে বদনাম হত
6,844424930464199-1161-m,খাওয়া এবং পান করার সময় ডান হাত ব্যবহার করা,খাওয়া এবং পান করার সময় ডান হাত ব্যবহার করা
7,844424930436658-253-m,অন্যের হয়ে পরীক্ষা দিতে এসে পুলিশের জালে দুই যুবক,অন্যের হয়ে পরীক্ষা দিতে এসে পুলিশের জালে দুই যুবক
8,844424932805271-725-f,এক্ষেত্রে শরীরে যে ক্ষতিগুলি হয়ে থাকে সেগুলি হল,এক্ষেত্রে শরীরের যে যে ক্ষতিগুলি হয়ে থাকে সেগুলি হল
9,844424930436677-253-m,কিউআই মার্কিন অবরোধের প্রেক্ষিতে তীব্র খাদ্য সংকট দেখা দিয়েছে,কিউবায় মার্কিন অবরোধের প্রেক্ষিতে তীব্র খাদ্য সঙ্কট দেখা দিয়েছে
10,844424930554199-502-m,এক এ খন্দকারের বই বাজার থেকে তুলে নিল প্রথমা,এ কে খন্দকারের বই বাজার থেকে তুলে নিল প্রথমা
11,844424930436720-253-m,এভাবেই অ্যাপ ক্যাবে হতে পারে আপনার যাত্রা সুরক্ষিত,এই ভাবেই অ্যাপ ক্যাবে হতে পারে আপনার যাত্রা সুরক্ষিত
12,844424930436663-253-m,ওই ঘটনায় গত বছরে ছয় নভেম্বর আবরারের বাগা মো,ওই ঘটনায় গত বছরের ছয় নভেম্বর আবরারের বাবা মো
13,844424932803560-725-f,যেই পথ দিয়ে তুমি হাত ধরে কত আমার চলেছো,যেই পথ দিয়ে তুমি হাত ধরে কত আমার চলেছ
14,844424930554232-502-m,বাস্তবেতার অস্তিত্ব আছে কি নেই তা নিয়ে বিতর্ক,বাস্তবে তার অস্তিত্ব আছে কি নেই তা নিয়ে বিতর্ক
15,844424932474904-37-f,মলতছে বিষয়ের উপর ভিত্তি করে তৈরি হ্যারিপার্ট,মূলত যে বিষয়ের ওপর ভিত্তি করে তৈরি হয় রিপোর্ট
16,844424932682882-725-f,গত বছরের থেকে আরও দুই স্থার নিচে নেমেছে ভারতের,গত বছরের থেকে আরও দুই স্থান নীচে নেমেছে ভারতের
17,844424930464177-1161-m,বান্ধবীর সঙ্গে কল্পগড়ায় বিষ খাইয়ে প্রেমিককে খুনের অভিযোগ,বান্ধবীর সঙ্গে গল্প করায় বিষ খাইয়ে প্রেমিককে খুনের অভিযোগ
18,844424930436716-253-m,উত্তরায় এক্সচেঞ্জ ব্যবসায়ী কে গুলি করে পঁচিশ লাখ টাকা ছিনতাই,উত্তরায় এক্সচেঞ্জ ব্যবসায়ীকে গুলি করে পঁচিশ লাখ টাকা ছিনতাই
19,844424932804653-725-f,দেরে না করে বেরিয়ে পড়ুন মার্চের এই লম্বা উইকএন্ডে,দেরি না করে বেড়িয়ে পড়ুন মার্চের এই লম্বা উইক এন্ডে
20,844424930464171-1161-m,উত্তর আমেরিকা এগার ঘণ্টা চার মিট আগে এক মন্তব্য,উত্তর আমেরিকা এগার ঘন্টা চার মিনিট আগে এক মন্তব্য
21,844424932440948-37-f,রিফাত হত্যার পরের দিন গত বছরের সাতাশ জুন মো,রিফাত হত্যার পরের দিন গত বছরের সাতাশ জুন মো
22,844424930500969-1161-m,যানজোটে শহর বলে পরিচিত কাবুলে গাড়ি চালাতে কোনও সমস্যা,যানজটের শহর বলে পরিচিত কাবুলে গাড়ি চালাতে কোনো সমস্যা
23,844424930554280-502-m,এই ভিডিও দেখে বাড়ির টেবিলে সহজেই চাষ করে ফেলুন,এই ভিডিয়ো দেখে বাড়ির টেবিলে সহজেই চাষ করে ফেলুন
24,844424930436702-253-m,বিজেপি জুজু উড়ে আরও ভাল কাজের অঙ্গীকার মানিক সরকারের,বিজেপি জুজু উড়িয়ে আরও ভাল কাজের অঙ্গীকার মানিক সরকারের
25,844424933095895-725-f,আমাকে সরিয়ে দিয়ে সে আমার শরীরটাকে ব্যবহার করবে,আমাকে সরিয়ে দিয়ে সে আমার শরীরটাকে ব্যবহার করবে
26,844424930436750-253-m,আমি তার হাতে একটি চিনা মেনু সঙ্গে একটি ওয়েস্টবোর্ড দেখেছি,আমি তার হাতে একটি চীনা মেনু সঙ্গে একটি ওয়েস্টবোর্ড দেখেছি
27,844424933095889-725-f,এ কারণে তিনি প্রায়ই গুরুতর অসুস্থ হয়ে পড়েন,এ কারণে তিনি প্রায়ই গুরুতর অসুস্থ হয়ে পড়েন
28,844424932675115-725-f,এই সংক্রান্ত আরও খবর জানতে চোখ রাখুন এই লিংকে,এই সংক্রান্ত আরও খবর জানতে চোখ রাখুন এই লিংকে
29,844424930436736-253-m,বেটিংয়ের দায়ে তিন ক্রিকেটারকে কড়া স্বস্তি দিল ক্রিকেট অস্ট্রেলিয়া,বেটিংয়ের দায়ে তিন ক্রিকেটারকে কড়া শাস্তি দিল ক্রিকেট অস্ট্রেলিয়া
30,844424932843768-725-f,সোনালি ব্যাগ পছে হবে জৈবসার ও মাছের খাদ্য,সোনালি ব্যাগ পচে হবে জৈব সার ও মাছের খাদ্য
31,844424930436709-253-m,এর সঙ্গে এই ফোনে একটি ফিঙ্গারপ্রিন্ড স্ক্যানার বিদ্যমান রয়েছে,এর সঙ্গে এই ফোনে একটি ফিঙ্গারপ্রিন্ট স্ক্যানার বিদ্যমান রয়েছে
32,844424932678054-725-f,কিন্তু কোনও সুরাহা না পেয়ে নিরুপায় হয়েই মায়েরানি,কিন্তু কোনো সুরাহা না পেয়ে নিরুপায় হয়েই মায়া রাণী
33,844424930935237-502-m,জেনে নিন আপনার এই অভ্যাস কি বিপদ ডেকে আনছে,জেনে নিন আপনার এই অভ্যাস কী বিপদ ডেকে আনছে
34,844424930436657-253-m,বাংলানিউজের আয়োজন এই মুহূর্ত বিশ্বের কোটি কোটি পাঠক দেখছে,বাংলানিউজের আয়োজন এই মুহূর্তে বিশ্বের কোটি কোটি পাঠক দেখছে
35,844424930436683-253-m,তবে ত্বকের এক্সফোলিয়েটার হিসেবে ছিনে উপকারী বলে জানান ডা,তবে ত্বকের এক্সফলিয়েটর হিসেবে চিনি উপকারী বলে জানান ডা
36,844424933096469-725-f,মিনিট সতেক হয়েছে প্রধানমন্ত্রী নরেন্দ্র মোদিও হাজির হয়েছেন,মিনিট সাতেক হয়েছে প্রধানমন্ত্রী নরেন্দ্র মোদীও হাজির হয়েছেন
37,844424930464169-1161-m,হয়তো আপনি চা ভাবছেন আপনার স্বামী সেইভাবে ভাবছেন না,হয়তো আপনি যা ভাবছেন আপনার স্বামী সেই ভাবে ভাবছেন না
38,844424932803555-725-f,টানা বৃষ্টি চলতে থাকলে সমস্যা আরও জটিল হবে বলেও মনে,টানা বৃষ্টি চলতে থাকলে সমস্যা আরও জটিল হবে বলেও মনে
39,844424930464249-1161-m,পিপিই পড়ে গ্রহণার দোকান থেকে সোনা নিয়ে চম্পট চোরের,পিপিই পরে গয়নার দোকান থেকে সোনা নিয়ে চম্পট চোরের
40,844424931449785-906-f,গুরু তার কাজ করে যান কোনও কিছু না করেই,গুরু তার কাজ করে যান কোনও কিছু না করেই
41,844424930935278-502-m,এর ফলে প্রায় বার লাখ টাকার টাকার ক্ষতি হয়েছে,এর ফলে প্রায় বার লাখ টাকার টাকার ক্ষতি হয়েছে
42,844424930935289-502-m,তাই বার মাসে তের পার্বন পালিত হয়ে থাকে এই বাংলায়,তাই বারো মাসে তেরো পার্বণ পালিত হয়ে থাকে এই বাংলায়
43,844424932804681-725-f,করোনায় যাত্রা বাতিলে পুরো টাকা ফেরত দিতে রাজি রেল,করোনায় যাত্রা বাতিলে পুরো টাকা ফেরত দিতে রাজি রেল
44,844424933096451-725-f,এই যে নির্বাচন হয়নি তার কারণ অবস্থা অস্বাভাবিক ছিল,এই যে নির্বাচন হয়নি তার কারণ অবস্থা অস্বাভাবিক ছিল
45,844424932804621-725-f,মেয়নির্বাচনে ভোট দিয়ে দলে ফেরার রাস্তা খোলা রাখলেন শোভন,মেয়র নির্বাচনে ভোট দিয়ে দলে ফেরার রাস্তা খোলা রাখলেন শোভন
46,844424932678040-725-f,কিডনিস সমস্যাসহ একাধি রোগে আক্রান্ত লালু প্রসাদ যাদব,কিডনির সমস্যা সহ একাধিক রোগে আক্রান্ত লালু প্রসাদ যাদব
47,844424930436752-253-m,গোলটেবিল আলোচনায় অংশ নেন বিএনপির স্থায়ী কমিটির সদস্য ড,গোলটেবিল আলোচনায় অংশ নেন বিএনপির স্থায়ী কমিটির সদস্য ড
48,844424932805267-725-f,রাস্তায় পড়ে থাকা ব্যাগে পাওয়া গেল চল্লিশ হাজার পিস ইয়াবা,রাস্তায় পড়ে থাকা ব্যাগে পাওয়া গেলো চল্লিশ হাজার পিস ইয়াবা
49,844424933095860-725-f,ভাগ্য ভালো সেই দর্শ কোনও খেলোয়াড় কে আহত করেননি,ভাগ্য ভালো সেই দর্শক কোনো খেলোয়াড়কে আহত করেননি
50,844424930500905-1161-m,সিবিআই কাণ্ডে কি প্রতিক্রিয়া পুলিশ কমিশনার রাজীব কুমারের মায়ের,সিবিআই কাণ্ডে কী প্রতিক্রিয়া পুলিশ কমিশনার রাজীব কুমারের মায়ের
51,844424930464244-1161-m,সেখান থেকে দীর্ঘ কয়েক বছর একে অপরকে ডেট করেন তারা,সেখান থেকে দীর্ঘ কয়েক বছর একে অপরকে ডেট করেন তাঁরা
