,id,hypothesis,reference
0,MAHARANI_MALAYALAM_EPI_09_MIX_00:28:24.50_00:28:29.43,ഈ കാലിത്തിടെകുംഭവണത മൊ ഒളനാ ചേരി പോളീക അവൻ സർ നൽ എലൈന വ ആരൂണി,ഈ കാലിത്തീറ്റ കുംഭകോണത്തിന്റെ മൊത്തം തിരക്കഥയും രാജാവും റാണിയും ഒരുമിച്ചിരുന്ന് എഴുതിയതാണ്
1,MAHARANI_MALAYALAM_EPI_09_MIX_00:21:47.31_00:21:48.24,ഷീണിക്കലെ,ക്ഷണിക്കാനോ
2,MAHARANI_MALAYALAM_EPI_09_MIX_00:11:17.12_00:11:20.51,എഴുന്നികേ ഭീമ ഇരി കി,എഴുന്നേൽക്ക് ഭീമ ഇരിക്ക്
3,MAHARANI_MALAYALAM_EPI_09_MIX_00:14:09.10_00:14:13.48,വകുപ്പിലെ അരിതീരോധനം നൃശേഷണി ഭൂമിंറ മൊൻപ ലായർടി,വകുപ്പിലെ അപ്രതീക്ഷിത പരിശോധനയും ഭിമിൻറെ പോപ്പുലാരിറ്റി ദിനംപ്രതി വർധിച്ചുവന്നു
4,MAHARANI_MALAYALAM_EPI_09_MIX_00:27:56.31_00:27:58.27,വൻ മുഖ്യമന্జരെ ബേം സിംഗിൽ പാലോചി ഹഡകം,മുൻ മുഖ്യമന്ത്രി ഭീമ സിംഗ് ഭാരതിയുടെ പാർട്ടി സെക്രട്ടറിയും
5,MAHARANI_MALAYALAM_EPI_09_MIX_00:03:31.51_00:03:36.51,വരണം വീരേന്ദര ടാകൂർ ഇ റിയുക,വരണം വീരേന്ദ്ര താക്കൂർ ഇരിക്കൂ
6,MAHARANI_MALAYALAM_EPI_09_MIX_00:19:21.27_00:19:26.53,മേഡം അറിയണ്ടുതലെ സാർ ചൊമ ഒരு കാരൻ നൽയ ആളനലാ,മാഡം അറിയേണ്ടതല്ലേ സാറ് ചുമ്മാ ഒരു കാര്യം ചെയ്യുന്ന ആളല്ല
7,MAHARANI_MALAYALAM_EPI_09_MIX_00:17:56.21_00:18:04.39,എല്ലാ ചോദിയും എൻണൊടെ മാതർവാണ നൽചിതി കൂറചుകളേ സൈനറൺ ആടംപം,എല്ലാ ചോദ്യവും എന്നോട് മാത്രമാണോ കുറച്ചു നിങ്ങളുടെ സാറിനോട് ചോദിക്ക്
8,MAHARANI_MALAYALAM_EPI_09_MIX_00:17:15.09_00:17:19.09,എന്ന സാർ ഇ ങിലെ,എൻറെ സാർ ഇങ്ങനെ
9,MAHARANI_MALAYALAM_EPI_09_MIX_00:03:11.27_00:03:16.05,പോയി വല്ല ജാലിയും നിേരെ അവൻകാൽ ഇനീ എനিക മഠപടകൾ ഒടൊക్കேണി,പോയി വല്ല ജോലിയും നോക്ക് അല്ലെങ്കിൽ ഇനി എനിക് നടപടിയെടുക്കേണ്ടി വരും
