,id,hypothesis,reference
0,AVRODH_EPI-03_MALAYALAM_MIX_00:13:53.44_00:13:57.07,ഞാൻ ഒരു ഫീൽ റിപോർട്ടർ അന്നുപങ്കജ് നിങ്ങളുടെ സ്റ്റുഡിയോഡെ ഗ്ലാമ്പ് കാര്ഡ് കാറ്റും കാറ്റും കാറ്റും കാറ്റും കാറ്റും കാറ്റും കാറ്റും കാറ്റും കാറ്റും കാറ്റും കാറ്റും കാറ്റും കാറ്റും കാറ്റും കാറ്റും കാറ്റും കാറ്�,ഞാനൊരു ഫീൽഡ് റിപ്പോർട്ടർ ആണ് പങ്കജ് നിങ്ങളുടെ സ്റ്റുഡിയോയുടെ ഗ്ലാൻ പാവയല്ല
1,AVRODH_EPI-04_MALAYALAM_MIX_00:23:37.25_00:23:41.35,നാള് നമ്മുടെ ജീവിന്റെ മുൻപിൽ ഒരു പച്ഛതിയെ അവതരിപ്പിക്കണം,നാളെ നമ്മുടെ ചീഫിൻ്റെ മുമ്പിൽ ഒരു പദ്ധതി അവതരിപ്പിക്കണം
2,AVRODH_EPI-02_MALAYALAM_MIX_00:13:08.48_00:13:09.48,ആ സുഖൈഡ് മുന്നും കുവിന്നും കുവിന്നും മുന്നും കുവിന്നും മുന്നും കുവിന്നും മുന്നും കുവിന്നും മുന്നും മുന്നും മുന്നും മുന്നും മുന്നും മുന്നും മുന്നും മുന്നും മുന്നും മുന്നും മുന്നും മുന്ന്ം മുന്ന്ം മുന�,ആ സുഗായിട്ടിരിക്കുന്നു
3,AVRODH_EPI-02_MALAYALAM_MIX_00:22:25.01_00:22:31.00,എസി ആഫീസ് ജോലി കഴിഞ്ഞ വീട്ടിപ്പോവാം ഭാര്യയുടെ മക്കളുടെയുംകൂടെ സമയം ചെലവഴിക്കാം സ്വസ്ഥവായ്റ്റ് കിടന്ന് ഒറങ്ങും ചെയ്യാം അല്ലേ,എസീ ഓഫീസ് ജോലിക്കഴിഞ്ഞാ വീട്ടിപോകാം ഭാര്യയുടെയും മക്കളുടെയും കൂടെ സമയം ചിലവഴിക്കാം സ്വസ്ഥമായി കിടന്ന് ഉറങ്ങുകയും ചെയ്യാം
4,AVRODH_EPI-02_MALAYALAM_MIX_00:11:42.48_00:11:43.00,നേനെ പട്ടിയെ നിനെ പട്ടിയെ നിനെ പട്ടിയെ നിനെ പട്ടിയെ നിനെ പട്ടിയെ നിനെ പട്ടിയെ നിനെ പട്ടിയെ നിനെ പട്ടിയെ നിനെ പട്ടിയെ നിനെ പട്ടിയെ നിനെ പട്ടിയെ നിനെ പട്ടിയെ നിനെ മേന്മേന്മേന്മ്മേന്മ്മേന്മ്മേമ്മേന്മ്മേമ്മ്മ�,നീ ഇനി എപ്പോഴാ തിരിച്ചു വരുന്നേ
5,AVRODH_EPI-08_MALAYALAM_MIX_00:13:19.59_00:13:22.00,സൽ ടു അന്റെ ഹാഫ് മിനിട്സ് മാന്റ് മാന്റ് മാന്റ് മാന്റ് മാന്റ് മാന്റ് മാന്റ് മാന്റ് മാന്റ് മാന്റ് മാന്റ് മാന്റ് മാന്റ് മാന്റ് മാന്റ് മാന്റ് മാന്റ് മാന്റ് മാന്റ് മാന്റ് മാന്റ് മാന്റ് മാന്റ് മാന്റ് മാന്റ് മാന്റ് ,സാർ റ്റു ആന്റ് ഹാഫ് മിനിട്സ്
6,AVRODH_EPI-01_MALAYALAM_MIX_00:13:08.30_00:13:11.12,ഞാ പറയുന്ന നിനക്ക് മനസിലാവുന്നുണ്ട്,ഞാൻ പറയുന്നെ നിനക്കു മനസ്സിലാകുന്നുണ്ടോ
7,AVRODH_EPI-02_MALAYALAM_MIX_00:12:01.22_00:12:04.31,അത് നല്ലതെ ചിലപ്പ ആര് എംഗിലിംഗിട്ടിയല്,അത് നല്ലതാ ചിലപ്പോ ആരെയെങ്കിലും കിട്ടിയാലോ
8,AVRODH_EPI-04_MALAYALAM_MIX_00:23:03.79_00:23:10.21,ജനല്ട് സബാസ്റ്റന് ഇത് നമുക്ക് മുന്നോട്ട് നീക്കണമെങ്ക്കെ പദ്ധതി വളരെ വ്യക്തമായിട്ട് നമുക്ക് പിഎമ്മിനോട് അവതരിപ്പിക്കേണ്ടുണ്ട്,ജനറൽ സെബാസ്ററ്യൻ ഇത് നമുക്ക് മുന്നോട്ട് നീക്കണമെങ്കിൽ പദ്ധതി വളരെ വ്യക്തമായിട്ട് നമുക്ക് പി എമ്മിനോട് അവതരിപ്പിക്കേണ്ടതുണ്ട്
9,AVRODH_EPI-02_MALAYALAM_MIX_00:05:53.01_00:05:59.42,അതുമാത്രവല്ല സാര്ക്സ് സമ്മിറ്റിനും വയറ്റ അമിനിസ്റ്റി റിപ്പോര്ട്ട് റിലീസ് ആമുപുവുമാണ്,അത് മാത്രമല്ലാ സാർക്ക് സമ്മിറ്റിന് മുമ്പായിട്ട് അഡ്മിനിസ്ട്രേറ്ററി റിപ്പോർട്ട് തയ്യാറാവാൻ പോവാണ്
10,AVRODH_EPI-01_MALAYALAM_MIX_00:13:51.24_00:13:54.00,നിങ്ങൾ ഇന്ന് ഇങ്ങൊട്ടാക്ക് ഒരിക്കലും വേറണ്ട,നിങ്ങളിനി ഇങ്ങോട്ടേക്ക് ഒരിക്കലും വരേണ്ട
11,AVRODH_EPI-01_MALAYALAM_MIX_00:15:52.46_00:15:59.09,എനിക്ക് ജിഒസി ഒന്നും എനിക്കിട്ടും ഞാന് ഈ പ്രശ്നങ്ങളങ്ക്ക് പരിഹരിക്കുന്നവരെ താനാവിടുതല് എന്നിക്കും,ങും എനിക്കു ജി ഒ സിയെ ഒന്നു ലൈനിൽ കിട്ടുവോ ഞാനീ പ്രശ്നങ്ങളൊക്കെ പരിഹരിക്കുന്നെവരെ താനവിടെത്തന്നെ നിക്ക്
12,AVRODH_EPI-08_MALAYALAM_MIX_00:16:42.01_00:16:49.34,അവരുടെ നീങ്ങും സാര് അദേ ഔട്ടെസ് ബെയ്ന്റ് ദിസ് ഹൈല് റിസ്കി അവര് ശത്രുകളുടെ പിന്നിരിക്കുമ്പാണ് രംഗിന കണ്ടെത്തുന്നു പ്രതീക്ഷിക്കുന്നു,ആർ ദേ ഔട് ഓഫ് തേർ മൈൻഡ് ദിസ് എസ് ഹൈലി റിസ്കി അവർ ശത്രുക്കളുടെ പിന്നിൽ ഇരിക്കുന്നത് എങ്ങനെ കണ്ടത്തും എന്നാ പ്രദീക്ഷിക്കുന്നത്
13,AVRODH_EPI-08_MALAYALAM_MIX_00:14:51.22_00:14:58.00,ഇങ്ങനെ പാനിക്കാവല്ലേ ദൈവത്തെ ഓർത്ത് അവർ തിരികെ വരുന്ന വരെ നമുക്ക് കാത്തിരിക്കാം,ഇങ്ങനെ പാനിക് ആവല്ലേ ദൈവത്തെ ഓർത്തു അവർ തിരികെ വരുന്നത് വരെ നമുക്ക് കാത്തിരിക്കാം
14,AVRODH_EPI-04_MALAYALAM_MIX_00:18:20.59_00:18:33.24,പാകിസ്താന് ഹൈക്കമാന്ഡ് ഐ എസ് ഐമായി ചേര്ന്നു ഇപ്പോ ഒന്നിച്ച് പ്രവര്ത്തിക്കേണ്ട സമയമായി സാഹചര്യങ്ങള് നമുകാനുകൂലമാണ്,പാക്കിസ്ഥാൻ ഹൈക്കമാൻഡ് ഐ എസ് എസ്സയുമായി ചേർന്നു ഇപ്പോ ഒന്നിച്ചു പ്രവർത്തിക്കേണ്ട സമയം ആയി സാഹചര്യങ്ങൾ നമുക്ക് അനുകൂലമാണ്
15,AVRODH_EPI-04_MALAYALAM_MIX_00:05:57.01_00:06:09.17,ഒരു പോരാളിയെ തിരഞ്ഞെടുക്കണം അടുത്ത പോരാട്ടത്തിനായി തയ്യാറാക്കാന്,ഒരു പോരാളിയെ തിരഞ്ഞെടുക്കണം അടുത്ത പോരാട്ടത്തിനായി തയ്യാറാക്കാൻ
16,AVRODH_EPI-03_MALAYALAM_MIX_00:02:08.34_00:02:14.00,ഡബുള്ട്ട് ഇസ്പാഞ്ചോട് ഹിസ് ലെന്സ് ഹിസ് വെരി ക്രിറ്റികല് മാത്രല്ല ബോധം നെളിയുന്നവരൊന്നും പറയാനു പറ്റില്ല,ദി ബുള്ളറ്റ് പൂഞ്ചോടിഎസ് ഹിസ് ലെൻസ് ഹിസ് വെരി ക്രിട്ടിക്കൽ മാത്രമല്ല ബോധം വരുന്നത് വരെ ഒന്നും പറായാനും പറ്റില്ല
17,AVRODH_EPI-07_MALAYALAM_MIX_00:15:09.54_00:15:13.30,ഓപ്പറേഷന് നുറിയാണ് ഇപ്പോള് ശത്രുക്കള്ക്കുള്ള ഏക മറുപടി,ഓപ്പറേഷൻ ഉറി ആണ് ഇപ്പോൾ ശത്രുക്കൾക്കുള്ള ഏക മറുപടി
18,AVRODH_EPI-04_MALAYALAM_MIX_00:10:10.55_00:10:16.00,എപ്പഴോ അതൊരു രഹസ്യമാണല്ലോ ആദ്യാങ്കെ എതൊരു പ്രശ്നമല്ലായിരുന്നു ഇപ്പ് ബോറാടിച്ചു ഒടങ്ങി,എപ്പോളും അത് ഒരു രഹസ്യമാണല്ലോ ആദ്യമൊക്കെ എനിക്ക് അത് ഒരു പ്രശ്നമല്ലായിരുന്നു ഇപ്പൊ ബോറടിച്ച് തുടങ്ങി
