,id,hypothesis,reference
0,Scam_1992_Ep_03_Tamil_20_PM_STEREO_00:14:59.13_00:15:00.02,இருக்,லுக் ஹர்ஷத் ரைட்
1,Scam_1992_Ep_02_Tamil_20_PM_STEREO_00:02:05.26_00:02:13.18,இங்கு பாருங்ங நீங்கள் தன்னு ஹர்ஷத் அண்ணனிடம் சொல்லிட்டு இருக்கிங் நேரத்தால் தான் மாற்றமுடியும்ன,இங்க பாருங்க நீங்கதான ஹர்ஷத் அண்ணன் கிட்ட சொல்லிட்டே இருகிங்க நேரதாலதா நேரத மாதமுடியும்னு ஹா
2,Scam_1992_Ep_02_Tamil_20_PM_STEREO_00:08:35.32_00:08:40.35,கவலப்பட்ட இந்தோ பிரயோஜனம் அல்ல,கவலை பட்டு எந்த ப்ரோஜிணமூம் இல்ல
3,Scam_1992_Ep_03_Tamil_20_PM_STEREO_00:46:02.36_00:46:08.24,நிறைய டிராஃபில் எடுத்தாங்கு ஆகுமே சோ மார்க்கெட்டு கணக் கு ரொம்ப சிம்மல் பணத் தோ போட ரெஸ்ட் ஏடுங்கள்,நெறையா ப்ரோபிட் எடுத்தாங்க அவங்க சோ மார்க்கெட் ஓட கணக்கு ரொம்ப சிம்பள் பணத்த போட்டு ரெஸ்ட் எடுங்க
4,Scam_1992_Ep_03_Tamil_20_PM_STEREO_00:08:45.11_00:08:48.09,ஒரு பத்தாயிரம் கோடி வரை கே இருக்கும்,ஒரு பத்தாயிரம் கோடி வரைக்கும் இருக்கும்
5,Scam_1992_Ep_03_Tamil_20_PM_STEREO_00:27:17.21_00:27:20.40,மன்னி மார்க்கெட் அவருக் கு மன் நி மேக் இங் மர் கேட் ட் ஆ இருந்தது,மனி மார்க்கெட் அவருக்கு மனி மேக்கிங் மார்க்கெட்டா இருந்தது
6,Scam_1992_Ep_02_Tamil_20_PM_STEREO_00:51:09.39_00:51:20.31,மதுவாவது மாம்பழமாவாது கோப்ரானு சொல்லுகிறான் ஆனால் எதிரில் நீக்கும் மங்கூஸ் இல்லையாமங் கூஷ்னா கோஃபிரா கிள்ளர்நீ கேப்றாகிலர்தானே இன்றுகையெலகு வடகு தான நன்னிச்சு உள்வாகப்போலருகேன்,மனுவாவது மாம்பழமாவது கோப்ரானு சொல்லுகிறான் ஆனால் எதிரே நிக்கிறது மங்கூஸ் இல்லையா மங்கூஸ்னா கோப்ரா கில்லர் நீ கோப்ரா கில்லர்தானே இன்னைக்கு எல்லாரும் உனக்குத்தான் நன்றி சொல்லுவாங்க போல இருக்கு
7,Scam_1992_Ep_03_Tamil_20_PM_STEREO_00:32:59.23_00:33:03.52,இன்னொருவர் தெரியும் அந்தப் பார்ஜ் கோரோஸ் ரிவி சூன்,நன் ஆப் தி நியூ தட் ஐ பாத் கோயிங் டு கிராஸ் வெரி சூன்
8,Scam_1992_Ep_02_Tamil_20_PM_STEREO_00:28:26.32_00:28:33.28,இப்படி ஆறிப்போன ட்டியைத்தான் கொண்டுவருவன்னா அந்த டீ தூளை எதுக்குடா தேவையில்லாம தனிலைப் போடு குதிக்கவைகிறீங்க,நீ இப்படி ஆறிப்போன டீயைதான் கொண்டு வருவண்ணா அந்த டி தூள் எதுக்குடா தேவையில்லாம தன்னில போடு கொதிக்க வைக்குறிங்க
9,Scam_1992_Ep_02_Tamil_20_PM_STEREO_00:42:11.47_00:42:14.15,மனுசார் லாஸ் மினிட்ல அவங்க இன்ரோல்ல வந்து,மனு சார் லாஸ்ட் மினிட்ல அவங்க என்ரோல்ல வந்து
