,id,hypothesis,reference
0,AVRODH_EPI-03_MALAYALAM_MIX_00:13:53.44_00:13:57.07, i am a field reporter pankaj,ഞാനൊരു ഫീൽഡ് റിപ്പോർട്ടർ ആണ് പങ്കജ് നിങ്ങളുടെ സ്റ്റുഡിയോയുടെ ഗ്ലാൻ പാവയല്ല
1,AVRODH_EPI-04_MALAYALAM_MIX_00:23:37.25_00:23:41.35, tomorrow i have to give a speech in front of our chief,നാളെ നമ്മുടെ ചീഫിൻ്റെ മുമ്പിൽ ഒരു പദ്ധതി അവതരിപ്പിക്കണം
2,AVRODH_EPI-02_MALAYALAM_MIX_00:13:08.48_00:13:09.48, आँ सुखर्टु,ആ സുഗായിട്ടിരിക്കുന്നു
3,AVRODH_EPI-02_MALAYALAM_MIX_00:22:25.01_00:22:31.00, ac office job is over you can go home spend time with your wife and children you can sleep well right,എസീ ഓഫീസ് ജോലിക്കഴിഞ്ഞാ വീട്ടിപോകാം ഭാര്യയുടെയും മക്കളുടെയും കൂടെ സമയം ചിലവഴിക്കാം സ്വസ്ഥമായി കിടന്ന് ഉറങ്ങുകയും ചെയ്യാം
4,AVRODH_EPI-02_MALAYALAM_MIX_00:11:42.48_00:11:43.00, how are you,നീ ഇനി എപ്പോഴാ തിരിച്ചു വരുന്നേ
5,AVRODH_EPI-08_MALAYALAM_MIX_00:13:19.59_00:13:22.00, sir two and a half minutes,സാർ റ്റു ആന്റ് ഹാഫ് മിനിട്സ്
6,AVRODH_EPI-01_MALAYALAM_MIX_00:13:08.30_00:13:11.12, do you understand what i am saying,ഞാൻ പറയുന്നെ നിനക്കു മനസ്സിലാകുന്നുണ്ടോ
7,AVRODH_EPI-02_MALAYALAM_MIX_00:12:01.22_00:12:04.31, thats good maybe someone will get it,അത് നല്ലതാ ചിലപ്പോ ആരെയെങ്കിലും കിട്ടിയാലോ
8,AVRODH_EPI-04_MALAYALAM_MIX_00:23:03.79_00:23:10.21, general sebastian if we want to move forward with this we need to make the pm aware of the situation,ജനറൽ സെബാസ്ററ്യൻ ഇത് നമുക്ക് മുന്നോട്ട് നീക്കണമെങ്കിൽ പദ്ധതി വളരെ വ്യക്തമായിട്ട് നമുക്ക് പി എമ്മിനോട് അവതരിപ്പിക്കേണ്ടതുണ്ട്
9,AVRODH_EPI-02_MALAYALAM_MIX_00:05:53.01_00:05:59.42, अदु मात्र वल्ला सार्ख सम्मित्नु उम्बायता अमिनिस्ट्री रिपोटर लीसावं पूवान,അത് മാത്രമല്ലാ സാർക്ക് സമ്മിറ്റിന് മുമ്പായിട്ട് അഡ്മിനിസ്ട്രേറ്ററി റിപ്പോർട്ട് തയ്യാറാവാൻ പോവാണ്
10,AVRODH_EPI-01_MALAYALAM_MIX_00:13:51.24_00:13:54.00, you dont have to come here again,നിങ്ങളിനി ഇങ്ങോട്ടേക്ക് ഒരിക്കലും വരേണ്ട
11,AVRODH_EPI-01_MALAYALAM_MIX_00:15:52.46_00:15:59.09, ill get a line from the goc youll be there until i solve these problems,ങും എനിക്കു ജി ഒ സിയെ ഒന്നു ലൈനിൽ കിട്ടുവോ ഞാനീ പ്രശ്നങ്ങളൊക്കെ പരിഹരിക്കുന്നെവരെ താനവിടെത്തന്നെ നിക്ക്
12,AVRODH_EPI-08_MALAYALAM_MIX_00:16:42.01_00:16:49.34, are they out of their mind this is highly risky,ആർ ദേ ഔട് ഓഫ് തേർ മൈൻഡ് ദിസ് എസ് ഹൈലി റിസ്കി അവർ ശത്രുക്കളുടെ പിന്നിൽ ഇരിക്കുന്നത് എങ്ങനെ കണ്ടത്തും എന്നാ പ്രദീക്ഷിക്കുന്നത്
13,AVRODH_EPI-08_MALAYALAM_MIX_00:14:51.22_00:14:58.00, इंकन पानिक आवल्ले देवत्ते ओर्थु अवर तिरीक वरुना वारा नमका कात्रिकाम,ഇങ്ങനെ പാനിക് ആവല്ലേ ദൈവത്തെ ഓർത്തു അവർ തിരികെ വരുന്നത് വരെ നമുക്ക് കാത്തിരിക്കാം
14,AVRODH_EPI-04_MALAYALAM_MIX_00:18:20.59_00:18:33.24, pakistan high command ism has arrived it is time to take action we are ready to take actions,പാക്കിസ്ഥാൻ ഹൈക്കമാൻഡ് ഐ എസ് എസ്സയുമായി ചേർന്നു ഇപ്പോ ഒന്നിച്ചു പ്രവർത്തിക്കേണ്ട സമയം ആയി സാഹചര്യങ്ങൾ നമുക്ക് അനുകൂലമാണ്
15,AVRODH_EPI-04_MALAYALAM_MIX_00:05:57.01_00:06:09.17, अदित्ता पोराटतिनाई तैयाराकान,ഒരു പോരാളിയെ തിരഞ്ഞെടുക്കണം അടുത്ത പോരാട്ടത്തിനായി തയ്യാറാക്കാൻ
16,AVRODH_EPI-03_MALAYALAM_MIX_00:02:08.34_00:02:14.00, the bullet is punctured his lungs he is very critical,ദി ബുള്ളറ്റ് പൂഞ്ചോടിഎസ് ഹിസ് ലെൻസ് ഹിസ് വെരി ക്രിട്ടിക്കൽ മാത്രമല്ല ബോധം വരുന്നത് വരെ ഒന്നും പറായാനും പറ്റില്ല
