,id,hypothesis,reference
0,MAHARANI_EP_01_MARATHI_20_PM.STEREO_00:01:39.57_00:01:42.13,चार दिवस झाले दीवाईला चालतो,चार दिवस झाले अ दिवाळीलाच आलो होतो
1,MAHARANI_EP_01_MARATHI_20_PM.STEREO_00:35:57.55_00:36:01.11,बाहेर सगळे मीडियावाले मला प्रश्न विचारतायत,बाहेर सगळे मीडियावाले मला प्रश्न विचारता आहेत
2,MAHARANI_EP_01_MARATHI_20_PM.STEREO_00:31:10.41_00:31:15.00,राज धर्माचं पालन करा मिळे,हम्म ह राजधर्माचं पालन करा म्हणे
3,MAHARANI_EP_01_MARATHI_20_PM.STEREO_00:02:12.56_00:02:15.53,आणि इम्रंती कानय्य नर काम अवस्था,आणि इमरंती का नाही येणार आहे कामावर
4,MAHARANI_EP_04_MARATHI_20_PM.STEREO_00:11:43.41_00:11:47.38,डीजीपी साहेब तेरा दिवसांचं टाईम देत तुम्हाला,डी जी पी साहेब तेरा दिवसांच टाइम देते तुम्हाला
5,MAHARANI_EP_09_MARATHI_20_PM.STEREO_00:05:00.05_00:05:06.25,साहेब मागल्या खेपेला सुद्धा अश्वपालन मंत्रालयात मी तुमच्य़ासाठीच काम करत होतो,साहेब मागल्या खेपेलासुद्धा पशुपालन मंत्रालयात मी तुमच्यासाठीच काम करत होतो
6,MAHARANI_EP_04_MARATHI_20_PM.STEREO_00:21:24.12_00:21:31.45,देव ताय असुरांचा संहार करतो,देवता आहे असुरांच संहार करतो
7,MAHARANI_EP_01_MARATHI_20_PM.STEREO_00:06:34.32_00:06:36.46,हे बघते न तुम्ही,हे बघता आहे ना तुम्ही
8,MAHARANI_EP_01_MARATHI_20_PM.STEREO_00:12:47.30_00:12:50.03,अरे मान्य तुझं रागवणंच स्वाभाविक आहे,अरे मान्य आहे तुझं रागावणं स्वाभाविक आहे
9,MAHARANI_EP_01_MARATHI_20_PM.STEREO_00:01:14.34_00:01:21.58,रे चंदनाची गोळी कुंकू आणि यजमानांसाठी दोन जोडी धोत्र,अरे अ चंदनाची गोळी कुंकू आणि यजमानांसाठी दोन जोडी धोतरं
10,MAHARANI_EP_04_MARATHI_20_PM.STEREO_00:11:26.02_00:11:28.37,तिथं कुणी कोणाला हे सॉरी नाही म्हणत,तिथ कोणी कोणाला हे सॉरी नाही म्हणत
11,MAHARANI_EP_09_MARATHI_20_PM.STEREO_00:16:56.53_00:16:59.25,मला पूर्ण खात्रीय महामाहीम समजून घेतील,मला पूर्ण खात्री आहे महामहिम समजून घेतील
12,MAHARANI_EP_04_MARATHI_20_PM.STEREO_00:10:24.55_00:10:30.14,मी कधी इचार भी केला नव्हता की आयुष्यात हे सगळं बघावं लागलं,मी कधी इचार भी केला नव्हता कि आयुष्यात हे सगळ बघाव लागल
13,MAHARANI_EP_07_MARATHI_20_PM.STEREO_00:32:39.45_00:32:42.16,हे भगाम हे हात जोडतो इथून निघुण जा,हे बघा मी हात जोडतो इथून निघून जा
14,MAHARANI_EP_07_MARATHI_20_PM.STEREO_00:22:35.21_00:22:39.17,हे बघा आजचा दिवस तर काही राजकारणावर चार्च आ कराण्यासा नये,हे बघा आजचा दिवस तर काही राजकरणावर चर्चा करण्याचा नाहीये
15,MAHARANI_EP_07_MARATHI_20_PM.STEREO_00:19:40.40_00:19:46.14,असं समजा तुमची गाय तीन वर्षं कुणा दुसऱ्याला धू देत होती,असं समजा तुमची गाय तीन वर्ष कोणा दुसऱ्याला दुध देत होती
16,MAHARANI_EP_09_MARATHI_20_PM.STEREO_00:29:23.58_00:29:25.50,बैठ होजी हा,हां
17,MAHARANI_EP_04_MARATHI_20_PM.STEREO_00:12:29.22_00:12:30.27,आम्हीच रहतो,आम्हीच राहतो
18,MAHARANI_EP_01_MARATHI_20_PM.STEREO_00:08:56.02_00:08:57.08,आणि त्यावर नाही या प्रदर्शनाची भाग आहे,भीमा भारती जिंदाबाद
19,MAHARANI_EP_04_MARATHI_20_PM.STEREO_00:19:09.20_00:19:23.27,नमस्कार नकाई जरू डीजीपीलाच घेतला यामिताभ्यत सध्या एका ढाब्य़ात लपून बसले बेन,नमस्कार हे हे हे नका विचारू डीजीपीलास घेतला आहे आम्ही ताब्यात ह ह ह सध्या एका ढाब्यात लपून बसलय बेनं
20,MAHARANI_EP_07_MARATHI_20_PM.STEREO_00:17:51.30_00:17:52.22, आणि त्याची भाषा अश्विना केली आहे,हा
21,MAHARANI_EP_09_MARATHI_20_PM.STEREO_00:00:37.56_00:00:44.13,राज्यातील बरेच जिल्हे पाण्यखाली बुडले आणि लाखो लोक बेघर झाले होते,राज्यातील बरेच जिल्हे पाण्याखाली बुडले आणि लाखो लोक बेघर झाले होते
22,MAHARANI_EP_04_MARATHI_20_PM.STEREO_00:10:40.02_00:10:48.49,एका दीड वर्षाच्या मुलाला गोळी लागलेली बघणं एक नऊ वष्रांचा तीन गळा कापल्लीला मगण,एका दिढ वर्षाचा मुलाला गोडी लागलेली बघण एका नव वर्षाचा मुलीचा गडा कापलेला बघण
23,MAHARANI_EP_07_MARATHI_20_PM.STEREO_00:40:32.55_00:40:34.30,साहेब,साहेब
24,MAHARANI_EP_07_MARATHI_20_PM.STEREO_00:19:16.35_00:19:22.27,सत्तेचं सुख बिळविण्यासाठी कधी वीष करावं लागतं,सत्तेच सुख मिळवण्यासाठी कधी कधी विष प्याव लागत
25,MAHARANI_EP_01_MARATHI_20_PM.STEREO_00:30:01.59_00:30:05.15,नही थोडा गॅस है,नाही थोडा गॅस आहे
26,MAHARANI_EP_01_MARATHI_20_PM.STEREO_00:03:45.09_00:03:50.40,अरे दिल्पिया आपली लायकी विसरला स्वयं रे,अरे ए दिलिप्या आपली लायकी विसरलास व्हयं रे
27,MAHARANI_EP_07_MARATHI_20_PM.STEREO_00:01:46.50_00:01:52.54,बुडियां खनात जाई हैं जगी झाली ही आईड्या,चूड़ियाँ खनक जई है जागी जई हे आइया
28,MAHARANI_EP_01_MARATHI_20_PM.STEREO_00:19:50.36_00:19:51.52, नाईस आहेत आणि त्यांचा येथा नव्वाणाची पूर्ण अंशतः या विभागातील प्रतिक्षक असतात,नाही साहेब
29,MAHARANI_EP_01_MARATHI_20_PM.STEREO_00:28:09.33_00:28:11.14,हिवा भारती मुर्दाबाद,भीमा भारती मुर्दाबाद
30,MAHARANI_EP_09_MARATHI_20_PM.STEREO_00:12:30.01_00:12:37.40,जरा विचार करा महामेब तुमच्यापासून दूर राहुन जर मी नुवाचं इतका आदर तो सन्मान करू शकतो,जरा विचार करा महामहिम तुमच्यापासून दूर राहून जर मी तुमचा इतका आदर इतका सन्मान करू शकतो
31,MAHARANI_EP_01_MARATHI_20_PM.STEREO_00:10:28.46_00:10:32.47,अशा आण ओळख्या लोकांसाठी दार उघडत नये आम्ही ध्येणात ठेवा,अश्या अनोळख्या लोकांसाठी दार उघडत नाहि आम्ही ध्यानात ठेवा
32,MAHARANI_EP_01_MARATHI_20_PM.STEREO_00:04:41.32_00:04:48.15,माहिती आहे ना राज्याचे मुख्यमंत्री भीमा भारती कोणता जातीसेत,माहिती आहे ना राज्याचे मुख्यमंत्री भीमा भारती कोणत्या जातीचे आहेत
33,MAHARANI_EP_07_MARATHI_20_PM.STEREO_00:29:21.35_00:29:27.25,त्याला विचारून व्हिशीफूडच्य़ मालकाचं अॅड्रेस मिळवलंय ती तो अन् एबॉक,त्याला विचारून वीसी फूडच्या मालकाचा एड्रेस मिळवला आहे तिथून हे बघ
34,MAHARANI_EP_07_MARATHI_20_PM.STEREO_00:36:32.15_00:36:39.44,मग तुमच्यासाठी ते करेन जे कुणीच करू शकत नाही प्रमेस,मग मी तुमच्यासाठी ते करेन जे कोणीच करू शकत नाही प्रोमिस
35,MAHARANI_EP_09_MARATHI_20_PM.STEREO_00:20:51.18_00:21:02.24,नाही गांधीजींची तीन माकडं होती मी भीमाजचा एकूण तायक आहे,नाही गांधीजींची तीन माकडं होती मी भीमाजींचा एकुलता एक आहे
36,MAHARANI_EP_01_MARATHI_20_PM.STEREO_00:02:30.29_00:02:34.33,म्हणजेच आता तू बायकोला दिल्ली ला घेऊन जाणारेस,म्हणजे आता तू बायकोला दिल्लीला घेऊन जाणार आहेस
37,MAHARANI_EP_01_MARATHI_20_PM.STEREO_00:22:38.14_00:22:39.54,त्यावर की गैट करणारी आहे,लाल किल्याचा लाली ने
38,MAHARANI_EP_07_MARATHI_20_PM.STEREO_00:25:59.01_00:26:02.20,ना तुमच्या बोलण्य़ावर विश्वासे ना यात उम्मीदिलेला कागदांवहर,ना तुमच्या बोलण्यावर विश्वास आहे ना ह्या तुम्ही दिलेल्या कागदावर
39,MAHARANI_EP_07_MARATHI_20_PM.STEREO_00:17:25.52_00:17:31.23,अरे संगीत लोगताना अश्वल अकडून गाणं फुंकुन घ्या म्हणू,अरे सांगितल होत ना अस्वलाकडून फुंकून घ्या म्हणून
40,MAHARANI_EP_01_MARATHI_20_PM.STEREO_00:18:05.32_00:18:07.16,चला कपडे घडा धुऊन घेऊया,चला कपडे काढा धोऊन घेऊ या
41,MAHARANI_EP_07_MARATHI_20_PM.STEREO_00:42:50.13_00:42:54.20,कोणे तो आहे,कोण आहे तो
42,MAHARANI_EP_04_MARATHI_20_PM.STEREO_00:06:05.45_00:06:09.30,पोरम् पूज्य करम वीर भावन् सामन्यांचा गुंताळीव आणि प्राप्तिकाची भूमिष्ठ केली आहे,परमपूज्य कर्मवीर बाबांचा
43,MAHARANI_EP_09_MARATHI_20_PM.STEREO_00:14:00.13_00:14:03.45,चरवा विद्यालय भूमी सुधार सारख्य योजना,चरवाह विद्यालय भूमी सुधारसारख्या योजना
44,MAHARANI_EP_09_MARATHI_20_PM.STEREO_00:03:09.24_00:03:10.58,म्ह्म मध्ये स्थान,हम्म इथेच थांब
45,MAHARANI_EP_07_MARATHI_20_PM.STEREO_00:12:56.20_00:13:00.14,की वाटतो तू तो न्हाईच शेश,कि वाटत तू तो नाहीच आहेस
46,MAHARANI_EP_01_MARATHI_20_PM.STEREO_00:11:58.56_00:12:02.49,व्हाँ किती क्यूट हैं,व्हा किती क्युट आहे
47,MAHARANI_EP_04_MARATHI_20_PM.STEREO_00:24:26.24_00:24:33.44,पण एक लक्षात ठेवा की कुआर्सिंगच्या अटकेमूळे भडकोन जाऊन असून हल्ले करू शकतो मूकिया,पण एक लक्षात ठेवा कि कुंवर सिंगच्या अटके मुडे भडकुण जाऊन अजून हल्ले करू शकतो मुखीया
48,MAHARANI_EP_07_MARATHI_20_PM.STEREO_00:35:58.11_00:36:05.38,काहीतरी आरो बाबा तुमच्या मूळ आज कुवरसिंग जेलमध्ये,काय तरी अरे बाबा तुमचामूळ आज कुंवर सिंग जेलमध्ये आहे
49,MAHARANI_EP_01_MARATHI_20_PM.STEREO_00:13:01.22_00:13:03.50,अग्नीला साक्षीत ठेवून मला चार वस्त्र दिली होती,अग्नीला साक्षी ठेवून मला सात वचनं दिली होती ना
50,MAHARANI_EP_04_MARATHI_20_PM.STEREO_00:28:27.09_00:28:37.36,हे पथनिर्माण विभागाकडणं आहे सचिवाने लिहिलंय पाच शे सत्तेचाळीस करोड अर्जंटी प्रायदे रोइड्स बनवण्यासाठी,अम हे पथनिर्माण विभागाकाकडनं आहे सचिवाने लिहलय पाचशे सत्तेचाळीस करोंड अरजेनट्ली पाहिजेत रोडस बनवड्यासाठी
51,MAHARANI_EP_01_MARATHI_20_PM.STEREO_00:16:33.00_00:16:37.41,पण असं दिसतंय की सुभ्याचे मूख्यमंत्री श्ரी भीमसिंह भारती याला मात्त एक अप�ाद आहे,पण असं दिसतंय कि सुबयाचे मुख्यमंत्री श्री भीमा सिंग भारती याला मात्र एक अपवाद आहेत
