,id,hypothesis,reference
0,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:34:42.36_00:34:43.23,தன் கிமான்,தேங்க்யூ மேம்
1,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:03:01.16_00:03:01.58,இவ்வளையில் சிற்றிலிருந்து விரைவு செல்லும்,எஸ் சார்
2,AVRODH_EP_05_TAMIL_20_PM.STEREO_00:22:46.16_00:22:49.10,இந்திய யுத்தத் துக்கத் நாய் ஆறாயிருக,இந்தியா யுத்ததுக்கு தயாராக இருக்கு
3,AVRODH_EP_08_TAMIL_20_PM.STEREO_00:13:19.56_00:13:21.50,சக் ஜூண்டாப்,சர் டூ அண்ட் ஹாஃப் மினிட்ஸ்
4,AVRODH_EP_04_TAMIL_20_PM.STEREO_00:14:08.47_00:14:14.00,மோதல் ஒரு விஷயத்தினை திருச்சிக்க நேர் திறன் அந்த விசியில் முலம்பவுமேலும் போர்ட் ரூபப் டிசர்ப் பயன்றினார்க் காங்க,முதல ஒரு விஷயத்த நீ தெரிஞ்சிக்க நேத்து நடந்து விஷயத்து மூலமா உன் மேல போர்ட் ரொம்ப டிஸ்ஸபாய்ன்டெட்டா இருக்காங்க
5,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:03:33.11_00:03:37.20,யேஸ் ஹொல் ரைடு நாப்ரம் கால் பண்ற பை கிளி செட்,எஸ் ஆல்ரைட் நான் அப்புறம் கால் பண்றன் பாய் ப்ளீஸ் சிட்
6,AVRODH_EP_05_TAMIL_20_PM.STEREO_00:15:50.36_00:15:51.00,ஹாலில் பிற்றினர்களின் ஜன்மையிலிருந்து விரைவு செல்லும்,ஆல்வியா சார்ர எனக்கு
7,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:08:23.33_00:08:25.58,யூ டேகர் முடிஞ்சு முன்னே நாக்கம்,யு டேக் கேர் முடிஞ்ச உடனே நான் கால் பண்றன்
8,AVRODH_EP_04_TAMIL_20_PM.STEREO_00:08:10.22_00:08:11.25,கைய அணி,கையானி
9,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:05:31.01_00:05:33.02,ப்ளீஸ் கூகிள் கர்னல் அருளேஷ் சிங்,ப்ளீஸ் கூகுள் கர்னல் அருலேசிங்
10,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:10:55.06_00:10:57.05,ஜனங் கிரப்பாய் முருத்துரங்கா,ஜனங்கள பயமுத்தரங்க
11,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:05:23.46_00:05:25.10,ஜனலிசம் போதுணர் தோணது,ஜர்னலிசம் போதும்னு தோணுது
12,AVRODH_EP_05_TAMIL_20_PM.STEREO_00:23:16.01_00:23:19.25,இஸ்போல் இந்த தரவு கீட்டத்தட் அறுவுத் தஞ்சி பெயரு லஷ்கர் லச்சே திக்கின்றனர்,இஸ்புள் இந்த தடவ கிட்ட தட்ட அருவத்தஞ்சு பேர லஷ்க்கர்ல சேத்துக்கிட்ட ஜனாப்
13,AVRODH_EP_08_TAMIL_20_PM.STEREO_00:10:09.11_00:10:14.49,அல்பெட்டு கவுதம் நீங்க பிலேஜ் சுத்திப் போயி பின்னாடில்லந்தா நேற்றும்,ஆல்பா டூ கௌதம் நீங்க வில்லேஜ்அ சுத்தி போயி பின்னாடில இருந்து அட்டாக் பண்ணனும் ஜெண்டில் மென் லேட்ஸ் டேக்
14,AVRODH_EP_04_TAMIL_20_PM.STEREO_00:09:39.31_00:09:47.10,அந்த மெஷின் எல்லாமே செயினாவிலிருக்கு வாங்கனது ஏது கி பேருதாக கிளோபிலைசேஷன்,அந்த மெஷின் எல்லாமே சீனால இருந்து வாங்குனது இதுக்கு பேரு தான் குளோபலைசேஷன்
15,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:12:35.56_00:12:40.15,அது சுத்திருக்கு எல்லாதிய அவமையில் ஆகியும்,அது சுற்றி இருக்கிற எல்லாத்தையும் அமைதியாக்கிடும்
16,AVRODH_EP_04_TAMIL_20_PM.STEREO_00:20:05.56_00:20:14.30,சாத் நீங்க நினைக்கிற மாதிரி ஒவ்வொன்னமே கடையாத நாவ் வெறும் வேல காரண்,சார் நீங்க நினைக்கிற மாதிரி ஒண்ணுமே கெடையாது நான் வெறும் வேலைக்காரன் தான்
17,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:15:31.32_00:15:35.42,பம்பர் பட்டி மால்ஃபா கிட் ரெடி பார் டி இண்டக்ஷன் வி மர்ஸ் லீக் நாவும் ஓவா,பாப்பா ஃபார் டீம் ஆல்பா கெட் ரெடி பார் டி இண்டக்ஷன் வி மஸ்ட் லீவ் நொவ் ஓவர்
18,AVRODH_EP_05_TAMIL_20_PM.STEREO_00:03:16.48_00:03:17.34,தன்னை இங்கு போங்கள்,நீங்க போங்க
19,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:13:55.06_00:13:56.17,தி மார்க் ஹோர்ட்ல,ரீமார்க் கோர்ட்ல
20,AVRODH_EP_05_TAMIL_20_PM.STEREO_00:23:19.26_00:23:25.30,ஆத்தனப் பேரு சித்ரனாவன் அப்பொன்னரே பெரு இனு சேக்க வேண்டியதிற்கு,அத்தனை பேர சேத்துட்டானா அப்போ நெறைய பேரா இன்னும் சேக்க வேண்டியது இருக்கு
21,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:11:36.36_00:11:38.01,குறிச்சொப் ரசி,குட் ஜாப் ரெசி
22,AVRODH_EP_03_TAMIL_20_PM.STEREO_00:12:33.51_00:12:37.30,நெகரிக்கா,நிஹாரிகா
23,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:14:32.41_00:14:36.57,அல் யூனிட்ஸ் காலிங் அல் இன்ஜிடுஜ் கோர்ட் பர் கம்பரமை சாய்டு செல்லும்,ஆல் யூனிட்ஸ் காலிங் ஆல் யூனிட்ஸ் கோர்ட்ல காம்பெர்மைஸ் ஆயிடிச்சு
24,AVRODH_EP_03_TAMIL_20_PM.STEREO_00:05:34.52_00:05:37.10,சர் த நேம்பிள் ஃபர்ஸஸ் ஆல்ஃபோன் ஸ்டான்ட் பை சர்,சார் த ஃபோர்ஸ் ஆல்சோ ஸ்டாண்ட் பை சார்
25,AVRODH_EP_08_TAMIL_20_PM.STEREO_00:21:57.36_00:22:00.45,டார்கெட் குளிர் எத்தனை பேருக்காங்கள் இனி ஐடியோ,டார்கெட் குள்ள எத்தன பேர் இருக்காங்க எனி ஐடியா
26,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:14:05.12_00:14:05.33,சிற்றில் பிரச்சினையிலிருந்து விரைவு செல்லும்,சிக்ஸ் டவ்ன்
27,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:12:15.02_00:12:16.57,டவுட் அவுண்ட் ஜார்ச்சர்ஸ்,டௌன் டௌன் சார்ஜஸ்
28,AVRODH_EP_04_TAMIL_20_PM.STEREO_00:10:16.23_00:10:21.00,எஹ் ஹ் அண்ணி எப்போமே எக்ஸ்ட்ரானினரியத் தேடிப் போயிற்றுக,யா யா ஆனா நீ எப்பவுமே எக்ஸ்னாடினரி ஆ தேடிப்போய்ட்டுருக்க
29,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:32:55.45_00:33:01.30,தேங்கியூ சார் தேன்க்யூ போ எவர்ரித்திங் இது சொல் பிகோஸ் ஜோபியு,தேங்க் யூ தேங்க் யூ ஃபார் எவ்ரி திங் திஸ் இஸ் ஆல் பிகாஸ் ஆப் யூ
30,AVRODH_EP_04_TAMIL_20_PM.STEREO_00:01:38.16_00:01:51.10,ஸ்கூல் அப்படிக்கும் போதே நம்பு பிடிவாதகர எல்லாத்திலுமே பர்ஷ்ட் வர்ண்டு நடைப்பாம் மாறு அம்மையெள்ளா ரிமேப் பின்னாடி விட்டிடு போயிற்றோம்,ஸ்கூல்ல படிக்கும்போதே ரொம்ப பிடிவாத காரன் எல்லாத்துலையும் பிரஸ்ட் வரணும்னு நினைப்பான் பாரு நம்ப எல்லாரையும் பின்னாடி விட்டுட்டு போய்ட்டான்
31,AVRODH_EP_05_TAMIL_20_PM.STEREO_00:19:55.37_00:19:57.25,அவகு இது பத்தி என்ன சூழ்றாங்க,அவங்க இதை பத்தி என்ன சொல்லுறாங்க
32,AVRODH_EP_05_TAMIL_20_PM.STEREO_00:13:00.31_00:13:01.19,ஜாக்ஸ்,ஜாக்க்ஸ்
33,AVRODH_EP_08_TAMIL_20_PM.STEREO_00:13:06.51_00:13:10.20,சேத்தினார் டீம் ஆல்ஃபா கூட எந்த கம்யூனிகேஷனருக்காது பிரேடியோ சைலன்ஸ் அ மேயின்டன் பண்,சார் டீம் ஆல்ஃபா கூட எந்த கம்யூனிகேஷன்னும் இருக்காது ரேடியோ சைலென்ஸ்ச மெயின்டைன் பன்றோம்
34,AVRODH_EP_05_TAMIL_20_PM.STEREO_00:05:26.18_00:05:29.58,நீயும் சுனிதா மேடம் ஒரு கிரோ ஃபோடோகிராஃப்ஸ் ஆன்லைன் கபிலி போச்சு,நீயும் சுனிதா மேடமும் இருக்குற ஃபோட்டோக்ராப்ஸ் ஆன்லைன்கு எப்படி போச்சி
35,AVRODH_EP_03_TAMIL_20_PM.STEREO_00:19:31.21_00:19:37.05,ஜெனரல் சின் ஹர் அதிக வஸ்கிலியா நோ நியூ ஆபரேஷன்சு,ஜென்ரல் சின்ஹா ஐ திங்க் ஐ வாஸ் கிரியார் நோ நியூ ஆப்ரேஷன்
36,AVRODH_EP_09_TAMIL_20_PM.STEREO_00:09:17.57_00:09:20.00,கால் பவன் போகிற்கு பாபு விச்சை சிறாலை நடைபெறும்,ஆல்பா ஓன் மூவிங் பார்வோர்ட் ரேசி அலர்டாஇரு
37,AVRODH_EP_05_TAMIL_20_PM.STEREO_00:12:14.36_00:12:15.06,அ ஜெய்,ஜெய் ஹிந்த்
38,AVRODH_EP_05_TAMIL_20_PM.STEREO_00:14:26.00_00:14:28.34,சோழ் ஜஸ்ரீ நகருடன் பிரைவேட் ஏயர்பேசில் லேண்டாய்,சோல்ஜர்ஸ் ஸ்ரீ நகரோட பிரைவேட் ஏர் பிளேஸ்ல லேண்ட் ஆகிருக்காங்க
39,AVRODH_EP_07_TAMIL_20_PM.STEREO_00:08:13.31_00:08:14.45,நீங்க ரெட்டு பெரும் கவனமாக,நீங்க ரெண்டு பேரும் கவனமா இருங்க
