,id,hypothesis,reference
0,Scam_1992_Ep_08_Final_Master_Marathi_Premix_260821_00:25:01.02_00:25:03.28,तुम्ही इकडे का बघता काम करा तु्मचं,तुम्ही इकडे का बघताय काम करा तुमचं
1,Scam_1992_Ep_07_Final_Master_Marathi_Premix_260821_00:03:33.05_00:03:37.58,बहुखायचा असता तर फक्त पाच शे करोड खाल्ले हसते का,भाऊ खायचा अस्तां तर फक्त पांचशे करोड़ खाल्ले असते का हें
2,Scam_1992_Ep_08_Final_Master_Marathi_Premix_260821_00:19:35.32_00:19:40.40,आणि मग ग्रीनलेजने हर्षदला पैसे दिले त्यात माझा काय दोष हे मालकात रासले,आणि मग ग्रिंडलेज़ने हर्षदला पैसे दिले त्यात माझा काय दोष आहे मला का त्रास देताय
3,Scam_1992_Ep_03_Final_Master_Marathi_Premix_260821_00:40:05.01_00:40:07.05,हूं माझा सुदा,हम्म माझा सुद्धा
4,Scam_1992_Ep_03_Final_Master_Marathi_Premix_260821_00:06:06.42_00:06:11.00,इथे स्तांभा बोला कसे आहात,इथेच थांबा बोला कसे आहात
5,Scam_1992_Ep_08_Final_Master_Marathi_Premix_260821_00:43:49.32_00:43:50.24,हॅलो,हॅलो
6,Scam_1992_Ep_04_Final_Master_Marathi_Premix_260821_00:15:05.43_00:15:07.11,माझ्या सोर्सला करमचंद बोलू होतो,माझ्या सोर्सला करमचंद बोलू नको
7,Scam_1992_Ep_03_Final_Master_Marathi_Premix_260821_00:11:13.41_00:11:16.52,असं सांगून की हो माझ्याकडे सिक्युरिटीज आहेत,असं सांगून की हो माझ्याकडे सिक्युरिटीस आहे हम्म
8,Scam_1992_Ep_09_Final_Master_Marathi_Premix_260821_00:43:42.48_00:43:51.00,तुम्ही बघा फक्त वेळ आल्यावर न हा एक फिल्मी हिरोसारखा पुढे येईल आणि आम्ला सगाईंचे नांव सांनून टाकेल,तुम्ही बघा फक्त वेळ आल्यावर ना हा एक फिल्मी हिरोसारखा पुढे येईल आणि आपल्या सगळ्यांची नावं सांगून टाकेल
9,Scam_1992_Ep_04_Final_Master_Marathi_Premix_260821_00:18:50.15_00:18:57.40,मसई वेळ बघून असा बांबू टाकिन्हा किसाले बेश बॉलबेरिंग स्टाईट होते,मग सही वेळ बघून असा बांबू टाकेन ना कि साल्या बेअर्सचा बॉल बेअरिंगस टाइट होतील
10,Scam_1992_Ep_07_Final_Master_Marathi_Premix_260821_00:14:19.33_00:14:23.00,जर आपल्यामुळे मार्केट बढत न तर हा पणसाल पुनः उभं करू,जर आपल्या मुले मार्केट पडतय ना तर आपण त्याला पुन्हा उभा करू
11,Scam_1992_Ep_03_Final_Master_Marathi_Premix_260821_00:47:08.21_00:47:10.22,पंचेचाळीस लाख,पंचेचाळीस लाख
12,Scam_1992_Ep_09_Final_Master_Marathi_Premix_260821_00:21:14.56_00:21:17.42,जेल तुझा पर्मनंट अड्रेस बनेल,जेल तुझं पर्मनंट ऍड्रेस बनेल
13,Scam_1992_Ep_03_Final_Master_Marathi_Premix_260821_00:20:45.31_00:20:48.46,इन्स्टिट्यूशनल्स इंव्हेस्र्स कणून होणारे इण्वेसमेंट मोळे र,इंस्टिट्यूशनल इन्वेस्टर्सकडून होणाऱ्या इन्वेस्टमेंट मुळे
14,Scam_1992_Ep_03_Final_Master_Marathi_Premix_260821_00:41:38.59_00:41:44.44,बघासार माझं काम आहे प्रोफिट बनवून देणं आणि मी गव्हर्नमेंटला सुद्धा फुर्फाइट्ट मनूदेन,बघा सर माझा काम आहे प्रॉफिट बनवून देण आणि मी गव्हर्नमेंट ला सुद्धा प्रॉफिट बनवून देईन
15,Scam_1992_Ep_03_Final_Master_Marathi_Premix_260821_00:16:10.31_00:16:14.01,मी सिरिअस है चला नीरजभाई तुम्ही खरं संगा,मी सिरीयस आहे चला नीरज भाई तुम्ही खरं सांगा
16,Scam_1992_Ep_08_Final_Master_Marathi_Premix_260821_00:23:53.25_00:23:56.32,यू नो मिस्टर खेमांदी माझ्याकडे खूप सपोर्ड इनेट्स येत,यु नो मिस्टर खेमानी माझ्याकडे खूप सबऑर्डीनेट्स आहेत
17,Scam_1992_Ep_08_Final_Master_Marathi_Premix_260821_00:38:46.49_00:38:47.46,त्यांचा अश्वाची स्थळा आहे आणि या नाही असणारे अनुसार निर्णय होते,चाल
