,id,hypothesis,reference
0,844424930303664-642-f,હું આ કારણે જ બહુ હારેલ અનુભવ કરી રહ્યો છું,હું આ કારણે જ બહુ હારેલ અનુભવ કરી રહ્યો છું
1,844424931546489-25-m,પરંતુ તે માત્ર ત્રણ વર્ષ માટે તેઓ અભ્યાસ કર્યું હતું,પરંતુ તે માત્ર ત્રણ વર્ષ માટે ત્યાં અભ્યાસ કર્યો હતો
2,844424930303654-642-f,એક સો સુધી આમ જ તેઓ વાતીવાત કરતા રહેતા,વરસો સુધી આમ જ તેઓ વાદ વિવાદ કરતા રહેતા
3,844424932881411-612-f,રાત્રે ગમે ત્યારે સપના મા પણ ડરાવી જાય છે,રાત્રે ગમે ત્યારે સપનામાં પણ ડરાવી જાય છે
4,844424930442467-358-m,એ જ ઉદ્દેશ સંભાળી શકે અને સ્ટોવ વાહન છે,એ જ ઉદ્દેશ સંભાળી શકે અને સ્ટોવ વાહન છે
5,844424930303610-642-f,તે ટેલેન્ટેડ પણ એટલી અને વાંચાડ પણ એવી છે,તે ટૅલન્ટેડ પણ એટલી અને વાચાળ પણ એવી જ
6,844424932888416-612-f,સામેની વ્યક્તિ ઉપર પણ ઘણો આધાર હોય છે,સામેની વ્યક્તિ ઉપર પણ ઘણો આધાર હોય છે
7,844424932881422-612-f,આ વાતને લઈને સોશિયલ મીડિયા પર ચર્ચા થઈ રહી છે,આ વાતને લઇને સોશિયલ મીડિયા પર ચર્ચા થઇ રહી છે
8,844424931583659-25-m,ત્યારે પણ અમુક લોકો રસ્તા પર ઉતરી આવ્યા હતા,ત્યારે પણ અમુક લોકો રસ્તા પર ઉતરી આવ્યા હતા
9,844424932888404-612-f,હાલ આ સમગ્ર મામલે પોલીસ તપાસ ચાલુ છે,હાલ આ સમગ્ર મામલે પોલીસ તપાસ ચાલુ છે
10,844424930303646-642-f,આવા પ્રાણી ઉગ્ર પર શરતી છૂને ગણવામાં આવે છે,આવા પ્રાણીઓ ગ્રહ પર સૌથી જૂની ગણવામાં આવે છે
11,844424932888427-612-f,તમે કોઈ નવું વાહન કે ઘર ખરીદી શકો છો,તમે કોઈ નવું વાહન કે ઘર ખરીદી શકો છે
