,id,hypothesis,reference
0,844424930545451-556-f,சம்பிக்கவின் சாரதி பிணையில் விடுதலை,சம்பிக்கவின் சாரதி பிணையில் விடுதலை
1,844424930592555-47-f,உணவுப் பொருள் வாங்குகின்ற கடையில் தானே,உணவுபொருள் வாங்குகின்ற கடையில் தானே
2,844424930592511-47-f,பெயர் தற்போதைய பணியிடம் புதிய பணியிடம்,பெயர் தற்போதைய பணியிடம் புதிய பணியிடம்
3,844424930584065-1009-f,செல்ல வினை அடிப்படை அர்த்தங்கள் மற்றும் வடிவங்கள்,செல்ல வினை அடிப்படை அர்த்தங்கள் மற்றும் வடிவங்கள்
4,844424933236968-311-m,இவர் தமிழ் மலையாளம் மற்றும் தெலுங்கு திரைப்படத் துறையில் தோன்றினார்,இவர் தமிழ் மலையாளம் மற்றும் தெலுங்கு திரைப்படத் துறையில் தோன்றினார்
5,844424930576935-47-f,பிரேம் ஒரு பெண்ணை குறுகுறு வென பார்க்க அந்த பெண் இவனை முறைக்க,பிரேம் ஒரு பெண்ணை குறு குறுவெனப் பார்க்க அந்தப்பெண் இவனை முறைக்க
6,844424930576981-47-f,இறுதியில் நீங்கள் தான் மன நிம்மதி இழந்து தவிப்பீர்கள் இதுவே உண்மை,இறுதியில் நீங்கள் தான் மன நிம்மதி இழந்து தவிப்பீர்கள் இதுவே உண்மை
7,844424933279768-299-m,செய்முறை முகவையில் மண்ணை எடுத்துக் கொண்டு அதில் நீரை ஊற்றவும்,செய்முறை முகவையில் மண்ணை எடுத்துக் கொண்டு அதில் நீரை ஊற்றவும்
8,844424930576983-47-f,ஆனால் சாகுல் ஹமீது நம்பர் இது இல்லன்னு உங்களுக்கு எப்படி தெரிஞ்சது,ஆனா சாகுல் ஹமீது நம்பர் இது இல்லைனு உங்களுக்கு எப்படி தெரிஞ்சது
9,844424930592591-47-f,ஒரு வீரர் சிறையிலிருந்து வெளியே வரக்கூடிய மூன்று வழிகளும் உள்ளன,ஒரு வீரர் சிறையில் இருந்து வெளியே வரக்கூடிய மூன்று வழிகளும் உள்ளன
10,844424930576949-47-f,இதனால் இவரின் நல்ல குணத்தை கண்டு அனைவரும் பாராட்டி வருகின்றனர்,இதனால் இவரின் நல்ல குணத்தை கண்டு அனைவரும் இவரை பாராட்டி வருகின்றனர்
11,844424931018594-1151-f,எப்படி பைதான் கொண்டு ஒரு கோப்பு வரி மூலம் வரி ஆய்வு செய்ய,எப்படி பைத்தான் கொண்டு ஒரு கோப்பு வரி மூலம் வரி ஆய்வு செய்ய
12,844424930584022-1009-f,சுயசரிதையைப் பற்றியும் அவர்கள் யார் யாரோடெல்லாம் சம்பந்தப்பட்ட,சுயசரிதையைப்பற்ரியும் அவர்கள் யார் யார்ரோடெல்லாம் சம்பந்தப்பட்ட
13,844424930592543-47-f,பெண்களில் சிலருக்கு முகத்தில் முடி வளர்வது ஒரு பெரிய பிரச்சனையாக இருக்கும்,பெண்களில் சிலருக்கு முகத்தில் முடி வளர்வது ஒரு பெரிய பிரச்னையாக இருக்கும்
14,844424930576910-47-f,இந்திய விமானப் படையில் முதல் பெண் விமானப் பொறியாளர் பணியில் சேர்ப்பு,இந்திய விமானப் படையில் முதல் பெண் விமானப் பொறியாளர் பணியில் சேர்ப்பு
15,844424930490955-1009-f,பாதை பிரச்சினைக்கு தீர்வு காணக் கோர் திண்டுக்கல் அருகே சாலை மறியல்,பாதை பிரச்னைக்கு தீா்வு காணக் கோரி திண்டுக்கல் அருகே சாலை மறியல்
16,844424930506941-556-f,நான் அதை என் பாக்கெட்டில் வைத்து அதை என் ஜென்னிக்கு கொடுத்தேன்,நான் அதை என் பாக்கெட்டில் வைத்து அதை என் ஜென்னிக்கு கொடுத்தேன்
