,id,hypothesis,reference
0,Scam_1992_Ep_05_Bengali_Mix__00:15:21.01_00:15:26.10,সার ব্যবহাটা খুব টেনশন এস কোই পূঁড়িও আপকি অফত থৱিৎ মৃতী উপ চুলি,"স্যার, ব্যাপারটা ইকটু টেনশনের স্যার গোপুরিয়া সাহেব আপনার স্টেটমেন্ট চেয়ে পাঠিয়েছিল।"
1,Scam_1992_Ep_05_Bengali_Mix__00:31:54.13_00:32:01.00,দেখুন চুৎতারামনঃ পాঁচ শো টা কর বলছি এখা,"দেখুন সীতারামন, পাঁচশ টাকার কথা বলছি না এখানে। পাঁচশ কোটি বুক থেকে উধাও।"
2,Scam_1992_Ep_05_Bengali_Mix__00:24:27.41_00:24:28.02,এই সচিব,"হ্যাঁ,"
3,Scam_1992_Ep_06_Bengali_Mix__00:35:04.01_00:35:06.55,স্টিল ওয়াট কো হেড উইদি স,স্টিল ইউ ওয়ান্ট টু গো এহেড উইথ দিস ?
4,Scam_1992_Ep_08_Bengali_Mix_00:15:36.32_00:15:38.49,য়ু মিন রাইট না়,ইউ মিন। রাইট নাও?
5,Scam_1992_Ep_05_Bengali_Mix__00:13:26.56_00:13:31.17,সব নয় মার্চ বালেনোস এজিসন দুই শব,"স্যার নাইন্থ মারচ ব্যালেন্স ওয়াজ এইযে স্যার, ওয়ান এইটি সিক্স ক্রোর।"
6,Scam_1992_Ep_06_Bengali_Mix__00:00:38.45_00:00:41.57,মা সি ম,মাসিমা
7,Scam_1992_Ep_08_Bengali_Mix_00:33:52.01_00:33:53.00,অনে বিশ নির্দীত এই মো,মানে?
8,Scam_1992_Ep_08_Bengali_Mix_00:24:52.10_00:24:53.54,লড় আই কানি হিয়ের ইউ,হোয়াট লাউড আই কান্ট্ হিয়ার ইউ।
9,Scam_1992_Ep_06_Bengali_Mix__00:11:42.01_00:11:45.00,এসবিআই তো পিেন মি নামী ড্যারকট চ৆য় কুসা হতা,এসবিআই তোহ তোহ পিএনবি এর নামে ডিরেক্টলি চেক ইস্যু করার কথা
10,Scam_1992_Ep_06_Bengali_Mix__00:22:45.44_00:22:47.25,ডু হেন এনিথি করত সাপোর্ট ওঁয় টৰি,ডু ইউ হ্যাভ এনিথিং দ্যা সাপোটিভ স্টোরি ।
11,Scam_1992_Ep_06_Bengali_Mix__00:11:55.31_00:11:56.27,উল্ল,ওয়েল
12,Scam_1992_Ep_06_Bengali_Mix__00:39:06.01_00:39:08.25,কী হো ছে,কি হয়েছে ?
13,Scam_1992_Ep_08_Bengali_Mix_00:42:16.07_00:42:19.39,সুচেতা দলাল আপনি তো,"সুচেতা দালাল আপনি তো,"
14,Scam_1992_Ep_06_Bengali_Mix__00:03:12.59_00:03:17.00,তিনদের ভরসাও চলো যাব্য আমন এটা ইয় ম অপচু,"ভরসাও চলে যাবে,আমার মতে এটাই বেস্ট অপারচুনিটি"
15,Scam_1992_Ep_08_Bengali_Mix_00:19:47.22_00:19:54.29,সেটা ব সিক্যুইরারী নাস এট পি আর,"সেটা, সিকিউরিটি না সেটা, বি আর বি আর।"
16,Scam_1992_Ep_08_Bengali_Mix_00:39:57.09_00:40:10.31,না আমাদের অফিসরি খাবড় নব্য়ূ ভল,"নাঃ, আমাদের অফিসের খাবার আরো ভালো, একটা কাজ করুন সাথে আপনিও চলুন, হুঁহ? ফ্যামিলি ডিনার।"
17,Scam_1992_Ep_06_Bengali_Mix__00:31:59.58_00:32:01.16,এস হাও আম রিখে নির্দীত অনুষী কার মো,"ইয়েস, ইয়েস স্যার আই এম আই এম রাইটিং এ স্টোরি এন্ড"
18,Scam_1992_Ep_05_Bengali_Mix__00:30:08.12_00:30:08.48,আ ভি নিয়ে কানুক আগ্রা উপসূচন সংঘ বিরোধী এর দি,"আমি,"
19,Scam_1992_Ep_08_Bengali_Mix_00:52:18.24_00:52:30.44,লোকার প্রেস এখান হরশদর पিছড়া ফতিবৃত বি আনও ইউনূ চল গুঁতু ক৊য় মি,"কম অন ডোন্ট ইউ গাইস নো লোক আর প্রেস হার্শাদের পেছনে পড়ে আছে,এন্ড হার্শাদ এরেস্ট মিন্স শুনে ওর লেটার"
20,Scam_1992_Ep_05_Bengali_Mix__00:22:46.01_00:22:49.32,কারণ সমস্তু ইনটাকেশন আপনোর অফিস থৈক এজা,কারণ সমস্ত ইন্সট্রাকশন আপনার অফিস থেকে যায় ওখানে।
