,id,hypothesis,reference
0,Scam_1992_Ep_07_AVC_Intra_HD_8Trtack_Final_Master.mp4_00:32:11.21_00:32:15.01,सॉरी नो मोर क्रेस्ट्यूज़ थंक्ये,सॉरी नो मोर क्वेश्चन थैंक यू
1,Scam_1992_Ep_07_AVC_Intra_HD_8Trtack_Final_Master.mp4_00:27:21.11_00:27:26.20,इंक्लूदिंग सिर्टन सिक्योरिटीज़ इंद रिपोट्र ने में नौट बी पर्राव्ड अफ़े एस्पीडेकॉर्न्स,इन्क्लूडिंग सरटन सिक्युरिटी इन देयर रिपोर्ट देट मे नोट बी पार्ट ऑफ द एस जी एल रेकॉर्ड्स
2,Scam_1992_Ep_10_AVC_Intra_HD_8Trtack_Final_Master.mp4_00:46:11.11_00:46:17.56,धीरेत ही एन्शायर्स को मार्केट में इंट्रोड्यूस करते गया और बेचना,धीरेधीरे इन शेयर्स को मार्केट में इंट्रोड्यूस करता गया और बेच डाले
3,Scam_1992_Ep_09_AVC_Intra_HD_8Trtack_Final_Master.mp4_00:06:58.45_00:07:01.00, वेशें,
4,Scam_1992_Ep_10_AVC_Intra_HD_8Trtack_Final_Master.mp4_00:07:31.49_00:07:36.02,मैंने कभी कहा ही नहीं कि मैं इतना केपेबल हूं,मैंने कभी कहा ही नहीं की मैं इतना केपेबल हूँ
5,Scam_1992_Ep_07_AVC_Intra_HD_8Trtack_Final_Master.mp4_00:20:54.54_00:21:00.40, हूँः या आई प्ले क्रिकेट अलॉट है थिंग आ नीड टू स्ट्रेच्च माय बाॅडी ए लिल्बी,हम्म या आई प्ले क्रिकेट अ लॉट आई थिंक आई नीड टू स्ट्रेच माय बॉडी अ लिटल बिट
6,Scam_1992_Ep_07_AVC_Intra_HD_8Trtack_Final_Master.mp4_00:18:40.01_00:18:42.22,बस लौटाने में थोड़ी सी देर होगी,बस लौटाने में थोड़ी सी देर हो गई
7,Scam_1992_Ep_10_AVC_Intra_HD_8Trtack_Final_Master.mp4_00:38:43.48_00:38:46.35, क्या किया,क्या किया है
8,Scam_1992_Ep_10_AVC_Intra_HD_8Trtack_Final_Master.mp4_00:35:05.37_00:35:09.08,मतलब मेरे रेकॉर्ड्स में उनके सुरूप्ट से नहीं है,मतलब मेरे रेकॉर्ड्स में उनकी रिपोर्ट्स में नहीं है
9,Scam_1992_Ep_10_AVC_Intra_HD_8Trtack_Final_Master.mp4_00:21:34.47_00:21:35.41,काफ्या में नहीं होती है,कम इन
10,Scam_1992_Ep_07_AVC_Intra_HD_8Trtack_Final_Master.mp4_00:21:41.04_00:21:44.50,होल्डिंग्स क्लियर कर और खत्म कर,होल्डिंग्स क्लीयर कर और खत्म कर
11,Scam_1992_Ep_10_AVC_Intra_HD_8Trtack_Final_Master.mp4_00:44:33.42_00:44:37.11,तो कोर्ट में प्रूव करके बता कि ये सारे शेयर्स तेरे हैं और वापस ले जाएं,तो कोर्ट में प्रूफ करके बता कि सारे शेयर्स तेरे है और वापस ले जा
12,Scam_1992_Ep_09_AVC_Intra_HD_8Trtack_Final_Master.mp4_00:29:40.46_00:29:42.44,इस गुड़ फो कैल्शियम वी शूद है,इट्स गुड फॉर कैल्शियम यू शुड हैव
13,Scam_1992_Ep_10_AVC_Intra_HD_8Trtack_Final_Master.mp4_00:49:45.28_00:49:49.32,बिग भाई मैं तुझे हेल्थ ग्राउंड पर बेल दिलातो,देख भाई मैं तुझे हेल्थ ग्राउन्ड पे बेल दिलाता हूँ
14,Scam_1992_Ep_10_AVC_Intra_HD_8Trtack_Final_Master.mp4_00:17:03.20_00:17:04.38,वो डू आई गैट इन रिटर्न,व्हाट डू आई गेट इन रिटर्न
15,Scam_1992_Ep_10_AVC_Intra_HD_8Trtack_Final_Master.mp4_00:39:51.33_00:39:58.44,बेच दी वो शेयर्स कोर्ट ने अटैच किए थे भेज दिये मतलब,बेच दिए वो शेयर्स कोर्ट ने अटैच किए थे बेच दिए मतलब
16,Scam_1992_Ep_07_AVC_Intra_HD_8Trtack_Final_Master.mp4_00:07:06.01_00:07:08.35,हशद खुद कह रहे हैं उसने एसबीआ से पैसे लिए,हर्षद खुद कह रहा है कि उसने एसबीआई से पैसे लिए हैं 
17,Scam_1992_Ep_10_AVC_Intra_HD_8Trtack_Final_Master.mp4_00:53:17.53_00:53:22.58,और अब इन सब केसेस की वजह से उन्हें बोलने का एक और मौका मिली,पर अब इन सब केसेस की वजह से उन्हें बोलने का एक और मौका मिल गया है
18,Scam_1992_Ep_09_AVC_Intra_HD_8Trtack_Final_Master.mp4_00:08:27.01_00:08:30.11,आइम हंड्री पर्सेंट शीवर भूषण बर्ड हमारा अपूरवत बन सके,आई एम हंड्रेड परसेंट श्योर भूषण भट्ट हमारा अप्रूवल बन सकता है
19,Scam_1992_Ep_09_AVC_Intra_HD_8Trtack_Final_Master.mp4_00:22:44.01_00:22:49.46,दरवां से खोलो मैं हूँ रिमां के लिए होनो,दरवाजा खोलो मैं हूँ जी मैं अकेली हूँ
20,Scam_1992_Ep_07_AVC_Intra_HD_8Trtack_Final_Master.mp4_00:26:13.21_00:26:14.00,आँक्स,थैंक यू सर
21,Scam_1992_Ep_10_AVC_Intra_HD_8Trtack_Final_Master.mp4_00:56:57.50_00:57:04.36,इस ती हूल बिजनेस और तो सुप्राइज़ नहीं नवें कन्फेशन हैं वह आरबीआई,इट इज़ द होल बिज़नेस एण्ड टू द सरप्राइज इवन नाउ द कन्फेशन इज़ देअर फ्रॉम द आर बी आई
22,Scam_1992_Ep_09_AVC_Intra_HD_8Trtack_Final_Master.mp4_00:34:11.46_00:34:16.23,आपकी बैंक भी दूसरी वैकों की जैसे इरेग्युलरिटीज में इंवॉल्ड है,आपकी बैंक भी दूसरी बैंकों के जैसे इरेग्यलेरटी में इन्वॉल्व है
23,Scam_1992_Ep_10_AVC_Intra_HD_8Trtack_Final_Master.mp4_00:35:30.58_00:35:33.42,पर पता नहीं कितनी कंपनियों के किन्ने सारे शेयर्स हैं,और पता नहीं कितनी कंपनीस के कितने सारे शेयर्स है
24,Scam_1992_Ep_07_AVC_Intra_HD_8Trtack_Final_Master.mp4_00:40:26.31_00:40:36.46,नो नो सॉरी आय एम गोईंग,नो नो नो नो नो नो सॉरी आई एम गोइंग नो नो सॉरी सॉरी आई एम गोइंग
25,Scam_1992_Ep_07_AVC_Intra_HD_8Trtack_Final_Master.mp4_00:27:16.11_00:27:21.10,और ते सुस्पेक्ट कि तो रिमानी तीन हज़ार करोड़ गैफ प्रबब्री कौज बांक सिद्ध,एण्ड दे सस्पेक्ट देट द रिमेनिंग थ्री थाउजेंड करोड़ गैप इस प्रोबेबली कॉज़ बाय बैंक
