,id,hypothesis,reference
0,AVRODH_EPI-03_MALAYALAM_MIX_00:13:53.44_00:13:57.07,ഞാനൊരു ഫീൽ റിപോർട്ടറെ അനി പങേ ചൂചി,ഞാനൊരു ഫീൽഡ് റിപ്പോർട്ടർ ആണ് പങ്കജ് നിങ്ങളുടെ സ്റ്റുഡിയോയുടെ ഗ്ലാൻ പാവയല്ല
1,AVRODH_EPI-04_MALAYALAM_MIX_00:23:37.25_00:23:41.35,നാള് അനും പൂടെ ചീഫി ന മൻപിൽ ഒരേ സതിയാൾ ഉദോരിకൃകണം,നാളെ നമ്മുടെ ചീഫിൻ്റെ മുമ്പിൽ ഒരു പദ്ധതി അവതരിപ്പിക്കണം
2,AVRODH_EPI-02_MALAYALAM_MIX_00:13:08.48_00:13:09.48,ആ സുഖൈട്ടി,ആ സുഗായിട്ടിരിക്കുന്നു
3,AVRODH_EPI-02_MALAYALAM_MIX_00:22:25.01_00:22:31.00,ഹേസി ഓഫീസ് ജോലികെഴുഞർനിൽ വതൃപൊവാം ഭാ൰ൂടൈ മകളൻ ടയങൌട ശ൮യൺ ച൲പഴിகൾന സ ന൵� അ ക ഴ ഞ ങ ംചി,എസീ ഓഫീസ് ജോലിക്കഴിഞ്ഞാ വീട്ടിപോകാം ഭാര്യയുടെയും മക്കളുടെയും കൂടെ സമയം ചിലവഴിക്കാം സ്വസ്ഥമായി കിടന്ന് ഉറങ്ങുകയും ചെയ്യാം
4,AVRODH_EPI-02_MALAYALAM_MIX_00:11:42.48_00:11:43.00,നി നെമ്മളിലും അതേ ഒക കോടിൽ പൈന സൂകളീ വർക్ക,നീ ഇനി എപ്പോഴാ തിരിച്ചു വരുന്നേ
5,AVRODH_EPI-08_MALAYALAM_MIX_00:13:19.59_00:13:22.00,സത് ടൂ നെ ഹാഫു മിനിർസ,സാർ റ്റു ആന്റ് ഹാഫ് മിനിട്സ്
6,AVRODH_EPI-01_MALAYALAM_MIX_00:13:08.30_00:13:11.12,ഞാ പറയുന്ന നിൽ കൂ മനసെലോ അവൻടാർ,ഞാൻ പറയുന്നെ നിനക്കു മനസ്സിലാകുന്നുണ്ടോ
7,AVRODH_EPI-02_MALAYALAM_MIX_00:12:01.22_00:12:04.31,ഹതിന് നലലത ചെല പ ആരേ എങുകളീ ങിർ കൃടി അല,അത് നല്ലതാ ചിലപ്പോ ആരെയെങ്കിലും കിട്ടിയാലോ
8,AVRODH_EPI-04_MALAYALAM_MIX_00:23:03.79_00:23:10.21,ജനരല് സഭാശിനെയും ഇതിൽ എമർ കൂടീന വൈകളമി പദോതൃവളേ ഉൾത ര൵�യാൻ ഒൌള തিമ മাറൊക ടി,ജനറൽ സെബാസ്ററ്യൻ ഇത് നമുക്ക് മുന്നോട്ട് നീക്കണമെങ്കിൽ പദ്ധതി വളരെ വ്യക്തമായിട്ട് നമുക്ക് പി എമ്മിനോട് അവതരിപ്പിക്കേണ്ടതുണ്ട്
9,AVRODH_EPI-02_MALAYALAM_MIX_00:05:53.01_00:05:59.42,അതു മാതാവല്ല ചാ രെ സൊമീൻ വൈട അമ നി ശ റിപോർടരിൽ ഈസ ഹ൵�ം പറേണൾ,അത് മാത്രമല്ലാ സാർക്ക് സമ്മിറ്റിന് മുമ്പായിട്ട് അഡ്മിനിസ്ട്രേറ്ററി റിപ്പോർട്ട് തയ്യാറാവാൻ പോവാണ്
10,AVRODH_EPI-01_MALAYALAM_MIX_00:13:51.24_00:13:54.00,നിങ്ങളെ നീ ഞോടേ കു ഒരി ഖി൲ം വൈറണ,നിങ്ങളിനി ഇങ്ങോട്ടേക്ക് ഒരിക്കലും വരേണ്ട
