,id,hypothesis,reference
0,AVRODH_EP_04_BENGALI_20_PM_.STEREO_00:17:27.26_00:17:31.53,চার ঘণ্টা এক শো পাঁচ বিশ খা,চার ঘণ্টা।
1,AVRODH_EP_02_BENGALI_20_PM.STEREO_00:21:38.01_00:21:42.00,কিন্তু আ সব তিরে বাই খুবো শুনদর,কিন্তু সত্যিরে ভাই খুব সুন্দর
2,AVRODH_EP_06_BENGALI_20_PM.STEREO_00:07:47.27_00:07:54.20,এতদুরস্তের পড়ও যিদি ফায় হোঁটা এ লশী কস নিরুখত বার,এত দুর আসার পর ও যদি পা এ হেটে এলওসি ক্রস করতে না হয়. তাহলে আমার নাম পাল্টিয়ে দিয়ো.
3,AVRODH_EP_06_BENGALI_20_PM.STEREO_00:13:09.56_00:13:16.01,এখন জিও অবস্থায় ফখরউদীনের ধরো পড়শি আর,এখন যেই অবস্থা এ ফখরুদ্দিন ধরা পড়েছে আর ওর বিরুদ্ধে যেই চার্জ গুলো রয়েছে সেইসব তুমি খুব ভালো করেই জানো
4,AVRODH_EP_01_BENGALI_20_PM_STEREO_00:21:26.02_00:21:27.00,ওই লেখা মাত্র সনা,ওয়ালাইকুম এ সালাম
5,AVRODH_EP_07_BENGALI_20_PM.STEREO_00:21:35.40_00:21:37.29,এই মিশনের ব্যাপারি কী ছুঁ এ জন তা হয়,এই মিশনের ব্যপারে কিছুই জানতে না।
6,AVRODH_EP_09_BENGALI_20_PM.STEREO_00:33:45.01_00:33:51.17,তুমি হাত ওনা কিছু এনো মেস ন জ্যুবি,"তুমি হয়তো ওনাকে চেনো না, মিস নার্মাতা জসিম"
7,AVRODH_EP_03_BENGALI_20_PM.STEREO_00:16:17.50_00:16:25.27,নিয়ে নীলো বাকি আমার উপর্যা এন কব ইতা,"নিয়ে নিলেই বা কি আমাদের উপর ইনকয়ারি তো আর থেমে যাবেনা, সবাই সব সময় ঝোপ বুঝে কোপ মারতে চায় বুঝতে পারোনা ?"
8,AVRODH_EP_08_BENGALI_20_PM.STEREO_00:11:09.51_00:11:15.50,যদি উদ্ধিন তারফ থেক কোনও খবর লীকা হয় এখাওল আমর,"যদি ওদের কারো থেকে কোন খবর লিক হয় তাহলে আমরা সমস্যায় পড়বো, আমার কথা শুনছো কি শুনছো না"
9,AVRODH_EP_01_BENGALI_20_PM_STEREO_00:29:08.01_00:29:09.19,আমাদের তৈরি থা ক্ত হব এ,আমাদের তৈরী থাকতে হবে
10,AVRODH_EP_06_BENGALI_20_PM.STEREO_00:18:51.28_00:18:52.28,ইয়াক্টের সাবুকিনা বিৰোধী পূরক মৃত ও অনুৎসরীতা,ইয়েস স্যার
11,AVRODH_EP_04_BENGALI_20_PM_.STEREO_00:11:20.27_00:11:26.00,আর কী নাম বলবে আমার,ফ্রী হয়ে যাবে বুঝেছো আরে কি না বলবে যাই।
12,AVRODH_EP_05_BENGALI_20_PM_.STEREO_00:12:47.51_00:12:48.14,এই ধাক বনসে,স্যার
13,AVRODH_EP_07_BENGALI_20_PM.STEREO_00:06:14.30_00:06:15.49,অপনি প্লিজ আর এক বছরে কোন,আপনি প্লিজ আর একবার চেক করবেন।
14,AVRODH_EP_07_BENGALI_20_PM.STEREO_00:22:25.24_00:22:26.52,ভাল অফ আলো নার্দিকের বিবৃতি,বল ভারত মাতার
15,AVRODH_EP_05_BENGALI_20_PM_.STEREO_00:14:36.43_00:14:38.36,অমর কিন্তু উনি চেয় রাখার,আমার কিন্তু মনে হচ্ছে এরা
16,AVRODH_EP_05_BENGALI_20_PM_.STEREO_00:09:30.24_00:09:32.52,এই ডিসি জেন্ট এর পিৎম রূপোরইশ ছাড়তা হয়,এই ডিসিশনটা পিএম এর ওপরেই ছেড়ে দি।
17,AVRODH_EP_03_BENGALI_20_PM.STEREO_00:10:52.43_00:10:55.10,মাই রিপীট অল থ্রী এলি মে নার ড,আই রিপিট অল থ্রী এলিমেনেটেড ।
18,AVRODH_EP_02_BENGALI_20_PM.STEREO_00:11:11.27_00:11:13.36,গুরুত্বের বিষয় নিরাপনী সমূহৰ পৃথি অধোলক ডা,গুড ডে
19,AVRODH_EP_07_BENGALI_20_PM.STEREO_00:13:12.10_00:13:20.36,ও কি হেজবুল এর বিষয়ন আটক স্য,হুম ও কি হিজবুলের কোন মিশন আটকেছে?
20,AVRODH_EP_04_BENGALI_20_PM_.STEREO_00:23:56.21_00:23:59.15,জেস সুযোক্তর অপৰিকাক ছি লা এমসিরটা,যে সুযোগ তার অপেক্ষা করছিলাম সেটা এসে গেছে সাকসেনা
21,AVRODH_EP_04_BENGALI_20_PM_.STEREO_00:12:04.26_00:12:07.25,সুখ ধর্মা দি,শুকদার মার্কেট ।
22,AVRODH_EP_08_BENGALI_20_PM.STEREO_00:03:09.50_00:03:12.31,উ দে শ্য আলাদা হ য় নি,উদ্দশ্যে আলাদা হয় নি
23,AVRODH_EP_01_BENGALI_20_PM_STEREO_00:15:10.12_00:15:11.39,রাস্তা বনধ সদ,রাস্তা বন্ধ স্যার
24,AVRODH_EP_05_BENGALI_20_PM_.STEREO_00:12:52.28_00:12:52.51,এই প্রধান অতিথি বিবেচার সময় কা মো,ইয়েস স্যার
25,AVRODH_EP_03_BENGALI_20_PM.STEREO_00:15:10.19_00:15:18.13,কাশ্মীরে আমার অন গোয়া এম জনকূ দরিক যদি তথাమত চৌখ পৰ নুয বন,কাশ্মীরে আমার অন গ্রাউন্ড এমন একজন লোকের দরকার যার কথা আমি চোখ কান বন্ধ করে এক কথায় বিশ্বাস করতে পারবো ।
26,AVRODH_EP_06_BENGALI_20_PM.STEREO_00:21:47.18_00:21:49.20,ঐ পাহা ড টার দেখত্য আছি নিন,ওই পাহাড় টা দেখতে পারছেন?
27,AVRODH_EP_01_BENGALI_20_PM_STEREO_00:29:14.38_00:29:17.00,ওরি ছাড়ার আগে একটা,উড়ি ছাড়ার আগে তো একটা শেষ ধামাকা হওয়া উচিত
28,AVRODH_EP_07_BENGALI_20_PM.STEREO_00:18:14.50_00:18:19.52,একজন বিল লাদেনক মারলোই পুর আল,একজন বিন লাদেন কে মারলে পুরো আল্ কায়দা শেষ হয়ে যায় না।
29,AVRODH_EP_07_BENGALI_20_PM.STEREO_00:20:42.05_00:20:42.42,গ্রামের বিদোলনা সাবুই করৰ পৃথি অনুর,গুড
30,AVRODH_EP_09_BENGALI_20_PM.STEREO_00:31:39.01_00:31:47.00,আর এটাই ছিলো সেইরদি য৆দুন ভারৎ বৰ্ষ পলট১� ৱা আইএ অূট ওপুরിষীকৃতিবহু জি,আর এটাই ছিলো সেই দিন যেদিন ভারতবর্ষ পাল্টে যায়। এটা পরিস্কার বুঝিয়ে দেওয়া হয় আমরা শুধুমাত্র মহত্মা গান্ধির দেশ নই
31,AVRODH_EP_02_BENGALI_20_PM.STEREO_00:11:55.13_00:12:00.05,ফাইন ভাবচে নিচা কি আউট হয় যা,"ফাইন, ভাবছি নিচে গিয়ে আউট হয়ে যাই"
32,AVRODH_EP_04_BENGALI_20_PM_.STEREO_00:18:33.31_00:18:42.48,জেনা বলাতো নীজ মার্য়ূ আপন হয রা,জনাব ওরা তো নিজের মায়ের আপন হয় না হিজবুলকে ভরসা করা আর সাপের গালে চুমু খাওয়া দুই ই সমান।
33,AVRODH_EP_04_BENGALI_20_PM_.STEREO_00:15:48.20_00:15:54.00,রয়ের রোপক্যাশন এই মৃটিক শীট গুলির,রায় রিপোর্ট এই ম্যাট্রিক্স গুলোর সাথে পাঠানকোটের শীতের অনেক মিল আছে৷ আই থিঙ্ক।
34,AVRODH_EP_07_BENGALI_20_PM.STEREO_00:05:13.40_00:05:17.39,কিন্তু এর জেনা তমারো পরফাশন আর,কিন্তু এর জন্য তুমার প্রফেসন এর প্রতি তুমার যে পেশন আছে সেটা ছেড়ো না
35,AVRODH_EP_01_BENGALI_20_PM_STEREO_00:14:35.01_00:14:38.37,পাবা কে হাই ব ল ও,বাবাকে হাই বলো
36,AVRODH_EP_05_BENGALI_20_PM_.STEREO_00:01:36.07_00:01:41.20,আগামী ছত্রিশ ঘণোর মধে আৰা ডিৎজি এম কূড় ফুলফল৅জ পাৱয়৾ন হত বছর,আগামী ছত্তিরীশ ঘন্টার মধ্যে আমাদের ডিজিএ এর মুখে একটা ফুল ফ্লেজ এর প্ল্যান দিতে হবে।
37,AVRODH_EP_03_BENGALI_20_PM.STEREO_00:15:44.50_00:15:50.42,আমি জানিয়ে আরপনী রোং ন চড়ির স্বরాসাৰীচ পবলকৃতূতা,আমি জানি আপনি রং না চড়িয়ে সরাসরি সত্যিটাকে পাবলিকের সামনে নিয়ে আসবেন ।
