,id,hypothesis,reference
0,13596039738448687712,ગવર્નર જન્રલની ઑફિસથી બહારેક બમ્બ ફૂટ્યો હતો,ગવર્નર જનરલની ઓફિસની બહાર એક બૉમ્બ ફૂટ્યો હતો
1,4075403957370018337,ગવર્નર જન્ડરની ઓફિસની બહારેક બોમ્બ ફૂટ્યો હતો,ગવર્નર જનરલની ઓફિસની બહાર એક બૉમ્બ ફૂટ્યો હતો
2,7145229074314954593,પણ હજે સુધી ડાયનાસોર જેવા દેખાતા પક્ષીઓ વિશે ઘણી વાતો છે,પણ હજી સુધી ડાયનોસોર જેવાં દેખાતાં પક્ષીઓ વિશે ઘણી વાતો છે
3,8158319385241177968,એરોસ્મિથે તેમની ટૂરની બાકીની કન્સર્ટો રદ કરી છે,એરોસ્મિથે તેમની ટૂરની બાકીની કૉન્સર્ટો રદ કરી છે
4,11027506048524617752,મારિયાની નીચે પાતળું અને ઊંચાઈની નીચે જાડું હોય,તે મારિયાની નીચે પાતળું અને ઊંચાઈની નીચે જાડું હોય
5,5354643374107686490,આજ પ્રમાણે પુર્ષોએ ઘૂંટણને ઢાંકતાં પેન્ટ પહેરવા પડે છે,આ જ પ્રમાણે પુરુષોએ ઘૂંટણને ઢાંકતા પેન્ટ પહેરવા પડે છે
6,9422972083295122591,ગવર્નર જનરલની ઑફિસની બહાર એક બોમ્બ ફૂટ્યો હતો,ગવર્નર જનરલની ઓફિસની બહાર એક બૉમ્બ ફૂટ્યો હતો
7,18160907234244526043,દ્વીપસમૂહો અને સરોવરોમાં તમારે યોટનો જરૂર નથી,દ્વીપસમૂહો અને સરોવરોમાં તમારે યોટની જરૂર નથી
8,12002968908482773417,તે અફવાહોને રાજગીય ગપસપ અને મૃખતા કહેતા હતા,તે અફવાહોને રાજકીય ગપસપ અને મૂર્ખતા કહેતા હતા
9,656660622655769458,આમ પેન્સિલ બહાર આવી ત્યારે ઘણા લોકો માટે એક સારો મિત્ર હતો,આમ પેન્સિલ બહાર આવી ત્યારે ઘણા લોકો માટે એક સારો મિત્ર હતો
10,15896952844480990109,એરોસમેથે તેમને ટોરની બાકેની કોન્સર્ટો રદ કરી છે,એરોસ્મિથે તેમની ટૂરની બાકીની કૉન્સર્ટો રદ કરી છે
11,7084393807550077919,સાથી કુસ્તી બાજોએ પણ લુનાને સ્રદ્ધાંજલી આપી હતી,સાથી કુસ્તીબાજોએ પણ લુનાને શ્રદ્ધાંજલિ આપી હતી
12,1236739729323057321,તે અફાહોને રાજકીય ગપસપ અને મુર્ખતા કહેતા હતા,તે અફવાહોને રાજકીય ગપસપ અને મૂર્ખતા કહેતા હતા
13,7357495970615742113,કેટલા ક્રિયાપદો અને વસ્તુઓ વચ્ચે ભીંધ પાડવાનો આ એક મહત્વનો માર્ગ છે,કેટલાંક ક્રિયાપદો અને વસ્તુઓ વચ્ચે ભેદ પાડવાનો આ એક મહત્ત્વનો માર્ગ છે
14,16109195280597099330,સ્પ્રિંગબુક્સ માટે તેનો અંત 5 મેચ ગુમાવવાના શિલશીલા સાથે થયો હતો,સ્પ્રિંગબોક્સ માટે તેનો અંત પાંચ મેચ ગુમાવવાના સિલસિલા સાથે થયો હતો
15,2366364704642809487,રાસાયાણિકમાં હાયડ્રોજનની શક્તિના આધારે કોબીનો રસ રંગ બદલાઈ,રાસાયણિકમાં હાઇડ્રોજનની શક્તિના આધારે કોબીનો રસ રંગ બદલાય
16,8988998349065469251,પણ હજુ સુધી ડાયનોસર જેવા દેખાતા પક્ષીઓ વિશે ઘણી વાતો છે,પણ હજી સુધી ડાયનોસોર જેવાં દેખાતાં પક્ષીઓ વિશે ઘણી વાતો છે
17,4998350394104528491,દ્વિપસમૂહો અને સરોવરોમાં તમારે યોટની જરૂર નથી,દ્વીપસમૂહો અને સરોવરોમાં તમારે યોટની જરૂર નથી
18,3018042168191648455,મધ્યપૂર્વના ગરમ વાતાવરણમાં ઘરનું ખાસ મહત્વન નહોતું,મધ્ય પૂર્વના ગરમ વાતાવરણમાં ઘરનું ખાસ મહત્વ નહોતુ
19,16175124133493710350,સ્કીઇંગ માર્ગને પગપાળા માર્ગને સમાન ગણીને વિચાર કરો,સ્કીઇંગ માર્ગને પગપાળા માર્ગને સમાન ગણીને વિચાર કરો
20,16226318221034218273,મધ્યપૂર્વના ગરમ વાતાવરણમાં ઘરનો ખાસ મહત્વન નહોતો,મધ્ય પૂર્વના ગરમ વાતાવરણમાં ઘરનું ખાસ મહત્વ નહોતુ
21,12847382243427140147,કેટલા ક્રિયાપદો અને વસ્તુઓ વચ્ચે ભેદ પાડવાનો આ એક મહત્વનો માર્ગ છે,કેટલાંક ક્રિયાપદો અને વસ્તુઓ વચ્ચે ભેદ પાડવાનો આ એક મહત્ત્વનો માર્ગ છે
22,6529694399055806566,આ શોધ પક્ષીઓના પીંછાની ઉત્ક્રાંતિની ગુડ સમજણ પણ આપે છે,આ શોધ પક્ષીઓના પીછાની ઉત્ક્રાંતિ ની ગૂઢ સમજણ પણ આપે છે
23,7730773583970728489,સાથે ખુસતી બાજોએ પણ લુનાને શ્રદ્ધાન જલી આપી હતી,સાથી કુસ્તીબાજોએ પણ લુનાને શ્રદ્ધાંજલિ આપી હતી
24,13613081678413023743,તેથી શક્ય છે કે નોટેશનનો માત્ર લેબલ તરીકે ઉમેરો કરવામાં આવ્યો હોય,તેથી શક્ય છે કે નોટેશનનો માત્ર લેબલ તરીકે ઉમેરો કરવામાં આવ્યો હોય
25,13956147212024726509,દ્વિપસમૂહો અને સરોવરોમાં તમારે યોટની જરૂર નથી,દ્વીપસમૂહો અને સરોવરોમાં તમારે યોટની જરૂર નથી
26,173999395387700966,આમ પેન્સિલ બહાર આવી ત્યારે ઘણા લોકો માટે એક સારો મિત્ર હતો,આમ પેન્સિલ બહાર આવી ત્યારે ઘણા લોકો માટે એક સારો મિત્ર હતો
27,3498062311011965858,મધ્યપૂર્વના ગરમ વાતાવરણમાં ઘરનું ખાસ મહત્વન્ન હતું,મધ્ય પૂર્વના ગરમ વાતાવરણમાં ઘરનું ખાસ મહત્વ નહોતુ
28,5095299676702372860,એરસમિથએ તેમની ટૂરની બાકેની કૉન્સર્ટો રદ કરી છે,એરોસ્મિથે તેમની ટૂરની બાકીની કૉન્સર્ટો રદ કરી છે
29,12929314021568651362,તેને અંતમાં કેમ્બ્રિજમાં આવેલા એડન ડ્રૂકની હોસ્પિટલમાં સ્થળાંતરિત કરવામાં આવ્યો હતો,તેને અંતમાં કેમ્બ્રિજમાં આવેલ એડનબ્રૂકની હોસ્પિટલમાં સ્થળાંતરિત કરવામાં આવ્યો હતો
30,2487782254796260351,તે માર્યાની નીચે પાતડું અને ઊંચાઈની નીચે જાડું હોય,તે મારિયાની નીચે પાતળું અને ઊંચાઈની નીચે જાડું હોય
31,4103346038199114575,પેરિસવાસીઓની સ્વકેન્દ્રી અસભ્ય અને ઉદ્ધત હોવા તરીકે જાણીતા છે,પેરિસવાસીઓની સ્વકેન્દ્રી અસભ્ય અને ઉદ્ધત હોવા તરીકે જાણીતા છે
