,id,hypothesis,reference
0,MAHARANI_TELUGU_EPI_05_MIX_00:01:35.11_00:01:39.10,ఆయితే అందరూ కలసీ హరి ఓం,అయితే అందరూ కలిసి హరి ఓం
1,MAHARANI_TELUGU_EPI_05_MIX_00:01:47.01_00:01:50.30,ఆర్యు మరణం ఉం,హరి ఓం
2,MAHARANI_TELUGU_EPI_03_MIX_00:35:08.46_00:35:22.10,కాని అలా టివే న్న దగురేవ ఉ సు తాజిజీయంలో వరం ఒక మూడొసర పై బెగ ఫీ ళ్ ఆ ఎక్జ గా,కానీ అలాంటివె నా దగ్గర ఉన్నాయి రెండు వందల ఇరవై బిగఫిల్ నా దగ్గర ఉంది పోలీస్ జాబ్ ని రీసైన్ డిజైన్ చేసేసి వెళ్లి వ్యవసాయం చేసుకుంటాను
3,MAHARANI_TELUGU_EPI_03_MIX_00:09:55.31_00:10:00.10,ఇలా చూడంటి కావేరిగరు నే మనం యుట్లోన ఉ ట అనజుజ ఎక్ ఒక తీ ర వం,ఇలా చూడండి కావేరి గారు నేను మా ఇంట్లోనే ఉంటాను ఎక్కడికి రాను అర్థమైందా
4,MAHARANI_TELUGU_EPI_04_MIX_00:14:30.01_00:14:32.20,ఇదరని న్యూస్ ఉండారు అంజిన,ఏదైనా న్యూస్ ఉందా రంజన
5,MAHARANI_TELUGU_EPI_03_MIX_00:08:29.41_00:08:33.30,ఇపుడు ఈ బీహార్ కి మీ ఒక భూ వినూత్సరణ నడగా చోటు,ఇప్పుడు ఈ బీహార్ కి మీరు బీబీ బీహార్ అని పేరు పెట్టొచ్చు
6,MAHARANI_TELUGU_EPI_01_MIX_00:02:10.26_00:02:13.15,నీ యజమాని సా రెయ్యడా,నీ యాజమని సార్ అయ్యడా
7,MAHARANI_TELUGU_EPI_05_MIX_00:09:11.51_00:09:14.30,ఇక్కడ చూడు ఏమి టిది,ఇక్కడ చూడు ఏమిటిది
8,MAHARANI_TELUGU_EPI_01_MIX_00:25:53.16_00:25:55.40,నా ను తెలివి లో ఆటాడే రకం,నేను తెలివితో ఆటలాడే రకం
9,MAHARANI_TELUGU_EPI_08_MIX_00:08:26.46_00:08:34.25,మీరు నాపై కా ల్ఫున్ జరి పించర అనజే తన బయటకూ వెళ టీ చేప సూఎసమనംడిజ ఇరజഭవన್ గత యుజజিతో ఒక భైట డొలి,మీరే నా పై కాల్పులు జరిపించారని నేను బయటికి వెళ్లి చెప్పాను అనుకోండి ఈ రాజ్ భవన్ నుంచి మీరు బయటికి రావడానికి ఆర్మీ సహాయం కావాలి
10,MAHARANI_TELUGU_EPI_01_MIX_00:25:39.26_00:25:44.00,అరే ఈ నా కొడుకి ఒక పెద్ద జోల్ వీడికी చాపట్౲ు తో ఉంచె ఓమం టవా,అరె ఈ నా కొడుకు ఒక పెద్ద జోకర్ వీడికి పోయి చప్పట్లు కొట్టుక్ కూర్చోమంటావా
11,MAHARANI_TELUGU_EPI_08_MIX_00:18:07.31_00:18:15.20,మేరా రే కళ్లదలు ఎసుకొని వెంటనీ మితృణ్ చక ీవ తమ యాన బుజ్జ అవర సిజం పె డా,ఏరా అరేయ్ కళ్ళద్దాలు ఏసుకున్నావ్ ఏంటి వితిన్ చక్రవర్తి వా నువ్వు ఎవ్వరం తెలియట్లేదు కదా అబద్ధాలు చెప్తున్నావు కదా
12,MAHARANI_TELUGU_EPI_03_MIX_00:21:00.31_00:21:03.00,మేను విశ్వ సంగాని ఉన న,నేను విశ్వాసం గానే ఉన్నాను
13,MAHARANI_TELUGU_EPI_05_MIX_00:11:35.11_00:11:36.10,నేం చూసుకొంటాలు,నేను చూసుకుంటాలే
14,MAHARANI_TELUGU_EPI_04_MIX_00:21:34.06_00:21:44.30,ఒక జంతువు ఇం కొన్నా విశాలి చెప్౪ు్ తన టే అదేమీ ఆకలీత ఉ డాజె సమరణంేే,ఒక జంతువు ఇంకొ జంతువుని చంపుతుంది అంటే అది ఆకలితో ఉంటేనే చంపుతుంది మీరు ఏ కారణం లేకుండా ఎంతమంది అమాయకులను చంపుతున్నారు
15,MAHARANI_TELUGU_EPI_04_MIX_00:17:37.51_00:17:40.40,నా లే సర్ ఓ పెద్ద అమాసులను ఇరిగి ఉంటన కూడా,లేదు సార్ ఓ పెద్ద సమస్యలో ఇరుక్కున్నాను 
16,MAHARANI_TELUGU_EPI_04_MIX_00:02:29.41_00:02:32.45,అరే వాళ్లేకదరా పధి మందు లనికొణెతి,అరే వాళ్లే కదరా పది మంది పిల్లల్ని కనేది
17,MAHARANI_TELUGU_EPI_01_MIX_00:16:32.56_00:16:37.45,కానీ మనముఖ్యంరి భీం సింజ్ అలా చేయ లే దు ఆ తన ఇదర క డిూఫెరైట్జాై ఉ ట న,కానీ మన ముఖ్యమంత్రి భీమ్ సింగ్ అలా చేయడం లేదు ఆయన అందరికన్నా డిఫరెంట్ గానే ఉంటునారు
18,MAHARANI_TELUGU_EPI_01_MIX_00:35:29.46_00:35:31.30,మధ్యలో నా గురించేం దకు మోటాడరు,మధ్యలో నా గురించి ఎందుకు మాట్లాడారు
19,MAHARANI_TELUGU_EPI_05_MIX_00:17:03.41_00:17:09.25,ఆలమ్ గారు నేని ఇప్పడే అన డిస్జ్౰ీల ఈఎంలుకీ చెబతా వు,ఆలం గారు నేను ఇప్పుడే అన్ని డిస్టిక్ల డిఎం లకి చెప్తాను
20,MAHARANI_TELUGU_EPI_04_MIX_00:25:32.01_00:25:43.15,ఒకవేళ అవి ఆళ్లే కొనసాగింటెనీ మరణం చూడగుతో పె లసు వ స త దిజన ఉప ధ్జీపా రూ,ఒకవేళ అవి అలాగే కొనసాగాయి అంటే కొన్ని నిబంధనలు పెట్టాల్సి వస్తుంది నిబంధనలో పెట్టే అధికారం ఇప్పుడు ఎంతమంది ముఖ్యమైన వ్యక్తుల చేతుల్లోనే ఉంటుంది
21,MAHARANI_TELUGU_EPI_05_MIX_00:18:51.01_00:19:02.40,విజయ నేని తో చెప్పాలా అనുకుంటు ఆన మాజ్ కాూడే ఒక లోచి,బిజయ నేనే నితో చెప్పాలా అనుకున్నాను కానీ కానీ మన కొడుకు ఎక్కడున్నాడు
22,MAHARANI_TELUGU_EPI_01_MIX_00:08:19.46_00:08:21.30,భర్తీ లాడి బడులు చేసింది,వర్ధిల్లాలి వర్ధిల్లాలి
23,MAHARANI_TELUGU_EPI_08_MIX_00:28:11.01_00:28:14.45,నేని కలవ్ఞు మకుదరిందో చెబు,నేను కలవను కుదరదని చెప్పు
24,MAHARANI_TELUGU_EPI_03_MIX_00:00:58.46_00:01:03.45,ప్రభుత్ వానీ నడిపి చేసే మా తం బీమెన రోణిజభర సంప ప,ప్రభుత్వాన్ని నడిపించేది మాత్రం భీమానే రాణి భారతి పాపం
25,MAHARANI_TELUGU_EPI_01_MIX_00:08:43.26_00:08:50.20,ఈ గ్రామంలో ఈగా నిరోత పాజలను ఇకుడి బడీ ఫం ట్ ల అనజీటిజ చూడ దాైన తోు్,ఈ గ్రామం ఈ గ్రామ ప్రజలు ఇక్కడ పాడిపంటలు అన్నిటిని చూడడానికి సంతోషంగానే ఉంటుంది కదా
26,MAHARANI_TELUGU_EPI_01_MIX_00:17:56.26_00:17:58.10,డ్రెస్ మొ తం పాటు చేశా ను,డ్రెస్ మొత్తం పాడు చేశాడు
27,MAHARANI_TELUGU_EPI_04_MIX_00:36:44.51_00:36:45.55,తప్పకుంటే సినీ,ఆ తప్పకుండా సార్
