,id,hypothesis,reference
0,AVRODH_EP_01_KANNADA_20_PM.STEREO_00:29:53.41_00:29:55.58,ತಾವು ವಿಲ್ಲಿ ಗ್ರ್ಯ ಸೊನ್ನೆ ಸ್ಕಟ್ ಗುಂ ಕೇಳ್ಸಾ ಮರೆತೀತ ಮೊ,ತಾವು ಇಲ್ಲಿ ಗ್ರಾಸ್ ಕಟಿಂಗ್ ಕೆಲ್ಸ ಮಾಡ್ತಿದೀರಿ ಅಲ್ವಾ
1,AVRODH_EP_09_KANNADA_20_PM.STEREO_00:33:57.01_00:34:00.40,ಮಾ ಪ್ರೇಜರ್ ಆಯ್ ಹೋಪ್ ಐಲ್ ಗೆಟ್ ಅ ಸೈನ್ ಕಾಪಿ ಟೂ,ಮೈ ಪ್ಲಷರ್ ಐ ಹೋಪ್ ಐ ವಿಲ್ ಗೆಟ್ ಆ ಸೈನ್ಡ್ ಕಾಪಿ ಟೂ
2,AVRODH_EP_04_KANNADA_20_PM.STEREO_00:08:16.34_00:08:22.25,ಯೋಚಿ ಸಿಲ್ಲ ನಮ್ಮೆ ಬ್ರಾ ಮುಖಾಮಕೀ ಆಗು ತೆಹಂತಾ,ಯೋಚಿಸಿಲ್ಲ ನಮ್ಮಿಬ್ಬರ ಮುಖಾಮುಖಿಯಾಗುತ್ತೆ ಅಂತ
3,AVRODH_EP_03_KANNADA_20_PM.STEREO_00:17:42.59_00:17:43.35,ಮತ್ತು ನೀಡಿದ್ದಾರೆ ಅನುವಲ್ಲಿ ಹೊಂದೆನ್ನಾ ಕೊ ಸ್ಥಳವೇ ಮೊ,ಸರ್
4,AVRODH_EP_01_KANNADA_20_PM.STEREO_00:12:37.21_00:12:39.40,ನಿನ್ ಬಳಿ ಪ್ರತೀ ಪಾರ್ಬ್ಲೆಮ್ ಗೂ ಒಂದೇ ಸೊಲ್ಯೂಷ,ನಿನ್ ಬಳಿ ಪ್ರತಿ ಪ್ರಾಬ್ಲೆಮ್ಗೂ ಒಂದೇ ಸೊಲ್ಯೂಷನ್ ಇದೆ
5,AVRODH_EP_04_KANNADA_20_PM.STEREO_00:05:10.35_00:05:12.00,ಅಂದ್ರೆ,ಅಂದ್ರೆ
6,AVRODH_EP_02_KANNADA_20_PM.STEREO_00:22:14.36_00:22:18.20,ಯಾರೀ ಗೊತ್ತಿತು ಇದನ್ನೇ ಎರದೂ ನನಗೆ ಕೇಳ್ಬೆಕು,ಯಾರಿಗೆ ಗೋತಿತ್ತು ಇದನ್ ಯಾರಾದರೂ ನಂಗೆ ಕೇಳಬೇಕು
7,AVRODH_EP_09_KANNADA_20_PM.STEREO_00:03:15.51_00:03:18.50,ಮಿಸ್ಟರ್ ಬಾಬ್ ಟೇರಿ,ಮಿಸ್ಟರ್ ಬಾಬ್ ಡೇರಿ
8,AVRODH_EP_09_KANNADA_20_PM.STEREO_00:13:47.06_00:13:49.00,ಇದು ತ್ರೀ ಡೌ,ವಿ ಟು ಥ್ರೀ ಡೌನ್
9,AVRODH_EP_01_KANNADA_20_PM.STEREO_00:30:03.21_00:30:07.50,ಮತ್ತೆ ಕೇಳಿ ಅಗತ्ಯಭಿದ್ರೇ ನಾಳೆನೀವು ಎರಡ್ಮೂರ್ ಜನರ ನ್ನ ಹೆುಚ್ಚು ಈಡಿ,ಮತ್ತೆ ಕೇಳಿ ಅಗತ್ಯಬಿದ್ದರೆ ನಾಳೆ ನೀವು ಎರಡು ಮೂರು ಜನ್ರನ್ನ ಹೆಚ್ಚು ಮಾಡಿ
