,id,hypothesis,reference
0,AVRODH_EP_04_BENGALI_20_PM_.STEREO_00:17:27.26_00:17:31.53, 4 গহন্টা,চার ঘণ্টা।
1,AVRODH_EP_02_BENGALI_20_PM.STEREO_00:21:38.01_00:21:42.00,কিন্তু সত্তিলে ভাই খুব সুন্দর,কিন্তু সত্যিরে ভাই খুব সুন্দর
2,AVRODH_EP_06_BENGALI_20_PM.STEREO_00:07:47.27_00:07:54.20," A তো দুরাসার পাড় যদি পায় হেটে এলোসি ক্রস করতে না হয়, তাহলে আমান নাম পাল্টে দিয়।",এত দুর আসার পর ও যদি পা এ হেটে এলওসি ক্রস করতে না হয়. তাহলে আমার নাম পাল্টিয়ে দিয়ো.
3,AVRODH_EP_06_BENGALI_20_PM.STEREO_00:13:09.56_00:13:16.01,এখন জিয় আবস্থে ফাক্রুদিন দোহরা পরেশে আর অর বিরুধ্যে যে চার্জ গুলো রয়ছে সেসাপ তমি খুব ভালো করেই জানো।,এখন যেই অবস্থা এ ফখরুদ্দিন ধরা পড়েছে আর ওর বিরুদ্ধে যেই চার্জ গুলো রয়েছে সেইসব তুমি খুব ভালো করেই জানো
4,AVRODH_EP_01_BENGALI_20_PM_STEREO_00:21:26.02_00:21:27.00, Walaikum As-Salaam,ওয়ালাইকুম এ সালাম
5,AVRODH_EP_07_BENGALI_20_PM.STEREO_00:21:35.40_00:21:37.29,এই মিশেনের ব্যাপারে কিছুই যান্তে যানতে যানতে যানতে,এই মিশনের ব্যপারে কিছুই জানতে না।
6,AVRODH_EP_09_BENGALI_20_PM.STEREO_00:33:45.01_00:33:51.17,নিস্ নম্লতা জোশি ?,"তুমি হয়তো ওনাকে চেনো না, মিস নার্মাতা জসিম"
7,AVRODH_EP_03_BENGALI_20_PM.STEREO_00:16:17.50_00:16:25.27,নিয় নিলে ও বাকি আমাদের পর এনক্যারি ত্রা থেমে জাবে না সবাই সবসমাই জব্বুজে কবমার থি জাই বুঝতে পারো না,"নিয়ে নিলেই বা কি আমাদের উপর ইনকয়ারি তো আর থেমে যাবেনা, সবাই সব সময় ঝোপ বুঝে কোপ মারতে চায় বুঝতে পারোনা ?"
8,AVRODH_EP_08_BENGALI_20_PM.STEREO_00:11:09.51_00:11:15.50,আমার কাতা সুন্ছ কি সুন্ছ আমার কাতা সুন্ছ কি সুন্ছ আমার কাতা সুন্ছ আমার কাতা সুন্ছ আমার কাতা সুন্ছ আমার কাতা সুন্ছ আমার কাতা সুন্ছ আমার কাতা সুন্ছ আমার কাতা সুন্ছ আমার কাতা সুন্ছ আমার কাতা সুন্ছ আমার কাতা সুন্ছ আমার কাতা সুন্ছ আমার কাতা স,"যদি ওদের কারো থেকে কোন খবর লিক হয় তাহলে আমরা সমস্যায় পড়বো, আমার কথা শুনছো কি শুনছো না"
9,AVRODH_EP_01_BENGALI_20_PM_STEREO_00:29:08.01_00:29:09.19,আমাদে তোইডি থাক্তে আবে,আমাদের তৈরী থাকতে হবে
