,id,hypothesis,reference
0,844424930594275-352-m,ఈ నేపథ్యంలో ఈ చిత్ర నిర్మాత సురేష్ బాబు క్లారిటీ ఇచ్చారు,ఈ నేపథ్యంలో ఈ చిత్ర నిర్మాత సురేష్ బాబు క్లారిటీ ఇచ్చారు
1,844424933323965-406-m,వెలివెల పశ్చిమ గోదావరి జిల్లా పాలకొల్లు మండలం లోని గ్రామం,వెలివెల పశ్చిమ గోదావరి జిల్లా పాలకొల్లు మండలం లోని గ్రామం
2,844424932737152-944-f,బరువు నష్టం కోసం గులాబీ పండ్లు సిరప్ యొక్క ప్రభావం,బరువు నష్టం కోసం గులాబీ పండ్లు సిరప్ యొక్క ప్రభావం
3,844424933327840-772-m,భగత్ సింగ్ దత్తులను బ్రిటిష్ వారు అరెస్ట్ చేసారు,భగత్ సింగ్ దత్ లను బ్రిటిష్ వారు అరెస్టు చేశారు
4,844424933323929-406-m,ఈ భాషలన్నీ ఒకే మూలం నుండి వచ్చాయని జోన్స్ తేల్చాడు,ఈ భాషలన్నీ ఒకే మూలం నుండి వచ్చాయని జోన్స్ తేల్చాడు
5,844424930594269-352-m,రఫేల్ యుద్ధ విమానాలు ఎయిర్ ఫోర్స్ కు మరింత బలం ఇచ్చిందన్నారు,రఫెల్ యుద్ధ విమానాలు ఎయిర్ పోర్స్ కి మరింత బలం ఇచ్చిందన్నారు
6,844424933323972-406-m,ఓ పనిమీద పల్లెటూరికి వచ్చి జయలక్ష్మి మాధవితో ప్రేమలో పడతాడు,ఓ పనిమీద పల్లెటూరికి వచ్చి జయలక్ష్మి మాధవి తో ప్రేమలో పడతాడు
7,844424931358586-879-f,అప్పుడు వారు వెనక్కి వెళ్ళి వారి తండ్రి నగ్న శరీరం కవర్,అప్పుడు వారు వెనక్కి వెళ్లి వారి తండ్రి నగ్న శరీరం కవర్
8,844424933323894-406-m,స్నానానికి చల్లటి నీరు కంటే గోరు వేచ్చేటి నీటిని ఉపయోగించడం మంచిది,స్నానానికి చల్లటి నీరు కంటే గోరువెచ్చటి నీటిని ఉపయోగించడం మంచిది
9,844424930594281-352-m,కాశ్మీర్ లోయల్ లో ఈ చిత్రం షూటింగ్ భారీగా షెడ్యూల్ ప్లాన్ చేసారు,కాశ్మీర్ లోయల్లో ఈ చిత్రం షూటింగ్ భారీగా షెడ్యూల్ ప్లాన్ చేశారు
10,844424933276855-192-m,దీనిని తేలికొండి చెట్టు లేదా తేలికొండి మక్కని కూడా అంటారు,దీనిని తేలుకొండి చెట్టు లేదా తేలుకొండి మొక్క అని కూడా అంటారు
11,844424933323926-406-m,సూర్యోదయం సమయంలో స్వామివారి పాదాల నుండి మోకాల వరకు తాకినవి,సూర్యోదయం సమయంలో స్వామివారి పాదాల నుండి మోకాళ్ళ వరకూ తాకినవి
12,844424933324932-810-m,రేడియో కోసం దాదాపు డజన్ పైగా కథలు రాసి చదివారు,రేడియో కోసం దాదాపు డజనుకు పైగా కథలు రాసి చదివారు
13,844424933277310-192-m,పెరిగిన తర్వాత దాన్ని తీసి రాళ్ళు పొదిగిన పొడుగుల పెట్టేవారు,పెరిగిన తర్వాత దాన్ని తీసి రాళ్ళు పొదిగిన పుడకలు పెట్టేవారు
14,844424933323971-406-m,అలా కేరళలో జరిగిన ఓ సంఘటన ఆధారంగా గెలుపు సినిమా తీశాడు,అలా కేరళలో జరిగిన ఓ సంఘటన ఆధారంగా గెలుపు సినిమా తీసాడు
15,844424933323957-406-m,సెయింట్ ఫౌల్ నగరం వంపులు తిరిగిన ఇరుకైన వీధులతో ఉంటుంది,సెయింట్ పౌల్ నగరం వంపులు తిరిగిన ఇరుకైన వీధులతో ఉంటుంది
16,844424933276888-192-m,ఈ ఆలయం ఉన్న వీధిని గుండు వారి వీధి అని పిలుస్తారు,ఈ ఆలయం ఉన్న వీధిని గుండు వారి వీధీ అని పిలుస్తారు
17,844424931358548-879-f,నేను ఏ హీరోతో సినిమా చేస్తే ఆ హీరోకి పిచ్చ ఫ్యాన్ అయిపోతాం,నేను ఏ హీరోతో సినిమా చేస్తే ఆ హీరోకి పిచ్చి ఫ్యాన్ అయిపోతా
18,844424932662445-108-f,త్వరలో మళ్ళీ తెలంగాణ రైతులకు బాబ్లీ ప్రాజెక్టు ద్వారా కష్టాలు రాబోతున్నాయి,త్వరలో మళ్ళీ తెలంగాణ రైతులకు బాబ్లీ ప్రాజెక్ట్ ద్వారా కష్టాలు రాబోతున్నాయి
19,844424931033657-831-m,ఆ ఇబ్బందుల నుండి దాదాపు రెండు సంవత్సరాల తర్వాత బయటపడ్డాడు,ఆ ఇబ్బందుల నుండి దాదాపు రెండు సంవత్సరాల తర్వాత బయట పడ్డాడు
20,844424930594271-352-m,నాఫేడ్ కొనుగోలు చేసే కొబ్బరి మార్కెట్ సెస్ ను రద్దు చేశామని తెలిపారు,నాఫెడ్ కొనుగోలు చేసే కొబ్బరి మార్కెట్ సెస్ను రద్దు చేశామని తెలిపారు
21,844424933324233-119-m,కాగు ఇది మట్టి తో పెద్ద కుండలాగా కుమ్మరి చేసి ఇస్తాడు,కాగు ఇది మట్టితో పెద్ద కుండలాగ కుమ్మరి చేసి ఇస్తాడు
22,844424933276831-192-m,శ్రీలంక పురాణ చరిత్రలో ఒక కళింగ కూడా ఒక ముఖ్యమైన భాగం,శ్రీలంక పురాణ చరిత్రలో కళింగ కూడా ఒక ముఖ్యమైన భాగం
23,844424933323938-406-m,సికార్ చుట్టూ ఏడు ప్రధాన ద్వారాల కలిగిన బలమైన గోడలు ఉన్నాయి,సికార్ చుట్టూ ఏడు ప్రధాన ద్వారాల కలిగిన బలమైన గోడలు ఉన్నాయి
24,844424930594264-352-m,ఏపీలో కొత్త ప్రభుత్వం ఏర్పాటే ఇంకా నాలుగు రోజులు కూడా పూర్తి కాలేదు,ఏపీలో కొత్త ప్రభుత్వం ఏర్పాటై ఇంకా నాలుగు రోజులు కూడా పూర్తి కాలేదు
25,844424933323969-406-m,గద్దర్ గా అందరికీ సుపరిచితమైన గుమ్ముడి విఠల్ రావు ప్రముఖ విప్లవకాయి,గద్దర్ గా అందరికీ సుపరిచితమైన గుమ్మడి విఠల్ రావు ప్రముఖ విప్లవ కవి
26,844424932662440-108-f,అమెరికాలకు కాకుండా ఈ ప్రకటన చేసిన వెంటనే కార్యాచరణను చైనా ప్రారంభించింది,అమెరికాలా కాకుండా ఈ ప్రకటన చేసిన వెంటనే కార్యాచరణను చైనా ప్రారంభించింది
27,844424933324228-119-m,ఈ నీరు ఎంత తీసి వేసినా తిరిగి తిరిగి ఊరు తోనే ఉంటుంది,ఈ నీరు ఎంత తీసివేసినా తిరిగి తిరిగి ఊరుతూనే ఉంటుంది
28,844424932737176-944-f,గసగసాలను కొన్ని పిండి వంటల్లోనూ తాంబూలములోనూ గూడా వాడుతూరు,గసగసాలను కొన్ని పిండి వంటలలోను తాంబూలము లోను గూడ వాడుదురు
29,844424932737162-944-f,అయితే ఇందులో ఉన్నతాధికారులు పాల్గొంటారా లేదా అనేది ఇంకా స్పష్టం కాలేదు,అయితే ఇందులో ఉన్నతాధికారులు పాల్గొంటారా లేదా అన్నది ఇంకా స్పష్టం కాలేదు
30,844424933276866-192-m,అక్కడ కొద్ది కాలముండి తన బారిని తీసుకుని మద్రాసు వెళతాడు,అక్కడ కొద్దికాలం ఉండి తన భార్యను తీసుకొని మద్రాసు వెళతాడు
31,844424933324209-119-m,చివరిగా సీతా రాముల అద్భుతమైన కళ్యాణం తో ఈ చిత్రం వస్తుంది,చివరగా సీతా రాముల అద్భుతమైన కళ్యాణంతో ఈ చిత్రం ముగుస్తుంది
32,844424933324211-119-m,కానీ దీక్షితులు ధ్యానమునకు ఈ నొప్పి ఒక అడ్డంగిగా పరిణమించేది,కానీ దీక్షితులు ధ్యానమునకు ఈ నొప్పి ఒక అడ్డంకిగా పరిణమించేది
33,844424931358610-879-f,బంగారం తర పరిగితే వెండితర కూడా ఇదే దారిలో నడిచింది,బంగారం ధర పరిగితే వెండి ధర కూడా ఇదే దారిలో నడిచింది
34,844424932737171-944-f,ఆరోగ్య శ్రీ ద్వారా సుమారు కోటినేర మందికి లబ్ధి చేకూరుతుందని చెప్పారు,ఆరోగ్యశ్రీ ద్వారా సుమారు కోటిన్నర మందికి లబ్ధి చేకూరుతుందని చెప్పారు
35,844424933323976-406-m,రాజధానిగా ఎప్పటి నుండో ఏర్పడింది అనేది ఎప్పటి నుండి అనే నిలువలో ఇవ్వబడింది,రాజధానిగా ఎప్పటినుండి ఏర్పడింది అనేది ఎప్పటి నుండి అనే నిలువులో ఇవ్వబడింది
36,844424930594266-352-m,ఈ చిత్ర పూర్తి డిస్ట్రబ్యూషన్ రేట్స్ ని అభిషేక్ పిచ్చర్స్ వారు రూ,ఈ చిత్ర పూర్తి డిస్ట్రిబ్యూషన్ రైట్స్ ని అభిషేక్ పిక్చర్స్ వారు రూ
37,844424933324918-810-m,ఈ మంగళి చాకలి వారు చేసే పనిని ఉద్యోగం అనేవారు,ఈ మంగలి చాకలి వారు చేసే పనిని ఉద్యోగం అనే వారు
38,844424932737155-944-f,దేవతల కోర్కును విన్న దదీచి సంతోషంగా వారికి తన శరీరాన్ని అర్పించాడు,దేవతల కోరికను విన్న దధీచి సంతోషంగా వారికి తన శరీరాన్ని అర్పించాడు
39,844424933277317-192-m,ఇది హైదరాబాదు నుంచి తాండూర్ వెల్డ్ రోడ్డు రైలు మార్గంలో ఈ పట్నం ఉంది,ఇది హైదరాబాదు నుంచి తాండూర్ వెళ్ళు రోడ్డు రైలుమార్గంలో ఈ పట్టణం ఉంది
40,844424930594239-352-m,రెండు నెలల పాటుల వర్గా యాక్ చేసేందుకు నాగు ఒప్పించి ఇంటికి తీసుకెళ్లాడు,రెండు నెలలపాటు లవర్గా యాక్ట్ చేసేందుకు నాగ్ ఒప్పించి ఇంటికి తీసుకెళ్లాడు
41,844424931358668-879-f,సీఎం మళ్లీ శ్రీశేలం పర్యటనకు ఎప్పుడు వెళ్తారనేది ఇంకా క్లారెడీ రాలేదు,సీఎం మళ్లీ శ్రీశైలం పర్యటనకు ఎప్పుడు వెళ్తారనేది ఇంకా క్లారిటీ రాలేదు
42,844424933276814-192-m,గంగా నది మీదు నుండి వచ్చే గాలులు తగిలిన పాపాలు నశిస్తాయి,గంగానది మీద నుండి వచ్చే గాలులు తగిలినా పాపాలు నశిస్తాయి
43,844424933276842-192-m,కానీ ఆమె భర్త శృంగ భంగుడు అన్నిటికీ అడ్డు తగులుతూ ఉంటాడు,కాని ఆమె భర్త శృంగభంగుడు అన్నిటికీ అడ్డు తగులుతూ వుంటాడు
44,844424933323933-406-m,యన తెలుగులో నేరుగా దర్శకత్వం వహించిన చిత్రం సంతింగ్ సంతింగ్,ఇయన తెలుగులో నేరుగా దర్శకత్వం వహించిన చిత్రం సమ్ థింగ్ సమ్ థింగ్
45,844424933323947-406-m,సీత ఉత్తమురాలు నీవు సందేహ పడవలసిన పని లేదు అని పలికారు,సీత ఉత్తమురాలు నీవు సందేహ పడవలసిన పని లేదు అని పలికారు
46,844424930594249-352-m,అయితే రోగా ఫంక్షన్ అని రానా దగ్గుబాటి తన సన్నిహితులకు చెప్పాడట,అయితే రోకా ఫంక్షన్ అని రానా దగ్గుబాటి తన సన్నిహితులకు చెప్పాడట
47,844424930594235-352-m,ఈ పరిస్థితి యజమాని మరియు ఉద్యోగి యొక్క తప్పు ద్వారా రెండు ఉత్పన్నం అవుతుంది,ఈ పరిస్థితి యజమాని మరియు ఉద్యోగి యొక్క తప్పు ద్వారా రెండు ఉత్పన్నమవుతుంది
48,844424930594285-352-m,అయితే ఆ తర్వాత కూడా టెస్టులో అతనిపై పెద్దగా నమ్మకం ఉంచలేదు,అయితే ఆ తర్వాత కూడా టెస్టుల్లో అతనిపై పెద్దగా నమ్మకం ఉంచలేదు
49,844424933324200-119-m,ఈ ప్రసారాలలో నాణ్యత ధ్వని లో స్వచ్ఛత మధ్య రకంగా ఉంటుంది,ఈ ప్రసారాలలో నాణ్యత ధ్వనిలో స్వచ్ఛత మధ్య రకంగా ఉంటుంది
