,id,hypothesis,reference
0,AVRODH_EP_04_TELUGU_20_PM_07AUG2020.STEREO_00:07:52.31_00:07:54.50,రెండి రన్డీ అబు హఫీజ్,రండి రండి అబు హఫీజ్.
1,AVRODH_EP_09_TELUGU_20_PM.STEREO_00:15:10.21_00:15:10.50,సమీప ప్రతిపాదనలో కనుక చేసే అవకూలంగా వెళ్జ్,సార్.
2,AVRODH_EP_08_TELUGU_20_PM_07AUG2020.STEREO_00:14:46.51_00:14:50.50,ఎదురు చూడాలా ఫరి గాజ్ సెట్జనల్మనోకం మీషియంకీ న ఒక వేళ ఈదనజ జ,ఎదురుచూడాలా ఫర్ గాడ్ సేక్ జనరల్ మనము ఒక మిషన్ మీద ఉన్నాము. ఒకవేళ ఏదైనా జరగరాని
3,AVRODH_EP_01_TELUGU_20_PM_07AUG2020.STEREO_00:17:03.31_00:17:08.20,సతీష్ కాన్వా మూవెంటు అనిది ఆపరేషన లో ఒక భగం,సతీష్ కాన్వాయి మూమెంట్ అనేది ఆపరేషన్ లో ఒక భాగం.
4,AVRODH_EP_09_TELUGU_20_PM.STEREO_00:15:31.01_00:15:35.30,పాప్ ఫర్టీమా అల్ফాజ్జ గెటివరడీ డి ఇండ యు ముస్ട్,పాపాప్ ఫర్ టీమ్ అల్ఫా డీ ఇండక్షన్ యు మస్ట్ లీవ్ నౌ ఓవర్.
5,AVRODH_EP_02_TELUGU_20_PM_07AUG2020.STEREO_00:16:17.31_00:16:21.00,లేని వాళ్ళ నెంబర్ ఇచ్జిన మా లతో పోసుకుు చాె టీం కాజు,"నేనే వాళ్ళ నెంబర్ ఇచ్చి, వాళ్ళతో మాట్లాడమని చెప్పానని చెప్పండి."
6,AVRODH_EP_06_TELUGU_20_PM_07AUG2020.STEREO_00:18:00.51_00:18:02.55,గౌతమ్ మాల్బుర్,గౌతమ్ ఆల్ గుడ్.
7,AVRODH_EP_03_TELUGU_20_PM_07AUG2020.STEREO_00:16:34.31_00:16:42.40,ఉగ్రవాదులు డైరెకట్ గా మన బేస్జే క్যాూపు్్�ోపలి ఖుజించిు,ఉగ్రవాదులు డైరెక్ట్ గా మన బేస్ క్యాంపు లోకి వచ్చి దాడి చేశారు నువ్వు నా ప్లేస్ లో ఉండి ఆలోచించు.
8,AVRODH_EP_01_TELUGU_20_PM_07AUG2020.STEREO_00:13:29.16_00:13:31.10,కానీ నిజం చెప్పా లంటే మై ఫైర్ అయితే,కానీ నిజం చెప్పాలి అంటే మై ఫ్రెండ్.
9,AVRODH_EP_09_TELUGU_20_PM.STEREO_00:20:37.21_00:20:40.00,మోటార్ ప్లట్జను సిద౧�ధంగా వసుమని తరచూడట బీహాజీ కి,మోటార్ ప్లాంట్ ని సిద్ధంగా ఉంచామని థర్టీ టూ బీహార్ కి తెలియజేయండి.
