,reference,transcription
0,জার্মানির অনেক বেক করা খাবারগুলিতে বাদাম হ্যাজনেলট এবং অন্যান্য বাদামের উপাদান পাওয়া যায় পছন্দের কেকগুলি প্রায়শই একটি কাপ ভরা কফির সাথে ভাল মানায়," জার্মানের অনেক বেক্করা খাবার্গুলিতে বাদাম, হাজনেল্ট এবং অন্যান্ন বাদামের উপাদাম পায়া জায়। পাছন্দের কেক্গুলি প্রাইশাই একটি কাপ ভারা কফির সাথে বালো অনায়।"
1,একজন শুধুমাত্র আশ্চর্য হতে পারে এই ভেবে যে যখন নতুন কিছু আসে তখন কী-বোর্ড কীরকম হবে, একজন সুদমাত্র আস্তার্য হোতে পারে এই ভেবে যে জখন নতন কিসু আশে তখন কি বর কি রকম হবে
2,হাইতিয়ান ইনস্টিটিউট ফর জাস্টিস অ্যান্ড ডেমোক্রেসি এর স্বতন্ত্র সমীক্ষাতে উল্লেখ করা হয়েছে যে নেপালি জাতিসংঘের শান্তিরক্ষা বাহিনী অজান্তেই হাইতিতে এই রোগটি নিয়ে এসেছিল, হাইতিযান ইনিস্টিট্যুট ফোর জাস্টিস এন ডেমক্রেসি এর সতন্ত্র সমিখাতে উল্লেক করা হোয়েছে জে নেপালি জাতি সংগের সান�
3,দুটি পয়েন্টের মাঝে দুজন ড্রাইভার এবং তাদের যানের মধ্যে যে চলন ও কথাবার্তা চলে সেই বিদ্যাকেই ট্রাফিক ফ্লো বলে, তুটি পয়ন্টের মাঝে দুজন ড্রাইবার এবং তাদের জানের মধ্যে জে চলন ও কথাবাত্তা চলে সেই বিদ্ধাকে ট্রাফিক ফ্লো বলে
4,পুলিশ সুপার চন্দ্র শেখর সোলঙ্কি জানিয়েছিলেন অভিযুক্তরা মুখ ঢাকা অবস্থায় আদালতে হাজির হয়েছিল, পুলিশ সুপার চন্দ্র শেকার সোস্কি জানিয়ে সিলেন হবিজুক্তোরা মুক ধাকা অবস্তাই আদলতে হাজির হয়ে সিলো
5,জাপানের পারমানবিক সংস্থার সূত্রে জানা গিয়েছে প্ল্যান্টটিতে তেজস্ক্রিয় সিজিয়াম এবং আয়োডিন চিহ্নিত করা হয়েছে, জাপানের পারমানোবিক সমস্থা শুত্তেরে জানা গিয়েছে লান্টিতে তেজশক্রে ওশিজি আম এবং আয়ডিন চিনিতো করা হোয়েছে
6,বার্সেলোনার সরকারী ভাষা হলো কাতালান এবং স্প্যানিশ প্রায় অর্ধেক জনগোষ্ঠী কাতালান ভাষায় কথা বলে থাকে বহু সংখ্যক মানুষ এই ভাষা বোঝে এবং কার্যত সবাই স্প্যানিশ ভাষা জানে, পার্সলনার সার্কারি ভাশা হলো কাতালান এবং ইস্পেনিশ প্রে অর্ধের জনোগুষ্ঠি কাতালান ভাশাই কথাবালে থাকে বোহ সম্পক মান�
7,আনুষ্ঠানিকভাবে ফকল্যান্ডস এর মুদ্রা হল ফকল্যান্ড পাউন্ড এফকেপি যার মান 1 ব্রিটিশ পাউন্ড জিবিপি এর সমান।, আনস্থানিক ভাবে ফোক্লেন্স এর মুদ্রা হলো ফোক্লেন পাউন্ এফ কেপি জাযমান এক বিটিশ পাউন জি বিপি এর সমান
8,"""তিনি আরো যোগ করেন ""যা তাদের উন্নয়নের স্তর দায়িত্ব  এবং সক্ষমতার সীমা ছাড়িয়ে যায় সেইসব বিষয়ে তাদের বাধ্য করা উচিৎ না।""""", তিনি আরো জোক করেন জাতাদের উন্নযনের ইস্তার দাইত্তো এবং সক্ষমতার শিমা ছাড়িয় জাই সেই সব বিশায় তাদের বাদ্ধ করা উচিত
9,যদিও এখনও পর্যন্ত পরীক্ষামূলক ভাবে একটি ভ্যাকসিন ইবোলা মৃত্যুর হার হ্রাস করতে সক্ষম হয়েছে তবে উপস্থিত সংক্রমণের চিকিৎসার জন্য উপযুক্ত কোন ওষুধ ভালোভাবে প্রকাশ হয়নি, জদিও এখন পরজন্ত পরিখামুলগ ভাবে একটি ভাক্সিন ইবলা মেতুরহার রাশ করতে সক্খম হেশে তবে উপস্থিত সংক্রমনের চিগিশ্যার জন�
