,id,hypothesis,reference
0,AVRODH_EP_04_BENGALI_20_PM_.STEREO_00:17:27.26_00:17:31.53,চার গোন্টা,চার ঘণ্টা।
1,AVRODH_EP_02_BENGALI_20_PM.STEREO_00:21:38.01_00:21:42.00,কিন্তু আ সো তিরে বায় খুব শুন দর,কিন্তু সত্যিরে ভাই খুব সুন্দর
2,AVRODH_EP_06_BENGALI_20_PM.STEREO_00:07:47.27_00:07:54.20,এত দুরাশ্বার পরো যিনে ফল হয়টা এ লুসি কস না,এত দুর আসার পর ও যদি পা এ হেটে এলওসি ক্রস করতে না হয়. তাহলে আমার নাম পাল্টিয়ে দিয়ো.
3,AVRODH_EP_06_BENGALI_20_PM.STEREO_00:13:09.56_00:13:16.01,এখন যে অবস্থার ফখরুদি ধরা পড়াশা,এখন যেই অবস্থা এ ফখরুদ্দিন ধরা পড়েছে আর ওর বিরুদ্ধে যেই চার্জ গুলো রয়েছে সেইসব তুমি খুব ভালো করেই জানো
4,AVRODH_EP_01_BENGALI_20_PM_STEREO_00:21:26.02_00:21:27.00,ওয়াল এক মশনা,ওয়ালাইকুম এ সালাম
5,AVRODH_EP_07_BENGALI_20_PM.STEREO_00:21:35.40_00:21:37.29,এই মিশনের ব্যবহারী কি চূইও জানতা,এই মিশনের ব্যপারে কিছুই জানতে না।
6,AVRODH_EP_09_BENGALI_20_PM.STEREO_00:33:45.01_00:33:51.17,দুই হাজার নয় শোনেকা চ্যন,"তুমি হয়তো ওনাকে চেনো না, মিস নার্মাতা জসিম"
7,AVRODH_EP_03_BENGALI_20_PM.STEREO_00:16:17.50_00:16:25.27,নিয়েন ইলা ওবাকি আমত্র পরীণকরিৎক থীমৈ যাব৆ নো সব হি,"নিয়ে নিলেই বা কি আমাদের উপর ইনকয়ারি তো আর থেমে যাবেনা, সবাই সব সময় ঝোপ বুঝে কোপ মারতে চায় বুঝতে পারোনা ?"
8,AVRODH_EP_08_BENGALI_20_PM.STEREO_00:11:09.51_00:11:15.50,যদি উদ্যোগ তরফ থেনকির কূন খবর,"যদি ওদের কারো থেকে কোন খবর লিক হয় তাহলে আমরা সমস্যায় পড়বো, আমার কথা শুনছো কি শুনছো না"
9,AVRODH_EP_01_BENGALI_20_PM_STEREO_00:29:08.01_00:29:09.19,আমাদের তৈরি থার্কতা হবা,আমাদের তৈরী থাকতে হবে
10,AVRODH_EP_06_BENGALI_20_PM.STEREO_00:18:51.28_00:18:52.28,যশ,ইয়েস স্যার
11,AVRODH_EP_04_BENGALI_20_PM_.STEREO_00:11:20.27_00:11:26.00,আবা সব প্রিয়ী হই যাবেঃ ভুঁজাছো কি নম৬লব,ফ্রী হয়ে যাবে বুঝেছো আরে কি না বলবে যাই।
12,AVRODH_EP_05_BENGALI_20_PM_.STEREO_00:12:47.51_00:12:48.14,থাক বনসে,স্যার
13,AVRODH_EP_07_BENGALI_20_PM.STEREO_00:06:14.30_00:06:15.49,অপনি প্লিশ জারেকবা চ৆ক হুয়া,আপনি প্লিজ আর একবার চেক করবেন।
14,AVRODH_EP_07_BENGALI_20_PM.STEREO_00:22:25.24_00:22:26.52,হোয়াল হ ভারা না,বল ভারত মাতার
15,AVRODH_EP_05_BENGALI_20_PM_.STEREO_00:14:36.43_00:14:38.36,আমার কিন তুমোনা চেয়রা,আমার কিন্তু মনে হচ্ছে এরা
16,AVRODH_EP_05_BENGALI_20_PM_.STEREO_00:09:30.24_00:09:32.52,এই ডিসি জেন্টা পির মো রুপু হৃচ ছাড়ু,এই ডিসিশনটা পিএম এর ওপরেই ছেড়ে দি।
17,AVRODH_EP_03_BENGALI_20_PM.STEREO_00:10:52.43_00:10:55.10,হয় রিপীট অ ল থ্রী এলি মি,আই রিপিট অল থ্রী এলিমেনেটেড ।
