,id,hypothesis,reference
0,AVRODH_EP09_MARATHI_MIX_081020_00:03:07.44_00:03:13.03,सगळे देश आपल्यासोबत आहेत कारण त्य़ांना परिस्थिती माहिते बोलाप्रशांजी,सगडे देश आपल्या सोबत आहेत कारण त्यांना परिसतिथी माहीत आहे बोला प्रशांत जी
1,AVRODH_EP06_MARATHI_MIX_081020_00:26:15.45_00:26:20.08,एक बातमी कदाचित तुम्हाला मदत होईल,एक बातमी आहे कदाचित तुम्हाला मदत होईल
2,AVRODH_EP09_MARATHI_MIX_081020_00:27:47.41_00:27:50.57,जनरल सबेस्टियनने स्वतः पाकिस्तानी आर्मी चीफ लाद्यावी,जनरल सेबेस्टियनने स्वतः पाकिस्तानी आर्मी चीफला द्यावी
3,AVRODH_EP06_MARATHI_MIX_081020_00:20:11.41_00:20:19.38,बाय गायझ शे येऊ अंटेक्के,बाय गाइज़ सी यू एण्ड टेक केयर
4,AVRODH_EP05_MARATHI_MIX_081020_00:23:13.01_00:23:15.44,आतारा आपल्या सुबोध होता अथा त्येच्छ स्थळे,हा तर आपल्या सोबत होता आता त्यांचा सोबत
5,AVRODH_EP09_MARATHI_MIX_081020_00:10:53.37_00:10:55.00,कॉफी सर्व,कॉपी सर
6,AVRODH_EP07_MARATHI_MIX_081020_00:09:26.24_00:09:32.30,तर त्यामध्ये कुठलाही इंडियन ऑफिसर दोषी नसेल हे सांगतोय,तर त्यामध्ये कुठला ही इंडियन ऑफिसर दोषी नसेल हे सांगतोय
7,AVRODH_EP06_MARATHI_MIX_081020_00:12:45.38_00:12:48.11,ही दोन्ही मुलं दून वर्षांपूर्की ही तीन हजार नऊ शे,ये दोन्ही मुलं दोन वर्षांपूर्वी
8,AVRODH_EP05_MARATHI_MIX_081020_00:19:06.14_00:19:07.22,लावा,लावा
9,AVRODH_EP05_MARATHI_MIX_081020_00:14:09.01_00:14:09.40,चळवळी आणि प्रथमाच्या निर्णयांनी त्रेसष्ठ हजार नऊ शे एकोण ऐंशी लाख तेरावीस हे पाठवले,सॉरी
10,AVRODH_EP04_MARATHI_MIX_081020_00:18:42.11_00:18:54.37,ठाऊक है,ठाऊक आहे आपल्याला आता आपली पकड मजबूत करावी लागेल
11,AVRODH_EP08_MARATHI_MIX_081020_00:19:54.47_00:20:06.55,बट हवे भेव व्यादवी डोंट न वाटू दू,बट हाऊ वी बीहेव व्हेन वी डॉन्ट नो व्हॉट टू डू आता पुढे काय होईल हे मला माहीत नाहीये
12,AVRODH_EP04_MARATHI_MIX_081020_00:17:27.51_00:17:31.50,चार तास,चार तास
13,AVRODH_EP02_MARATHI_MIX_081020_00:05:07.35_00:05:09.24,काय आहे,काय आहे हे
14,AVRODH_EP07_MARATHI_MIX_081020_00:05:53.01_00:05:54.21,मेजर प्लीस ओपन योमाओ,मेजर प्लीज ओपन योर माउथ
15,AVRODH_EP06_MARATHI_MIX_081020_00:22:45.13_00:22:49.10,या गावामध्ये रिटार्ड चेपाईंना पाकिस्तान गव्हर्मेंटने घरे दिले,या गावामध्ये रिटायर्ड सिपाह्यांना पाकिस्तान गवर्नमेंटनी घर दिलेत
16,AVRODH_EP06_MARATHI_MIX_081020_00:27:16.01_00:27:20.30,सर आता उशीर करून चालणार नाही,सर आता उशीर करून चालणार नाही
17,AVRODH_EP02_MARATHI_MIX_081020_00:14:12.50_00:14:20.34,याची दोन जवान मुलं सुळून गेली असतील तो बाब कसा अशेल,ज्याची दोन जवान मुलं सोडून गेली असतील तो बाप कसा असेल
18,AVRODH_EP09_MARATHI_MIX_081020_00:33:16.01_00:33:20.54,तेवढ्यासाठीच की तुम्ही एकटय़ा स्वतःचा सत्यपर्यंत पोहोचला होतात,तेवढ्या साठीच कि तुम्ही एकट्या स्वतः त्या सत्य पर्यन्त पोहचल्या होता
19,AVRODH_EP08_MARATHI_MIX_081020_00:22:07.43_00:22:15.09,आपण दहा अवत्सर आत पुण्यास ठवक किती आमचे वाट बघतायत,आपण दहा आहोत सर आत कोणाच ठाऊक किती आपल्या मारण्याची वाट बघताय
20,AVRODH_EP06_MARATHI_MIX_081020_00:04:48.21_00:04:49.20,फोन लागत नाही,फोन लागत नाहीय
21,AVRODH_EP07_MARATHI_MIX_081020_00:20:16.15_00:20:18.17,टार्गेट्सची तुझी जबाबतारी असेल चूजविवार नाही,टारगेट सी तुझी जबाबदारी असेल चूज़ योर मेन
22,AVRODH_EP09_MARATHI_MIX_081020_00:14:15.15_00:14:17.16,हे डंब,ऐट डाउन
23,AVRODH_EP06_MARATHI_MIX_081020_00:19:14.01_00:19:17.14,ए चौके पंकज,इट्स ओके पंकज
24,AVRODH_EP06_MARATHI_MIX_081020_00:11:35.42_00:11:37.00,वट,व्हाट
25,AVRODH_EP04_MARATHI_MIX_081020_00:10:04.04_00:10:10.44,हो एम्बॅक एन्ड अनफॉर्चुनेटी मला ठाऊकच नसतं की तू कुठेस,हो आई एम बेक एंड अनफॉर्चूनेटली मला ठाऊकच नसतं की तू कुठेस
26,AVRODH_EP02_MARATHI_MIX_081020_00:11:49.44_00:11:55.29,तुला माहिती असताका तुझा खडूच बस्तूला कुंठे घेऊन जाणारे का गेळून झाडाऱ्याने कधी परत येतोच ह्यू नो दॅट,तुला माहिती असतं का तुझा खडूस बॉस तुला कुठे घेऊन जाणार आहे का घेऊन जाणार आहे आणि कधी परत येतोयस डू यू नो दॅट
27,AVRODH_EP02_MARATHI_MIX_081020_00:23:06.48_00:23:07.58,आरे बसना,अरे बस ना
28,AVRODH_EP06_MARATHI_MIX_081020_00:27:25.21_00:27:26.12,सर,सर
29,AVRODH_EP02_MARATHI_MIX_081020_00:03:45.30_00:03:50.58,जुझ्या एक्स्प्रेक्ट मी टू बिलीफ दॅंट,पंकज डू यू एक्स्पेक्ट मी टू बिलीव दॅट
30,AVRODH_EP02_MARATHI_MIX_081020_00:09:17.59_00:09:25.29,या ब्लर्ड डोनेशन कॅम्पचे श्रेय जिओसीएनसी जनरल बलबीरसिंह आडी त्यांची ऑफिसर्सनं जातं,ह्या ब्लड डोनेशन कॅम्पचे श्रेय जी ओ सी एन सी जनरल बलबीर सिंग आणि त्यांच्या ऑफिसर्सना जातं
31,AVRODH_EP06_MARATHI_MIX_081020_00:20:20.45_00:20:22.32,हा पोल से राज,हाँ बोल शिराज
32,AVRODH_EP08_MARATHI_MIX_081020_00:24:33.01_00:24:38.22,एका छोट्याशा चकमकीत त्येच लोकांनी यांच्यी हातीवर गोळ्य़ा झाडल्य,एका छोट्याशा चकमकेत त्याच लोकांनी त्यांच्या छातीवर गोळ्या झाडल्या
33,AVRODH_EP07_MARATHI_MIX_081020_00:03:01.15_00:03:02.32,या दृश्यात नेली डॉ,सर यस सर
34,AVRODH_EP02_MARATHI_MIX_081020_00:14:54.50_00:14:58.51,या दोघांच्या मृत्यू नंतर काल जणूकाय थाम,ह्या दोघांच्या मृत्यूनंतर काळ जणू काही थांबला आहे
35,AVRODH_EP06_MARATHI_MIX_081020_00:24:39.37_00:24:43.54,आणि यामुळे यू एस वरीडा,आणि यामुळे यूएस वरीड आहे
36,AVRODH_EP08_MARATHI_MIX_081020_00:13:58.48_00:14:04.49,एनओल्ड आयसेअर्केन कमांडॉ टीम्सच्या सॅनबॅक अंटिल फॉर द कम्युनिकेशन ओलंबो,आई से अगेन कमांड ऑल टीम्स टू स्टैन्ड बॅक अंटील फॉर द कम्युनिकेशन वेल डन बॉयज
37,AVRODH_EP04_MARATHI_MIX_081020_00:10:49.34_00:10:50.00,जस्त पासून आणि त्यांनी निवडीला प्रदेशांचे नाण्यपदाळी या स्थानातील नेते आले,जसपाल सिंह साहब
38,AVRODH_EP09_MARATHI_MIX_081020_00:23:33.15_00:23:40.05,बुम्ब,मूव
39,AVRODH_EP04_MARATHI_MIX_081020_00:11:12.12_00:11:19.30,ठेकं पुढच्या सूटीचा वेळी जेव्हा घरी झाली तेऊहाच जर्मन बेकरीमध्ये माझं नाव सांगा,ठीक आहे पुढच्या सुटीच्या वेळी जेव्हा घरी जालं तेव्हा जर्मन बेकरी मध्ये माझं नाव सांगा हा
40,AVRODH_EP08_MARATHI_MIX_081020_00:00:12.55_00:00:13.45,सिद्ध राटू,सितारा टु बेस
41,AVRODH_EP07_MARATHI_MIX_081020_00:18:20.01_00:18:26.45,पण अमेरिकेकडे पाहण्याचा जगादृष्टिकोन मात्र नक्कीच बदलतो,पण अमेरिकीकडे पाहण्याचा जगाचा दृष्टिकोण मात्र नक्कीच बदलतो
42,AVRODH_EP02_MARATHI_MIX_081020_00:15:02.40_00:15:06.19,वेळ कधी थांबत नाही,वेळ कधी थांबत नाही
43,AVRODH_EP02_MARATHI_MIX_081020_00:13:49.01_00:13:53.49,आरे नाही नंही मी तिचे सहा वर्षांपूर्मीची,अरे नाही नाही मी तीच आहे सहा वर्षांपूर्वीची
44,AVRODH_EP09_MARATHI_MIX_081020_00:19:20.31_00:19:26.00,स्टॉक मार्केट उघडणे अगोदर जर अनाऊन्समेंट्स झाली तर बरो होई,स्टॉक मार्केट उघडण्या आगोदर जर अनाऊंसमेंट झाली तर बरोबर हुईल
45,AVRODH_EP02_MARATHI_MIX_081020_00:22:56.07_00:22:58.29,करू काय,करू काय
46,AVRODH_EP07_MARATHI_MIX_081020_00:16:31.01_00:16:34.17,की जेव्हा महाला कठीण निर्णय घ्यावे लागतात,कि जेव्हा आम्हाला कठिन निर्णय घ्यावे लागतात
47,AVRODH_EP07_MARATHI_MIX_081020_00:13:02.15_00:13:08.11,जनाभ त्या मेजर मसूदने आपल्य़ा माणसांना बॉर्डरवर रोखून ठेवले,जनाब त्या मेजर मसूदने आपल्या माणसांना बॉर्डरवर रोखून ठेवलय
48,AVRODH_EP02_MARATHI_MIX_081020_00:01:14.28_00:01:16.29,हा लडको अपनी आयडी दिली,हां लडको अपनी आयडी दिखाओ
49,AVRODH_EP09_MARATHI_MIX_081020_00:15:04.21_00:15:07.40,रियुले मेसेज फॉर इव्हॅक्यूशन आपल्याकडे वेळ फार कमी,रिले मैसेज फॉर इवैक्यवैशन आपल्याकडे वेड फार कमी आहे
50,AVRODH_EP02_MARATHI_MIX_081020_00:17:24.40_00:17:30.19,अल्ल तलाचर या मतने हमला आज रात्री सुनार,अल्लाह तालाच्या रहमतीने हमला आज रात्रीच होणार
51,AVRODH_EP09_MARATHI_MIX_081020_00:29:39.35_00:29:42.44,ऐथे काय नऊ की त्यांचे स्टेटमेंट कया असणारे,आई थिंक आई नो कि त्यांचा स्टेटमेंट काय असणार आहे
52,AVRODH_EP04_MARATHI_MIX_081020_00:08:59.10_00:09:04.09,आता वेळ आलीय काश्मीर मधून हिंदुस्थानी फौज बाहेर कांढण्याची,आता वेळ आली आहे काश्मीरमधून हिंदुस्तानी फौज बाहेर काढण्याची
53,AVRODH_EP06_MARATHI_MIX_081020_00:18:18.11_00:18:21.15,तुम्हाला आठवत नसेल कदाचित पण आम्पने एकत्र ऐक करू शके,तुम्हाला आठवत नसेल कदाचित पण आपण एकत्र एक
54,AVRODH_EP05_MARATHI_MIX_081020_00:06:49.51_00:06:53.30,पण भविष्यात असे अॅटॅक्स रोखण्य़ासाठी हे पाऊल उचलणे गरजेचे आहे,पण भविष्यात असे अटॅक्स रोकण्यासाठी हे पाऊल उचलणं गरजेच आहे
55,AVRODH_EP07_MARATHI_MIX_081020_00:02:47.25_00:02:51.33,कव्हर फायर आपल्याला फक्त शत्रूचा नजरेपासून नाचवू शकतं पण ते आम्ही विसरतं,कवर फायर आपल्याला फक्त शत्रुच्या नजरेपासून वाचवू शकत पण ते आपल्याला विसरत नाहीत
56,AVRODH_EP04_MARATHI_MIX_081020_00:11:26.38_00:11:32.54,अली रझाक हाने नॅशनल इन्व्हेस्टिगेशण एजन्सी कन्नर रस्तोली म्हणाले होते की तुम्ही आहे,अली रजा खान नेशनल इंवेस्टिगेशन एजेंसी कर्नल रस्तोगी म्हणाले होते की तुम्ही येणार आहोत
57,AVRODH_EP06_MARATHI_MIX_081020_00:06:28.25_00:06:32.14,पत्रकारित आमचा पेश आहे,पत्रकारिता आमच्या पेशा आहे
58,AVRODH_EP06_MARATHI_MIX_081020_00:10:52.30_00:10:56.34,सीरियसली नमू डॅच्स ऑर एक्स्प्लानेशन,सीरियसली नमू देट्स यूअर एक्सप्लेनेशन
59,AVRODH_EP02_MARATHI_MIX_081020_00:15:57.00_00:15:57.41,चाय लेंगे,चाय लेंगे आप
60,AVRODH_EP09_MARATHI_MIX_081020_00:21:46.55_00:21:51.54,च लेटे सॅटलाईट इमेजेस पाकिस्तानी चकोटीकडे वळले,सर लेटेस्ट सेटेलाइट इमेजेस पाकिस्तानी चकोटीकडे वडलेत
61,AVRODH_EP04_MARATHI_MIX_081020_00:24:09.45_00:24:17.00,जो काश्मीरमध्ये चांगली कामगिरी बचवतोय वीस पेक्षा जास्त ऑपरेशन्स लीड केले त्याने,जो काश्मीरमध्ये चांगली कामगिरी बजावतो आहे वीस पेक्षा जास्त ऑपरेशन्स लीड केलीत आहे त्याने
62,AVRODH_EP06_MARATHI_MIX_081020_00:12:48.12_00:12:53.30,आर्मीवर दगडफेक करणाऱ्या ग्रुपला लीड करत होते,आर्मीवर दगडफेक करणाऱ्या ग्रुपला लीड करत होते
63,AVRODH_EP09_MARATHI_MIX_081020_00:33:00.59_00:33:05.20,येव्हा प्रसिस्टेंट,यू आर परसीसटेंट
64,AVRODH_EP05_MARATHI_MIX_081020_00:06:16.31_00:06:22.28,तुझी ही न्यू फाऊंड पॉप्लॅरिटी आपल्यासाठी संकट उभं करून आहे,तुझी ही न्यू फाउंड पॉपुलैरिटी आपल्यासाठी संकट उभ करू नये
65,AVRODH_EP08_MARATHI_MIX_081020_00:23:28.14_00:23:30.55,मिसर सिंग,मिसिस सिंह
66,AVRODH_EP09_MARATHI_MIX_081020_00:12:56.00_00:12:58.40,जना बातातर त्यांनी रेडिओ पण ऑफ केला,जनाब आता तर त्यांनी रेडियो पण ऑफ केलाय
67,AVRODH_EP07_MARATHI_MIX_081020_00:16:08.34_00:16:14.08,मला ते ऑफिसरशी ताबडतो बोलायचे जो हे मिशन लीड करतोय,मला त्या ऑफिसरशी ताबडतोब बोलायचय जो हे मिशन लीड करतोय
68,AVRODH_EP02_MARATHI_MIX_081020_00:17:06.50_00:17:09.09,तसही त्यांचाच बाळा खाणे,तसंही त्यांचा आज बडा खाना आहे
69,AVRODH_EP07_MARATHI_MIX_081020_00:14:12.21_00:14:17.31,शोएब हिमारकोट नंतर जनाब सुद्धा कोठलाला येणाऱ्यात,शोएब तीमारकोट नंतर जनाबसुद्धा कोटलाला येणार आहेत
70,AVRODH_EP09_MARATHI_MIX_081020_00:11:04.15_00:11:05.24,एकदम डाऊन,टेक देम डाउन
71,AVRODH_EP05_MARATHI_MIX_081020_00:01:43.44_00:01:49.19,तुशी सुंटी संचन झालीय आणि मला माहिती की तुला त्या आयीलां भेटायलाचायचे,तुझी सुट्टी सेंशन्ड झाली आहेत आणि मला माहिती आहे कि तुला तुझ्या आईला भेटायला जायचं आहे
72,AVRODH_EP07_MARATHI_MIX_081020_00:09:32.31_00:09:36.39,मेजर गौतम गो गेट दोस्त बास्टर्स,मेजर गौतम गो गेट दोज़ बास्टर्ड्स
73,AVRODH_EP09_MARATHI_MIX_081020_00:15:19.41_00:15:25.00,पाफा फटे इमालफ़ा पाहापट्टी इ माल्फ अ व अडपं कॅसल इबॅक्युअट नाव,पापा फॉर टीम अल्फा पापा फॉर टीम अल्फा ओवर ऑर्डर फ्रॉम केसल इवैक्यऐट नाव
