,id,hypothesis,reference
0,Scam_1992_Ep_01_Malayalam_Mix_New_00:39:43.32_00:39:45.19,നീ ഇംദിന എദുല് യൂനി വെസറ ടി,നീ എന്തിനാ ഇതിൽ ഇൻവെസ്റ്റ് ചെയ്യുന്നത്
1,Scam_1992_Ep_01_Malayalam_Mix_New_00:03:41.35_00:03:42.13,കൊടും നിന്ദരി ഇടചെ,വെയിറ്റ്
2,Scam_1992_Ep_01_Malayalam_Mix_New_00:23:15.16_00:23:21.36,അവിടെ ഒരുപാടിൽ തേറക്കം ഓചൊപ പോട വൾക ആയി മാൻ നീച സർമൂരാ അതി,അവിടെ ഒരുപാട് തിരക്കും ഒച്ചപ്പാടും ഒക്കെ ആയിരുന്നു നമ്മുടെ മീഞ്ചന്ത ഒക്കെ പോലെ അല്ലേ
3,Scam_1992_Ep_01_Malayalam_Mix_New_00:45:50.15_00:45:56.14,എന്നാടെ ഇവിടയോ കുതരകളാൻ അണേറൾണി ഓഴീക,എന്നിട്ട് ഇവിടെയോ കുതിരകളെയാണ് ഇട്ട് ഓടിക്കുന്നത് കുതിര ഓടുക മാത്രേ ഉള്ളൂ ചീറ്റ ഈസ് ദ ഫാസ്റ്റസ്റ്റ്
4,Scam_1992_Ep_01_Malayalam_Mix_New_00:11:22.26_00:11:25.47,മനസ്സിലായച പോകുക വേടം അതലെ,മനസ്സിലായി അച്ഛാ പുകയില വേണ്ട അതല്ലേ അതെ കഴിക്കട്ടെ
5,Scam_1992_Ep_01_Malayalam_Mix_New_00:36:32.26_00:36:34.24,ഈ വീട്ടിലെ എംതും കേയി സംഭവമായ ഒളി,ഈ വീട്ടില് എന്തൊക്കെയാ ഈ സംഭവിക്കുന്നേ
6,Scam_1992_Ep_01_Malayalam_Mix_New_00:11:58.12_00:12:00.13,വീടിൽ എങ്കി ലും നിങളെ അടൻതൃ കർനേലി,വീടില്ലെങ്കിലും നിങ്ങൾ അടുത്ത് കാണില്ലേ
7,Scam_1992_Ep_01_Malayalam_Mix_New_00:29:48.11_00:29:49.54,അതിന് കുംടിൽ ചെലേനാം വീകാൻ മോരർഡി ഉപചരി,അതിന്
8,Scam_1992_Ep_01_Malayalam_Mix_New_00:22:05.38_00:22:11.41,ആതിത്യ ദിവസം കോനെ ഒരു മേഡീകാരി അഥാൽ വিഖർയത ഇടന ഗൈനാ ഹിংദൂര എലൻടൊക പരসലയവൾ ഉറൎസ ച൦ംറിయൌ ആംజ ഏമദাഴ൶൳൘ സൿനిധൃ ഓ ഡാ,ആദ്യത്തെ ദിവസം തന്നെ ഒന്നും മേടിക്കാതെയും വിൽക്കാതെയും ഇരുന്നാൽ നിൻറെ കാര്യം ഇന്നു തന്നെ എൻഡ് ആകും മനസ്സിലായോ ചെന്ന് എന്തെങ്കിലും വിൽക്കാനോ മേടിക്കാനോ നോക്ക് ചെല്ല്
9,Scam_1992_Ep_01_Malayalam_Mix_New_00:37:42.45_00:37:44.49,എന്നാം ഇവരെ കൈയിൻദിടുകയേണി അവർ റൽ ഈലൊരി,എന്നാ ഇവരുടെ കയ്യിന്ന് എടുത്തോ ഇവരുടെ കയ്യില് ഒരുപാട് ഉണ്ട്
10,Scam_1992_Ep_01_Malayalam_Mix_New_00:06:51.48_00:06:57.21,കാരണം എസ് ജിയലുപോലമാെ വളൻടിൽ ഇതൊക ഒരേ ബൂകീളംഗാ നൌറി ആണൈന അൺസഫർഅബനാ,കാരണം എസ് ജി എൽ പോലും വന്നിട്ടില്ല ഇതൊക്കെ ബുക്കിൽ എങ്ങനെ കാണിക്കും അയാം സോ
11,Scam_1992_Ep_01_Malayalam_Mix_New_00:15:29.38_00:15:30.54,നേനി കൊണ്ടുവാൻ അൽ ചെയിലൂ മാവർ തോടിത ഉപചരണം ഐരീകളൾ,നിനക്ക് ഒന്നും അറിഞ്ഞുകൂടാ
12,Scam_1992_Ep_01_Malayalam_Mix_New_00:25:58.31_00:26:01.08,മാം നിന്ന ഗുഡെ അതക പൊറി ആയിർ കൂടേ തോ,നിന്നെക്കൊണ്ട് അതൊക്കെ പറ്റും ആയിരം കൂടെ താ
13,Scam_1992_Ep_01_Malayalam_Mix_New_00:04:58.32_00:05:04.52,അതേതിന് ചായം ഡൂരു യെ ലീലാ സർൈടിൻ എപോളൊംഡി വൽകൃയ ഈ ഇനറൌ ഫોകസ ഓണ ദാ,ഇദ്ദേഹത്തിന് ഒരു ചായ കൊണ്ടുവരൂ യാ ഇല്ല സ്ട്രൈക്ക് ഇപ്പോഴും ഡെവലപ് ചെയ്തുകൊണ്ടിരിക്കുകയാ സോ ഐ നീഡ് ടു ഫോക്കസ് ഓൺ ദാറ്റ്
14,Scam_1992_Ep_01_Malayalam_Mix_New_00:48:47.30_00:48:51.19,അയാൾടെ കഥയുട എന്ന ഇനി ഒരേ പത വർഷംകൂടാ ഭാഗിയ ഉണ,അയാളുടെ കഥയുടെ എൻഡ്നു ഇനി ഒരു പത്ത് വർഷം കൂടെ ബാക്കിയുണ്ട്
15,Scam_1992_Ep_01_Malayalam_Mix_New_00:37:23.16_00:37:26.39,ന്റെ ബാ നമുകേ വീടിലൂകി ആഹാരം എറങ ഒക മാൻഡോ അവയി,എന്നാ വാ നമുക്ക് വീട്ടിൽപോയി ആഹാരം കഴിക്കാം വാ എഴുനെല്ക് വാ പോവാം
16,Scam_1992_Ep_01_Malayalam_Mix_New_00:35:48.58_00:35:51.49,ഇടം മേനു വില്ല അലാ എനി കിൻ ഞായെമാത സൽ ആവ ഒളി,എടാ മെനുവിലല്ല എനിക്ക് നിന്നെയാ മനസ്സിലാവാത്തത്
17,Scam_1992_Ep_01_Malayalam_Mix_New_00:31:39.26_00:31:43.42,വിപരം പൊറുത്തി ബാകത ശേഷെയാൻ സൈനർടോകളിൽ ക ഉടര ആണാ എലൎങ അവ ഇതெല മീഴി,വിവരം പുറത്ത് വന്നതിന് ശേഷം സ്റ്റോക്ക്സ് കൂടുതൽ കുറയുകയാണെങ്കിൽ അവൻ അതെല്ലാം തിരിച്ച് വാങ്ങിക്കും
18,Scam_1992_Ep_01_Malayalam_Mix_New_00:14:27.33_00:14:30.00,പണം കിട്ടാുമെ അറി യാംപോഷേ ഇതിൽ റീസൈകൾ ഉണ ട ലൂ,പണം കിട്ടും എന്ന് അറിയാം പക്ഷേ ഇതില് റിസ്ക് ഉണ്ടല്ലോ
19,Scam_1992_Ep_01_Malayalam_Mix_New_00:03:00.52_00:03:05.47,സർ അന്ന വേണെ സാരും പിനാൽ ഒരാ എസ్ബിഐ ലോ യൊലി ഓ മീറൻ ശൂകൾകളി,സർ അതൊന്നും വേണ്ട സർ സർ പിന്നെ സർ അത് എസ് ബി ഐല് വലിയൊരു പ്രശ്നം നടന്നു സർ
20,Scam_1992_Ep_01_Malayalam_Mix_New_00:04:37.59_00:04:38.55,ആ പറയും ത് ചെനിയിൽ കാറേകൾ മോരർി അവൻ നീരാ ഉപൈന ശൂടി,ആ പറയൂന്നെ
21,Scam_1992_Ep_01_Malayalam_Mix_New_00:35:25.11_00:35:26.27,ഈ തീര്മാന എടുത,ഈ തീരുമാനം എടുത്തപ്പോ
