,id,hypothesis,reference
0,AVRODH_EP_01_KANNADA_20_PM.STEREO_00:29:53.41_00:29:55.58,ತಾವು ಇಲ್ಲಿ ಗ್ರಾ ಸ್ಕಟಿಂಗ್ ಕ್ಯಾೲ್ ಸಮರ್ಥೆ ನೀಡಿ,ತಾವು ಇಲ್ಲಿ ಗ್ರಾಸ್ ಕಟಿಂಗ್ ಕೆಲ್ಸ ಮಾಡ್ತಿದೀರಿ ಅಲ್ವಾ
1,AVRODH_EP_09_KANNADA_20_PM.STEREO_00:33:57.01_00:34:00.40,ಮಹಾಯ್ ಪ್ರಚರ ಅಲ್ಹೋ ಪೈಲು ಗೆಟ್ಟ ಸೈ ನ್ ಕೋಪಿ ಟು,ಮೈ ಪ್ಲಷರ್ ಐ ಹೋಪ್ ಐ ವಿಲ್ ಗೆಟ್ ಆ ಸೈನ್ಡ್ ಕಾಪಿ ಟೂ
2,AVRODH_EP_04_KANNADA_20_PM.STEREO_00:08:16.34_00:08:22.25,ಯೋಚಿ ಸಿಲ್ಲಾ ನಮ್ಮೀಬ್ ರ ಮುಖಾಮಕ್ಕೆ ಆಗು ತ್ತೆಯಂತ,ಯೋಚಿಸಿಲ್ಲ ನಮ್ಮಿಬ್ಬರ ಮುಖಾಮುಖಿಯಾಗುತ್ತೆ ಅಂತ
3,AVRODH_EP_03_KANNADA_20_PM.STEREO_00:17:42.59_00:17:43.35,ನಾ,ಸರ್
4,AVRODH_EP_01_KANNADA_20_PM.STEREO_00:12:37.21_00:12:39.40,ನೀನ್ ಬಳಿ ಪ್ರತಿಯ ಪಾಬ್ಲೆಮ್ ಗೂ ಒಂದೇ ಸೊಲ್ಯುಷನಿ,ನಿನ್ ಬಳಿ ಪ್ರತಿ ಪ್ರಾಬ್ಲೆಮ್ಗೂ ಒಂದೇ ಸೊಲ್ಯೂಷನ್ ಇದೆ
5,AVRODH_EP_04_KANNADA_20_PM.STEREO_00:05:10.35_00:05:12.00,ಅಂದ್ರೆ,ಅಂದ್ರೆ
6,AVRODH_EP_02_KANNADA_20_PM.STEREO_00:22:14.36_00:22:18.20,ಯಾರಿಗೆ ಗೊತ್ತು ಇದನ್ನೇ ಅರೆದೂ ನನಗಿ ಕೇಳಬೇ,ಯಾರಿಗೆ ಗೋತಿತ್ತು ಇದನ್ ಯಾರಾದರೂ ನಂಗೆ ಕೇಳಬೇಕು
7,AVRODH_EP_09_KANNADA_20_PM.STEREO_00:03:15.51_00:03:18.50,ಮಿಸ್ಟರ್ ಬಾಬ್ ಟೆರಿ,ಮಿಸ್ಟರ್ ಬಾಬ್ ಡೇರಿ
8,AVRODH_EP_09_KANNADA_20_PM.STEREO_00:13:47.06_00:13:49.00,ಇಲ್ಲಿ ಸುನ್ನೆ ನು ಸಿಗಡಂ,ವಿ ಟು ಥ್ರೀ ಡೌನ್
9,AVRODH_EP_01_KANNADA_20_PM.STEREO_00:30:03.21_00:30:07.50,ಮತೆ ಕೇಳಿ ಅಗತ್ಯ ಬಿದ್ರೇ ನಾಳೆನೀವು ಎರಡ್ಮೂರ್ಳ ಜನರ ನ್ನ್ ಹಚ್ಚು �ಡಿ,ಮತ್ತೆ ಕೇಳಿ ಅಗತ್ಯಬಿದ್ದರೆ ನಾಳೆ ನೀವು ಎರಡು ಮೂರು ಜನ್ರನ್ನ ಹೆಚ್ಚು ಮಾಡಿ
10,AVRODH_EP_09_KANNADA_20_PM.STEREO_00:19:58.41_00:20:00.00,ನಾವು ತಲುಪ್ಲಬೇಕು ಈ ವಿಲ್,ನಾವು ತಲುಪಲೇ ಬೇಕು ವೀ ವಿಲ್
11,AVRODH_EP_08_KANNADA_20_PM.STEREO_00:18:59.21_00:19:02.34,ಎಕ್ಸಿಕ್ಯೂಜ್ ಮೇ ನ್ಯಂ ಸಾಲ್ ಪ ಹರಗೆ ಬರ್ತಿ ರಾ ಪ್ಲೇಸ್,ಎಸ್ಕ್ಯೂಸ್ ಮೀ ನೀವ್ ಸ್ವಲ್ಪ ಹೊರಗೆ ಬರ್ತೀರಾ
12,AVRODH_EP_02_KANNADA_20_PM.STEREO_00:18:26.01_00:18:30.47,ಬಾಯ್ಸ್,ಬಾಯ್ಸ್ ಐ ಥಿಂಕ್ ಐ ಶುಡ್ ಲಿವ್ ಅದರ್ ವೈಸ್ ದ ಬಾಯ್ಸ್ ದಿ ಏಬಲ್ ಟು ನೈಟ್
13,AVRODH_EP_08_KANNADA_20_PM.STEREO_00:03:31.55_00:03:40.58,ಹಾಹ ಖಂಡಿತ ಸೆಗ್ಗಬಹುದು ಆದರೆ ತಿ ಮರ್ ಕೋ ಠೋಗೊ ಮೊತ್ಲು ರಾ ತ್ ರಿ ನಿೂತೂ ಮ ಾಂ ಸ ದೃ ಟ ನ್ನು,ಹಹಾ ಖಂಡಿತ ಸಿಗ್ಬಹುದು ಆದರೆ ತಿಮರ್ ಕೋಟ್ ಹೋಗೋ ಮೊದ್ಲು ರಾತ್ರಿ ನಿಂತು ಮಾಂಸದೂಟನೂ ಮಾಡಿ
