,id,hypothesis,reference
0,AVRODH_EP_01_KANNADA_20_PM.STEREO_00:29:53.41_00:29:55.58,ತಾವು ವೀಳ್ಳಿ ಗ್ರಾಸ್ ಕಟ್ಟಿಂಗ್ ಕ್ಯಾಲ್ಸಾ ಮಾಡ್ತಿಸಿದ್ದಾರೆ,ತಾವು ಇಲ್ಲಿ ಗ್ರಾಸ್ ಕಟಿಂಗ್ ಕೆಲ್ಸ ಮಾಡ್ತಿದೀರಿ ಅಲ್ವಾ
1,AVRODH_EP_09_KANNADA_20_PM.STEREO_00:33:57.01_00:34:00.40,ಮಾಂ ಹೈ ಪ್ರೇಜರ್ ಆ ಹೋಪ್ ಆಲ್ ಗೆಟ್ ಆ ಸ್ಟೈನ್ ಕಾಪಿ ಟೂ,ಮೈ ಪ್ಲಷರ್ ಐ ಹೋಪ್ ಐ ವಿಲ್ ಗೆಟ್ ಆ ಸೈನ್ಡ್ ಕಾಪಿ ಟೂ
2,AVRODH_EP_04_KANNADA_20_PM.STEREO_00:08:16.34_00:08:22.25,ಯೋಚಿಸಿಲ್ಲ ನಮ್ಮಿಬ್ರ ಮುಖಾಮುಖಿ ಆಗುತ್ತೆಯಂತ,ಯೋಚಿಸಿಲ್ಲ ನಮ್ಮಿಬ್ಬರ ಮುಖಾಮುಖಿಯಾಗುತ್ತೆ ಅಂತ
3,AVRODH_EP_03_KANNADA_20_PM.STEREO_00:17:42.59_00:17:43.35,ನಾನು ಹೇಳುತ್ತಾ ನೀಡಿದ್ದಾನಿಗೆ ನಿಮ್ಮೆ ನಿಮ್ಮೆ ನಿಮ್ಮೆ ನಿಮ್ಮೆ ನಿಮ್ಮೆ ನಿಮ್ಮೆ ನಿಮ್ಮೆ ನಿಮ್ಮೆ ನಿಮ್ಮೆ ನಿಮ್ಮೆ ನಿಮ್ಮೆ ನಿಮ್ಮೆ ನಿಮ್ಮೆ ನಿಮ್ಮೆ ನಿಮ್ಮೆ ನಿಮ್ಮೆ ನಿಮ್ಮೆ ನಿಮ್ಮೆ ನಿಮ್ಮೆ ನಿಮ್ಮೆ ನಿಮ್ಮೆ ನಿಮ್ಮೆ ನಿಮ್ಮೆ ನಿಮ್ಮೆ ನಿಮ್ಮೆ ನಿಮ್ಮೆ ನಿಮ್ಮೆ ನಿಮ್ಮೆ ನಿಮ್ಮೆ ನಿಮ್ಮೆ ನಿಮ್ಮೆ ನಿಮ್ಮೆ ನಿಮ್ಮ್ಆ ನಿಮ್ಮ್ಆ ನಿಮ್ಮ್ಆ ನಿಮ್ಮ್,ಸರ್
4,AVRODH_EP_01_KANNADA_20_PM.STEREO_00:12:37.21_00:12:39.40,ನಿನ್ ಬಳಿ ಪ್ರತಿ ಪ್ರಾಬ್ಲೆಮ್ ಗೂ ಒಂದೇ ಸೊಲೂಷ,ನಿನ್ ಬಳಿ ಪ್ರತಿ ಪ್ರಾಬ್ಲೆಮ್ಗೂ ಒಂದೇ ಸೊಲ್ಯೂಷನ್ ಇದೆ
5,AVRODH_EP_04_KANNADA_20_PM.STEREO_00:05:10.35_00:05:12.00,ಅಂದ್ರೆ ನಾಲ್ಕೆ ನಾಲ್ಕೆ ನಾಲ್ಕೆ ನಾಲ್ಕೆ ನಾಲ್ಕೆ ನಾಲ್ಕೆ ನಾಲ್ಕೆ ನಾಲ್ಕೆ ನಾಲ್ಕೆ ನಾಲ್ಕೆ ನಾಲ್ಕೆ ನಾಲ್ಕೆ ನಾಲ್ಕೆ ನಾಲ್ಕೆ ನಾಲ್ಕೆ ನಾಲ್ಕೆ ನಾಲ್ಕೆ ನಾಲ್ಕೆ ನಾಲ್ಕೆ ನಾಲ್ಕೆ ನಾಲ್ಕೆ ನಾಲ್ಕೆ ನಾಲ್ಕೆ,ಅಂದ್ರೆ
6,AVRODH_EP_02_KANNADA_20_PM.STEREO_00:22:14.36_00:22:18.20,ಯಾರು ಗೊತ್ತಿತ್ತು ಇದನ್ನು ಯಾರದು ನನ್ನೆ ಕೇಳ್ಬೇಕು,ಯಾರಿಗೆ ಗೋತಿತ್ತು ಇದನ್ ಯಾರಾದರೂ ನಂಗೆ ಕೇಳಬೇಕು
7,AVRODH_EP_09_KANNADA_20_PM.STEREO_00:03:15.51_00:03:18.50,ಮಿಸ್ಟರ್ ಬಾಬ್ ಟೆರಿ,ಮಿಸ್ಟರ್ ಬಾಬ್ ಡೇರಿ
8,AVRODH_EP_09_KANNADA_20_PM.STEREO_00:13:47.06_00:13:49.00,ಇದು ತ್ರೀ ಡೌನ್ ನೀರು ನೀರು ನೀರು ನೀರು ನೀರು ನೀರು ನೀರು ನೀರು ನೀರು ನೀರು ನೀರು ನೀರು ನೀರು ನೀರು ನೀರು ನೀರು ನೀರು ನೀರು ನೀರು ನೀರು ನೀರು ನೀರು,ವಿ ಟು ಥ್ರೀ ಡೌನ್
9,AVRODH_EP_01_KANNADA_20_PM.STEREO_00:30:03.21_00:30:07.50,ಮತ್ತೆ ಕೇಳಿ ಅಗತ್ಯವಿದ್ರೆ ನಾಳೆ ನೀವು ಎರಡು ಮೂರು ಜನರನ್ನು ಹೆಚ್ಚು ಮಾಡಿ,ಮತ್ತೆ ಕೇಳಿ ಅಗತ್ಯಬಿದ್ದರೆ ನಾಳೆ ನೀವು ಎರಡು ಮೂರು ಜನ್ರನ್ನ ಹೆಚ್ಚು ಮಾಡಿ
