,id,hypothesis,reference
0,2226681202509350660,স্কিইং এর পথকে হাইকিং এর পথ হিসাবে চিন্তা করুন,স্কিইংএর পথকে হাইকিং এর পথ হিসেবে চিন্তা করুন
1,6338433885391839433,তরকারি হচ্ছে ভেসজ এবং মসলার সাথে মাংশ বা সবজী,তরকারি হচ্ছে ভেষজ এবং মশলার সাথে মাংস বা সবজি
2,18139809094690769677,সুতরাং চিহ্নটি সম্ভবত যুক্ত করা হয়েছিল লেবেল হিসাবে,সুতরাং চিহ্নটি সম্ভবত যুক্ত করা হয়েছিল লেবেল হিসাবে
3,12651498055565919508,এভাবে কলম মানুষের কাছে বন্ধুত্বে পরিণত হল,এভাবে কলম মানুষের কাছের বন্ধুতে পরিণত হল
4,6839451658857727310,অনুষদধানটি পাখির পালকের বিবর্তনের বিষয়েও পরিজ্ঞান দেয়,অনুসন্ধানটি পাখির পালকের বিবর্তনের বিষয়েও পরিজ্ঞান দেয়
5,13543424630121708605,স্কিইং এর পথকে হাইকিং এর পথ হিসাবে চিন্তা করুন,স্কিইংএর পথকে হাইকিং এর পথ হিসেবে চিন্তা করুন
6,1726201460239599199,গভর্নর জেনারেল এর কার্যালয়ের বাইরে একটি বোমা বিস্ফোরণ হয়েছিল,গভর্নর জেনারেল এর কার্যালয়ের বাইরে একটি বোমা বিস্ফোরণ হয়েছিল
7,6316479758151719791,তরকারি হচ্ছে ভেসজ এবং মসলার সাথে মাংশ বা সব্দী,তরকারি হচ্ছে ভেষজ এবং মশলার সাথে মাংস বা সবজি
8,3984692194952609279,প্যারিসের অদিবাসীদের অহঙ্কারী অবদ্র এবং দান্ভিক হওয়ার খ্যাতি রয়েছে,প্যারিসের অধিবাসীদের অহঙ্কারী অভদ্র এবং দাম্ভিক হওয়ার খ্যাতি রয়েছে
9,527228201642994051,এটি মাড়িয়াতে পাতলা এবং উচ্চভূমিতে মোটা হয়ে থাকে,এটি মারিয়াতে পাতলা এবং উচ্চভূমিতে মোটা হয়ে থাকে
10,6357246314434793516,বন্যজীবনের ক্ষেত্রে মাদাগাসকার এখন পর্যন্ত সর্ববৃহদ একটি মহাদেশ,বন্যজীবনের ক্ষেত্রে মাদাগাস্কার এখন পর্যন্ত সর্ববৃহৎ একটি মহাদেশ
11,11262774769901192243,এভাবে কলম মানুষের কাছে বন্ধুতে পরিণত হল,এভাবে কলম মানুষের কাছের বন্ধুতে পরিণত হল
12,16789900050635972549,অনুসন্ধানটি পাখির পালকের বিবর্তনের বিষয়েও পরিজ্ঞান দেয়,অনুসন্ধানটি পাখির পালকের বিবর্তনের বিষয়েও পরিজ্ঞান দেয়
13,12075285242568142944,অ্যারোসমিথ তাদের সফরের অবশিষ্ট কনসার্টগুলো বাতিল করেছেন,অ্যারোস্মিথ তাদের সফরের অবশিষ্ট কনসার্টগুলো বাতিল করেছেন
14,6024085583161810549,সিংহ সবচেয়ে সামাজিক বিড়াল প্রাইড নামক বড় দলে বাস করে,সিংহ সবচেয়ে সামাজিক বিড়াল প্রাইড নামক বড় দলে বাস করে
15,7830080481940744078,কাটা মতে গ্রাফিতি বা অন্য কিছু একে জায়গাটির সন্দর্য নষ্ট করবেন না,কাঠামোতে গ্রাফিতি বা অন্য কিছু একে জায়গাটির সৌন্দর্য নষ্ট করবেন না
16,13254125909601720135,এভাবে কলম মানুষের কাছের বন্ধুতে পরিণত হল,এভাবে কলম মানুষের কাছের বন্ধুতে পরিণত হল
17,491602292919800811,সহকর্মী কুষ্তিগিররা এমনকি লুনাকে স্রদ্ধা জানিয়েছিল,সহকর্মী কুস্তিগীররা এমনকি লুনাকে শ্রদ্ধা জানিয়েছিল
18,15428193159095919435,এই রোগটি শুকড়ের দ্বারা বাহিত যা পরে মশার মাধ্যমে মানুষের দেহে স্থান্তরিত হয়,এই রোগটি শূকরের দ্বারা বাহিত যা পরে মশার মাধ্যমে মানুষের দেহে স্থানান্তরিত হয়
19,2230222496699559969,স্কিইংয়ের পথকে হাইকিং এর বদ হিসাবে চিন্তা করুন,স্কিইংএর পথকে হাইকিং এর পথ হিসেবে চিন্তা করুন
20,11755781896339369703,মধ্যপ্রাচ্যের উষ্ণ জলবায়ুতে বাড়িটি বিশেষ গুরুত্বপূর্ণ ছিল না,মধ্যপ্রাচ্যের উষ্ণ জলবায়ুতে বাড়িটি বিশেষ গুরুত্বপূর্ণ ছিল না
21,8258265154749253413,এটি বিচক্ষণ বলে মনে হচ্ছে কারণ পৃথিবী ঘুর্সে সেটা বোঝা যায় না যায়কি,এটি বিচক্ষণ বলে মনে হচ্ছে কারণ পৃথিবী ঘুরছে সেটা বোঝা যায় না যায়কি
22,14884551329279680282,বন্যজীবনের ক্ষেত্রে মাদাগাসকার এখন পর্যন্ত সর্ববৃহত একটি মহাদেশ,বন্যজীবনের ক্ষেত্রে মাদাগাস্কার এখন পর্যন্ত সর্ববৃহৎ একটি মহাদেশ
23,7525390571344848060,সুতরাং চিহ্নটি সম্ভবত যুক্ত করা হয়েছিল লেবেল হিসেবে,সুতরাং চিহ্নটি সম্ভবত যুক্ত করা হয়েছিল লেবেল হিসাবে
24,4253026515068756472,অ্যারিস্টোলে মত গ্রহণ করা হয়েছিল মনোবিজ্ঞানসহ বিজ্ঞানের সমস্ত বিষয়,অ্যারিস্টটলের মত গ্রহণ করা হয়েছিল মনোবিজ্ঞান সহ বিজ্ঞানের সমস্ত বিষয়ে
25,14097806815577317338,তরকারি হতে ভেষত এবং মসলার সাথে মাংশ বা সব্দী,তরকারি হচ্ছে ভেষজ এবং মশলার সাথে মাংস বা সবজি
26,431027922367008255,অ্যারিস্টোটালের মতো গ্রহণ করা হয়েছিল মনোবিজ্ঞানসহ বিজ্ঞানের সমস্ত বিষয়,অ্যারিস্টটলের মত গ্রহণ করা হয়েছিল মনোবিজ্ঞান সহ বিজ্ঞানের সমস্ত বিষয়ে
27,5289800118312212567,টেলিভিশনের প্রতিবেদনগুলিতে উদ্ভিদ থেকে সাদাদ হওয়া আসতে দেখা যায়,টেলিভিশনের প্রতিবেদনগুলিতে উদ্ভিদ থেকে সাদা ধোঁয়া আসতে দেখা যায়
28,6139698505623732786,তবে পাখির মধ্যে অনেক বিষয় রয়েছে যা এখনও যেগুলোকে ডাইনোসরের মত দেখায়,তবে পাখির মধ্যে অনেক বিষয় রয়েছে যা এখনও যেগুলোকে ডাইনোসরের মতো দেখায়
29,6802247102916938865,যুদ্ধ ছড়িয়ে পড়ার পর পরি ব্রিটেন জার্মানের ওপর একটি নৌ অবরোধ আরোপ করে,যুদ্ধ ছড়িয়ে পড়ার পরপরই ব্রিটেন জার্মানির ওপর একটি নৌ অবরোধ আরোপ করে
30,8504910302994046847,পিরামিডের উপরি তলে দৃশ্যগুলি ফুটে উঠলে পিরামিডগুলি উচ্চল হয় ওঠে,পিরামিডের উপরিতলে দৃশ্যগুলি ফুটে উঠলে পিরামিডগুলি উজ্জ্বল হয়ে ওঠে
31,10357573081929980614,অ্যারো স্মিথ তাদের সফরের অবশিষ্ট কনসার্টগুলো বাতিল করেছেন,অ্যারোস্মিথ তাদের সফরের অবশিষ্ট কনসার্টগুলো বাতিল করেছেন
32,16092966821838237799,মধ্যপ্রাচ্যের উষ্ণ জলবায়ুতে বাড়িটি বিশেষ গুরুত্বপূর্ণ ছিল না,মধ্যপ্রাচ্যের উষ্ণ জলবায়ুতে বাড়িটি বিশেষ গুরুত্বপূর্ণ ছিল না
